group,category,percentage
age,Middle,85.51724137931035
age,Old,2.0689655172413794
age,Young,12.413793103448276
gender,Female,6.206896551724138
gender,Male,93.79310344827586
intersection,Middle_Female_Asian,0.0
intersection,Middle_Female_Black,0.0
intersection,Middle_Female_Indian,0.0
intersection,Middle_Female_White,0.0
intersection,Middle_Male_Asian,0.0
intersection,Middle_Male_Black,0.0
intersection,Middle_Male_Indian,3.4482758620689653
intersection,Middle_Male_White,82.06896551724138
intersection,Old_Female_Asian,0.0
intersection,Old_Female_Black,0.0
intersection,Old_Female_Indian,0.0
intersection,Old_Female_White,0.0
intersection,Old_Male_Asian,0.0
intersection,Old_Male_Black,0.0
intersection,Old_Male_Indian,0.6896551724137931
intersection,Old_Male_White,1.3793103448275863
intersection,Young_Female_Asian,0.0
intersection,Young_Female_Black,0.0
intersection,Young_Female_Indian,0.0
intersection,Young_Female_White,6.206896551724138
intersection,Young_Male_Asian,0.0
intersection,Young_Male_Black,0.0
intersection,Young_Male_Indian,0.6896551724137931
intersection,Young_Male_White,5.517241379310345
race,Asian,0.0
race,Black,0.0
race,Indian,4.827586206896552
race,White,95.17241379310344
