group,category,percentage
age,Middle,40.81632653061224
age,Old,0.0
age,Young,59.18367346938776
gender,Female,0.0
gender,Male,100.0
intersection,Middle_Female_Asian,0.0
intersection,Middle_Female_Black,0.0
intersection,Middle_Female_Indian,0.0
intersection,Middle_Female_White,0.0
intersection,Middle_Male_Asian,0.0
intersection,Middle_Male_Black,0.0
intersection,Middle_Male_Indian,10.20408163265306
intersection,Middle_Male_White,30.612244897959183
intersection,Old_Female_Asian,0.0
intersection,Old_Female_Black,0.0
intersection,Old_Female_Indian,0.0
intersection,Old_Female_White,0.0
intersection,Old_Male_Asian,0.0
intersection,Old_Male_Black,0.0
intersection,Old_Male_Indian,0.0
intersection,Old_Male_White,0.0
intersection,Young_Female_Asian,0.0
intersection,Young_Female_Black,0.0
intersection,Young_Female_Indian,0.0
intersection,Young_Female_White,0.0
intersection,Young_Male_Asian,0.0
intersection,Young_Male_Black,2.0408163265306123
intersection,Young_Male_Indian,10.20408163265306
intersection,Young_Male_White,46.93877551020408
race,Asian,0.0
race,Black,2.0408163265306123
race,Indian,20.40816326530612
race,White,77.55102040816327
