group,category,percentage
age,Middle,85.1063829787234
age,Old,0.0
age,Young,14.893617021276595
gender,Female,0.0
gender,Male,100.0
intersection,Middle_Female_Asian,0.0
intersection,Middle_Female_Black,0.0
intersection,Middle_Female_Indian,0.0
intersection,Middle_Female_White,0.0
intersection,Middle_Male_Asian,0.0
intersection,Middle_Male_Black,2.127659574468085
intersection,Middle_Male_Indian,2.127659574468085
intersection,Middle_Male_White,80.85106382978722
intersection,Old_Female_Asian,0.0
intersection,Old_Female_Black,0.0
intersection,Old_Female_Indian,0.0
intersection,Old_Female_White,0.0
intersection,Old_Male_Asian,0.0
intersection,Old_Male_Black,0.0
intersection,Old_Male_Indian,0.0
intersection,Old_Male_White,0.0
intersection,Young_Female_Asian,0.0
intersection,Young_Female_Black,0.0
intersection,Young_Female_Indian,0.0
intersection,Young_Female_White,0.0
intersection,Young_Male_Asian,0.0
intersection,Young_Male_Black,2.127659574468085
intersection,Young_Male_Indian,0.0
intersection,Young_Male_White,12.76595744680851
race,Asian,0.0
race,Black,4.25531914893617
race,Indian,2.127659574468085
race,White,93.61702127659576
