image,gender,age,race,gender_fair,gender_deepface,gender_insightface,equal_gender,gender_scores_fair,gender_scores_deep,age_fair,age_deepface,age_insightface,age_bin_fair,age_bin_insightface,equal_age,age_scores_fair,age_diff,race_fair,race4_deepface,equal_race,face_fair,bbox
artist_indian_0.png,Male,Middle,Indian,Male,Male,Male,True,[9.9996823e-01 3.1784755e-05],"[0.99999466, 5.3977384e-06]",40-49,34,51.0,Middle,Middle,True,"[2.3160171e-06 1.7749933e-05 3.7391009e-04 9.7712288e-03 3.0361056e-01
 6.2367499e-01 6.1958961e-02 5.8444153e-04 5.7971561e-06]",11,Indian,Indian,True,0,[202 238 743 778]
artist_indian_1.png,Male,Old,Indian,Male,Male,Male,True,[9.9998009e-01 1.9915997e-05],"[0.9578801, 0.04211990400000001]",60-69,37,70.0,Old,Old,False,"[9.0180498e-07 3.9120396e-06 8.9439302e-05 3.9577897e-04 3.0317607e-03
 4.6932124e-02 2.7284077e-01 6.3461304e-01 4.2092323e-02]",28,Indian,Indian,True,0,[248 215 698 665]
artist_indian_10.png,Male,Middle,Indian,Male,Male,Male,True,[0.94459426 0.05540575],"[0.9999667, 3.3210737e-05]",40-49,35,60.0,Middle,Middle,True,"[3.3990833e-07 1.5503797e-06 1.1521543e-04 2.4755306e-03 8.6980313e-02
 4.9700955e-01 3.7311581e-01 3.9303370e-02 9.9845452e-04]",10,Indian,Indian,True,0,[302 240 677 615]
artist_indian_11.png,Male,Old,Indian,Male,Male,Male,True,[0.9687168  0.03128324],"[0.9999478, 5.2241953e-05]",60-69,39,64.0,Old,Old,False,"[3.8234837e-05 2.2390303e-04 7.6544937e-04 3.5584450e-04 3.0120830e-03
 4.0540233e-02 2.7807489e-01 5.5465060e-01 1.2233876e-01]",26,Indian,Indian,True,0,[ 76  57 855 835]
artist_indian_12.png,Male,Middle,Indian,Male,Male,Male,True,[0.997968   0.00203195],"[0.9999019, 9.806479e-05]",50-59,32,56.0,Middle,Middle,True,"[7.3579035e-06 9.4269226e-06 1.3526694e-04 2.7079860e-04 6.7138374e-03
 1.2944654e-01 6.3055766e-01 2.2701220e-01 5.8469553e-03]",23,Indian,Indian,True,0,[294 261 744 711]
artist_indian_13.png,Male,Middle,Indian,Male,Male,Male,True,[9.999235e-01 7.645527e-05],"[0.99997185, 2.8177940000000003e-05]",40-49,34,47.0,Middle,Middle,True,"[2.3782055e-05 2.5780904e-04 4.4070031e-03 4.7632726e-03 7.9272695e-02
 4.9476513e-01 3.9329886e-01 2.2710225e-02 5.0120300e-04]",11,Indian,Indian,True,0,[294 261 744 711]
artist_indian_14.png,Male,Old,Indian,Male,Male,Male,True,[0.99851626 0.00148373],"[0.9996581999999999, 0.00034182258]",60-69,41,69.0,Old,Old,False,"[3.4445509e-06 1.2432497e-05 1.5742911e-04 4.5988648e-04 4.1292692e-03
 5.7989832e-02 3.4748676e-01 5.5772203e-01 3.2038968e-02]",24,Indian,Indian,True,0,[ 76  57 855 835]
artist_indian_15.png,Male,Old,Indian,Male,Male,Male,True,[0.99757594 0.0024241 ],"[0.9977769999999999, 0.0022228960000000002]",60-69,35,67.0,Old,Old,False,"[2.6155572e-05 5.1212934e-05 3.6388353e-04 6.9699995e-04 5.6936904e-03
 6.4316779e-02 3.6838901e-01 5.3287894e-01 2.7583314e-02]",30,Indian,Indian,True,0,[202 238 743 778]
artist_indian_16.png,Male,Old,Indian,Male,Male,Male,True,[0.9893199  0.01068007],"[0.9928619999999999, 0.0071380126]",60-69,47,70.0,Old,Old,False,"[5.43131409e-06 1.23379332e-05 1.12697744e-04 5.75369864e-04
 3.34805017e-03 3.56737785e-02 2.04175517e-01 6.64492846e-01
 9.16039199e-02]",18,Indian,Indian,True,0,[103 121 753 770]
artist_indian_17.png,Male,Middle,Indian,Male,Male,Male,True,[9.9983984e-01 1.6013597e-04],"[0.99837875, 0.0016212629000000001]",50-59,39,52.0,Middle,Middle,True,"[2.4304776e-05 3.2654760e-04 4.0159319e-03 2.8233230e-03 2.1317311e-02
 2.0276065e-01 5.7546616e-01 1.9001833e-01 3.2475416e-03]",16,Indian,Indian,True,0,[202 183 743 724]
artist_indian_18.png,Male,Middle,Indian,Male,Male,Male,True,[9.9997878e-01 2.1241724e-05],"[0.9999915, 8.4472215e-06]",30-39,28,33.0,Middle,Middle,False,"[4.7098652e-07 1.4896150e-05 6.7666951e-03 4.6740687e-01 5.0069052e-01
 2.4979904e-02 1.3750212e-04 3.1175605e-06 6.0381439e-08]",7,Indian,Indian,True,0,[326 203 640 517]
artist_indian_19.png,Male,Middle,Indian,Male,Male,,True,[0.97406006 0.02593988],"[0.9990663000000001, 0.0009337376999999999]",40-49,42,,Middle,,True,"[1.2106004e-05 1.6101850e-04 4.3178364e-03 2.3714066e-02 3.1574184e-01
 5.6465369e-01 8.8245273e-02 3.1003885e-03 5.3836877e-05]",3,Indian,Indian,True,0,[263 240 640 615]
artist_indian_2.png,Male,Young,Indian,Male,Male,Male,True,[9.9989462e-01 1.0537961e-04],"[0.9997324000000001, 0.00026758764]",20-29,31,40.0,Young,Middle,False,"[1.5056178e-06 1.8127829e-04 1.6222825e-02 5.4244590e-01 4.2837885e-01
 1.2713645e-02 5.5029035e-05 9.8802900e-07 1.5195377e-08]",6,Indian,Indian,True,0,[202 183 743 724]
artist_indian_20.png,Male,Middle,Indian,Male,Male,Male,True,[9.999023e-01 9.769024e-05],"[0.9999714000000001, 2.8589143999999997e-05]",40-49,49,54.0,Middle,Middle,True,"[5.1574248e-06 5.6516910e-05 1.6129236e-03 4.1543255e-03 9.8541938e-02
 5.8613771e-01 3.0268672e-01 6.6918284e-03 1.1278982e-04]",4,Indian,Indian,True,0,[339 279 715 654]
artist_indian_21.png,Male,Old,Indian,Male,Male,Male,True,[0.76091754 0.23908247],"[0.9985953999999999, 0.0014045487]",60-69,45,72.0,Old,Old,False,"[1.0352878e-06 2.3026087e-05 4.5620746e-04 3.2483221e-03 1.0394855e-02
 5.4886602e-02 2.3060772e-01 5.1592755e-01 1.8445459e-01]",20,Indian,Indian,True,0,[231 172 544 485]
artist_indian_23.png,Male,Middle,Indian,Male,Male,,True,[9.9975854e-01 2.4150414e-04],"[0.9999167, 8.335563000000001e-05]",40-49,38,,Middle,,True,"[8.1991884e-06 7.4077987e-05 1.4866567e-03 3.4845628e-02 4.2415652e-01
 4.9999034e-01 3.8724072e-02 6.9875160e-04 1.5759309e-05]",7,Indian,Indian,True,0,[202 183 743 724]
artist_indian_24.png,Male,Middle,Indian,Male,Male,Male,True,[0.98939705 0.0106029 ],"[0.99938545, 0.00061447605]",50-59,36,67.0,Middle,Old,True,"[1.30610169e-06 4.13586622e-06 8.93704564e-05 9.19298851e-04
 9.22405254e-03 1.11428805e-01 4.18722779e-01 4.15445149e-01
 4.41650897e-02]",19,Indian,Indian,True,0,[294 261 744 711]
artist_indian_25.png,Male,Old,Indian,Male,Male,Male,True,[0.9965213  0.00347876],"[0.9988936599999999, 0.0011064017]",60-69,39,65.0,Old,Old,False,"[1.8879639e-06 1.0080946e-05 1.6452462e-04 9.3920151e-04 6.2962207e-03
 8.3621874e-02 3.8832384e-01 4.5846051e-01 6.2181875e-02]",26,Indian,Indian,True,0,[170 121 819 770]
artist_indian_26.png,Male,Middle,Indian,Male,Male,Male,True,[0.9244717  0.07552834],"[0.9997454, 0.00025459321]",50-59,38,58.0,Middle,Middle,True,"[7.0261354e-05 5.8932794e-04 1.7269631e-03 1.3907973e-03 1.2834018e-02
 1.7405896e-01 4.8190153e-01 2.9579312e-01 3.1635080e-02]",17,Indian,Indian,True,0,[302 354 677 730]
artist_indian_28.png,Male,Middle,Indian,Male,Male,,True,[9.9959970e-01 4.0035867e-04],"[0.9983387, 0.0016612475]",50-59,41,,Middle,,True,"[4.1504691e-06 1.5576912e-05 1.9342161e-04 4.4695515e-04 6.6251815e-03
 1.2106349e-01 4.3414494e-01 3.9613006e-01 4.1376337e-02]",14,Indian,Indian,True,0,[248 305 698 756]
artist_indian_29.png,Male,Middle,Indian,Male,Male,Male,True,[0.8765411  0.12345891],"[0.9991605, 0.0008395099]",40-49,34,49.0,Middle,Middle,True,"[1.5536692e-05 5.9155387e-05 6.9158140e-04 3.7223122e-03 7.7916943e-02
 4.4551969e-01 4.1894150e-01 5.1350299e-02 1.7829993e-03]",11,Indian,Indian,True,0,[248 215 698 665]
