image,gender,age,race,gender_fair,gender_deepface,gender_insightface,equal_gender,gender_scores_fair,gender_scores_deep,age_fair,age_deepface,age_insightface,age_bin_fair,age_bin_insightface,equal_age,age_scores_fair,age_diff,race_fair,race4_deepface,equal_race,face_fair,bbox
fitness instructor_asian_0.png,Male,Young,Asian,Male,Male,Male,True,[0.9935889  0.00641105],"[0.9880723, 0.011927760999999999]",20-29,30,27,Young,Young,False,"[8.05214455e-08 3.69757508e-05 4.48553041e-02 8.45853865e-01
 1.08289026e-01 9.60675126e-04 3.88845046e-06 1.63587913e-07
 1.57679181e-09]",5,Asian,Asian,True,0,[302 165 677 540]
fitness instructor_asian_1.png,Male,Young,Asian,Male,Male,Male,True,[0.9214394  0.07856063],"[0.9489978000000001, 0.051002183]",20-29,29,27,Young,Young,True,"[3.6064642e-07 1.5641539e-03 2.6469919e-01 7.1718812e-01 1.6459404e-02
 8.8492052e-05 2.5014171e-07 1.3309724e-08 2.2212542e-10]",4,Asian,Asian,True,0,[437 199 619 381]
fitness instructor_asian_11.png,Female,Young,Asian,Female,Female,Female,True,[0.01194351 0.9880565 ],"[0.04272041, 0.9572796]",20-29,29,24,Young,Young,True,"[4.5582397e-07 3.0691139e-04 1.0070532e-01 8.0142480e-01 9.5857196e-02
 1.6964464e-03 8.3729392e-06 4.4755049e-07 6.1088539e-09]",4,Asian,Asian,True,0,[363 189 624 450]
fitness instructor_asian_14.png,Female,Young,Asian,Female,Female,Female,True,[0.00406585 0.9959341 ],"[1.3129099e-05, 0.9999869]",20-29,30,23,Young,Young,False,"[6.3610671e-08 1.5854764e-04 9.4541803e-02 8.7680578e-01 2.8380353e-02
 1.1315153e-04 2.5685515e-07 1.0441107e-08 9.5736891e-11]",5,Asian,Asian,True,0,[302 165 677 540]
fitness instructor_asian_16.png,Male,Young,Asian,Male,Male,Male,True,[0.5033851  0.49661484],"[0.7353386000000001, 0.26466135]",20-29,30,22,Young,Young,False,"[6.01743579e-08 9.78828975e-05 1.11440666e-01 8.41266096e-01
 4.68213335e-02 3.72340379e-04 1.52260020e-06 1.10455410e-07
 1.28162414e-09]",5,Asian,Asian,True,0,[302 240 677 615]
fitness instructor_asian_17.png,Female,Young,Asian,Female,Female,Female,True,[0.04888777 0.9511122 ],"[0.055475054, 0.9445250000000001]",20-29,29,26,Young,Young,True,"[1.4873866e-07 4.5062875e-04 2.2205730e-01 7.5925851e-01 1.8089008e-02
 1.4396731e-04 3.6921037e-07 2.8403301e-08 4.8799415e-10]",4,Asian,Asian,True,0,[248 168 698 619]
fitness instructor_asian_19.png,Male,Young,Asian,Male,Male,Male,True,[0.9226787  0.07732128],"[0.8964249, 0.10357516]",20-29,28,23,Young,Young,True,"[9.1641589e-08 4.9556233e-04 4.1349795e-01 5.7251430e-01 1.3415700e-02
 7.6135679e-05 2.3888006e-07 1.0842042e-08 2.2205009e-10]",3,Asian,Asian,True,0,[419 162 600 344]
fitness instructor_asian_20.png,Female,Young,Asian,Female,Female,Female,True,[0.00817828 0.9918217 ],"[0.0038554186, 0.9961445600000001]",20-29,29,23,Young,Young,True,"[3.8607091e-08 6.6883673e-05 7.2728984e-02 8.8561475e-01 4.1291542e-02
 2.9710410e-04 7.2085732e-07 3.2490870e-08 4.1463938e-10]",4,Asian,Asian,True,0,[302 279 677 654]
fitness instructor_asian_22.png,Male,Young,Asian,Male,Male,Male,True,[0.99701416 0.00298582],"[0.9637584, 0.03624165]",20-29,30,28,Young,Young,False,"[1.2370580e-07 5.0279242e-04 3.2956240e-01 6.5902275e-01 1.0855737e-02
 5.5992685e-05 1.3809385e-07 9.7702157e-09 1.3692246e-10]",5,Asian,Asian,True,0,[337 162 599 423]
fitness instructor_asian_23.png,Female,Young,Asian,Female,Female,Female,True,[0.00225109 0.9977489 ],"[0.38186016, 0.6181398]",20-29,29,21,Young,Young,True,"[4.29570299e-08 5.56312967e-04 3.80972803e-01 6.13838971e-01
 4.61706473e-03 1.47651335e-05 1.78154611e-08 1.31473454e-09
 2.20025248e-11]",4,Asian,Asian,True,0,[294 261 744 711]
