image,gender,age,race,gender_fair,gender_deepface,gender_insightface,equal_gender,gender_scores_fair,gender_scores_deep,age_fair,age_deepface,age_insightface,age_bin_fair,age_bin_insightface,equal_age,age_scores_fair,age_diff,race_fair,race4_deepface,equal_race,face_fair,bbox
office worker_young_0.png,Male,Young,Asian,Male,Male,Male,True,[0.98365635 0.01634363],"[0.9779418, 0.02205813]",20-29,29,26.0,Young,Young,True,"[3.4141806e-07 4.4203733e-04 2.1963775e-01 7.3774594e-01 4.1707214e-02
 4.6433706e-04 2.2473052e-06 1.5900615e-07 2.0370892e-09]",4,Asian,Asian,True,0,[358 299 670 611]
office worker_young_1.png,Male,Young,Asian,Male,Male,Male,True,[9.9982256e-01 1.7744083e-04],"[0.8509408999999999, 0.14905911]",10-19,27,22.0,Young,Young,True,"[3.2540626e-07 3.7555008e-03 6.6673982e-01 3.2709080e-01 2.4033755e-03
 1.0178236e-05 2.4077918e-08 1.9405888e-09 2.8403110e-11]",12,Asian,Asian,True,0,[302 240 677 615]
office worker_young_10.png,Male,Young,White,Male,Male,Male,True,[9.9996728e-01 3.2677126e-05],"[0.7884477, 0.21155228]",10-19,22,21.0,Young,Young,True,"[3.4926973e-08 1.2650123e-03 9.2298722e-01 7.5470380e-02 2.7555792e-04
 1.7954159e-06 3.3787695e-09 1.9592740e-10 4.0664286e-12]",7,White,White,True,0,[294 235 608 549]
office worker_young_11.png,Female,Young,Asian,Female,Female,Female,True,[0.00504374 0.99495625],"[0.25356596, 0.746434]",10-19,29,29.0,Young,Young,True,"[5.5594119e-06 6.4702742e-02 8.3692276e-01 9.7159319e-02 1.1877991e-03
 2.1764026e-05 9.0818887e-08 1.9588116e-08 1.0206367e-09]",14,Asian,Asian,True,0,[389 235 702 549]
office worker_young_13.png,Male,Young,Asian,Male,Male,Male,True,[9.9991822e-01 8.1702485e-05],"[0.9955700000000001, 0.0044300625]",20-29,28,24.0,Young,Young,True,"[1.5602546e-07 2.6829002e-04 1.6780823e-01 7.9154009e-01 4.0043578e-02
 3.3815735e-04 1.3542214e-06 7.8383941e-08 8.3627583e-10]",3,Asian,Asian,True,0,[302 279 677 654]
office worker_young_14.png,Male,Young,Asian,Male,Male,Male,True,[9.9962413e-01 3.7582850e-04],"[0.9876308, 0.01236919]",10-19,27,22.0,Young,Young,True,"[5.0836810e-05 7.7029906e-02 8.2954633e-01 9.1390446e-02 1.9444706e-03
 3.7402137e-05 5.2002582e-07 1.2071092e-07 2.2483497e-09]",12,Asian,Asian,True,0,[248 215 698 665]
office worker_young_16.png,Male,Young,Asian,Male,Male,Male,True,[0.9987284  0.00127163],"[0.96881096, 0.03118903]",10-19,21,23.0,Young,Young,True,"[3.2656849e-06 8.4255226e-03 6.6720724e-01 3.1571871e-01 8.5336221e-03
 1.1093970e-04 5.8919358e-07 6.5064491e-08 1.3891680e-09]",6,Asian,White,False,0,[302 240 677 615]
office worker_young_17.png,Female,Young,Asian,Female,Female,Female,True,[0.03213693 0.9678631 ],"[0.046266894, 0.9537331]",10-19,29,31.0,Young,Middle,True,"[3.3754802e-07 4.1784085e-03 7.2371912e-01 2.7052230e-01 1.5671300e-03
 1.2616269e-05 4.1316191e-08 5.8184293e-09 1.5672065e-10]",14,Asian,Asian,True,0,[248 261 698 711]
office worker_young_18.png,Male,Young,Asian,Male,Male,Male,True,[0.9757335  0.02426652],"[0.9936288000000001, 0.006371145999999999]",10-19,22,23.0,Young,Young,True,"[8.7643224e-07 3.1080602e-03 5.9268576e-01 3.9819640e-01 5.9548425e-03
 5.3804546e-05 2.1038068e-07 2.4700793e-08 6.7664774e-10]",7,Asian,Asian,True,0,[302 165 677 540]
office worker_young_19.png,Male,Young,Asian,Male,Male,,True,[9.9998730e-01 1.2731228e-05],"[0.9873641000000001, 0.012635940000000002]",10-19,25,,Young,,True,"[2.65541388e-07 1.04070187e-03 6.23351276e-01 3.71727496e-01
 3.85157974e-03 2.85721962e-05 9.39084330e-08 8.09353295e-09
 1.07997715e-10]",10,Asian,White,False,0,[302 202 677 578]
office worker_young_2.png,Male,Young,Asian,Male,Male,Male,True,[9.9999768e-01 2.3312284e-06],"[0.9977795399999999, 0.0022204576]",10-19,22,22.0,Young,Young,True,"[2.0333275e-06 8.5682208e-03 5.1348323e-01 4.7297958e-01 4.9383305e-03
 2.8511113e-05 9.7459960e-08 9.0897663e-09 9.3690521e-11]",7,Asian,Asian,True,0,[263 279 640 654]
office worker_young_22.png,Female,Young,Asian,Female,Female,Female,True,[0.12268321 0.87731683],"[0.12384128999999999, 0.87615875]",10-19,22,25.0,Young,Young,True,"[6.7063834e-06 4.2349830e-02 6.3639355e-01 3.1833518e-01 2.8924926e-03
 2.2163531e-05 1.0140015e-07 1.4255126e-08 3.0174449e-10]",7,Asian,Asian,True,0,[302 202 677 578]
office worker_young_23.png,Female,Young,Asian,Female,Female,Female,True,[0.01872632 0.9812737 ],"[0.004759605, 0.9952405]",10-19,29,24.0,Young,Young,True,"[6.1817292e-07 4.2091701e-03 6.0723948e-01 3.8502476e-01 3.5076244e-03
 1.8207777e-05 5.9204233e-08 5.8653016e-09 2.5345895e-10]",14,Asian,Asian,True,0,[326 235 640 549]
office worker_young_25.png,Female,Young,Indian,Female,Female,Female,True,[2.8881248e-05 9.9997115e-01],"[0.0035451436, 0.9964548499999999]",10-19,26,33.0,Young,Middle,True,"[2.8416952e-08 2.3155136e-03 7.8011721e-01 2.1422249e-01 3.3299518e-03
 1.4825103e-05 1.7108784e-08 4.4205317e-10 1.2293643e-11]",11,Indian,White,False,0,[302 165 677 540]
office worker_young_27.png,Female,Young,Asian,Female,Female,Female,True,[7.773809e-05 9.999223e-01],"[0.10564204, 0.8943578999999999]",10-19,27,22.0,Young,Young,True,"[1.4248324e-07 5.5583357e-03 6.2760723e-01 3.6425674e-01 2.5676007e-03
 1.0004596e-05 1.1868492e-08 9.8974728e-10 2.1487095e-11]",12,Asian,Asian,True,0,[248 215 698 665]
office worker_young_28.png,Male,Young,White,Male,Male,Male,True,[9.999230e-01 7.697948e-05],"[0.9759378, 0.024062196999999997]",10-19,26,25.0,Young,Young,True,"[4.7968291e-07 1.6629549e-03 7.4287456e-01 2.4655293e-01 8.7620160e-03
 1.4610460e-04 8.4116550e-07 3.9544638e-08 4.8308396e-10]",11,White,White,True,0,[326 267 640 581]
office worker_young_29.png,Female,Young,Asian,Female,Female,Female,True,[0.00640645 0.9935935 ],"[0.015627973, 0.9843721]",10-19,23,22.0,Young,Young,True,"[1.3024202e-05 1.3419262e-01 8.2933950e-01 3.5949636e-02 5.0007075e-04
 5.1778024e-06 4.6456208e-08 5.7451084e-09 3.5562289e-10]",8,Asian,Asian,True,0,[358 235 670 549]
office worker_young_3.png,Male,Young,Asian,Male,Male,Male,True,[9.9956036e-01 4.3962663e-04],"[0.9846839, 0.015316132]",10-19,21,21.0,Young,Young,True,"[5.6257349e-08 3.7304295e-04 8.0597866e-01 1.9197577e-01 1.6588301e-03
 1.3571536e-05 4.9589826e-08 3.3267147e-09 9.1550253e-11]",6,Asian,White,False,0,[248 215 698 665]
office worker_young_30.png,Male,Young,Asian,Male,Male,Male,True,[9.9997860e-01 2.1360089e-05],"[0.9970811, 0.0029189306]",20-29,26,21.0,Young,Young,True,"[3.5478511e-08 3.3001398e-04 4.4501412e-01 5.4851401e-01 6.1187223e-03
 2.3084907e-05 5.6821648e-08 4.8700608e-09 3.5693518e-11]",1,Asian,Asian,True,0,[302 279 677 654]
office worker_young_31.png,Male,Young,Asian,Male,Male,Male,True,[0.9979491  0.00205088],"[0.99597374, 0.004026289]",10-19,22,25.0,Young,Young,True,"[2.1443215e-05 9.2310449e-03 4.8683310e-01 4.4462845e-01 5.7965036e-02
 1.3039093e-03 1.5408645e-05 1.6227765e-06 2.3680577e-08]",7,Asian,Asian,True,0,[294 261 744 711]
office worker_young_32.png,Male,Young,Asian,Male,Male,Male,True,[9.9999833e-01 1.6246137e-06],"[0.99853096, 0.00146896]",20-29,26,24.0,Young,Young,True,"[2.4111474e-08 4.7449172e-05 1.3391785e-01 8.4673965e-01 1.9217711e-02
 7.7118319e-05 1.3350264e-07 5.7290577e-09 4.8221514e-11]",1,Asian,White,False,0,[248 261 698 711]
office worker_young_34.png,Male,Young,Asian,Male,Male,Male,True,[0.9978653  0.00213468],"[0.8884659, 0.11153407]",10-19,22,23.0,Young,Young,True,"[2.2922466e-06 3.3913553e-02 8.0338764e-01 1.6203429e-01 6.5895275e-04
 3.2537334e-06 6.2003842e-09 7.6739420e-10 1.5856361e-11]",7,Asian,White,False,0,[326 267 640 581]
office worker_young_35.png,Female,Young,Asian,Female,Female,Female,True,[0.01287213 0.98712784],"[0.15216073, 0.8478391999999999]",10-19,26,21.0,Young,Young,True,"[8.4897192e-06 3.2145042e-02 7.0094955e-01 2.6510245e-01 1.7765725e-03
 1.7785409e-05 9.4656421e-08 1.8206160e-08 6.9491546e-10]",11,Asian,Asian,True,0,[263 279 640 654]
office worker_young_36.png,Male,Young,Asian,Male,Male,Male,True,[9.9907422e-01 9.2576735e-04],"[0.9683829, 0.031617131]",20-29,29,23.0,Young,Young,True,"[9.0274547e-08 9.1644970e-04 3.8648599e-01 6.0719866e-01 5.3809192e-03
 1.7973716e-05 2.9889552e-08 2.6325149e-09 3.1082064e-11]",4,Asian,Asian,True,0,[248 305 698 756]
office worker_young_37.png,Female,Young,Asian,Female,Female,Female,True,[1.4183225e-04 9.9985814e-01],"[0.011584141999999999, 0.9884158]",10-19,28,23.0,Young,Young,True,"[8.3192377e-09 1.0854523e-03 5.3554022e-01 4.6066356e-01 2.7040562e-03
 6.6368989e-06 4.0452379e-09 1.9581958e-10 2.6796571e-12]",13,Asian,White,False,0,[400 291 582 472]
office worker_young_39.png,Male,Young,Asian,Male,Male,Male,True,[0.99191386 0.00808621],"[0.8358947000000001, 0.16410532]",10-19,22,21.0,Young,Young,True,"[3.5277228e-07 6.6669141e-03 8.5147190e-01 1.4094256e-01 9.1406691e-04
 4.1635867e-06 1.2597012e-08 1.8376735e-09 3.5225382e-11]",7,Asian,Asian,True,0,[302 240 677 615]
office worker_young_41.png,Male,Young,Asian,Male,Male,Male,True,[0.9947003  0.00529967],"[0.9853875, 0.014612505]",20-29,28,24.0,Young,Young,True,"[2.4889502e-07 5.0603983e-04 2.7223080e-01 7.0864171e-01 1.8455127e-02
 1.6524638e-04 7.2557975e-07 8.0781426e-08 9.6438768e-10]",3,Asian,Asian,True,0,[170 253 819 902]
office worker_young_42.png,Male,Young,Asian,Male,Male,Male,True,[0.9987456  0.00125433],"[0.61933773, 0.3806622]",10-19,26,22.0,Young,Young,True,"[7.6354968e-07 1.0142563e-02 7.2259212e-01 2.6343045e-01 3.7995293e-03
 3.4461285e-05 1.3373520e-07 1.3065634e-08 2.2550066e-10]",11,Asian,Asian,True,0,[248 215 698 665]
office worker_young_43.png,Female,Young,Asian,Female,Female,Female,True,[1.6489808e-05 9.9998355e-01],"[0.00103392385, 0.9989661]",20-29,25,24.0,Young,Young,True,"[2.5016536e-09 7.2086346e-05 2.8449139e-01 7.0478737e-01 1.0592506e-02
 5.6502951e-05 5.5948203e-08 1.9380437e-09 3.7459619e-11]",0,Asian,White,False,0,[326 235 640 549]
office worker_young_45.png,Female,Young,Asian,Female,Female,Female,True,[0.10405578 0.8959442 ],"[0.10470624, 0.8952938]",10-19,24,27.0,Young,Young,True,"[3.6487195e-06 3.6666971e-02 8.9346009e-01 6.9291309e-02 5.7206338e-04
 5.8782284e-06 3.9871111e-08 6.6857027e-09 2.7937042e-10]",9,Asian,Asian,True,0,[326 267 640 581]
office worker_young_46.png,Male,Young,Asian,Male,Male,Male,True,[9.998379e-01 1.621288e-04],"[0.89811554, 0.10188448]",10-19,25,22.0,Young,Young,True,"[4.8245579e-07 1.7246561e-02 8.8075131e-01 1.0155994e-01 4.3941624e-04
 2.3225480e-06 6.4519154e-09 8.3015023e-10 9.9865897e-12]",10,Asian,Asian,True,0,[302 202 677 578]
office worker_young_47.png,Male,Young,Asian,Male,Male,Male,True,[0.9984506  0.00154945],"[0.9869208999999999, 0.013079016]",10-19,25,21.0,Young,Young,True,"[6.9080970e-06 7.1144633e-02 9.0447676e-01 2.3702146e-02 6.5204012e-04
 1.7140208e-05 2.6016002e-07 6.6049630e-08 1.7514173e-09]",10,Asian,Asian,True,0,[337 162 599 423]
office worker_young_48.png,Female,Young,Asian,Female,Female,Female,True,[0.4603678  0.53963214],"[0.4924751, 0.5075249000000001]",10-19,24,22.0,Young,Young,True,"[3.9625916e-06 5.9703700e-02 7.3446274e-01 2.0510745e-01 7.1814400e-04
 3.9176139e-06 1.1852093e-08 1.7608602e-09 4.5364545e-11]",9,Asian,Asian,True,0,[358 331 670 643]
office worker_young_49.png,Male,Young,Asian,Male,Male,Male,True,[0.93637145 0.0636285 ],"[0.94673416, 0.053265834]",10-19,26,22.0,Young,Young,True,"[4.5616699e-07 6.6552651e-03 7.6351148e-01 2.2830988e-01 1.5123934e-03
 1.0370874e-05 2.7612925e-08 4.2011288e-09 1.1404386e-10]",11,Asian,Asian,True,0,[294 261 744 711]
office worker_young_5.png,Male,Young,White,Male,Male,Male,True,[0.9418013  0.05819871],"[0.9767457, 0.023254366000000002]",10-19,22,23.0,Young,Young,True,"[1.7126222e-07 2.4710209e-03 8.8104796e-01 1.1598123e-01 4.9696054e-04
 2.7026749e-06 1.1060636e-08 1.2198097e-09 4.0813741e-11]",7,White,Asian,False,0,[248 168 698 619]
office worker_young_6.png,Male,Young,Asian,Male,Male,Male,True,[0.9164139  0.08358613],"[0.9885151999999999, 0.011484827]",20-29,36,29.0,Young,Young,False,"[1.2620706e-06 2.6077771e-04 2.7878606e-01 6.5226418e-01 6.6202089e-02
 2.4261062e-03 5.4225700e-05 5.0774743e-06 1.6264318e-07]",11,Asian,Asian,True,0,[302 279 677 654]
office worker_young_7.png,Female,Young,Asian,Female,Female,Female,True,[1.7619848e-05 9.9998242e-01],"[1.2169164e-05, 0.9999879]",10-19,26,22.0,Young,Young,True,"[3.22450745e-07 1.46756545e-02 6.77884758e-01 3.05800945e-01
 1.63203117e-03 6.33004220e-06 9.24336074e-09 7.57387209e-10
 1.86645040e-11]",11,Asian,Asian,True,0,[302 202 677 578]
office worker_young_9.png,Male,Young,Asian,Male,Male,Male,True,[0.9855698  0.01443019],"[0.9807986, 0.019201477]",10-19,32,27.0,Young,Young,False,"[3.5492851e-06 2.6044600e-02 8.0406022e-01 1.6803543e-01 1.8399318e-03
 1.6142432e-05 7.8313860e-08 1.0362474e-08 2.4472097e-10]",17,Asian,Asian,True,0,[302 316 677 692]
