image,gender,age,race,gender_fair,gender_deepface,gender_insightface,equal_gender,gender_scores_fair,gender_scores_deep,age_fair,age_deepface,age_insightface,age_bin_fair,age_bin_insightface,equal_age,age_scores_fair,age_diff,race_fair,race4_deepface,equal_race,face_fair,bbox
professional athlete_black_0.png,Male,Young,Black,Male,Male,Male,True,[1.00000e+00 8.17358e-10],"[0.9997326, 0.00026737543]",20-29,26,34.0,Young,Middle,True,"[1.4598962e-09 3.4497313e-07 4.0291478e-03 8.4730053e-01 1.4691438e-01
 1.7510677e-03 4.4603285e-06 2.1548674e-08 3.1107447e-10]",1,Black,Black,True,0,[294 215 744 665]
professional athlete_black_1.png,Male,Young,Black,Male,Male,Male,True,[1.000000e+00 1.474646e-08],"[0.9998672999999999, 0.00013262357]",20-29,25,33.0,Young,Middle,True,"[3.6160586e-09 3.4406489e-06 3.4297153e-02 9.3457043e-01 3.0806201e-02
 3.2184750e-04 9.7331485e-07 1.4273732e-08 4.4030934e-10]",0,Black,Black,True,0,[302 279 677 654]
professional athlete_black_10.png,Male,Young,Black,Male,Male,Male,True,[1.0000000e+00 1.5981214e-10],"[0.9995223, 0.00047762845]",20-29,25,31.0,Young,Middle,True,"[1.31324018e-09 7.89722151e-07 9.02583729e-03 9.37296331e-01
 5.33391945e-02 3.37103847e-04 7.97920507e-07 1.13374385e-08
 2.67322775e-10]",0,Black,Black,True,0,[302 240 677 615]
professional athlete_black_11.png,Male,Young,Black,Male,Male,Male,True,[1.0000000e+00 2.2654529e-08],"[0.9994508000000001, 0.00054917816]",20-29,25,32.0,Young,Middle,True,"[1.7545938e-10 2.0521068e-07 3.0912284e-02 9.5807648e-01 1.0984672e-02
 2.6362066e-05 2.8525591e-08 2.1580801e-10 7.5304997e-12]",0,Black,Black,True,0,[302 202 677 578]
professional athlete_black_12.png,Male,Young,Black,Male,Male,Male,True,[1.000000e+00 3.342414e-10],"[0.99841515, 0.0015848675000000002]",20-29,25,36.0,Young,Middle,True,"[4.2941065e-10 2.0401887e-07 5.1147132e-03 9.2639482e-01 6.8051517e-02
 4.3792874e-04 7.9946085e-07 5.5857123e-09 9.7468769e-11]",0,Black,Black,True,0,[302 165 677 540]
professional athlete_black_13.png,Male,Young,Black,Male,Male,Male,True,[1.0000000e+00 7.2816912e-09],"[0.9994807, 0.00051934697]",20-29,27,37.0,Young,Middle,True,"[3.0056273e-09 1.7541755e-06 8.9201396e-03 8.5881740e-01 1.3058281e-01
 1.6734602e-03 4.4512844e-06 2.6985639e-08 8.8115432e-10]",2,Black,Black,True,0,[302 202 677 578]
professional athlete_black_14.png,Male,Young,Black,Male,Male,Male,True,[1.0000000e+00 1.8523751e-09],"[0.9981405, 0.0018595168000000001]",20-29,26,31.0,Young,Middle,True,"[1.0489048e-10 3.4937496e-08 2.8395671e-03 8.8152516e-01 1.1484056e-01
 7.9322321e-04 1.4850822e-06 4.9545243e-09 9.2572498e-11]",1,Black,Black,True,0,[202 183 743 724]
professional athlete_black_15.png,Male,Young,Black,Male,Male,Male,True,[1.000000e+00 5.404357e-09],"[0.9997364000000001, 0.00026358137]",20-29,27,36.0,Young,Middle,True,"[1.07760045e-09 4.50633422e-07 6.83247251e-03 8.89686167e-01
 1.02484755e-01 9.93619906e-04 2.60321303e-06 1.62947398e-08
 2.50831633e-10]",2,Black,Black,True,0,[302 165 677 540]
professional athlete_black_16.png,Male,Young,Black,Male,Male,Male,True,[1.000000e+00 3.860324e-09],"[0.9996969, 0.00030315224]",20-29,28,34.0,Young,Middle,True,"[9.6574870e-10 1.0377329e-06 3.1864200e-02 9.4681925e-01 2.1212451e-02
 1.0293932e-04 2.1636154e-07 3.3974554e-09 8.5275287e-11]",3,Black,Black,True,0,[339 165 715 540]
professional athlete_black_17.png,Male,Young,Black,Male,Male,Male,True,[9.999999e-01 6.270046e-08],"[0.9983145, 0.0016854702999999998]",20-29,31,31.0,Young,Middle,False,"[1.6926507e-09 1.4725711e-06 8.2939146e-03 8.5994226e-01 1.3004960e-01
 1.7081645e-03 4.5298743e-06 2.3355385e-08 6.8675998e-10]",6,Black,Black,True,0,[326 203 640 517]
professional athlete_black_18.png,Male,Young,Black,Male,Male,,True,[9.9999982e-01 1.6982662e-07],"[0.99996376, 3.622257e-05]",20-29,25,,Young,,True,"[9.9703990e-10 8.0566770e-07 3.7824649e-02 9.3739432e-01 2.4689188e-02
 9.0876587e-05 1.6867294e-07 1.5640140e-09 6.2419611e-11]",0,Black,Black,True,0,[302 240 677 615]
professional athlete_black_19.png,Male,Young,Black,Male,Male,,True,[1.000000e+00 1.139855e-08],"[0.9981999, 0.0018000065000000002]",20-29,25,,Young,,True,"[7.2309172e-09 3.2481541e-06 1.1927730e-02 8.7835193e-01 1.0862071e-01
 1.0941584e-03 2.3037574e-06 1.3106705e-08 5.1233212e-10]",0,Black,Black,True,0,[263 165 640 540]
professional athlete_black_2.png,Male,Young,Black,Male,Male,Male,True,[1.0000000e+00 3.2457188e-09],"[0.9999075999999999, 9.237743e-05]",20-29,25,31.0,Young,Middle,True,"[3.7108314e-10 1.1863126e-07 5.3723967e-03 9.1767162e-01 7.6523736e-02
 4.3166740e-04 5.0459846e-07 2.6902871e-09 5.5844922e-11]",0,Black,Black,True,0,[248 261 698 711]
professional athlete_black_20.png,Male,Young,Black,Male,Male,Male,True,[1.0000000e+00 1.4056694e-09],"[0.9998715, 0.00012846479]",20-29,24,37.0,Young,Middle,True,"[6.8636513e-10 4.0834877e-08 1.1048258e-03 7.9726791e-01 1.9946064e-01
 2.1599347e-03 6.6023872e-06 3.7723581e-08 6.2212574e-10]",1,Black,Black,True,0,[302 165 677 540]
professional athlete_black_21.png,Male,Young,Black,Male,Male,Male,True,[1.000000e+00 7.013561e-09],"[0.9991918, 0.0008081618]",20-29,26,39.0,Young,Middle,True,"[1.4224899e-09 7.1836149e-07 1.2369740e-02 9.3612260e-01 5.1146355e-02
 3.5970323e-04 8.4509088e-07 1.0502231e-08 2.8042105e-10]",1,Black,Black,True,0,[263 202 640 578]
professional athlete_black_22.png,Male,Young,Black,Male,Male,Male,True,[1.000000e+00 9.872209e-09],"[0.9987170000000001, 0.0012831014]",20-29,29,32.0,Young,Middle,True,"[4.2087325e-09 1.6406603e-06 7.1362513e-03 8.7766707e-01 1.1427854e-01
 9.1533188e-04 1.3303837e-06 6.7404784e-09 2.3494492e-10]",4,Black,Black,True,0,[248 215 698 665]
professional athlete_black_23.png,Male,Young,Black,Male,Male,,True,[9.9999225e-01 7.7510722e-06],"[0.9998267, 0.00017328238]",20-29,25,,Young,,True,"[1.2013579e-08 1.3278628e-05 4.4973664e-02 8.8605839e-01 6.8213582e-02
 7.3768385e-04 3.3490053e-06 2.9063036e-08 1.6869672e-09]",0,Black,Black,True,0,[248 215 698 665]
professional athlete_black_24.png,Male,Young,Black,Male,Male,Male,True,[9.9999917e-01 8.0289630e-07],"[0.9902901, 0.0097098434]",20-29,28,28.0,Young,Young,True,"[4.5540619e-07 4.9926672e-04 1.1225757e-01 7.8505981e-01 9.8572887e-02
 3.5816038e-03 2.7637065e-05 7.8523561e-07 3.1776665e-08]",3,Black,Black,True,0,[326 235 640 549]
professional athlete_black_25.png,Male,Young,Black,Male,Male,Male,True,[1.000000e+00 3.844062e-08],"[0.99743256, 0.0025674747999999996]",20-29,29,32.0,Young,Middle,True,"[3.8078802e-08 3.3109965e-05 5.1459935e-02 8.3727175e-01 1.0788807e-01
 3.3167975e-03 2.9902652e-05 3.5237576e-07 1.0972960e-08]",4,Black,Black,True,0,[170  55 819 705]
professional athlete_black_26.png,Male,Young,Black,Male,Male,Male,True,[9.9999994e-01 6.8480965e-08],"[0.9973368, 0.0026631343000000003]",20-29,26,31.0,Young,Middle,True,"[9.0046548e-09 4.7132471e-06 1.4097995e-02 8.5199463e-01 1.3129082e-01
 2.5983762e-03 1.3315038e-05 1.1344093e-07 3.3206453e-09]",1,Black,Black,True,0,[248 215 698 665]
professional athlete_black_27.png,Male,Young,Black,Male,Male,Male,True,[9.9999917e-01 8.3803218e-07],"[0.9839775000000001, 0.016022455]",20-29,28,30.0,Young,Middle,True,"[8.7894740e-09 1.7527985e-06 8.8290246e-03 7.6226819e-01 2.2422679e-01
 4.6476275e-03 2.6275900e-05 3.0066423e-07 7.2412654e-09]",3,Black,Black,True,0,[248 124 698 574]
professional athlete_black_28.png,Male,Young,Black,Male,Male,Male,True,[9.999999e-01 1.220477e-07],"[0.9990768400000001, 0.0009230916999999999]",20-29,26,28.0,Young,Young,True,"[2.0021089e-09 2.4753086e-07 2.7295356e-03 7.6918650e-01 2.2406174e-01
 4.0076068e-03 1.4301784e-05 6.2976270e-08 2.2656748e-09]",1,Black,Black,True,0,[202 183 743 724]
professional athlete_black_29.png,Male,Young,Black,Male,Male,Male,True,[1.0000000e+00 3.8953104e-08],"[0.9994173000000001, 0.00058273837]",20-29,29,32.0,Young,Middle,True,"[1.3947417e-08 2.1634883e-06 4.8718513e-03 7.4595201e-01 2.4455687e-01
 4.6048551e-03 1.2207323e-05 7.4698903e-08 1.8829767e-09]",4,Black,Black,True,0,[248 168 698 619]
professional athlete_black_3.png,Male,Young,Black,Male,Male,Male,True,[1.0000000e+00 1.6648608e-08],"[0.9991678, 0.0008322138]",20-29,27,36.0,Young,Middle,True,"[2.3333289e-08 2.5024279e-05 3.0127112e-02 8.5366648e-01 1.1384149e-01
 2.3304943e-03 9.1195488e-06 1.5823146e-07 3.3985803e-09]",2,Black,Black,True,0,[202 238 743 778]
professional athlete_black_30.png,Male,Young,Black,Male,Male,Male,True,[9.9999672e-01 3.3094389e-06],"[0.9898121000000001, 0.010187953000000001]",20-29,30,36.0,Young,Middle,False,"[2.76052492e-09 9.88451575e-07 1.62104312e-02 8.72828543e-01
 1.09648265e-01 1.30696699e-03 4.78947914e-06 3.30040955e-08
 2.34625697e-09]",5,Black,Black,True,0,[358 203 670 517]
professional athlete_black_31.png,Male,Young,Black,Male,Male,Male,True,[1.0000000e+00 1.0816322e-09],"[0.9999127, 8.726343e-05]",20-29,27,38.0,Young,Middle,True,"[1.1216225e-09 1.0220882e-06 1.3430650e-02 9.3927139e-01 4.7059264e-02
 2.3724475e-04 4.0271959e-07 5.4816285e-09 9.5459897e-11]",2,Black,Black,True,0,[294 215 744 665]
professional athlete_black_32.png,Male,Young,Black,Male,Male,Male,True,[9.9998266e-01 1.7365510e-05],"[0.988707, 0.011293002000000002]",20-29,28,30.0,Young,Middle,True,"[4.8485600e-08 2.8439516e-05 2.9520936e-02 7.9883093e-01 1.6599987e-01
 5.5869101e-03 3.2467968e-05 3.9902932e-07 1.9134236e-08]",3,Black,Black,True,0,[302 279 677 654]
professional athlete_black_33.png,Male,Young,Black,Male,Male,Male,True,[9.999999e-01 6.503198e-08],"[0.99714165, 0.0028582594]",20-29,28,33.0,Young,Middle,True,"[1.6056555e-09 9.4197782e-07 1.7045835e-02 9.1228920e-01 6.9889858e-02
 7.7164057e-04 2.5442903e-06 2.2953881e-08 6.7944361e-10]",3,Black,Black,True,0,[302 240 677 615]
professional athlete_black_34.png,Male,Young,Black,Male,Male,Male,True,[9.9999994e-01 7.1239711e-08],"[0.9989681, 0.0010319096]",20-29,27,34.0,Young,Middle,True,"[3.1196119e-09 1.2946283e-06 1.3140227e-02 9.2603832e-01 6.0325507e-02
 4.9349072e-04 1.1728457e-06 6.2764496e-09 2.6870775e-10]",2,Black,Black,True,0,[302 202 677 578]
professional athlete_black_35.png,Male,Young,Black,Male,Male,,True,[1.000000e+00 7.452915e-09],"[0.9996497, 0.00035019609999999997]",20-29,26,,Young,,True,"[1.9178075e-09 1.3992816e-06 1.6919721e-02 9.3119502e-01 5.1474724e-02
 4.0778608e-04 1.2388804e-06 1.0582319e-08 3.8433548e-10]",1,Black,Black,True,0,[248 168 698 619]
professional athlete_black_36.png,Male,Young,Black,Male,Male,Male,True,[1.000000e+00 3.719979e-08],"[0.9980728999999999, 0.0019270894999999998]",20-29,28,38.0,Young,Middle,True,"[4.7218802e-09 7.3627359e-07 2.5180229e-03 7.3223794e-01 2.6071933e-01
 4.5077521e-03 1.6081327e-05 1.1180038e-07 1.6417379e-09]",3,Black,Black,True,0,[248 168 698 619]
professional athlete_black_37.png,Male,Young,Black,Male,Male,Male,True,[1.0000000e+00 6.5782344e-09],"[0.9984489000000001, 0.0015510899]",20-29,27,36.0,Young,Middle,True,"[9.6427166e-10 1.2201336e-06 1.5492911e-02 9.3602717e-01 4.8203353e-02
 2.7491691e-04 4.3506407e-07 3.3327565e-09 7.3897499e-11]",2,Black,Black,True,0,[302 240 677 615]
professional athlete_black_38.png,Male,Young,Black,Male,Male,Male,True,[9.999999e-01 5.124837e-08],"[0.9994835000000001, 0.00051645637]",20-29,24,33.0,Young,Middle,True,"[4.9488214e-10 1.8719205e-06 6.6421352e-02 9.2607701e-01 7.4695619e-03
 3.0124726e-05 3.3828687e-08 4.7077015e-10 1.7342438e-11]",1,Black,Black,True,0,[302 240 677 615]
