image,gender,age,race,gender_fair,gender_deepface,gender_insightface,equal_gender,gender_scores_fair,gender_scores_deep,age_fair,age_deepface,age_insightface,age_bin_fair,age_bin_insightface,equal_age,age_scores_fair,age_diff,race_fair,race4_deepface,equal_race,face_fair,bbox
professional athlete_young_0.png,Male,Young,White,Male,Male,Male,True,[9.9999917e-01 8.7876782e-07],"[0.9845386, 0.015461438999999999]",20-29,22,26,Young,Young,True,"[7.4622886e-09 1.5460499e-05 2.0292495e-01 7.7034223e-01 2.6471315e-02
 2.4530929e-04 7.3333189e-07 9.9557695e-09 8.8972198e-11]",3,White,White,True,0,[202 238 743 778]
professional athlete_young_1.png,Male,Young,White,Male,Male,Male,True,[9.9991417e-01 8.5777050e-05],"[0.9956815, 0.0043184155000000005]",10-19,22,25,Young,Young,True,"[1.3748155e-07 3.9283787e-03 8.5493553e-01 1.4050892e-01 6.2316685e-04
 3.8962025e-06 7.7644087e-09 2.1083760e-10 6.3742778e-12]",7,White,White,True,0,[326 235 640 549]
professional athlete_young_10.png,Male,Young,White,Male,Male,Male,True,[9.9999964e-01 2.9748560e-07],"[0.9976099399999999, 0.0023899909999999997]",20-29,22,24,Young,Young,True,"[9.0664694e-09 1.5719388e-04 4.3523726e-01 5.6045669e-01 4.1271965e-03
 2.1591148e-05 4.7459483e-08 9.2327818e-10 1.1348622e-11]",3,White,White,True,0,[326 235 640 549]
professional athlete_young_11.png,Male,Young,Asian,Male,Male,Male,True,[9.9999732e-01 2.6677067e-06],"[0.998763, 0.0012371059500000002]",10-19,21,22,Young,Young,True,"[8.7569330e-09 6.5127335e-04 9.3192464e-01 6.7357883e-02 6.6035303e-05
 1.8015442e-07 2.8932662e-10 2.2106135e-11 3.6479438e-13]",6,Asian,Asian,True,0,[248 168 698 619]
professional athlete_young_12.png,Male,Young,White,Male,Male,Male,True,[9.99999940e-01 1.03161334e-07],"[0.99935715, 0.0006428482000000001]",10-19,25,25,Young,Young,True,"[1.0190380e-08 1.5498232e-04 7.8170097e-01 2.1711482e-01 1.0226133e-03
 6.6152847e-06 1.5784012e-08 7.7915119e-10 7.4111038e-12]",10,White,Asian,False,0,[302 279 677 654]
professional athlete_young_13.png,Male,Young,White,Male,Male,Male,True,[9.9999928e-01 7.3039706e-07],"[0.9937763, 0.0062237346]",10-19,22,22,Young,Young,True,"[1.2683001e-09 4.7739421e-05 8.1242365e-01 1.8708165e-01 4.4527254e-04
 1.6789827e-06 3.4199590e-09 7.6250860e-11 1.8319719e-12]",7,White,White,True,0,[302 202 677 578]
professional athlete_young_14.png,Male,Young,Asian,Male,Male,Male,True,[9.999991e-01 8.918925e-07],"[0.99879036, 0.00120968536]",10-19,21,23,Young,Young,True,"[1.0896671e-08 1.7052611e-04 7.7739966e-01 2.2185045e-01 5.7720637e-04
 2.1376716e-06 5.4291207e-09 2.4197694e-10 3.6583033e-12]",6,Asian,Asian,True,0,[248 261 698 711]
professional athlete_young_15.png,Male,Young,Indian,Male,Male,Male,True,[9.999994e-01 5.828676e-07],"[0.9994765, 0.0005235883000000001]",10-19,23,23,Young,Young,True,"[5.5587770e-09 4.0572824e-05 5.5466437e-01 4.4374549e-01 1.5434771e-03
 6.0998314e-06 1.5548904e-08 3.8094003e-10 5.9312897e-12]",8,Indian,White,False,0,[326 267 640 581]
professional athlete_young_16.png,Male,Young,White,Male,Male,Male,True,[9.999998e-01 1.779122e-07],"[0.99934, 0.0006600054]",10-19,23,24,Young,Young,True,"[1.1911053e-08 2.1496958e-04 7.5817776e-01 2.4068071e-01 9.2165085e-04
 4.9115220e-06 1.0830231e-08 3.6298686e-10 3.9444073e-12]",8,White,White,True,0,[294 203 608 517]
professional athlete_young_17.png,Male,Young,White,Male,Male,Male,True,[9.9999869e-01 1.2945497e-06],"[0.9944834, 0.005516521]",10-19,20,23,Young,Young,True,"[3.4908301e-09 6.5603916e-04 9.6240449e-01 3.6886662e-02 5.2537041e-05
 2.6420702e-07 2.9934108e-10 7.9116340e-12 1.4280816e-13]",5,White,White,True,0,[302 240 677 615]
