image,gender,age,race,gender_fair,gender_deepface,gender_insightface,equal_gender,gender_scores_fair,gender_scores_deep,age_fair,age_deepface,age_insightface,age_bin_fair,age_bin_insightface,equal_age,age_scores_fair,age_diff,race_fair,race4_deepface,equal_race,face_fair,bbox
psychologist_asian_0.png,Male,Middle,Asian,Male,Male,Male,True,[9.999954e-01 4.575126e-06],"[0.9949935999999999, 0.005006418]",30-39,32,57.0,Middle,Middle,True,"[1.4712349e-07 7.7406480e-07 9.5204967e-05 2.5576282e-02 6.4498734e-01
 3.1533861e-01 1.3699948e-02 3.0094211e-04 7.1074055e-07]",3,Asian,Asian,True,0,[262 235 576 549]
psychologist_asian_1.png,Male,Middle,Asian,Male,Male,Male,True,[9.9999911e-01 8.7652097e-07],"[0.9976133, 0.0023867562]",30-39,43,60.0,Middle,Middle,True,"[1.2513636e-08 1.0715967e-07 4.8890539e-05 4.3336831e-02 7.1079242e-01
 2.3708169e-01 8.5869804e-03 1.5247658e-04 5.5103681e-07]",8,Asian,Asian,True,0,[302 240 677 615]
psychologist_asian_10.png,Male,Middle,Asian,Male,Male,Male,True,[9.999785e-01 2.148967e-05],"[0.9938149, 0.006185095000000001]",30-39,41,60.0,Middle,Middle,True,"[7.2005224e-07 8.4697658e-06 5.1914493e-04 4.8533283e-02 6.1400133e-01
 3.1402186e-01 2.2253715e-02 6.5668498e-04 4.7726612e-06]",6,Asian,Asian,True,0,[294 215 744 665]
psychologist_asian_11.png,Male,Middle,Asian,Male,Male,Male,True,[9.9991155e-01 8.8460096e-05],"[0.8865856999999999, 0.11341427]",30-39,40,61.0,Middle,Old,True,"[7.6929240e-07 8.5819011e-06 8.9993112e-04 4.1738965e-02 5.5946481e-01
 3.6387518e-01 3.2794870e-02 1.2083113e-03 8.6019681e-06]",5,Asian,Asian,True,0,[248 305 698 756]
psychologist_asian_12.png,Male,Middle,Asian,Male,Male,Male,True,[9.9955046e-01 4.4951829e-04],"[0.9986319, 0.001368078]",30-39,39,49.0,Middle,Middle,True,"[3.7672694e-07 5.0424878e-06 6.7346095e-04 7.9456158e-02 6.5457439e-01
 2.5083935e-01 1.4041101e-02 4.0796190e-04 2.1663056e-06]",4,Asian,Asian,True,0,[202 293 743 833]
psychologist_asian_13.png,Male,Middle,Asian,Male,Male,Male,True,[9.9999946e-01 5.6552392e-07],"[0.99867355, 0.0013264441]",30-39,39,54.0,Middle,Middle,True,"[9.0552355e-08 8.3273181e-07 4.4023647e-04 6.1729413e-02 6.7814618e-01
 2.4834938e-01 1.1009358e-02 3.2322117e-04 1.2442861e-06]",4,Asian,Asian,True,0,[302 279 677 654]
psychologist_asian_14.png,Male,Middle,Asian,Male,Male,Male,True,[1.0000000e+00 2.6258014e-08],"[0.9994048999999999, 0.00059512053]",30-39,36,56.0,Middle,Middle,True,"[6.1664579e-08 4.3831130e-07 8.0213096e-05 1.3231453e-02 5.0739086e-01
 4.3437061e-01 4.3837160e-02 1.0876923e-03 1.5213615e-06]",1,Asian,Asian,True,0,[248 215 698 665]
psychologist_asian_15.png,Male,Middle,Asian,Male,Male,Male,True,[9.9999756e-01 2.4149392e-06],"[0.9885843, 0.011415717999999998]",30-39,33,46.0,Middle,Middle,True,"[2.6997097e-07 3.1370942e-06 1.0022444e-03 7.1780697e-02 6.1971289e-01
 2.8803641e-01 1.8540917e-02 9.1933081e-04 4.1482808e-06]",2,Asian,Asian,True,0,[248 305 698 756]
psychologist_asian_16.png,Male,Middle,Asian,Male,Male,Male,True,[9.9999988e-01 1.1710284e-07],"[0.9998538, 0.000146090705]",30-39,40,49.0,Middle,Middle,True,"[1.5140367e-08 8.3417561e-08 3.5962297e-05 2.6083037e-02 6.5064013e-01
 3.0746841e-01 1.5487798e-02 2.8400886e-04 5.4452482e-07]",5,Asian,Asian,True,0,[302 240 677 615]
psychologist_asian_17.png,Male,Middle,Asian,Male,Male,Male,True,[9.99938e-01 6.19203e-05],"[0.890102, 0.10989803999999999]",30-39,47,55.0,Middle,Middle,True,"[2.3114744e-06 6.7278997e-05 1.1241601e-02 1.7874302e-01 5.3115875e-01
 2.5361979e-01 2.3632638e-02 1.5244790e-03 1.0110239e-05]",12,Asian,Asian,True,0,[302 202 677 578]
