image,gender,age,race,gender_fair,gender_deepface,gender_insightface,equal_gender,gender_scores_fair,gender_scores_deep,age_fair,age_deepface,age_insightface,age_bin_fair,age_bin_insightface,equal_age,age_scores_fair,age_diff,race_fair,race4_deepface,equal_race,face_fair,bbox
surgeon_young_0.png,Male,Young,White,Male,Male,Male,True,[9.993973e-01 6.026943e-04],"[0.9942524, 0.005747594]",10-19,26,26.0,Young,Young,True,"[8.84737119e-07 9.50689800e-03 7.83211350e-01 1.92991838e-01
 1.36647625e-02 6.16781355e-04 6.90206616e-06 5.55250722e-07
 1.60629714e-08]",11,White,White,True,0,[262 203 576 517]
surgeon_young_1.png,Male,Young,White,Male,Male,Male,True,[9.999999e-01 1.483302e-07],"[0.9971559000000001, 0.0028440493]",20-29,28,29.0,Young,Young,True,"[5.8456919e-08 4.7807185e-05 4.5914359e-02 9.2986155e-01 2.4088185e-02
 8.7951455e-05 1.0885669e-07 1.3729066e-09 1.8378474e-11]",3,White,White,True,0,[263 240 640 615]
surgeon_young_10.png,Male,Young,White,Male,Male,Male,True,[9.9999905e-01 9.0134796e-07],"[0.9997467, 0.00025323965]",20-29,27,28.0,Young,Young,True,"[1.0707076e-06 1.9722052e-04 3.1321503e-02 8.7550247e-01 9.1758996e-02
 1.2154640e-03 3.2107798e-06 5.4227225e-08 9.8967479e-10]",2,White,White,True,0,[302 240 677 615]
surgeon_young_11.png,Male,Young,Indian,Male,Male,Male,True,[9.9999934e-01 6.5805455e-07],"[0.9990194, 0.00098062575]",20-29,27,28.0,Young,Young,True,"[4.4806317e-08 1.1087597e-04 1.9748600e-01 7.8899091e-01 1.3352491e-02
 5.9616537e-05 8.6833637e-08 1.6488487e-09 2.0903898e-11]",2,Indian,White,False,0,[302 240 677 615]
surgeon_young_12.png,Male,Young,White,Male,Male,Male,True,[9.9999428e-01 5.7607735e-06],"[0.9997553, 0.00024467982]",20-29,25,35.0,Young,Middle,True,"[1.1718470e-07 8.8550560e-06 2.9484348e-02 8.3665514e-01 1.3093312e-01
 2.8828743e-03 3.4752695e-05 7.9043753e-07 1.5371331e-08]",0,White,White,True,0,[294 261 744 711]
surgeon_young_13.png,Male,Young,White,Male,Male,Male,True,[9.9999976e-01 2.0810529e-07],"[0.9954491400000001, 0.0045508397]",20-29,27,34.0,Young,Middle,True,"[7.7635707e-07 8.8538416e-04 2.1332985e-01 7.2274411e-01 6.2076852e-02
 9.5976732e-04 3.1977493e-06 3.9878142e-08 5.3917154e-10]",2,White,White,True,0,[358 267 670 581]
surgeon_young_14.png,Male,Middle,Indian,Male,Male,Male,True,[9.9999982e-01 2.1805837e-07],"[0.9999796000000001, 2.0351765999999997e-05]",30-39,26,32.0,Middle,Middle,False,"[4.3234337e-05 4.6600754e-04 1.2769556e-02 3.9646801e-01 5.3409678e-01
 5.5275097e-02 8.6816051e-04 1.3047493e-05 1.0794908e-07]",9,Indian,White,False,0,[202 183 743 724]
surgeon_young_15.png,Male,Young,White,Male,Male,Male,True,[9.9969673e-01 3.0323607e-04],"[0.9999796999999999, 2.0254762e-05]",20-29,25,35.0,Young,Middle,True,"[3.5260302e-07 2.3265709e-05 1.8271301e-02 8.5983539e-01 1.1982761e-01
 2.0289137e-03 1.2880596e-05 3.0625594e-07 1.2591242e-08]",0,White,White,True,0,[248 261 698 711]
surgeon_young_16.png,Male,Young,Indian,Male,Male,Male,True,[9.9999839e-01 1.6456974e-06],"[0.9993074, 0.00069254756]",20-29,25,27.0,Young,Young,True,"[8.3655486e-08 7.2284914e-05 9.2607819e-02 8.7943953e-01 2.7691966e-02
 1.8764833e-04 5.6101993e-07 2.1957256e-08 3.7391459e-10]",0,Indian,White,False,0,[248 261 698 711]
surgeon_young_17.png,Male,Young,White,Male,Male,Male,True,[9.999999e-01 7.801560e-08],"[0.9989868, 0.00101315]",20-29,24,35.0,Young,Middle,True,"[1.5806844e-06 1.0677649e-03 2.3684660e-01 7.1112055e-01 5.0110638e-02
 8.4450125e-04 8.1380476e-06 2.2155128e-07 2.5575555e-09]",1,White,White,True,0,[263 240 640 615]
surgeon_young_18.png,Male,Young,Indian,Male,Male,,True,[9.9999881e-01 1.1802747e-06],"[0.9997875999999999, 0.00021235457]",20-29,27,,Young,,True,"[2.5493391e-08 2.4214400e-05 7.9847552e-02 9.0044081e-01 1.9608278e-02
 7.9014986e-05 1.2725951e-07 2.3088285e-09 3.8060374e-11]",2,Indian,White,False,0,[248 215 698 665]
surgeon_young_19.png,Male,Young,White,Male,Male,Male,True,[9.9999887e-01 1.1236791e-06],"[0.9965863, 0.0034136564000000003]",20-29,27,31.0,Young,Middle,True,"[2.8289239e-06 3.3370373e-04 4.6087123e-02 7.2931021e-01 2.1987727e-01
 4.3702656e-03 1.8363018e-05 2.8119263e-07 3.2518090e-09]",2,White,White,True,0,[248  78 698 528]
surgeon_young_2.png,Male,Young,White,Male,Male,Male,True,[9.999997e-01 3.128343e-07],"[0.9993089, 0.0006911004]",20-29,26,25.0,Young,Young,True,"[8.1904739e-07 1.2487269e-03 2.1414225e-01 7.6238680e-01 2.2036446e-02
 1.8432376e-04 6.3576681e-07 1.6868899e-08 2.1923421e-10]",1,White,White,True,0,[326 235 640 549]
surgeon_young_20.png,Male,Young,White,Male,Male,Male,True,[9.999484e-01 5.162057e-05],"[0.9998214, 0.00017861482]",20-29,26,34.0,Young,Middle,True,"[8.7319597e-07 1.3697493e-05 4.1716956e-03 6.4070213e-01 3.4630990e-01
 8.7392041e-03 6.1387262e-05 1.0544525e-06 2.9864339e-08]",1,White,White,True,0,[302 316 677 692]
surgeon_young_21.png,Male,Young,White,Male,Male,Male,True,[9.9999797e-01 2.0123339e-06],"[0.9995212600000001, 0.0004787454]",20-29,28,31.0,Young,Middle,True,"[8.5574366e-06 1.2731792e-03 3.7904363e-02 8.2191604e-01 1.3515614e-01
 3.7145729e-03 2.6405380e-05 7.3526797e-07 1.7955930e-08]",3,White,White,True,0,[202 183 743 724]
