image,gender,age,race,gender_fair,gender_deepface,gender_insightface,equal_gender,gender_scores_fair,gender_scores_deep,age_fair,age_deepface,age_insightface,age_bin_fair,age_bin_insightface,equal_age,age_scores_fair,age_diff,race_fair,race4_deepface,equal_race,face_fair,bbox
artist_indian_0.png,Male,Middle,Indian,Male,Male,Male,True,[9.9998689e-01 1.3153268e-05],"[0.9992533, 0.00074666485]",50-59,48,72.0,Middle,Old,True,"[1.6347711e-05 2.9205670e-05 4.4865641e-04 7.9219998e-04 4.7936491e-03
 7.2655961e-02 5.5313981e-01 3.5563529e-01 1.2488847e-02]",7,Indian,White,False,0,[339 202 715 578]
artist_indian_1.png,Male,Old,Indian,Male,Male,Male,True,[9.9967074e-01 3.2920885e-04],"[0.9977125, 0.0022875324]",60-69,45,69.0,Old,Old,False,"[7.9487691e-06 3.1350926e-05 5.1667902e-04 3.8107857e-04 1.4439451e-03
 2.0014692e-02 2.6339856e-01 6.4037848e-01 7.3827408e-02]",20,Indian,Indian,True,0,[248 261 698 711]
artist_indian_10.png,Male,Old,Indian,Male,Male,Male,True,[0.9969979  0.00300211],"[0.9995360999999999, 0.00046383772]",70+,47,45.0,Old,Middle,False,"[1.0528603e-05 3.1633859e-05 1.3694973e-04 1.3206432e-04 4.1635465e-04
 3.6181542e-03 4.9959216e-02 4.1093534e-01 5.3475976e-01]",28,Indian,Indian,True,0,[294 267 608 581]
artist_indian_11.png,Male,Middle,Indian,Male,Male,Male,True,[9.9999076e-01 9.2590708e-06],"[0.9959301, 0.0040699178]",50-59,47,71.0,Middle,Old,True,"[1.0198950e-05 1.9307456e-05 2.2303808e-04 8.5007588e-05 1.0130873e-03
 3.9801840e-02 5.7729208e-01 3.6992204e-01 1.1633413e-02]",8,Indian,Indian,True,0,[248 305 698 756]
artist_indian_12.png,Male,Middle,Indian,Male,Male,Male,True,[0.9926254  0.00737457],"[0.99788506, 0.0021149305]",40-49,48,38.0,Middle,Middle,True,"[1.7640418e-06 1.3869588e-05 1.1809231e-03 1.9924752e-02 2.0555918e-01
 5.0568867e-01 2.3101003e-01 3.3256784e-02 3.3639970e-03]",3,Indian,Indian,True,0,[337 268 599 529]
artist_indian_13.png,Male,Middle,Indian,Male,Male,Male,True,[9.9995214e-01 4.7876685e-05],"[0.9996854999999999, 0.00031444278]",30-39,34,37.0,Middle,Middle,True,"[3.8106939e-06 1.5040222e-04 6.9180783e-03 5.0908320e-02 6.5159410e-01
 2.8319627e-01 7.1579884e-03 7.0297552e-05 7.3236384e-07]",1,Indian,Indian,True,0,[248 352 698 802]
artist_indian_14.png,Male,Middle,Indian,Male,Male,Male,True,[9.9985152e-01 1.4847222e-04],"[0.9999131, 8.689209e-05]",40-49,35,50.0,Middle,Middle,True,"[2.3458406e-06 5.4516527e-06 1.8093073e-04 1.2771718e-03 6.2609129e-02
 4.8407203e-01 4.3572944e-01 1.5929947e-02 1.9360911e-04]",10,Indian,Indian,True,0,[363 348 624 609]
artist_indian_15.png,Male,Middle,Indian,Male,Male,Male,True,[0.99711275 0.00288722],"[0.9996997000000001, 0.0003003488]",50-59,49,75.0,Middle,Old,True,"[8.8092766e-06 4.8961851e-05 8.0844341e-04 2.0506021e-03 3.6765620e-02
 2.9520723e-01 5.9533924e-01 6.8001568e-02 1.7695320e-03]",6,Indian,Indian,True,0,[339 279 715 654]
artist_indian_16.png,Male,Old,Indian,Male,Male,Male,True,[9.9981207e-01 1.8790444e-04],"[0.99991585, 8.412887000000001e-05]",60-69,51,43.0,Old,Middle,False,"[3.01441960e-05 1.49658779e-04 1.58480566e-03 1.69255817e-03
 6.27739774e-03 5.27834333e-02 3.23251367e-01 4.96353120e-01
 1.17877625e-01]",14,Indian,Indian,True,0,[248 261 698 711]
artist_indian_17.png,Male,Old,Indian,Male,Male,Male,True,[9.9993557e-01 6.4398191e-05],"[0.9991506, 0.0008493750999999999]",60-69,50,74.0,Old,Old,False,"[1.1152376e-05 1.8732011e-05 1.6513981e-04 3.0827810e-04 9.4573892e-04
 8.2333768e-03 1.1231654e-01 7.6254147e-01 1.1545966e-01]",15,Indian,Indian,True,0,[202 183 743 724]
artist_indian_18.png,Male,Middle,Indian,Male,Male,Male,True,[9.9995941e-01 4.0533247e-05],"[0.9999816, 1.8362234e-05]",50-59,47,44.0,Middle,Middle,True,"[7.9528209e-06 3.1597927e-05 6.2596030e-04 1.3979377e-03 1.6603786e-02
 1.5457162e-01 5.1262951e-01 2.9170650e-01 2.2425070e-02]",8,Indian,Indian,True,0,[294 261 744 711]
artist_indian_19.png,Male,Middle,Indian,Male,Male,Male,True,[0.99878    0.00121999],"[0.9998357400000001, 0.00016427582]",50-59,41,29.0,Middle,Young,True,"[7.6718228e-05 1.3798934e-04 1.5351776e-03 2.5803957e-03 2.5678843e-02
 2.1418621e-01 6.0692537e-01 1.4354235e-01 5.3370567e-03]",14,Indian,Indian,True,0,[389 235 702 549]
artist_indian_2.png,Male,Middle,Indian,Male,Male,Male,True,[9.9997622e-01 2.3769651e-05],"[0.9999739, 2.6098712999999997e-05]",40-49,34,53.0,Middle,Middle,True,"[6.92118249e-07 2.09629025e-06 1.23249716e-04 2.45895935e-03
 2.26526856e-01 6.59061015e-01 1.10414565e-01 1.40008924e-03
 1.24015323e-05]",11,Indian,Indian,True,0,[248 215 698 665]
artist_indian_20.png,Male,Middle,Indian,Male,Male,Male,True,[0.86511534 0.13488466],"[0.9996872, 0.00031284302]",50-59,46,65.0,Middle,Old,True,"[3.1562963e-06 6.6963212e-06 1.1702824e-04 1.0588168e-03 1.6824493e-02
 1.6890725e-01 5.4115099e-01 2.3417401e-01 3.7757464e-02]",9,Indian,Indian,True,0,[302 240 677 615]
artist_indian_21.png,Male,Middle,Indian,Male,Male,Male,True,[9.9967003e-01 3.3001835e-04],"[0.9998801, 0.00011990472]",40-49,45,46.0,Middle,Middle,True,"[2.5606539e-06 2.7014836e-05 1.7185330e-03 1.1506072e-02 2.3260163e-01
 6.2807095e-01 1.2448034e-01 1.5713851e-03 2.1555703e-05]",0,Indian,Indian,True,0,[294 261 744 711]
artist_indian_22.png,Male,Middle,Indian,Male,Male,Male,True,[0.9985899  0.00141014],"[0.9998444999999999, 0.00015543688]",50-59,44,69.0,Middle,Old,True,"[5.7023785e-06 2.0798514e-05 4.0063259e-04 9.7974890e-04 2.2079922e-02
 2.5697538e-01 5.8198804e-01 1.3203338e-01 5.5163871e-03]",11,Indian,Indian,True,0,[202 183 743 724]
artist_indian_23.png,Male,Middle,Indian,Male,Male,Male,True,[0.9983482  0.00165185],"[0.99991486, 8.506991e-05]",50-59,45,61.0,Middle,Old,True,"[6.6940174e-06 1.6289703e-05 4.3273836e-04 1.9906748e-03 4.2952962e-02
 2.7721959e-01 5.7964820e-01 9.3356743e-02 4.3760845e-03]",10,Indian,Indian,True,0,[358 235 670 549]
artist_indian_24.png,Male,Middle,Indian,Male,Male,Male,True,[9.9982727e-01 1.7269510e-04],"[0.9999899999999999, 9.960261e-06]",50-59,33,47.0,Middle,Middle,True,"[3.3897597e-06 1.7909671e-05 4.1805988e-04 9.0118783e-04 4.8843384e-02
 4.2605111e-01 5.0026965e-01 2.3043588e-02 4.5163231e-04]",22,Indian,Indian,True,0,[302 240 677 615]
artist_indian_25.png,Male,Middle,Indian,Male,Male,Male,True,[0.991624 0.008376],"[0.9999547, 4.5306523999999996e-05]",40-49,44,53.0,Middle,Middle,True,"[2.1951316e-06 1.0535008e-05 3.9938500e-04 2.7013044e-03 7.7939719e-02
 4.9240011e-01 3.8632554e-01 3.9037071e-02 1.1841654e-03]",1,Indian,Indian,True,0,[326 267 640 581]
artist_indian_26.png,Male,Middle,Indian,Male,Male,Male,True,[0.79370385 0.20629613],"[0.9990021, 0.000998014]",40-49,46,45.0,Middle,Middle,True,"[4.3656819e-06 1.2606973e-05 3.1067460e-04 2.8084256e-03 9.7790487e-02
 5.2898222e-01 3.4644148e-01 2.2701645e-02 9.4812067e-04]",1,Indian,Indian,True,0,[248 215 698 665]
artist_indian_27.png,Male,Middle,Indian,Male,Male,Male,True,[0.97165555 0.02834448],"[0.9979699, 0.0020300509]",50-59,40,63.0,Middle,Old,True,"[8.4749845e-06 5.8870490e-05 8.4461883e-04 2.3490847e-03 1.6851950e-02
 1.9994615e-01 4.4021982e-01 2.8100765e-01 5.8713421e-02]",15,Indian,White,False,0,[363 241 624 503]
artist_indian_28.png,Male,Old,Indian,Male,Male,Male,True,[9.9998319e-01 1.6767697e-05],"[0.9999155000000001, 8.448873e-05]",60-69,51,72.0,Old,Old,False,"[2.0836036e-05 2.9605817e-05 2.7933676e-04 3.6315442e-04 2.2226232e-03
 3.5608802e-02 3.1469238e-01 5.9011054e-01 5.6672715e-02]",14,Indian,Indian,True,0,[294 305 744 756]
artist_indian_29.png,Male,Old,Indian,Male,Male,Male,True,[9.9992466e-01 7.5352516e-05],"[0.9805752, 0.019424806]",60-69,49,67.0,Old,Old,False,"[1.0173778e-05 3.3081767e-05 2.5638516e-04 2.4052423e-04 7.5429690e-04
 1.2649860e-02 1.8486166e-01 6.7395532e-01 1.2723866e-01]",16,Indian,White,False,0,[202 183 743 724]
artist_indian_3.png,Male,Old,Indian,Male,Male,,True,[9.9975455e-01 2.4547981e-04],"[0.9877175, 0.012282441]",60-69,50,,Old,,False,"[1.1174038e-05 4.6157886e-05 6.8666454e-04 6.0371700e-04 1.9630182e-03
 2.5719531e-02 2.7288070e-01 6.0731465e-01 9.0774380e-02]",15,Indian,Indian,True,0,[339 240 715 615]
artist_indian_30.png,Male,Middle,Indian,Male,Male,Male,True,[9.999003e-01 9.972566e-05],"[0.9999405, 5.9479726000000004e-05]",30-39,35,28.0,Middle,Young,True,"[4.40877841e-07 3.15905163e-06 1.08624932e-04 2.31872220e-02
 6.66889310e-01 3.00769269e-01 8.92568193e-03 1.13286915e-04
 2.94316715e-06]",0,Indian,Indian,True,0,[170 121 819 770]
artist_indian_31.png,Male,Middle,Indian,Male,Male,Male,True,[0.9946034  0.00539663],"[0.99996544, 3.4621076e-05]",40-49,42,32.0,Middle,Middle,True,"[3.1024251e-06 4.4628272e-05 3.3481175e-03 1.0256402e-02 1.2931736e-01
 5.1033324e-01 3.2121822e-01 2.4230359e-02 1.2486953e-03]",3,Indian,Indian,True,0,[202 183 743 724]
artist_indian_32.png,Male,Middle,Indian,Male,Male,,True,[9.995489e-01 4.510945e-04],"[0.9999362, 6.374836e-05]",50-59,38,,Middle,,True,"[5.3968283e-06 1.4815959e-05 5.5760867e-04 4.9001048e-03 5.8909893e-02
 2.9160717e-01 4.6716011e-01 1.6070652e-01 1.6138498e-02]",17,Indian,Indian,True,0,[358 172 670 485]
artist_indian_33.png,Male,Middle,Indian,Male,Male,Male,True,[0.99214494 0.00785505],"[0.99971634, 0.00028363636]",50-59,35,38.0,Middle,Middle,True,"[4.1637632e-06 7.3778538e-06 1.5779768e-04 7.7783031e-04 2.5431454e-02
 3.1910914e-01 5.4834360e-01 9.9617042e-02 6.5515954e-03]",20,Indian,Indian,True,0,[302 240 677 615]
artist_indian_34.png,Male,Middle,Indian,Male,Male,Male,True,[9.9999094e-01 9.0827743e-06],"[0.9950842, 0.0049157232]",40-49,44,51.0,Middle,Middle,True,"[7.3928845e-06 1.5897375e-04 3.2311564e-03 5.0095487e-03 1.0641055e-01
 6.2200677e-01 2.5842232e-01 4.7165132e-03 3.6788428e-05]",1,Indian,Indian,True,0,[363 185 581 403]
artist_indian_35.png,Male,Middle,Indian,Male,Male,Male,True,[0.9897344  0.01026559],"[0.9424937400000001, 0.057506294]",50-59,44,66.0,Middle,Old,True,"[6.9467792e-06 2.0913039e-05 4.3459609e-04 1.8657611e-03 8.1718545e-03
 6.3802876e-02 4.4547650e-01 4.2468736e-01 5.5533160e-02]",11,Indian,White,False,0,[148 183 688 724]
artist_indian_36.png,Male,Middle,Indian,Male,Male,Male,True,[9.9999475e-01 5.2535693e-06],"[0.99998245, 1.7537444e-05]",50-59,51,58.0,Middle,Middle,True,"[1.09165485e-05 1.18916425e-04 1.44054543e-03 8.88922485e-04
 2.07489654e-02 3.14681083e-01 6.36122465e-01 2.56455131e-02
 3.42646556e-04]",4,Indian,Indian,True,0,[248 305 698 756]
artist_indian_37.png,Male,Middle,Indian,Male,Male,Male,True,[9.9958730e-01 4.1272532e-04],"[0.9995043, 0.00049569655]",50-59,50,54.0,Middle,Middle,True,"[5.63528447e-05 2.79282889e-04 1.69112871e-03 1.02241279e-03
 1.07647507e-02 1.24483384e-01 5.63108921e-01 2.81616002e-01
 1.69777386e-02]",5,Indian,Indian,True,0,[341 207 559 424]
artist_indian_38.png,Male,Old,Indian,Male,Male,Male,True,[9.990767e-01 9.232703e-04],"[0.9989463999999999, 0.0010537049]",60-69,46,73.0,Old,Old,False,"[1.5980440e-05 1.0407060e-04 6.5833068e-04 3.7360439e-04 1.4772411e-03
 3.3791259e-02 3.4086731e-01 5.5131114e-01 7.1401067e-02]",19,Indian,Indian,True,0,[170 186 819 835]
artist_indian_39.png,Male,Old,Indian,Male,Male,Male,True,[0.98915744 0.01084253],"[0.9992827, 0.0007173222]",60-69,46,54.0,Old,Middle,False,"[2.5220129e-06 2.3558981e-05 3.6551701e-04 9.5817464e-04 5.2402592e-03
 4.5619640e-02 2.9044780e-01 5.0935698e-01 1.4798562e-01]",19,Indian,Indian,True,0,[202 215 654 665]
artist_indian_4.png,Male,Middle,Indian,Male,Male,Male,True,[9.9911904e-01 8.8099018e-04],"[0.9964721, 0.0035278472]",50-59,48,53.0,Middle,Middle,True,"[1.4156087e-04 7.5674115e-04 4.4726371e-03 7.1834298e-03 4.5062184e-02
 2.9177970e-01 5.5257624e-01 9.3681023e-02 4.3463996e-03]",7,Indian,Indian,True,0,[248 215 698 665]
artist_indian_40.png,Male,Middle,Indian,Male,Male,Male,True,[9.9935836e-01 6.4157933e-04],"[0.9999262, 7.374357e-05]",50-59,41,37.0,Middle,Middle,True,"[7.5135499e-06 2.2087001e-05 2.6075818e-04 4.6577188e-04 1.0780600e-02
 2.1128325e-01 5.9515190e-01 1.6766660e-01 1.4361502e-02]",14,Indian,Indian,True,0,[248 215 698 665]
artist_indian_41.png,Male,Middle,Indian,Male,Male,Male,True,[9.9975783e-01 2.4220228e-04],"[0.9999581999999999, 4.184361e-05]",50-59,34,42.0,Middle,Middle,True,"[6.4268005e-07 1.4547497e-06 7.2389659e-05 3.4417488e-04 1.7655458e-02
 2.9455557e-01 6.2228590e-01 6.3697003e-02 1.3874244e-03]",21,Indian,White,False,0,[170 253 819 902]
artist_indian_42.png,Male,Middle,Indian,Male,Male,Male,True,[0.9931203  0.00687965],"[0.9998656, 0.00013443603]",40-49,36,31.0,Middle,Middle,True,"[4.3514942e-07 5.7154983e-07 6.1802748e-05 2.8883701e-03 8.8113412e-02
 4.6375141e-01 4.1686282e-01 2.7425582e-02 8.9560519e-04]",9,Indian,Indian,True,0,[302 202 677 578]
artist_indian_43.png,Male,Middle,Indian,Male,Male,Male,True,[0.9959936  0.00400637],"[0.99995926, 4.0725479999999993e-05]",30-39,33,47.0,Middle,Middle,True,"[1.3668451e-06 9.0114072e-06 1.7216554e-03 1.1818878e-01 5.4927742e-01
 3.0682221e-01 2.3011880e-02 9.2472567e-04 4.2936252e-05]",2,Indian,Indian,True,0,[294 305 744 756]
