image,gender,age,race,gender_fair,gender_deepface,gender_insightface,equal_gender,gender_scores_fair,gender_scores_deep,age_fair,age_deepface,age_insightface,age_bin_fair,age_bin_insightface,equal_age,age_scores_fair,age_diff,race_fair,race4_deepface,equal_race,face_fair,bbox
basketball player_black_0.png,Male,Young,Black,Male,Male,Male,True,[9.9997383e-01 2.6122358e-05],"[0.9990749, 0.00092503496]",20-29,27,23.0,Young,Young,True,"[1.5279328e-08 1.7711205e-05 6.3992985e-02 8.3843726e-01 9.4649330e-02
 2.8855896e-03 1.6872144e-05 2.0262382e-07 1.1269547e-08]",2,Black,Black,True,0,[385 185 602 403]
basketball player_black_1.png,Male,Young,Black,Male,Male,Male,True,[9.999951e-01 4.958276e-06],"[0.9965345999999999, 0.0034654355]",20-29,27,33.0,Young,Middle,True,"[1.2567979e-09 4.6220441e-07 3.0596626e-03 7.4842870e-01 2.4641609e-01
 2.0907121e-03 4.3261698e-06 1.7189821e-08 3.7560882e-10]",2,Black,Black,True,0,[302 240 677 615]
basketball player_black_10.png,Male,Young,Black,Male,Male,Male,True,[9.9999481e-01 5.1731927e-06],"[0.9998765000000001, 0.0001235182]",20-29,24,28.0,Young,Young,True,"[7.5810487e-09 6.0646312e-07 2.6313553e-03 7.5588542e-01 2.3782879e-01
 3.6391211e-03 1.4537691e-05 1.5870175e-07 9.4250368e-09]",1,Black,Black,True,0,[400 162 582 344]
basketball player_black_11.png,Male,Middle,Black,Male,Male,Male,True,[0.9973465  0.00265342],"[0.99831215, 0.0016878808000000002]",30-39,29,28.0,Middle,Young,False,"[1.0621277e-08 3.1027551e-07 9.4426173e-04 3.6657816e-01 5.8461070e-01
 4.6980578e-02 8.7852433e-04 7.2227172e-06 2.1485701e-07]",6,Black,Black,True,0,[363 241 624 503]
basketball player_black_12.png,Male,Young,Black,Male,Male,Male,True,[1.000000e+00 9.833346e-09],"[0.9996902, 0.00030985216]",20-29,26,27.0,Young,Young,True,"[1.5758874e-09 1.1551093e-06 1.6813688e-02 8.6674368e-01 1.1457917e-01
 1.8560570e-03 6.1392193e-06 6.5571527e-08 1.5882821e-09]",1,Black,Black,True,0,[385 140 602 358]
basketball player_black_13.png,Male,Young,Black,Male,Male,Male,True,[9.9990696e-01 9.3042901e-05],"[0.9985307, 0.0014692521]",20-29,29,27.0,Young,Young,True,"[2.1073230e-08 8.6614828e-06 1.3638474e-02 7.4578595e-01 2.3487285e-01
 5.6651426e-03 2.8722417e-05 1.5777441e-07 6.9906450e-09]",4,Black,Black,True,0,[326 235 640 549]
basketball player_black_14.png,Male,Middle,Black,Male,Male,Male,True,[9.9999577e-01 4.2681390e-06],"[0.9980553999999999, 0.0019445181]",30-39,29,27.0,Middle,Young,False,"[4.9597744e-09 4.9359596e-07 7.1266363e-04 4.5492283e-01 5.2911359e-01
 1.5173892e-02 7.6227443e-05 3.5416716e-07 6.8174533e-09]",6,Black,Black,True,0,[382 181 564 362]
basketball player_black_15.png,Male,Young,Black,Male,Male,Male,True,[0.9989196 0.0010804],"[0.99901436, 0.00098554894]",20-29,29,31.0,Young,Middle,True,"[2.03026236e-08 2.29054012e-06 1.03367185e-02 7.28810310e-01
 2.48095959e-01 1.24490624e-02 3.01595923e-04 3.88433637e-06
 2.44550392e-07]",4,Black,Black,True,0,[450 160 554 264]
basketball player_black_16.png,Male,Young,Black,Male,Male,Male,True,[9.9999833e-01 1.6517077e-06],"[0.9996290600000001, 0.00037099849999999994]",20-29,30,36.0,Young,Middle,False,"[1.2114165e-08 8.6461232e-06 1.7595533e-02 8.1758362e-01 1.6116729e-01
 3.6228767e-03 2.1814716e-05 2.5656684e-07 1.2019881e-08]",5,Black,Black,True,0,[302 165 677 540]
basketball player_black_17.png,Male,Young,Black,Male,Male,Male,True,[9.9999565e-01 4.3491955e-06],"[0.9998811000000001, 0.00011880632000000001]",20-29,27,32.0,Young,Middle,True,"[2.7811780e-09 2.4243159e-06 1.9905519e-02 8.0383837e-01 1.7301826e-01
 3.2079131e-03 2.6965348e-05 4.9093921e-07 1.0871362e-08]",2,Black,Black,True,0,[302 240 677 615]
