image,gender,age,race,gender_fair,gender_deepface,gender_insightface,equal_gender,gender_scores_fair,gender_scores_deep,age_fair,age_deepface,age_insightface,age_bin_fair,age_bin_insightface,equal_age,age_scores_fair,age_diff,race_fair,race4_deepface,equal_race,face_fair,bbox
professional athlete_young_0.png,Male,Young,White,Male,Male,Male,True,[0.9969705  0.00302953],"[0.9985337, 0.0014662782999999998]",20-29,23,22.0,Young,Young,True,"[3.0398406e-09 1.6356898e-05 2.5567144e-01 7.3881328e-01 5.4757688e-03
 2.3094826e-05 5.4387950e-08 7.4222267e-10 2.2525081e-11]",2,White,White,True,0,[248 215 698 665]
professional athlete_young_1.png,Male,Young,Black,Male,Male,Male,True,[1.0000000e+00 2.3146534e-08],"[0.9999021, 9.783531e-05]",20-29,25,32.0,Young,Middle,True,"[5.6945080e-09 2.5323748e-06 1.7887840e-02 8.8853711e-01 9.2975780e-02
 5.9524912e-04 1.4826778e-06 1.8021295e-08 1.7204339e-10]",0,Black,White,False,0,[302 240 677 615]
professional athlete_young_10.png,Male,Young,Black,Male,Male,Male,True,[9.9999982e-01 1.6371911e-07],"[0.99974434, 0.00025558155]",20-29,27,31.0,Young,Middle,True,"[1.2048017e-08 6.4669089e-06 1.3987318e-02 9.2494464e-01 6.0861547e-02
 1.9957656e-04 4.2526796e-07 9.5025845e-09 2.1853054e-10]",2,Black,White,False,0,[248 215 698 665]
professional athlete_young_11.png,Male,Young,White,Male,Male,Male,True,[9.9999976e-01 2.6596362e-07],"[0.9996808, 0.00031925533]",20-29,24,24.0,Young,Young,True,"[2.3167532e-08 5.8431484e-05 2.9205194e-01 6.9436663e-01 1.3326679e-02
 1.9505297e-04 1.1681285e-06 1.8394774e-08 2.5249819e-10]",1,White,White,True,0,[294 261 744 711]
professional athlete_young_12.png,Male,Young,White,Male,Male,Male,True,[0.94737387 0.05262619],"[0.9891407999999999, 0.010859282]",20-29,20,25.0,Young,Young,True,"[1.3868012e-09 8.0165328e-06 1.2552783e-01 8.6432374e-01 1.0119031e-02
 2.1323003e-05 2.3757341e-08 2.5217811e-10 1.1948794e-11]",5,White,White,True,0,[339 279 715 654]
professional athlete_young_13.png,Male,Young,Black,Male,Male,Male,True,[9.9994916e-01 5.0812483e-05],"[0.9996317, 0.00036818523]",10-19,22,25.0,Young,Young,True,"[8.1939810e-08 1.0969825e-03 7.3073274e-01 2.6554546e-01 2.6097151e-03
 1.5014975e-05 4.7081237e-08 1.1689458e-09 3.7541099e-11]",7,Black,White,False,0,[202 293 743 833]
professional athlete_young_14.png,Male,Young,White,Male,Male,Male,True,[9.9999857e-01 1.3721351e-06],"[0.9995775, 0.00042254053]",20-29,31,25.0,Young,Young,False,"[2.9315560e-08 5.6445333e-06 1.8779546e-02 8.4017140e-01 1.3790703e-01
 3.0961658e-03 3.9938914e-05 2.9862684e-07 7.1301303e-09]",6,White,White,True,0,[326 426 640 738]
professional athlete_young_15.png,Male,Young,White,Male,Male,Male,True,[9.9999875e-01 1.2080669e-06],"[0.9994923, 0.0005076372600000001]",20-29,26,27.0,Young,Young,True,"[5.4611569e-09 5.0364574e-06 7.9829663e-02 9.0049464e-01 1.9529209e-02
 1.4093978e-04 5.7399126e-07 8.8415621e-09 1.6807228e-10]",1,White,White,True,0,[302 279 677 654]
professional athlete_young_16.png,Male,Young,White,Male,Male,Male,True,[9.9999815e-01 1.8702191e-06],"[0.99967125, 0.00032875757999999996]",20-29,30,27.0,Young,Young,False,"[4.7424638e-08 2.4737286e-05 3.0543635e-02 8.9144701e-01 7.7354491e-02
 6.2846916e-04 1.6171895e-06 1.9308402e-08 3.3685466e-10]",5,White,White,True,0,[ 62 764 213 915]
professional athlete_young_17.png,Male,Young,White,Male,Male,Male,True,[9.999996e-01 3.524087e-07],"[0.99993004, 6.9921226e-05]",20-29,30,26.0,Young,Young,False,"[3.7622247e-08 1.8281693e-05 2.5202660e-02 9.2386848e-01 5.0616235e-02
 2.9377048e-04 5.3082317e-07 6.7251729e-09 1.0650266e-10]",5,White,White,True,0,[263 202 640 578]
