image,gender,age,race,gender_fair,gender_deepface,gender_insightface,equal_gender,gender_scores_fair,gender_scores_deep,age_fair,age_deepface,age_insightface,age_bin_fair,age_bin_insightface,equal_age,age_scores_fair,age_diff,race_fair,race4_deepface,equal_race,face_fair,bbox
surgeon_white_0.png,Male,Middle,White,Male,Male,Male,True,[9.999902e-01 9.727174e-06],"[0.9991762, 0.00082373135]",30-39,35,45.0,Middle,Middle,True,"[4.0069839e-08 3.5128929e-07 9.4948889e-05 3.2161526e-02 5.7086331e-01
 3.8763383e-01 9.2107113e-03 3.4698518e-05 5.0252009e-07]",0,White,White,True,0,[302 316 677 692]
surgeon_white_1.png,Male,Middle,White,Male,Male,Male,True,[9.9989986e-01 1.0011736e-04],"[0.9999644499999999, 3.5542930000000004e-05]",40-49,35,47.0,Middle,Middle,True,"[1.6915308e-05 3.1153653e-05 7.0270820e-04 3.8492735e-03 1.3847570e-01
 6.5986580e-01 1.9492050e-01 2.1282791e-03 9.6325393e-06]",10,White,White,True,0,[174 404 279 509]
surgeon_white_10.png,Male,Young,White,Male,Male,Male,True,[0.9977453  0.00225471],"[0.9249069, 0.0750931]",20-29,37,28.0,Young,Young,False,"[2.24969199e-06 4.97318630e-04 1.16376914e-01 5.95822573e-01
 2.51834571e-01 3.25925536e-02 2.58744578e-03 2.62718881e-04
 2.36821361e-05]",12,White,White,True,0,[358 267 670 581]
surgeon_white_11.png,Male,Middle,White,Male,Male,Male,True,[9.9998605e-01 1.3959955e-05],"[0.99994934, 5.0692265e-05]",30-39,35,40.0,Middle,Middle,True,"[2.9368424e-05 7.8996229e-05 1.4214615e-03 4.8279237e-02 5.5651820e-01
 3.8139251e-01 1.2181887e-02 9.7581993e-05 7.3842875e-07]",0,White,White,True,0,[170 121 819 770]
surgeon_white_12.png,Male,Middle,White,Male,Male,Male,True,[9.9978203e-01 2.1800613e-04],"[0.9990841, 0.00091585636]",40-49,37,43.0,Middle,Middle,True,"[1.38381120e-06 2.79510641e-06 4.20554454e-04 1.15745505e-02
 2.31348827e-01 5.84248126e-01 1.64867997e-01 7.39815319e-03
 1.37617622e-04]",8,White,White,True,0,[294 267 608 581]
surgeon_white_13.png,Male,Middle,White,Male,Male,Male,True,[9.9998873e-01 1.1247002e-05],"[0.9996648, 0.00033521235000000005]",40-49,32,52.0,Middle,Middle,True,"[2.2835633e-05 8.6548571e-05 1.1313413e-03 1.0721773e-02 2.7416453e-01
 6.6764778e-01 4.5875072e-02 3.4768484e-04 2.4869062e-06]",13,White,White,True,0,[302 202 677 578]
surgeon_white_14.png,Male,Middle,White,Male,Male,Male,True,[9.9999982e-01 1.8910403e-07],"[0.9999948999999999, 5.0771475e-06]",40-49,33,45.0,Middle,Middle,True,"[1.0612457e-07 1.0688645e-07 8.3162158e-06 4.4040501e-04 8.0283605e-02
 7.9563987e-01 1.2274285e-01 8.8117219e-04 3.5682319e-06]",12,White,White,True,0,[339 202 715 578]
surgeon_white_15.png,Male,Middle,White,Male,Male,Male,True,[9.9999094e-01 9.0828953e-06],"[0.9998778, 0.00012213987]",40-49,35,57.0,Middle,Middle,True,"[5.1098944e-08 1.5737750e-07 6.3635984e-05 3.8974574e-03 1.7295878e-01
 7.2835350e-01 9.4377458e-02 3.4760332e-04 1.4157089e-06]",10,White,White,True,0,[294 305 744 756]
surgeon_white_16.png,Male,Middle,White,Male,Male,Male,True,[0.99703467 0.00296527],"[0.9970124, 0.0029876417]",30-39,36,33.0,Middle,Middle,True,"[7.6892331e-07 2.3103563e-05 1.1650767e-02 2.1572500e-01 5.2765638e-01
 2.2094460e-01 2.3036063e-02 9.3819707e-04 2.5090189e-05]",1,White,White,True,0,[302 240 677 615]
surgeon_white_17.png,Male,Middle,White,Male,Male,Male,True,[9.9905288e-01 9.4711815e-04],"[0.9994425, 0.0005574718]",30-39,34,38.0,Middle,Middle,True,"[8.7395557e-07 3.9137858e-06 2.3262072e-04 2.8807564e-02 4.9957612e-01
 4.5925656e-01 1.2063310e-02 5.8069723e-05 9.1658615e-07]",1,White,White,True,0,[326 267 640 581]
surgeon_white_18.png,Male,Middle,White,Male,Male,Male,True,[9.9999607e-01 3.9704209e-06],"[0.999969, 3.1052837e-05]",40-49,32,41.0,Middle,Middle,True,"[4.4331014e-07 1.1649141e-06 8.9039655e-05 2.0766801e-03 1.2825109e-01
 7.2923100e-01 1.3875553e-01 1.5794309e-03 1.5635054e-05]",13,White,White,True,0,[302 240 677 615]
surgeon_white_19.png,Male,Young,White,Male,Male,Male,True,[9.9954915e-01 4.5085975e-04],"[0.99700935, 0.0029907453]",20-29,33,25.0,Young,Young,False,"[1.0119993e-06 8.9128363e-05 2.9926311e-02 5.1606947e-01 3.9366215e-01
 5.5100635e-02 4.9062967e-03 2.3688623e-04 8.1378676e-06]",8,White,White,True,0,[385 339 602 556]
surgeon_white_2.png,Male,Middle,White,Male,Male,Male,True,[9.9999708e-01 2.9325813e-06],"[0.9998037, 0.00019627993999999998]",30-39,35,35.0,Middle,Middle,True,"[2.5287807e-05 7.2788542e-05 5.4125342e-04 2.5509421e-02 4.7331688e-01
 4.7301951e-01 2.7286081e-02 2.2658464e-04 2.1711471e-06]",0,White,White,True,0,[302 240 677 615]
surgeon_white_20.png,Male,Middle,White,Male,Male,Male,True,[9.9999756e-01 2.4093283e-06],"[0.9999465999999999, 5.342047e-05]",30-39,32,39.0,Middle,Middle,True,"[3.2536971e-06 6.0381603e-06 3.9688923e-04 3.9437052e-02 5.5309302e-01
 3.9573118e-01 1.1223436e-02 1.0818451e-04 1.0337076e-06]",3,White,White,True,0,[407 207 624 424]
surgeon_white_21.png,Male,Middle,White,Male,Male,Male,True,[9.9987334e-01 1.2661393e-04],"[0.9976273999999999, 0.0023725802]",40-49,36,50.0,Middle,Middle,True,"[5.00006763e-07 1.96329484e-06 1.19370095e-04 7.38398358e-03
 2.93157041e-01 6.63541436e-01 3.56266759e-02 1.67290855e-04
 1.78095900e-06]",9,White,White,True,0,[363 268 624 529]
surgeon_white_22.png,Male,Middle,White,Male,Male,Male,True,[9.9988753e-01 1.1245994e-04],"[0.99895775, 0.0010422619]",30-39,29,45.0,Middle,Middle,False,"[1.1073897e-07 1.4777453e-06 4.3873905e-04 4.8183005e-02 6.2200052e-01
 3.2447007e-01 4.8896149e-03 1.6185752e-05 2.4060000e-07]",6,White,White,True,0,[302 202 677 578]
surgeon_white_23.png,Male,Middle,White,Male,Male,Male,True,[9.999298e-01 7.025226e-05],"[0.9989549, 0.0010450731000000001]",40-49,41,39.0,Middle,Middle,True,"[1.4018401e-06 7.7053428e-06 5.1107869e-04 3.2808643e-02 3.6691010e-01
 5.6266290e-01 3.6896221e-02 1.9777074e-04 4.2535621e-06]",4,White,White,True,0,[385 185 602 403]
surgeon_white_24.png,Male,Middle,White,Male,Male,Male,True,[9.9996334e-01 3.6644884e-05],"[0.99998726, 1.2775541e-05]",40-49,34,41.0,Middle,Middle,True,"[5.9527456e-06 3.9928027e-06 6.4187312e-05 1.0657104e-03 7.7632360e-02
 6.8340445e-01 2.3608291e-01 1.7285321e-03 1.1916322e-05]",11,White,White,True,0,[302 240 677 615]
surgeon_white_25.png,Male,Middle,White,Male,Male,Male,True,[9.999977e-01 2.338706e-06],"[0.9998453, 0.00015468458]",40-49,39,39.0,Middle,Middle,True,"[1.84667272e-06 2.13099133e-06 7.92166902e-05 1.86471362e-03
 1.23037554e-01 7.37751544e-01 1.35660335e-01 1.59436441e-03
 8.33154900e-06]",6,White,White,True,0,[339 392 715 768]
surgeon_white_26.png,Male,Middle,White,Male,Male,Male,True,[9.9997872e-01 2.1293583e-05],"[0.9996427, 0.0003572893]",40-49,31,47.0,Middle,Middle,True,"[4.6401137e-06 1.9039431e-05 6.8067649e-04 1.3162724e-02 2.7904490e-01
 6.5990001e-01 4.6758380e-02 4.2347447e-04 6.1889809e-06]",14,White,White,True,0,[202 238 743 778]
surgeon_white_27.png,Male,Middle,White,Male,Male,Male,True,[9.9999690e-01 3.1103777e-06],"[0.9997235999999999, 0.00027639206]",40-49,42,46.0,Middle,Middle,True,"[1.0811221e-05 1.3462323e-05 1.6961253e-04 1.3064764e-03 6.3187905e-02
 5.8978391e-01 3.3865300e-01 6.8240869e-03 5.0814975e-05]",3,White,White,True,0,[284 295 545 556]
surgeon_white_28.png,Male,Middle,White,Male,Male,Male,True,[9.9931586e-01 6.8416877e-04],"[0.99734344, 0.0026565316]",30-39,30,28.0,Middle,Young,True,"[6.1361893e-06 3.0465258e-04 3.8123921e-02 3.3130062e-01 4.9102336e-01
 1.2613097e-01 1.2708498e-02 3.9179396e-04 1.0064303e-05]",5,White,White,True,0,[294 261 744 711]
