image,gender,age,race,gender_fair,gender_deepface,gender_insightface,equal_gender,gender_scores_fair,gender_scores_deep,age_fair,age_deepface,age_insightface,age_bin_fair,age_bin_insightface,equal_age,age_scores_fair,age_diff,race_fair,race4_deepface,equal_race,face_fair,bbox
teacher_middle aged_0.png,Female,Young,White,Female,Female,Female,True,[1.7279064e-05 9.9998271e-01],"[0.0008362716000000001, 0.9991637400000001]",20-29,45,56.0,Young,Middle,False,"[2.0315572e-06 6.1072625e-04 5.2428756e-02 6.0717285e-01 2.4991749e-01
 8.2567655e-02 7.0138383e-03 2.7043201e-04 1.6213577e-05]",20,White,White,True,0,[263 316 640 692]
teacher_middle aged_1.png,Male,Middle,White,Male,Male,Male,True,[9.9996394e-01 3.6036294e-05],"[0.9998950999999999, 0.00010488828000000001]",50-59,35,61.0,Middle,Old,True,"[1.3225512e-05 8.2036386e-06 9.7426433e-05 4.7748963e-05 2.4653561e-03
 1.1889840e-01 8.2734114e-01 5.0941993e-02 1.8655515e-04]",20,White,White,True,0,[294 261 744 711]
teacher_middle aged_10.png,Male,Middle,White,Male,Male,Male,True,[9.999973e-01 2.660328e-06],"[0.9992584, 0.0007415692]",50-59,34,54.0,Middle,Middle,True,"[3.1493721e-06 6.6351508e-06 1.3060978e-04 2.4836001e-04 1.1978014e-02
 3.2351297e-01 6.4649349e-01 1.7523991e-02 1.0280611e-04]",21,White,White,True,0,[248 261 698 711]
teacher_middle aged_11.png,Male,Middle,White,Male,Male,Male,True,[1.0000000e+00 2.1577018e-08],"[0.99998665, 1.3333064e-05]",50-59,38,61.0,Middle,Old,True,"[4.9608684e-07 1.9903771e-07 9.4977777e-06 9.3144874e-05 6.1292737e-03
 1.8912236e-01 7.4817187e-01 5.6272648e-02 2.0052628e-04]",17,White,White,True,0,[248 305 698 756]
teacher_middle aged_12.png,Female,Middle,White,Female,Female,Female,True,[2.7309772e-05 9.9997270e-01],"[0.00011713583, 0.9998828000000001]",40-49,32,34.0,Middle,Middle,True,"[1.53431671e-07 5.21409447e-06 6.59803860e-04 4.48837392e-02
 3.08839619e-01 5.19676864e-01 1.19862765e-01 5.92649356e-03
 1.45510712e-04]",13,White,White,True,0,[235 121 884 770]
teacher_middle aged_13.png,Male,Middle,White,Male,Male,Male,True,[9.9998033e-01 1.9659967e-05],"[0.9999274, 7.2543267e-05]",50-59,44,66.0,Middle,Old,True,"[1.9610476e-05 3.1836258e-05 3.4718146e-04 1.8166797e-04 3.2243875e-03
 1.0251620e-01 8.3930564e-01 5.3959072e-02 4.1432653e-04]",11,White,White,True,0,[339 240 715 615]
teacher_middle aged_14.png,Male,Middle,White,Male,Male,Male,True,[9.9997199e-01 2.8008631e-05],"[0.9994967, 0.0005033071]",40-49,38,64.0,Middle,Old,True,"[9.4209952e-07 2.3201574e-06 1.6539528e-04 6.0736341e-03 1.2211507e-01
 6.0103661e-01 2.6490363e-01 5.6009870e-03 1.0138125e-04]",7,White,White,True,0,[358 267 670 581]
teacher_middle aged_15.png,Male,Middle,White,Male,Male,Male,True,[9.9997854e-01 2.1423188e-05],"[0.9996796, 0.00032048583]",50-59,43,66.0,Middle,Old,True,"[2.8664127e-07 4.6014117e-07 3.5287740e-05 1.7299722e-03 4.7517661e-02
 3.7817201e-01 5.5368346e-01 1.8290758e-02 5.7001197e-04]",12,White,White,True,0,[390 295 651 556]
teacher_middle aged_16.png,Male,Middle,White,Male,Male,Male,True,[9.9999934e-01 6.6326851e-07],"[0.999887, 0.00011300236]",50-59,44,57.0,Middle,Middle,True,"[4.4811554e-06 5.0642784e-06 1.3553088e-04 2.6101107e-03 4.1596558e-02
 3.4396142e-01 5.9522992e-01 1.6278300e-02 1.7858198e-04]",11,White,White,True,0,[148 183 688 724]
teacher_middle aged_17.png,Male,Middle,White,Male,Male,Male,True,[9.9998862e-01 1.1325055e-05],"[0.9997291, 0.00027090475]",50-59,44,67.0,Middle,Old,True,"[4.31083754e-06 6.66954929e-06 1.33249530e-04 1.09760746e-04
 2.36004591e-03 9.76798236e-02 8.14829826e-01 8.35247338e-02
 1.35154277e-03]",11,White,White,True,0,[302 240 677 615]
teacher_middle aged_18.png,Male,Middle,White,Male,Male,Male,True,[9.9997520e-01 2.4743884e-05],"[0.99978355, 0.00021637768]",50-59,45,61.0,Middle,Old,True,"[2.42119222e-06 3.92410357e-06 1.13194845e-04 5.76227088e-04
 1.80710368e-02 3.11132878e-01 6.52807832e-01 1.70968678e-02
 1.95576722e-04]",10,White,White,True,0,[294 261 744 711]
teacher_middle aged_19.png,Male,Middle,White,Male,Male,Male,True,[9.999458e-01 5.416918e-05],"[0.9999205999999999, 7.942541e-05]",50-59,43,72.0,Middle,Old,True,"[3.2634622e-07 7.9989496e-07 1.0914590e-04 2.1330724e-03 3.6296565e-02
 3.9543816e-01 5.4660326e-01 1.9086437e-02 3.3219860e-04]",12,White,White,True,0,[294 305 744 756]
teacher_middle aged_2.png,Male,Middle,White,Male,Male,Male,True,[9.9999964e-01 3.4966698e-07],"[0.99975464, 0.00024541277]",50-59,35,50.0,Middle,Middle,True,"[1.35103455e-05 1.04413348e-05 1.57671340e-04 5.91155258e-04
 1.94052495e-02 2.83750743e-01 6.57830775e-01 3.81155163e-02
 1.24968938e-04]",20,White,White,True,0,[326 235 640 549]
teacher_middle aged_20.png,Male,Middle,White,Male,Male,Male,True,[9.9999261e-01 7.4548147e-06],"[0.99985466, 0.0001452635]",50-59,43,76.0,Middle,Old,True,"[4.8332558e-06 4.5543961e-06 6.3177555e-05 3.9554390e-04 1.6360035e-02
 2.9224050e-01 6.5309191e-01 3.7106127e-02 7.3335017e-04]",12,White,White,True,0,[326 267 640 581]
teacher_middle aged_21.png,Male,Middle,White,Male,Male,Male,True,[9.999991e-01 8.870368e-07],"[0.9973521399999999, 0.0026478347]",50-59,38,63.0,Middle,Old,True,"[4.1366170e-06 7.0115393e-06 1.3477191e-04 1.9167185e-04 5.3012976e-03
 1.4999127e-01 8.0787575e-01 3.6245279e-02 2.4879765e-04]",17,White,White,True,0,[326 267 640 581]
teacher_middle aged_22.png,Male,Middle,White,Male,Male,Male,True,[9.9999958e-01 3.9175276e-07],"[0.9997053, 0.00029467264]",50-59,41,62.0,Middle,Old,True,"[3.3162223e-06 2.8604697e-06 4.9444494e-05 6.4909262e-05 2.4937841e-03
 9.5693946e-02 8.3146393e-01 6.9771968e-02 4.5584899e-04]",14,White,White,True,0,[311 162 572 423]
teacher_middle aged_23.png,Female,Middle,White,Female,Female,Female,True,[1.764255e-05 9.999823e-01],"[0.011255223000000002, 0.9887448999999999]",40-49,37,48.0,Middle,Middle,True,"[9.3423540e-07 7.5558695e-05 5.3666676e-03 1.1143845e-01 3.3431262e-01
 4.3272105e-01 1.0631798e-01 9.3882987e-03 3.7847832e-04]",8,White,White,True,0,[302 279 677 654]
teacher_middle aged_24.png,Male,Middle,White,Male,Male,Male,True,[9.999279e-01 7.211474e-05],"[0.9999869, 1.3162359e-05]",50-59,39,61.0,Middle,Old,True,"[3.7394059e-06 4.7370158e-06 9.2039656e-05 1.9468700e-04 5.3885505e-03
 1.5666717e-01 7.8517151e-01 5.1579941e-02 8.9762098e-04]",16,White,White,True,0,[170 121 819 770]
teacher_middle aged_26.png,Male,Middle,White,Male,Male,Male,True,[9.9986750e-01 1.3250121e-04],"[0.99175064, 0.00824932]",50-59,44,55.0,Middle,Middle,True,"[1.7131395e-06 2.8118552e-06 1.1710670e-04 6.5589452e-04 2.0842556e-02
 3.9199966e-01 5.7517099e-01 1.1114985e-02 9.4286108e-05]",11,White,White,True,0,[358 203 670 517]
teacher_middle aged_27.png,Male,Middle,White,Male,Male,Male,True,[9.9999893e-01 1.0948421e-06],"[0.9999021, 9.78062e-05]",50-59,42,57.0,Middle,Middle,True,"[2.4670783e-06 2.2098809e-06 4.3760818e-05 1.8799167e-04 5.2293725e-03
 1.5734756e-01 8.1400996e-01 2.3063412e-02 1.1329777e-04]",13,White,White,True,0,[302 316 677 692]
