face_confidence_deepface,age_deepface,gender_deepface,Woman,Man,race_deepface,asian,indian,black,white,middle eastern,latino hispanic,emotion_deepface,angry,disgust,fear,happy,sad,surprise,neutral,image
1.0,49,Man,0.1448003,99.8552,middle eastern,0.18735401,6.881608,0.14315848,2.940489,82.36277,7.4846253,neutral,3.847447,0.00071438827,0.012376356,0.106580675,2.5226479,0.0118495375,93.49838,baker_elderly_24.png
1.0,50,Man,0.1058683,99.894135,latino hispanic,9.150854,17.27632,15.07966,15.362657,19.640581,23.489935,neutral,0.16823365,1.8719399e-07,0.114601,0.89090616,1.1889794,8.540245,89.09704,baker_elderly_2.png
1.0,54,Man,0.20441592,99.79558,middle eastern,3.869183,14.452895,1.5214313,21.855474,41.8998,16.401217,neutral,0.66337216,0.0011863613,5.423139e-05,1.1777746e-05,2.0213037,8.7879863e-07,97.31407,baker_elderly_47.png
1.0,59,Man,0.022630703,99.97737,middle eastern,0.07959622,2.8881733,0.0866769,32.95369,58.168518,5.823344,neutral,3.3815439,0.02051122,3.1697512,3.2217124,36.741936,0.4018795,53.062664,baker_elderly_31.png
1.0,56,Man,0.05709597,99.9429,white,0.1708145,0.31045142,0.01723764,72.10067,16.557274,10.84355,neutral,1.8816115,0.036285266,7.693265,0.088687874,13.831914,0.0019225581,76.46632,baker_elderly_20.png
1.0,62,Man,0.066504285,99.9335,middle eastern,0.100742884,2.7749484,0.054929942,18.419088,75.38835,3.261941,neutral,6.6691184,1.8000013e-05,0.40370837,0.005156769,42.987457,0.0005397981,49.934002,baker_elderly_21.png
1.0,61,Man,0.18066388,99.819336,latino hispanic,7.180649,11.87273,3.7999105,21.919815,24.673492,30.553398,happy,7.671786e-06,1.0476209e-13,0.0018038441,99.90865,1.711762e-05,0.0067469007,0.082773514,baker_elderly_34.png
1.0,44,Man,0.948187,99.05182,middle eastern,1.9476745,11.939288,2.3622608,16.704311,44.553642,22.492828,neutral,0.37223038,1.5747604e-05,0.01200907,0.34682256,0.19232541,0.048086125,99.02851,baker_elderly_4.png
1.0,59,Man,0.4182959,99.5817,middle eastern,3.4615512,18.609838,2.4835389,15.468329,44.463356,15.513386,disgust,1.5932292,90.51865,0.12255613,0.30065954,2.282998,0.011367643,5.1705475,baker_elderly_26.png
1.0,54,Man,0.15721059,99.84279,white,1.7922667,8.90667,1.1025448,36.10131,29.678038,22.419167,neutral,0.0027432393,3.961847e-05,3.0615938,19.50481,15.574964,0.03516668,61.820686,baker_elderly_36.png
1.0,61,Man,0.009646757,99.99036,middle eastern,0.00036521244,0.37061346,0.0004810622,0.38605937,99.1189,0.123574056,neutral,0.006142605,1.0692347e-06,0.0028170652,0.11092224,0.30367953,1.4035161e-06,99.57644,baker_elderly_30.png
1.0,52,Man,0.09538966,99.9046,white,1.0365411,6.0312085,1.517635,35.959427,33.938374,21.516817,neutral,0.058320113,4.547359e-06,0.095478736,1.2238377,0.74452907,0.1296955,97.74814,baker_elderly_43.png
1.0,63,Man,0.11379112,99.886215,middle eastern,5.395102,13.752189,2.2662575,21.778666,34.165924,22.641869,happy,2.5117968e-06,8.968867e-16,9.139385e-11,58.571236,5.7581554e-05,6.226846e-09,41.42871,baker_elderly_25.png
1.0,45,Man,0.027721547,99.972275,middle eastern,0.02308087,3.1280115,0.025346017,7.594487,85.67496,3.5541232,happy,0.021181233,3.5653411e-09,3.092389e-07,76.24262,0.10225363,2.09347e-06,23.63394,baker_elderly_42.png
1.0,45,Man,0.07207683,99.92792,white,9.440342,6.794653,2.8213303,38.530018,23.095575,19.318089,neutral,0.15599926,0.00011183953,3.1770308,2.5756228,3.195541,0.024962379,90.870735,baker_elderly_39.png
1.0,49,Man,0.08937726,99.91062,latino hispanic,4.5303845,11.505971,15.203418,20.016293,19.88098,28.862953,neutral,0.004319439,3.4000038e-06,0.111191876,0.03681758,1.4857408,0.014097457,98.347824,baker_elderly_10.png
1.0,48,Man,0.46169204,99.53831,middle eastern,5.4472585,10.730887,7.84573,25.239485,25.761747,24.974895,neutral,0.004811891,6.565184e-06,0.012119818,49.777496,0.24630797,0.042649906,49.916603,baker_elderly_49.png
1.0,57,Man,0.054606203,99.9454,middle eastern,1.5425047,10.994646,0.51207453,14.139874,62.034016,10.776882,neutral,0.09231275,9.236941e-05,0.13254629,0.008159576,10.0190735,8.402117e-06,89.74781,baker_elderly_32.png
1.0,55,Man,0.07423377,99.925766,middle eastern,0.0048433547,0.9490323,0.003582249,20.019302,76.08782,2.9354196,neutral,0.0021472157,4.395007e-07,5.0763243e-05,0.219202,0.097001225,8.279213e-05,99.68151,baker_elderly_15.png
1.0,46,Man,0.20616445,99.79383,middle eastern,2.6914408,10.280994,1.5868509,25.806915,35.188038,24.445751,fear,30.770575,2.7443635,37.310318,2.570408,25.745964,0.1333348,0.72502834,baker_elderly_12.png
1.0,48,Man,0.03905397,99.96095,middle eastern,0.20719647,7.4603925,0.18403733,10.204136,74.05298,7.891264,neutral,0.35028952,0.0004118867,3.0764105,12.6787,3.80895,0.5852745,79.49997,baker_elderly_18.png
1.0,45,Man,0.13432783,99.86568,middle eastern,1.8186566,8.438324,1.2054716,26.427048,39.493134,22.617367,angry,48.252018,2.9455972,9.642272,2.4183881,14.897098,0.25146294,21.593163,baker_elderly_35.png
1.0,53,Man,0.08635758,99.91365,latino hispanic,22.97886,14.583212,5.2236905,14.17378,19.406677,23.633778,neutral,0.04636262,0.37205714,3.0544062,0.3819866,43.31645,0.0006766209,52.828068,baker_elderly_29.png
1.0,60,Man,0.1058914,99.89411,middle eastern,0.00041202706,0.29537922,0.0003079502,1.5112344,97.96316,0.22950274,neutral,0.006328774,3.99574e-12,2.4989472e-06,0.008797836,1.3804628,2.90049e-09,98.604416,baker_elderly_37.png
1.0,63,Man,0.08638103,99.91363,middle eastern,0.43618992,3.9233832,0.104469456,2.6410313,90.856316,2.0386145,neutral,0.042689797,8.798032e-06,0.009003215,0.033240892,5.0191936,9.16302e-05,94.895775,baker_elderly_13.png
