face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,bbox
fairface/detected_faces/Stable3.5-medium_basketball player_indian/basketball player_indian_20_face0.png,Indian,Indian,Male,20-29,"[4.0680656e-04 2.3299313e-01 1.2978609e-01 7.8178695e-05 1.1447932e-02
 6.2195390e-01 3.3339136e-03]",[0.00099117 0.20142378 0.01128865 0.78629637],[9.9999994e-01 6.6006535e-08],"[1.2811426e-08 3.8404414e-07 1.5150052e-03 6.3551372e-01 3.5544023e-01
 7.4987384e-03 3.1662366e-05 3.0877479e-07 4.0960937e-09]","[(326, 203) (640, 517)]"
fairface/detected_faces/Stable3.5-medium_basketball player_indian/basketball player_indian_34_face0.png,Indian,Indian,Male,20-29,"[5.7185040e-04 1.6327661e-01 1.5701742e-01 2.7709524e-05 3.7859993e-03
 6.5633315e-01 1.8987147e-02]",[0.00169709 0.15399891 0.00262436 0.8416797 ],[9.999999e-01 5.826120e-08],"[2.7150997e-09 3.1235649e-07 4.5170579e-03 8.8261616e-01 1.1166179e-01
 1.2015535e-03 3.0860811e-06 6.5603359e-08 8.5624380e-10]","[(302, 202) (677, 578)]"
fairface/detected_faces/Stable3.5-medium_basketball player_indian/basketball player_indian_8_face0.png,Indian,Indian,Male,20-29,"[1.1722284e-03 2.1258456e-01 3.2833284e-01 2.6825792e-05 2.0065010e-03
 4.0895945e-01 4.6917666e-02]",[0.00132515 0.4890882  0.00445599 0.50513065],[1.0000000e+00 1.6787958e-08],"[7.4789639e-08 8.5570910e-06 9.7875549e-03 8.5909814e-01 1.2891208e-01
 2.1856495e-03 7.7753457e-06 1.8577303e-07 2.3221938e-09]","[(302, 202) (677, 578)]"
fairface/detected_faces/Stable3.5-medium_basketball player_indian/basketball player_indian_41_face0.png,Black,Black,Male,20-29,"[2.4242818e-04 6.9454885e-01 6.5189056e-02 5.4008656e-06 7.2646985e-04
 2.3203886e-01 7.2490065e-03]",[5.2368641e-04 5.8044493e-01 1.7561435e-03 4.1727519e-01],[1.0000000e+00 4.8145434e-09],"[2.1835705e-08 3.9866636e-06 9.0753566e-03 8.0936694e-01 1.7822412e-01
 3.3135829e-03 1.5760545e-05 2.4134351e-07 2.4402793e-09]","[(302, 202) (677, 578)]"
fairface/detected_faces/Stable3.5-medium_basketball player_indian/basketball player_indian_15_face0.png,Indian,Indian,Male,20-29,"[5.2307383e-05 2.4591223e-03 1.1741343e-02 5.6863355e-06 5.7750259e-04
 9.8428822e-01 8.7586639e-04]",[3.9579242e-04 8.5895658e-03 5.7885231e-04 9.9043578e-01],[9.9999970e-01 2.5933943e-07],"[1.37552796e-08 4.61179025e-06 1.12527553e-02 8.82629275e-01
 1.05416954e-01 6.95401628e-04 9.15366854e-07 1.16808145e-08
 1.38272366e-10]","[(358, 267) (670, 581)]"
fairface/detected_faces/Stable3.5-medium_basketball player_indian/basketball player_indian_16_face0.png,Indian,Indian,Male,20-29,"[8.1640050e-05 1.2552266e-01 2.1700062e-02 3.2841240e-06 7.2315335e-04
 8.4882253e-01 3.1466826e-03]",[1.4262178e-04 1.4409527e-01 1.9439339e-03 8.5381812e-01],[1.00000e+00 2.04394e-09],"[1.3277046e-08 2.2606373e-05 5.5543836e-02 8.7339193e-01 7.0252717e-02
 7.8670523e-04 2.2641832e-06 3.1424204e-08 2.2595377e-10]","[(302, 202) (677, 578)]"
fairface/detected_faces/Stable3.5-medium_basketball player_indian/basketball player_indian_3_face0.png,Indian,Indian,Male,20-29,"[8.4722917e-05 1.1341330e-01 2.6375856e-02 1.0802179e-05 1.4176888e-03
 8.3973485e-01 1.8962864e-02]",[3.6443645e-04 3.0902299e-01 2.0060737e-03 6.8860650e-01],[9.9999982e-01 1.2808358e-07],"[2.3244488e-07 8.5358646e-05 3.8922213e-02 8.5682243e-01 1.0206250e-01
 2.0976153e-03 9.4175193e-06 2.7256408e-07 3.8676671e-09]","[(326, 235) (640, 549)]"
fairface/detected_faces/Stable3.5-medium_basketball player_indian/basketball player_indian_12_face0.png,Black,Indian,Male,20-29,"[2.0064693e-04 5.1748031e-01 4.7733918e-02 6.9766688e-06 1.0012554e-03
 4.2746106e-01 6.1158589e-03]",[3.8560020e-04 4.7579336e-01 1.0457633e-03 5.2277529e-01],[1.00000e+00 2.82867e-08],"[1.9617088e-08 6.4082806e-06 1.0055732e-02 8.4124690e-01 1.4717275e-01
 1.5144731e-03 3.6608940e-06 5.0658631e-08 6.8343797e-10]","[(302, 240) (677, 615)]"
fairface/detected_faces/Stable3.5-medium_basketball player_indian/basketball player_indian_40_face0.png,Indian,Indian,Male,20-29,"[1.6974808e-04 2.8597608e-01 3.1698447e-02 1.6765081e-05 2.5708384e-03
 6.7725694e-01 2.3112278e-03]",[7.2219066e-04 2.4890286e-01 4.2063585e-03 7.4616861e-01],[1.0000000e+00 4.4871832e-08],"[5.3534728e-09 9.1422118e-07 4.2371950e-03 7.5361741e-01 2.4017340e-01
 1.9679940e-03 2.9876153e-06 2.8826783e-08 3.7996015e-10]","[(326, 140) (640, 454)]"
fairface/detected_faces/Stable3.5-medium_basketball player_indian/basketball player_indian_49_face0.png,Black,Black,Male,20-29,"[4.4502678e-05 9.5828676e-01 9.5691308e-03 5.8946642e-07 6.8640489e-05
 3.1075263e-02 9.5507241e-04]",[5.9255923e-05 9.7431433e-01 1.0748042e-04 2.5518872e-02],[1.0000000e+00 3.7382777e-10],"[5.0047017e-10 5.5070802e-07 9.7212326e-03 9.3132877e-01 5.8473859e-02
 4.7477911e-04 8.6587045e-07 1.0319722e-08 1.0206353e-10]","[(294, 261) (744, 711)]"
