face_confidence_deepface,age_deepface,gender_deepface,Woman,Man,race_deepface,asian,indian,black,white,middle eastern,latino hispanic,emotion_deepface,angry,disgust,fear,happy,sad,surprise,neutral,image
1.0,23,Woman,99.820496,0.17950816,latino hispanic,14.651083,17.146301,2.476671,12.728568,11.644066,41.353317,happy,0.000117085234,4.162051e-08,0.0049536363,95.76336,0.008097452,0.009683546,4.2137847,cashier_young_18.png
1.0,24,Woman,98.861336,1.1386632,white,1.2343076,3.8566873,0.26791847,37.872356,26.483875,30.284859,neutral,0.08674412,9.935255e-09,0.019910548,0.018030738,0.85319555,0.0010858497,99.021034,cashier_young_33.png
1.0,22,Woman,89.50491,10.495089,asian,89.47726,1.7255241,0.07652764,0.32065645,0.03153744,8.368498,neutral,0.0022797973,5.9629826e-08,0.012228185,1.8134835,0.20961758,0.05597492,97.90642,cashier_young_3.png
1.0,21,Woman,99.99341,0.006593975,asian,48.668274,10.809192,0.9849293,2.8014495,1.4030769,35.33308,neutral,0.7353188,0.00011398938,3.403674,8.692266,1.6359001,0.0033577376,85.529366,cashier_young_11.png
1.0,22,Woman,99.865,0.13499793,latino hispanic,24.390585,11.525887,3.0143497,12.257814,8.247516,40.563847,happy,7.5729633e-07,1.8540263e-11,1.8309217e-06,93.729,0.0033590917,1.0549499e-05,6.267634,cashier_young_7.png
1.0,23,Woman,99.9816,0.01839762,asian,99.9995,9.1990914e-05,1.2442006e-09,5.3650792e-06,9.4019494e-11,0.0004125044,neutral,0.6083723,8.205414e-08,0.28720444,0.04528571,4.1630783,0.00064857333,94.89541,cashier_young_6.png
1.0,23,Woman,99.99938,0.0006220437,white,1.0354806,0.28875476,0.0074413316,69.312904,14.579861,14.7755575,neutral,10.889644,1.7524e-07,0.033630814,0.00021893987,18.834269,1.1879431e-06,70.24224,cashier_young_43.png
1.0,25,Woman,99.5845,0.41550183,asian,98.11251,0.4613133,0.010568413,0.16242735,0.013733828,1.2394377,neutral,0.5041507,6.541776e-08,0.0022009816,0.0011898207,2.3911366,5.9838123e-07,97.10132,cashier_young_8.png
1.0,24,Woman,99.99996,3.5638775e-05,white,2.1244576,2.748176,0.21683982,49.808308,16.87207,28.230156,happy,4.284046e-05,1.5105728e-07,0.0002785345,99.34288,0.025722967,0.00033329727,0.63074005,cashier_young_44.png
1.0,27,Woman,99.94922,0.050785027,asian,67.618675,9.853998,0.56109464,1.5138475,1.0939885,19.358393,neutral,1.488738,2.0249236e-06,0.31126878,3.9453988,0.069959246,2.6826835,91.501945,cashier_young_15.png
1.0,25,Woman,99.68293,0.3170658,latino hispanic,39.88685,11.606474,3.3411856,2.9348052,1.2153474,41.01534,neutral,1.6857735e-05,1.1484495e-12,0.00020238149,0.00056144374,0.0075002443,0.0001390282,99.991585,cashier_young_2.png
1.0,24,Woman,99.9713,0.028700015,white,0.067918316,0.025273817,0.00056333106,89.42858,7.366869,3.1107907,neutral,0.0025249275,7.639003e-12,0.010272863,8.4009946e-05,0.10373024,8.7998257e-07,99.88339,cashier_young_20.png
1.0,22,Man,14.737169,85.26283,asian,46.302017,10.025445,2.7713983,4.602284,1.9853085,34.31355,neutral,0.0015406907,8.078479e-11,0.045438726,0.13153681,0.042043332,0.001052463,99.77838,cashier_young_47.png
1.0,27,Woman,99.99945,0.00054480677,latino hispanic,20.561071,9.190155,3.5442135,15.806049,9.335485,41.563023,neutral,0.12796994,6.655547e-07,0.48257667,0.8172283,2.8397212,0.00039599967,95.7321,cashier_young_4.png
1.0,23,Woman,98.84906,1.1509385,asian,74.654945,4.8513746,1.1646818,5.2184634,0.95357776,13.156952,happy,0.00044415568,1.796616e-08,0.02391641,62.934334,0.0061593535,0.1832707,36.851875,cashier_young_38.png
1.0,23,Woman,99.98908,0.010922337,white,3.2482438,4.517259,0.2113336,34.84457,26.849258,30.329338,happy,1.8172292e-06,7.778784e-12,8.266066e-08,84.38887,0.0042766356,8.665214e-05,15.606761,cashier_young_19.png
1.0,23,Woman,99.99268,0.0073229633,white,1.9168209,4.095744,0.55815154,40.343525,24.185417,28.900345,neutral,4.734496e-05,2.1410007e-12,0.00065110467,6.5656414,0.015404785,7.638972e-05,93.41818,cashier_young_22.png
1.0,21,Woman,99.3337,0.66629726,asian,99.45231,0.14803934,0.0009363019,0.095493056,0.0029307795,0.3002957,neutral,0.0033160136,3.3876727e-06,0.03654431,46.631207,0.22467743,0.0038073943,53.10044,cashier_young_35.png
1.0,24,Woman,99.44049,0.55951124,latino hispanic,1.8083062,3.1884592,0.37902737,38.891846,15.25853,40.473835,neutral,0.16713712,9.440215e-09,0.05637138,0.0066747875,0.8152369,0.00034915528,98.95424,cashier_young_5.png
1.0,27,Woman,99.99737,0.0026307316,asian,78.75689,2.2026598,0.20895144,0.5118754,0.07674807,18.242874,neutral,3.6331263,2.0874217e-05,0.112127244,0.061986357,3.024987,0.00034387177,93.167404,cashier_young_36.png
1.0,21,Woman,99.99665,0.0033475135,latino hispanic,23.480442,24.205467,4.0429945,4.0713997,2.977993,41.22171,neutral,0.15246916,0.00016195799,0.41779992,10.066886,1.3503078,0.06954254,87.94284,cashier_young_21.png
1.0,23,Woman,99.998116,0.001880375,white,0.36237824,1.3803295,0.04383976,46.01634,15.708894,36.48822,happy,5.2181497e-07,9.644621e-15,1.8847388e-09,86.853516,4.4984205e-05,0.0004352477,13.146008,cashier_young_25.png
1.0,22,Woman,99.952576,0.047427684,white,5.206968,3.9723117,0.472526,39.984802,17.810516,32.552876,neutral,1.0286542,1.7367529e-05,0.2955021,0.21113248,4.4949956,0.0038681508,93.965836,cashier_young_45.png
1.0,19,Woman,98.67953,1.3204724,asian,50.729008,6.7732716,2.7576613,3.3443048,0.87700474,35.518753,neutral,8.7284454e-05,6.338258e-14,0.00029943444,0.0003543354,0.0693216,1.7117266e-07,99.92994,cashier_young_31.png
1.0,19,Woman,96.873924,3.1260674,latino hispanic,13.5635805,5.7649984,0.7587594,10.100761,2.6076214,67.204285,neutral,4.3570188e-05,6.934742e-13,1.9379122e-05,0.013033111,0.012714504,1.8262504e-07,99.97419,cashier_young_42.png
1.0,23,Woman,99.98962,0.010382005,latino hispanic,19.444784,15.487163,3.288569,11.727123,7.041968,43.010395,neutral,1.6727568,1.7474603e-06,0.012325939,0.06852176,5.579348,2.1868298e-05,92.66703,cashier_young_26.png
1.0,29,Woman,99.999825,0.00018255127,asian,96.51357,0.71621287,0.012334563,0.22777538,0.0038402227,2.5262723,neutral,4.539699e-05,1.2172818e-13,9.7449956e-05,15.176436,0.0111779375,0.0013427545,84.810905,cashier_young_46.png
1.0,25,Woman,99.991585,0.008410496,white,1.3394488,3.489704,0.34249023,36.08652,26.844997,31.896835,neutral,0.061607286,2.1004785e-06,0.17865865,0.78166264,2.231494,0.00011347551,96.74646,cashier_young_27.png
1.0,22,Woman,99.26489,0.73510927,latino hispanic,21.368843,15.887955,1.6627223,10.594859,6.302067,44.183556,neutral,0.09529065,3.3384936e-07,0.035813995,1.0821179,1.1629477,0.005350714,97.618484,cashier_young_49.png
1.0,24,Woman,99.97789,0.022102593,asian,47.875103,8.207407,3.7929108,10.7654295,4.6935167,24.665636,happy,0.00038205757,1.5295175e-09,0.004060593,62.31022,0.036982857,0.004003385,37.644352,cashier_young_34.png
1.0,22,Woman,99.53048,0.46952358,latino hispanic,14.855264,10.578933,3.8722239,19.790918,12.506683,38.395977,neutral,9.927003,1.1611243e-08,1.750667,1.0819124e-06,31.796366,2.9620841e-08,56.525967,cashier_young_37.png
1.0,23,Woman,99.992325,0.0076709846,latino hispanic,7.285195,4.899969,0.39842734,29.3021,9.622854,48.49145,happy,1.3253931e-06,4.1677193e-11,5.8545686e-07,85.24883,0.0004690202,0.0063102576,14.744385,cashier_young_32.png
1.0,20,Woman,99.97738,0.022615712,asian,38.260975,12.815313,4.096505,6.5306315,3.342862,34.953716,neutral,0.046619833,7.025426e-11,0.016081225,0.00014903142,0.8118118,0.0008357191,99.124504,cashier_young_9.png
1.0,24,Woman,99.97456,0.025433678,white,1.3826755,0.66881365,0.11929392,73.57512,9.667569,14.586525,neutral,1.9754654,9.512399e-05,0.6077169,3.1611555,6.013213,0.009658182,88.2327,cashier_young_48.png
1.0,20,Woman,99.99349,0.0065127467,white,0.1386761,0.4295068,0.01829721,64.764694,17.943827,16.705008,neutral,0.28310528,4.9670285e-05,1.3481842,32.66476,10.773939,0.062257145,54.867702,cashier_young_16.png
1.0,21,Woman,99.72197,0.2780273,white,0.9887548,1.5384637,0.15055582,59.40376,19.617126,18.30134,neutral,0.40611705,2.1809776e-05,0.045707144,0.29485488,2.3566458,0.0033561192,96.893295,cashier_young_39.png
1.0,24,Woman,99.998795,0.0012027746,latino hispanic,23.866762,7.6697407,1.6626853,21.308203,13.399454,32.09316,neutral,1.0342435,0.00041023555,0.9247062,5.9157853,4.959081,0.0992692,87.066505,cashier_young_0.png
1.0,27,Woman,99.80528,0.19471517,asian,100.0,1.37142715e-08,1.5390168e-11,7.765959e-08,1.0209197e-10,2.6411992e-06,neutral,0.6242874,1.5255135e-05,0.51059556,4.316356,1.6319085,0.005511842,92.91132,cashier_young_28.png
1.0,25,Woman,99.99994,5.5127486e-05,latino hispanic,1.4434034,7.366534,0.16436101,28.117805,23.709244,39.198654,neutral,0.000578735,4.968865e-08,0.036245342,47.73253,0.07115475,0.0025015129,52.156998,cashier_young_12.png
1.0,20,Woman,99.99803,0.0019613337,latino hispanic,1.4461429,6.323461,0.42651314,30.756462,21.520142,39.527283,neutral,2.3595867,8.886429e-06,0.3032215,0.011829311,4.2490273,0.0011811415,93.07515,cashier_young_30.png
1.0,24,Woman,99.99943,0.00056784594,white,37.942787,0.4876628,0.114016145,45.159157,3.1609263,13.135452,happy,1.3274327e-07,6.4065506e-14,1.6130976e-08,98.01932,1.2821897e-05,0.0004357213,1.9802371,cashier_young_29.png
1.0,24,Woman,99.999405,0.00059663836,white,0.1457685,0.18516149,0.010644988,83.971825,7.1932526,8.493354,happy,3.956469e-09,9.1855726e-15,1.8852086e-08,99.5747,2.8540597e-07,0.0034568133,0.42184383,cashier_young_1.png
1.0,24,Woman,99.891556,0.108447954,asian,37.64562,10.472029,3.278676,10.390743,6.505914,31.707016,neutral,2.5006392,0.001219514,5.2654777,0.4636916,14.4938965,0.0011337802,77.27394,cashier_young_17.png
1.0,29,Woman,95.16055,4.8394485,asian,58.918415,6.332425,0.9737795,5.6230826,1.8785222,26.273771,neutral,0.4717227,1.52049e-07,0.03849226,0.3334247,1.2172458,0.0048387763,97.934265,cashier_young_23.png
1.0,23,Woman,90.045784,9.954215,white,2.8009353,4.221463,0.7231504,41.154057,20.226482,30.873915,happy,2.7550692e-05,1.109474e-11,2.174616e-07,79.39154,0.0030632222,0.00034353588,20.605022,cashier_young_13.png
1.0,27,Woman,99.99784,0.002160253,latino hispanic,12.507894,18.330652,1.4277267,7.9546633,4.46583,55.313236,neutral,0.044973914,2.9402381e-08,0.75932145,0.27127358,0.5815092,0.0078862645,98.33504,cashier_young_40.png
1.0,24,Woman,99.68802,0.31198823,latino hispanic,12.914472,18.682915,2.2868698,13.091718,14.475824,38.548203,neutral,1.1463676e-05,2.80689e-17,0.00037449884,1.6561422e-06,0.0039871978,7.879639e-05,99.99555,cashier_young_10.png
1.0,30,Woman,99.99989,0.00011007186,latino hispanic,3.1991656,3.284284,0.18471164,31.670895,13.5978985,48.06304,neutral,0.0015549148,2.825001e-10,0.0016836928,5.094621,0.079535134,0.00049623323,94.82211,cashier_young_14.png
1.0,26,Woman,99.97051,0.029486407,white,2.0587618,4.9083557,0.71939814,35.12315,25.130697,32.059635,happy,3.4944196e-09,5.552004e-13,2.0223474e-07,98.73377,2.7614524e-05,0.00035512997,1.2658452,cashier_young_24.png
1.0,25,Woman,99.81012,0.18988024,latino hispanic,35.840427,3.273816,0.8270234,13.084273,3.113757,43.860706,neutral,0.0018462826,3.5101887e-06,0.037626415,11.554517,0.27962765,0.064216115,88.062164,cashier_young_41.png
