age_insightface,gender_insightface,image
43.0,1.0,chef_asian_18.png
49.0,1.0,chef_asian_0.png
33.0,1.0,chef_asian_48.png
36.0,1.0,chef_asian_24.png
28.0,1.0,chef_asian_25.png
52.0,1.0,chef_asian_35.png
43.0,1.0,chef_asian_4.png
30.0,1.0,chef_asian_23.png
57.0,1.0,chef_asian_14.png
52.0,1.0,chef_asian_9.png
52.0,1.0,chef_asian_42.png
37.0,1.0,chef_asian_29.png
55.0,1.0,chef_asian_40.png
34.0,1.0,chef_asian_36.png
47.0,1.0,chef_asian_47.png
34.0,1.0,chef_asian_1.png
48.0,1.0,chef_asian_2.png
53.0,1.0,chef_asian_31.png
,,chef_asian_19.png
25.0,1.0,chef_asian_46.png
59.0,1.0,chef_asian_6.png
35.0,1.0,chef_asian_10.png
45.0,1.0,chef_asian_44.png
35.0,1.0,chef_asian_22.png
29.0,1.0,chef_asian_26.png
33.0,1.0,chef_asian_12.png
34.0,1.0,chef_asian_37.png
34.0,1.0,chef_asian_39.png
36.0,1.0,chef_asian_27.png
24.0,1.0,chef_asian_49.png
30.0,1.0,chef_asian_7.png
52.0,1.0,chef_asian_16.png
34.0,1.0,chef_asian_30.png
48.0,1.0,chef_asian_32.png
48.0,1.0,chef_asian_17.png
58.0,1.0,chef_asian_20.png
61.0,1.0,chef_asian_41.png
42.0,1.0,chef_asian_21.png
38.0,1.0,chef_asian_38.png
48.0,1.0,chef_asian_3.png
33.0,1.0,chef_asian_15.png
31.0,1.0,chef_asian_11.png
28.0,1.0,chef_asian_34.png
26.0,1.0,chef_asian_5.png
,,chef_asian_28.png
55.0,1.0,chef_asian_43.png
34.0,1.0,chef_asian_33.png
51.0,1.0,chef_asian_13.png
46.0,1.0,chef_asian_45.png
42.0,1.0,chef_asian_8.png
