face_confidence_deepface,age_deepface,gender_deepface,Woman,Man,race_deepface,asian,indian,black,white,middle eastern,latino hispanic,emotion_deepface,angry,disgust,fear,happy,sad,surprise,neutral,image
1.0,51,Man,0.018273124,99.98173,white,0.35491648,2.301141,0.21713057,41.928684,38.01151,17.186615,neutral,8.379003,0.33741614,0.73702407,0.018302768,5.0147157,0.24354368,85.270004,chef_elderly_6.png
1.0,51,Man,0.0314641,99.968544,middle eastern,0.03557482,4.4909897,0.069943465,3.4786608,86.587746,5.337081,neutral,5.60241,3.8361148e-07,0.008413519,0.016574223,3.3636703,0.00013096044,91.008804,chef_elderly_38.png
1.0,54,Man,0.051631883,99.94837,middle eastern,0.7373219,6.5112844,0.22928376,3.259347,83.48776,5.774998,neutral,0.009548173,1.8277655e-09,2.2641488e-07,0.007824672,0.06804546,7.563999e-08,99.91458,chef_elderly_22.png
1.0,50,Man,0.031224769,99.96878,middle eastern,0.0007562044,0.5421266,0.0012989234,0.30979598,98.84862,0.29740822,happy,3.3592514e-08,8.531786e-17,4.0971383e-11,85.98976,0.006230191,2.1114752e-09,14.004014,chef_elderly_35.png
1.0,54,Man,0.08038355,99.919624,middle eastern,0.23560426,5.29044,0.16397516,22.325212,56.130737,15.854036,neutral,7.3624725,1.1571831e-05,0.00047431185,0.7264818,0.28758296,1.1553532e-08,91.62298,chef_elderly_29.png
1.0,47,Man,0.15340078,99.8466,middle eastern,4.393176,18.74332,5.063853,16.455902,30.342382,25.001368,neutral,0.019726325,3.0606864e-07,0.0018024174,36.63983,0.8218311,0.019099418,62.497704,chef_elderly_49.png
1.0,49,Man,0.12364379,99.87636,middle eastern,1.588923,6.5857,0.4467508,24.1057,34.821815,32.451103,neutral,0.0013370255,1.7853623e-05,3.9429622,1.1877788,0.467567,0.014987811,94.38535,chef_elderly_21.png
1.0,53,Man,0.08459988,99.9154,white,0.02008214,0.1775341,0.0023800544,74.93979,20.435257,4.4249616,happy,0.11773271,0.015130673,14.181344,56.45913,5.2971706,0.04673155,23.882755,chef_elderly_20.png
1.0,58,Man,0.05697403,99.94302,latino hispanic,2.702824,4.8499327,1.3779404,28.273932,16.824518,45.970856,happy,7.891635,0.34779578,22.522697,47.6538,4.7181787,1.0178566,15.848039,chef_elderly_10.png
1.0,52,Man,0.014709153,99.98529,middle eastern,0.6180284,8.964414,0.78922,18.790852,45.296593,25.540901,neutral,6.478548,0.0065361992,1.5893993,0.25609726,11.518947,0.026633088,80.12383,chef_elderly_0.png
1.0,53,Man,0.024901139,99.975105,middle eastern,0.15116093,2.4386005,0.066779085,31.98044,53.859478,11.503545,happy,0.013329269,5.545836e-05,0.4671372,84.20837,0.6699838,0.12313796,14.51799,chef_elderly_8.png
1.0,51,Man,0.035205662,99.9648,middle eastern,9.675375,15.304215,3.8542755,17.292465,28.286552,25.587114,neutral,0.07278202,2.3792362e-08,4.5561694e-05,4.980724,0.3115405,1.208083e-06,94.63491,chef_elderly_28.png
1.0,51,Man,0.059239574,99.940765,middle eastern,3.0637724,11.075833,0.91861963,18.981686,41.15867,24.801422,neutral,0.47618046,0.0027097955,0.43490133,39.696465,1.4760683,0.003664465,57.910004,chef_elderly_25.png
1.0,47,Man,0.14498568,99.85501,middle eastern,0.673593,4.371865,0.19355272,8.16755,78.29237,8.301062,neutral,0.03966905,4.760958e-06,12.637967,6.2929816,0.48470205,1.1379832,79.40669,chef_elderly_17.png
1.0,62,Man,0.23127343,99.76872,white,18.057734,10.266394,3.389629,23.15352,22.249662,22.883062,neutral,4.6545887e-05,5.687237e-16,6.245825e-09,0.004592152,0.00011144225,4.4414688e-07,99.99524,chef_elderly_33.png
1.0,56,Man,0.06777437,99.93223,middle eastern,1.8924567,12.97127,1.5217698,16.431984,51.044685,16.137838,neutral,0.2721529,4.563254e-07,5.4806423,0.50268954,8.375071,0.0036910404,85.36575,chef_elderly_7.png
1.0,50,Man,0.021581046,99.97842,middle eastern,0.035212897,2.4692736,0.018611444,10.26361,81.9708,5.24249,neutral,0.00084223103,3.907565e-09,2.4840351e-06,0.1159312,0.22072133,3.946745e-10,99.662506,chef_elderly_48.png
1.0,45,Man,0.44278967,99.557205,middle eastern,0.8150818,7.5353675,0.39251265,8.953396,64.40981,17.893833,neutral,1.8961076,0.0015215593,0.03305428,0.028621033,6.661468,0.0015216985,91.37771,chef_elderly_24.png
1.0,60,Man,0.088009626,99.911995,middle eastern,1.1066718,9.470107,1.0525936,8.55144,66.60199,13.2171955,neutral,1.6321267,0.010196792,3.7529762,5.627435,18.034462,0.35236016,70.59045,chef_elderly_40.png
1.0,52,Man,0.024014138,99.97598,latino hispanic,5.830667,11.045129,1.4620359,17.040674,31.086605,33.534893,sad,4.044901,9.864747,17.005518,0.0230768,63.749706,0.0028889512,5.30916,chef_elderly_18.png
1.0,48,Man,0.011995024,99.98801,middle eastern,0.0036726375,0.7740029,0.0075718397,31.292557,64.255066,3.6671293,neutral,2.6635022,1.1404635e-05,0.060305733,28.11505,0.93747324,0.051231503,68.17243,chef_elderly_31.png
1.0,58,Man,0.038345315,99.96165,middle eastern,1.8208834,9.599473,1.0398734,16.368856,57.725967,13.444946,neutral,0.032968067,0.0025392873,2.815077,43.53877,1.2068963,0.15226589,52.25148,chef_elderly_2.png
1.0,60,Man,0.061675493,99.938324,middle eastern,0.115939505,4.1815376,0.0449507,3.553837,87.88835,4.215385,neutral,0.07621062,4.6666018e-09,4.6027594e-06,0.0011414113,0.7032162,2.375105e-08,99.21943,chef_elderly_37.png
1.0,56,Man,0.10387929,99.89612,middle eastern,0.021496631,2.1033452,0.018581865,5.8037314,89.1153,2.9375453,happy,0.061127998,6.7683004e-07,0.0006472777,53.18453,0.8995454,1.5305648e-05,45.854137,chef_elderly_26.png
1.0,49,Man,0.33424336,99.665764,middle eastern,1.8115659,12.035253,1.2792491,9.717621,64.06779,11.088531,neutral,19.342764,0.8383064,0.24555732,0.016513225,31.993528,0.0047407285,47.558586,chef_elderly_47.png
1.0,45,Man,0.015402933,99.9846,middle eastern,0.99641144,8.610243,0.9851004,13.379368,61.763756,14.265125,neutral,0.00026239897,2.191596e-09,8.363519e-08,10.337073,0.17851315,1.5786973e-06,89.48415,chef_elderly_13.png
1.0,48,Man,0.013268745,99.98673,latino hispanic,2.2672215,9.122901,14.564594,21.120207,19.205894,33.71919,neutral,0.004950967,1.9559018e-06,0.009134228,1.9238633,0.47792864,0.6910334,96.89309,chef_elderly_41.png
1.0,48,Man,0.032547493,99.96745,middle eastern,0.099185504,2.851383,0.10479154,18.32018,68.89332,9.731153,happy,0.0077965828,0.00015744347,0.0013319949,87.17614,2.51069,5.70406e-06,10.303873,chef_elderly_23.png
1.0,53,Man,0.18062416,99.81938,middle eastern,2.4195735,6.8604746,0.9515865,23.04992,40.024612,26.693836,neutral,8.043576,11.737591,8.625162,0.008732863,33.04776,0.06972965,38.467445,chef_elderly_9.png
1.0,53,Man,0.7540065,99.245995,middle eastern,0.2938238,11.020969,0.46555167,9.996705,62.98773,15.235222,neutral,0.023646532,6.530164e-07,0.001099855,0.02830616,19.434559,0.0007005093,80.51169,chef_elderly_16.png
1.0,49,Man,0.10484734,99.89516,middle eastern,1.0346828,3.4821591,0.18831511,12.31236,74.412094,8.570386,neutral,0.0020227616,9.6773975e-09,1.7177188e-05,0.0002495533,0.019413263,1.334253e-07,99.978294,chef_elderly_3.png
1.0,43,Man,0.08572249,99.914276,latino hispanic,6.9570317,13.409499,3.5876772,14.122554,25.675478,36.247753,fear,0.60063857,0.011024626,48.68278,0.008738273,22.659672,0.002138926,28.035011,chef_elderly_39.png
1.0,55,Man,0.019702397,99.9803,middle eastern,0.021036131,1.8646241,0.010327852,6.990249,87.944916,3.1688395,neutral,0.036724478,5.002085e-11,5.2636237e-06,0.0027460135,0.06728132,2.9111754e-07,99.89324,chef_elderly_15.png
