age_insightface,gender_insightface,image
46.0,1.0,doctor_black_10.png
33.0,1.0,doctor_black_17.png
,,doctor_black_18.png
34.0,1.0,doctor_black_15.png
27.0,1.0,doctor_black_38.png
38.0,1.0,doctor_black_35.png
48.0,1.0,doctor_black_21.png
39.0,1.0,doctor_black_1.png
39.0,1.0,doctor_black_29.png
40.0,1.0,doctor_black_5.png
31.0,1.0,doctor_black_43.png
56.0,1.0,doctor_black_36.png
45.0,1.0,doctor_black_45.png
31.0,1.0,doctor_black_7.png
42.0,1.0,doctor_black_30.png
42.0,1.0,doctor_black_13.png
53.0,1.0,doctor_black_24.png
53.0,1.0,doctor_black_2.png
35.0,1.0,doctor_black_47.png
26.0,1.0,doctor_black_33.png
22.0,1.0,doctor_black_8.png
39.0,1.0,doctor_black_25.png
34.0,1.0,doctor_black_9.png
47.0,1.0,doctor_black_27.png
35.0,1.0,doctor_black_14.png
27.0,1.0,doctor_black_22.png
44.0,1.0,doctor_black_6.png
,,doctor_black_23.png
38.0,1.0,doctor_black_0.png
38.0,1.0,doctor_black_11.png
39.0,1.0,doctor_black_42.png
37.0,1.0,doctor_black_12.png
39.0,1.0,doctor_black_20.png
38.0,1.0,doctor_black_4.png
48.0,1.0,doctor_black_44.png
22.0,1.0,doctor_black_48.png
39.0,1.0,doctor_black_3.png
35.0,1.0,doctor_black_39.png
33.0,1.0,doctor_black_49.png
40.0,1.0,doctor_black_37.png
27.0,1.0,doctor_black_40.png
41.0,1.0,doctor_black_46.png
26.0,1.0,doctor_black_26.png
43.0,1.0,doctor_black_16.png
27.0,1.0,doctor_black_31.png
40.0,1.0,doctor_black_32.png
40.0,1.0,doctor_black_41.png
42.0,1.0,doctor_black_19.png
42.0,1.0,doctor_black_28.png
35.0,1.0,doctor_black_34.png
