face_confidence_deepface,age_deepface,gender_deepface,Woman,Man,race_deepface,asian,indian,black,white,middle eastern,latino hispanic,emotion_deepface,angry,disgust,fear,happy,sad,surprise,neutral,image
1.0,33,Man,1.2530358,98.74696,white,0.0005830451,0.002667094,5.0879105e-05,96.11036,1.5759232,2.3104198,neutral,0.0007822974,5.0976345e-11,2.9518287e-06,17.111204,0.04334893,1.1373326e-06,82.84466,doctor_white_26.png
1.0,36,Man,0.56880105,99.431206,white,0.006267322,0.23807237,0.01172167,58.897667,37.48521,3.3610568,neutral,0.4987846,0.00053312577,0.03823375,10.125723,3.1708639,0.016889844,86.14897,doctor_white_46.png
1.0,31,Man,0.16596232,99.83404,white,0.0024575158,0.026004424,0.0008844112,88.07824,7.267258,4.625156,neutral,10.157429,0.05323334,5.302362,0.7878141,15.876854,0.6075923,67.214714,doctor_white_1.png
1.0,35,Man,0.019960975,99.98004,white,2.4353554,5.036223,0.91377807,34.97456,26.45692,30.183167,neutral,9.751774,1.3306783e-05,0.019119063,0.18379182,5.1195436,0.015970157,84.90979,doctor_white_2.png
1.0,26,Man,1.5693115,98.430695,middle eastern,0.27443653,2.0228531,0.2041503,35.660057,46.25673,15.581777,neutral,0.045194093,6.2129396e-10,0.003830433,0.08928671,0.111706726,2.6499167e-06,99.74997,doctor_white_22.png
1.0,31,Man,0.12129615,99.87871,white,0.81910014,1.1129838,0.12848023,59.9693,23.110615,14.859528,neutral,1.6501096,1.9099218e-05,0.035679437,0.00879784,18.428492,5.1892504e-05,79.876854,doctor_white_21.png
1.0,33,Man,0.03339766,99.9666,white,0.6289759,1.4803805,0.22065257,57.491135,17.551573,22.627285,neutral,0.018407546,6.64926e-10,0.0001617064,1.2222223,0.17919329,0.00019914978,98.57982,doctor_white_17.png
1.0,27,Man,0.06868542,99.93131,white,0.23146147,1.3201076,0.17634884,51.369755,30.24241,16.659918,happy,3.4547877e-05,4.1388235e-09,0.0002977658,85.8763,0.08239635,1.5917802e-05,14.040957,doctor_white_45.png
1.0,33,Man,0.37337616,99.62663,white,0.009501344,0.08710185,0.0024018327,80.05652,12.234552,7.609928,happy,11.097249,0.0006089154,0.0073889336,68.744286,0.5991118,0.024003562,19.527355,doctor_white_11.png
1.0,28,Man,0.46717367,99.53283,white,1.5103498e-05,5.277152e-05,3.5110187e-07,99.71735,0.12607864,0.15651748,neutral,0.43265665,1.8099496e-05,0.08299842,1.3897749,0.9666797,0.00091030815,97.12696,doctor_white_9.png
1.0,32,Man,0.052519124,99.94748,middle eastern,0.6018023,3.5073888,0.30619848,36.156784,37.72302,21.704807,neutral,0.49623162,4.3864893e-05,0.007453305,11.979377,2.6853843,0.0022699952,84.82924,doctor_white_12.png
1.0,33,Man,0.31340206,99.68659,white,0.27479786,1.0694538,0.13619266,54.190258,21.476221,22.85308,neutral,0.0011551445,6.024142e-10,3.4526438e-06,0.107184775,0.5843739,1.7183652e-09,99.30728,doctor_white_33.png
1.0,31,Man,0.03616833,99.96383,middle eastern,0.19009732,5.7881513,0.6226269,20.665827,56.189392,16.543903,neutral,0.05401374,1.5031124e-09,0.00010829493,47.053143,0.1355173,5.511082e-05,52.75716,doctor_white_32.png
1.0,29,Man,0.002126975,99.99788,middle eastern,0.0022669774,0.83537376,0.016458051,15.350856,79.17896,4.616077,neutral,2.882254,7.142918e-05,0.11610517,0.85430044,5.8438993,0.0012586148,90.30211,doctor_white_14.png
1.0,37,Man,3.97432,96.02569,white,0.00012921207,0.0005082791,7.5330468e-06,98.98602,0.44256112,0.5707774,neutral,4.9564786,0.0003250564,1.2769226,0.093811475,1.9050426,0.104209535,91.663216,doctor_white_35.png
1.0,26,Man,0.013418321,99.98658,white,0.17740557,0.83477926,0.07121027,62.690754,18.903511,17.322334,neutral,0.016455328,1.5745844e-07,0.004672585,0.003520103,0.31088156,4.8142872e-05,99.66443,doctor_white_4.png
1.0,29,Man,0.09256813,99.90743,white,0.00015787012,0.00033836352,4.6350847e-06,99.210396,0.4172663,0.37183693,neutral,0.0015563576,3.177018e-08,0.00052915403,9.971646,1.4972672,2.8407512e-06,88.529,doctor_white_25.png
1.0,34,Man,0.6735681,99.32643,white,9.63543e-06,6.490925e-05,2.2288118e-07,99.53261,0.2792824,0.18803883,neutral,34.987385,0.118571624,0.5703176,9.18995,5.6567245,0.5140462,48.962994,doctor_white_24.png
1.0,39,Man,0.10964329,99.89035,white,1.1205136,1.9727879,0.20625149,54.852135,22.692724,19.15559,neutral,0.56494933,0.00075896154,0.24797998,2.5747435,4.8692923,0.00538006,91.73689,doctor_white_29.png
1.0,28,Man,0.057245925,99.94276,white,0.069333084,0.32768202,0.034890004,69.38011,16.209482,13.978495,neutral,4.862,0.0019601623,11.563883,2.888065,15.817731,1.5271837,63.339176,doctor_white_6.png
1.0,27,Man,0.117804125,99.882195,asian,36.254818,11.420284,6.5161734,12.091406,7.899335,25.817978,happy,1.8380913e-06,1.3806378e-09,1.2254088e-05,79.41169,0.00094568613,0.00020199789,20.58715,doctor_white_38.png
1.0,32,Man,0.29126158,99.70874,white,0.09682347,0.23373264,0.016391588,76.48116,11.212272,11.959627,neutral,0.10183352,7.097307e-07,0.016399104,12.460696,2.5133567,0.0009799867,84.90673,doctor_white_8.png
1.0,33,Man,0.14558518,99.85442,white,0.016996052,0.22287612,0.005539961,72.79018,19.352945,7.611471,happy,2.207531e-06,8.3141496e-13,2.5034335e-08,86.06549,0.00042589149,2.8176527e-07,13.934089,doctor_white_23.png
1.0,36,Man,0.08164821,99.91835,white,0.0032601284,0.13785827,0.0025469305,54.819767,40.098103,4.938465,happy,0.0016669552,1.7016785e-07,8.9179186e-05,52.005814,0.042938463,0.00031776616,47.949173,doctor_white_19.png
