age_insightface,gender_insightface,image
42,1,doctor_white_26.png
52,1,doctor_white_46.png
45,1,doctor_white_1.png
44,1,doctor_white_2.png
23,1,doctor_white_22.png
41,1,doctor_white_21.png
40,1,doctor_white_17.png
40,1,doctor_white_45.png
43,1,doctor_white_11.png
40,1,doctor_white_9.png
36,1,doctor_white_12.png
44,1,doctor_white_33.png
39,1,doctor_white_32.png
46,1,doctor_white_14.png
49,1,doctor_white_35.png
36,1,doctor_white_4.png
46,1,doctor_white_25.png
46,1,doctor_white_24.png
50,1,doctor_white_29.png
47,1,doctor_white_6.png
44,1,doctor_white_38.png
40,1,doctor_white_8.png
44,1,doctor_white_23.png
45,1,doctor_white_19.png
52,1,doctor_white_34.png
45,1,doctor_white_5.png
48,1,doctor_white_36.png
42,1,doctor_white_20.png
51,1,doctor_white_31.png
48,1,doctor_white_47.png
53,1,doctor_white_44.png
47,1,doctor_white_41.png
44,1,doctor_white_15.png
44,1,doctor_white_49.png
41,1,doctor_white_28.png
59,1,doctor_white_39.png
55,1,doctor_white_43.png
45,1,doctor_white_16.png
46,1,doctor_white_37.png
53,1,doctor_white_30.png
45,1,doctor_white_40.png
34,1,doctor_white_18.png
25,1,doctor_white_48.png
36,1,doctor_white_42.png
45,1,doctor_white_7.png
45,1,doctor_white_27.png
43,1,doctor_white_0.png
53,1,doctor_white_10.png
47,1,doctor_white_3.png
47,1,doctor_white_13.png
