face_confidence_deepface,age_deepface,gender_deepface,Woman,Man,race_deepface,asian,indian,black,white,middle eastern,latino hispanic,emotion_deepface,angry,disgust,fear,happy,sad,surprise,neutral,image
1.0,43,Man,0.013520121,99.98648,white,0.0026456453,0.046285547,0.0013317219,85.04156,10.724192,4.1839895,neutral,6.0064564,2.174059,1.821042,7.5671797,6.6412416,0.2592699,75.530754,fitness instructor_middle aged_36.png
1.0,50,Man,0.044858407,99.95514,white,0.002520458,0.024093779,0.00024029618,89.46997,6.250019,4.253163,neutral,0.035997976,3.0683962e-11,7.167587e-06,3.4898218e-05,0.039926633,9.864191e-09,99.924034,fitness instructor_middle aged_25.png
1.0,49,Man,0.009650823,99.99034,middle eastern,0.023877565,1.8392444,0.04233104,21.796967,68.42088,7.876701,neutral,0.07768934,6.946088e-09,0.00054074096,18.918194,0.02163493,0.0058461204,80.97609,fitness instructor_middle aged_20.png
1.0,32,Man,0.011496253,99.98851,white,0.043472335,0.5991986,0.03833189,55.448746,33.592354,10.277898,happy,0.041972086,0.0054180287,0.046168197,95.65293,0.7216699,0.0046280497,3.527219,fitness instructor_middle aged_23.png
1.0,51,Man,0.009652314,99.99034,white,0.00023354053,0.0022830346,2.8697374e-05,98.695564,0.8778026,0.4240902,happy,0.0025345786,1.1207196e-09,1.2270834e-06,94.4803,0.0016959847,9.802653e-05,5.515373,fitness instructor_middle aged_1.png
1.0,42,Man,0.005369914,99.99464,white,0.5755144,1.2286674,0.25570762,51.632042,27.909473,18.3986,neutral,0.14072044,6.9478574e-06,0.00020375515,40.85138,1.3880625,0.00010000046,57.61953,fitness instructor_middle aged_6.png
1.0,44,Man,0.028232515,99.97176,white,0.37814707,1.1400391,0.10615217,58.74354,22.914314,16.7178,neutral,35.701492,5.5750763e-05,0.557954,0.9585922,1.1202376,0.0011260875,61.66054,fitness instructor_middle aged_5.png
1.0,48,Man,0.041928936,99.95807,asian,26.098864,14.861834,18.959013,10.233972,10.1593485,19.686968,happy,1.3110007,0.012312158,0.035239737,98.26815,0.05413497,0.069508895,0.24964339,fitness instructor_middle aged_21.png
1.0,40,Man,0.10805519,99.89195,white,1.9957124,3.0814638,0.43816438,44.53651,20.445038,29.503115,neutral,5.002282,2.3336392e-05,0.014348433,0.028528817,0.46514142,0.026281582,94.463394,fitness instructor_middle aged_31.png
1.0,47,Man,0.050827105,99.94917,white,0.013411889,0.02134736,0.0014558211,90.528625,6.2181926,3.2169619,happy,0.03811311,2.1771027e-06,0.00086821336,85.73881,0.056677584,0.011934491,14.153598,fitness instructor_middle aged_38.png
1.0,48,Man,0.0325877,99.96741,white,1.5858728,3.7998946,0.5448006,38.204086,36.787594,19.077757,angry,52.24956,2.6479352e-06,0.0040058675,43.835316,1.8554589,1.8696353e-08,2.0556643,fitness instructor_middle aged_7.png
1.0,48,Man,0.017452955,99.98255,white,0.32034737,2.3411908,0.2652522,44.644157,34.626846,17.802206,neutral,0.32698756,1.4615085e-07,0.0026371086,1.9082371,0.93941706,3.23805e-06,96.82272,fitness instructor_middle aged_17.png
1.0,39,Man,0.039358832,99.96064,white,0.00347294,0.05322076,0.0010603755,81.84128,13.081698,5.01927,angry,53.63332,0.00035992614,0.015375695,3.0514393,8.421892,5.9346174e-05,34.877556,fitness instructor_middle aged_14.png
1.0,39,Man,0.031292,99.968704,white,0.14611232,0.64397186,0.09214539,57.022198,15.326799,26.768774,neutral,0.02395895,3.9121376e-11,7.6966026e-05,3.5845659,0.014942083,2.8004555e-05,96.37643,fitness instructor_middle aged_0.png
1.0,49,Man,0.0150999315,99.98489,middle eastern,0.50771683,4.399202,0.32852376,32.114056,38.80309,23.847414,neutral,2.7914572e-05,1.5176365e-13,3.239711e-08,0.00040145978,0.083282985,2.5039654e-12,99.91629,fitness instructor_middle aged_13.png
1.0,43,Man,0.004704615,99.99529,latino hispanic,3.8068964,10.035496,2.5344872,23.566137,28.460508,31.596481,angry,66.4298,0.058180325,0.008736246,0.0049001505,9.031068,1.5459415e-06,24.467316,fitness instructor_middle aged_47.png
1.0,39,Man,0.022056388,99.97794,white,0.17024232,2.3814232,0.20433657,39.580338,36.61699,21.04667,neutral,0.37384954,2.726716e-08,0.0026953463,0.0030528498,1.0969502,2.1762821e-06,98.52344,fitness instructor_middle aged_48.png
1.0,41,Man,0.08234351,99.917656,white,0.004376224,0.019233892,0.0010657075,93.38517,3.3942733,3.1958733,neutral,0.0020008727,1.0142226e-06,0.72919333,7.322802,0.291062,2.6146045,89.040344,fitness instructor_middle aged_41.png
1.0,44,Man,0.006619573,99.993385,white,0.03833957,0.20048937,0.013358523,76.1336,11.393009,12.221208,neutral,1.1175945,7.932585e-09,0.0026478586,0.7575109,0.16402058,0.00019431456,97.95803,fitness instructor_middle aged_34.png
1.0,43,Man,0.008982808,99.99101,white,3.0461826,3.9205854,0.8378954,47.43444,18.478722,26.282177,neutral,0.00084687915,5.3383474e-08,0.00047837952,20.910934,0.79865205,2.038072e-05,78.28907,fitness instructor_middle aged_29.png
