face_confidence_deepface,age_deepface,gender_deepface,Woman,Man,race_deepface,asian,indian,black,white,middle eastern,latino hispanic,emotion_deepface,angry,disgust,fear,happy,sad,surprise,neutral,image
1.0,27,Woman,99.995636,0.00436495,white,1.0545335,0.9899386,0.17433573,54.460472,10.501377,32.819347,neutral,0.0038079533,4.0562242e-09,3.289022e-05,0.41748804,1.1078957,7.820136e-07,98.47078,fitness instructor_white_31.png
1.0,26,Woman,99.99979,0.00021287354,white,0.31580934,1.9578497,0.16200662,46.449463,20.719736,30.395136,neutral,0.013827334,3.069803e-08,0.0084217675,0.46435624,0.94626236,5.1682022e-05,98.567085,fitness instructor_white_32.png
1.0,27,Woman,99.99936,0.0006389788,white,0.14865848,0.11347175,0.019635519,79.93998,4.4276667,15.350591,neutral,0.29287642,0.00010100998,0.13960977,0.25551724,1.7765386,0.009873061,97.52549,fitness instructor_white_12.png
1.0,31,Woman,99.99429,0.0057072905,white,0.17702475,0.2053484,0.03846207,73.505554,5.627373,20.446234,neutral,0.10543618,0.0033836241,0.15428479,5.5244164,2.3040082,0.0072433823,91.90122,fitness instructor_white_10.png
1.0,27,Woman,99.999596,0.00040708238,white,0.086576685,0.13297005,0.01374456,75.40411,5.4681735,18.894426,happy,0.00015921996,1.5440206e-10,2.2624731e-06,65.51066,0.004432638,3.7078244e-05,34.484707,fitness instructor_white_25.png
1.0,27,Woman,99.995865,0.004140523,white,0.026766716,0.07234243,0.0059261075,83.88381,3.6572845,12.353869,neutral,0.014198065,5.4984177e-08,0.00091736973,0.09160808,0.6462778,0.0025335625,99.24447,fitness instructor_white_2.png
1.0,29,Woman,99.998604,0.001388868,latino hispanic,4.66395,3.9627552,1.0177014,37.080437,9.675637,43.599518,happy,0.0024375878,2.087061e-06,0.00018726558,76.15201,0.12502952,0.0018173984,23.718523,fitness instructor_white_47.png
1.0,29,Woman,99.89918,0.10082369,white,0.9295092,1.3448769,0.28575236,59.236942,11.460586,26.742332,neutral,0.0057139127,6.6072237e-09,0.05387014,0.20969664,0.28639507,0.0026735784,99.44166,fitness instructor_white_18.png
1.0,26,Woman,99.999916,8.206147e-05,white,0.25563884,0.55720633,0.07062767,53.574257,11.828732,33.713543,neutral,0.00022212803,3.7919915e-07,0.026123755,35.282787,0.1914271,0.011958969,64.48748,fitness instructor_white_4.png
1.0,29,Woman,99.99222,0.00778138,white,0.24788406,0.20784214,0.03240211,75.537964,9.930935,14.04297,neutral,0.00018326378,1.8425098e-09,0.021665368,1.1734859,0.017897343,0.00073852064,98.78603,fitness instructor_white_15.png
1.0,32,Woman,92.37384,7.6261563,latino hispanic,7.9379234,4.7079782,1.9751881,31.343372,14.878551,39.156994,happy,0.024292998,0.0031628872,0.042263746,89.67913,0.8985427,0.008102961,9.344515,fitness instructor_white_21.png
1.0,29,Woman,99.99994,6.4152286e-05,white,0.010162576,0.013037598,0.00060680526,94.06335,1.8108736,4.1019735,happy,0.0027629156,1.1122959e-06,0.01111064,91.51733,0.007323158,0.340459,8.121014,fitness instructor_white_30.png
1.0,32,Woman,99.99892,0.001082531,white,0.7614939,1.0077049,0.11770864,54.847824,19.740482,23.524786,happy,0.06966597,0.00038374442,0.014265623,76.77847,0.14540802,0.037571613,22.954237,fitness instructor_white_11.png
1.0,32,Woman,99.9883,0.011707285,white,0.04985187,0.1556527,0.008647517,78.77643,7.6838713,13.325546,neutral,0.32742667,1.7475372e-06,0.029571917,0.014524004,1.0927632,9.641187e-05,98.535614,fitness instructor_white_37.png
1.0,33,Woman,99.999985,1.0524441e-05,white,0.27705416,0.6072332,0.08874247,59.92074,11.778442,27.32779,neutral,0.00067181006,2.1826299e-09,6.646639e-05,0.017188769,0.34496737,3.93895e-05,99.63707,fitness instructor_white_3.png
1.0,24,Woman,99.99955,0.00044895647,white,0.21943484,1.413772,0.2220202,58.8113,14.092584,25.24088,happy,7.289941e-08,2.7723375e-12,8.999043e-08,99.28907,5.0991122e-05,5.2342434e-06,0.7108687,fitness instructor_white_26.png
1.0,28,Woman,99.98835,0.01163985,white,0.18853073,0.7472794,0.05143694,57.669525,11.556303,29.786924,neutral,0.14874028,1.2708044e-08,0.00245574,0.0030322836,0.88020164,5.634286e-07,98.965576,fitness instructor_white_48.png
1.0,29,Woman,99.99642,0.003571754,white,5.56789,0.12471451,0.04869647,87.05497,1.9079373,5.2957935,neutral,0.23691404,1.7167004e-05,0.013794148,0.6862479,0.73395634,0.0037991437,98.32527,fitness instructor_white_45.png
1.0,25,Woman,99.30478,0.69522405,white,0.36849448,0.6758339,0.14555451,56.808002,8.898741,33.10338,neutral,0.00059883203,8.962337e-10,0.0036335045,0.0016465912,0.25373092,2.189908e-05,99.74037,fitness instructor_white_28.png
1.0,27,Woman,99.93523,0.064770594,white,0.21009134,0.43737194,0.050415907,51.748085,9.702312,37.851723,neutral,0.00033707128,8.943216e-11,0.00011763142,0.07272371,0.10220848,2.5508318e-06,99.8246,fitness instructor_white_17.png
1.0,26,Woman,99.999916,8.699509e-05,latino hispanic,2.768252,11.14854,2.7143378,28.78763,16.439205,38.14204,neutral,0.00014297565,9.923557e-12,0.0005404785,0.29535916,0.08862469,2.8288225e-05,99.6153,fitness instructor_white_19.png
1.0,31,Woman,99.999214,0.000792218,white,2.7332904,2.3653915,0.6922592,46.854366,16.602034,30.75266,neutral,0.005178521,0.00029324053,0.0074282815,12.670442,3.565651,4.084269e-06,83.75101,fitness instructor_white_29.png
1.0,28,Woman,100.0,6.3647315e-07,white,0.3810283,0.6186186,0.09958523,55.795353,8.804199,34.301216,happy,4.3744516e-10,2.2703207e-16,9.484513e-12,99.87793,2.162304e-06,2.0273003e-08,0.12206912,fitness instructor_white_13.png
1.0,32,Woman,99.99281,0.0071848547,white,0.3391536,0.25694236,0.035486393,77.04619,7.394396,14.927825,neutral,0.120325804,0.2407416,0.027954517,0.2560366,5.0785217,0.00019409583,94.27622,fitness instructor_white_41.png
1.0,28,Woman,99.474915,0.52508754,white,2.522458,2.1556578,0.49171892,50.915676,18.255335,25.659159,happy,4.7188355e-06,6.148816e-11,2.409225e-07,95.8849,0.0003642041,4.9202426e-06,4.11473,fitness instructor_white_40.png
1.0,28,Woman,99.93056,0.069441766,white,0.55684197,0.9599164,0.2031329,53.866463,14.584,29.829638,neutral,0.13173847,0.00016964391,0.03226105,0.02323191,3.2160888,0.025219947,96.57129,fitness instructor_white_0.png
1.0,28,Woman,99.99924,0.00076749804,white,0.91607547,1.0530035,0.32290658,52.931835,14.199769,30.57641,neutral,0.04154742,5.2610702e-09,0.003356682,0.0054225815,0.17857134,2.4543493e-05,99.77108,fitness instructor_white_5.png
1.0,31,Woman,99.989716,0.010288341,white,9.77383e-14,2.0271874e-14,2.1608741e-18,100.0,6.241662e-07,7.9012545e-07,neutral,1.7782224,0.0024686297,0.08626672,28.844988,1.3166802,0.00069595786,67.97067,fitness instructor_white_35.png
1.0,28,Woman,69.38385,30.616146,white,0.29274356,0.60699195,0.06700734,62.85618,21.498106,14.678974,neutral,9.081808,0.4320398,14.276134,2.2590637,6.3611636,0.42070654,67.16908,fitness instructor_white_38.png
1.0,34,Woman,99.99889,0.0011128887,white,0.79116625,1.6153256,0.27171066,47.44194,12.748798,37.131065,neutral,1.3467701e-05,4.8357813e-13,3.9067486e-06,0.000969271,0.011554221,1.6981531e-06,99.987465,fitness instructor_white_49.png
1.0,25,Woman,99.97971,0.020280762,latino hispanic,5.5903444,7.9466634,2.6678507,22.135881,13.256325,48.402935,happy,2.835727e-06,2.7916842e-09,3.7693404e-05,92.36987,0.013376465,0.00020462078,7.616512,fitness instructor_white_22.png
1.0,27,Woman,99.99506,0.0049386416,white,0.2663152,0.44445843,0.05430363,67.31037,9.350932,22.573612,neutral,0.00034606134,5.88564e-10,0.00022638794,0.14840946,0.17322154,5.177929e-05,99.67775,fitness instructor_white_8.png
1.0,36,Woman,99.97742,0.022579212,latino hispanic,4.8692,5.8709164,1.4009635,33.72491,17.629784,36.50423,neutral,1.6855605,0.0015008177,5.670198,0.8825105,5.8585696,0.14585537,85.755806,fitness instructor_white_33.png
1.0,26,Woman,99.99996,3.0518015e-05,white,0.07560994,0.068083405,0.0047373683,84.4384,5.3212404,10.09193,happy,0.0021474909,8.63244e-08,0.031087993,88.27607,0.017819827,0.006468029,11.666407,fitness instructor_white_9.png
1.0,30,Woman,99.99666,0.0033419733,white,0.23920168,0.5390524,0.07771989,62.680027,13.21575,23.248243,neutral,0.04618658,9.72464e-06,1.2407279,32.352108,0.34855884,1.1479106,64.8645,fitness instructor_white_20.png
1.0,30,Woman,99.9052,0.09480621,white,0.038839284,0.0671349,0.008633953,83.46556,3.886311,12.533513,happy,0.0058609005,1.7443057e-05,0.078967966,84.017845,0.16842441,0.12953919,15.5993395,fitness instructor_white_43.png
