face_confidence_deepface,age_deepface,gender_deepface,Woman,Man,race_deepface,asian,indian,black,white,middle eastern,latino hispanic,emotion_deepface,angry,disgust,fear,happy,sad,surprise,neutral,image
1.0,28,Woman,99.999855,0.00014329904,black,0.2363909,2.6907644,96.28652,0.0112987645,0.0047203186,0.77029943,neutral,0.0026189864,5.0264035e-18,4.090574e-05,1.826685e-08,0.038212612,3.3925502e-09,99.95913,flight attendant_black_32.png
1.0,32,Woman,99.99764,0.0023656324,black,1.94027e-12,3.2254904e-10,100.0,2.409455e-16,2.2100633e-15,4.3853803e-11,neutral,0.10951281,1.0848759e-06,0.18063119,0.04477507,0.19045824,0.9707754,98.503845,flight attendant_black_11.png
1.0,29,Woman,87.518326,12.481677,black,0.12771592,0.3738953,99.238106,0.0013344199,0.0003793476,0.2585706,happy,0.00010149858,3.1890216e-11,6.112693e-05,75.94474,0.004141324,0.38916403,23.661793,flight attendant_black_31.png
1.0,30,Woman,97.139015,2.8609836,asian,37.097305,8.357438,34.54013,1.8605212,1.091789,17.05281,neutral,1.6539004,2.7619876e-08,0.05546181,0.0019935132,11.007619,5.928393e-06,87.28102,flight attendant_black_33.png
1.0,30,Woman,92.28032,7.7196827,black,0.36861813,0.028906869,99.59679,1.7714292e-05,8.660006e-06,0.0056574857,neutral,29.911774,5.1106724e-08,0.001131625,0.08269132,5.707446,7.7688555e-06,64.29694,flight attendant_black_40.png
1.0,31,Woman,98.13696,1.8630372,asian,49.083485,9.56793,29.01678,0.29599926,0.22465627,11.811152,neutral,1.969033e-06,2.3065063e-14,0.0011217496,0.001158166,0.016728347,0.000523484,99.98046,flight attendant_black_16.png
1.0,27,Woman,83.47378,16.526218,black,0.17006263,0.082234755,99.742775,1.6928574e-06,3.2129304e-07,0.004935996,neutral,2.763478e-05,6.178228e-11,0.022800568,2.8903477,0.016867137,0.4111142,96.658844,flight attendant_black_3.png
1.0,29,Woman,99.510155,0.4898467,asian,43.288086,8.205022,21.200142,3.7031472,2.171694,21.431911,neutral,0.01293741,2.1152529e-09,0.020937717,0.003751313,0.20676602,0.0034307737,99.75218,flight attendant_black_38.png
1.0,30,Woman,99.33314,0.6668663,asian,66.14219,12.901647,5.7502766,0.94236887,0.39673617,13.866788,neutral,2.2312202e-10,2.4373616e-21,8.180085e-07,3.4343528e-05,8.5409165e-06,0.00018426531,99.99977,flight attendant_black_6.png
1.0,30,Woman,76.44409,23.555916,black,21.423176,0.7795473,76.94153,0.014908974,0.004598145,0.8362404,happy,8.860342e-05,6.1021593e-10,0.00017422414,92.09829,0.013459596,0.0065347576,7.881457,flight attendant_black_20.png
1.0,29,Woman,99.98714,0.012861469,black,0.4912967,3.3142285,94.50424,0.021481872,0.010049912,1.6587007,happy,0.00041344078,5.131871e-12,1.3140047e-09,99.52072,0.0019653577,3.0566417e-07,0.47689584,flight attendant_black_29.png
1.0,30,Woman,98.23981,1.7601867,black,0.041330695,0.12598763,99.807144,0.00016419296,1.9776977e-05,0.025358243,happy,4.1575987e-07,2.3044746e-16,1.9146806e-07,72.10154,9.209805e-05,6.5803542e-06,27.898365,flight attendant_black_27.png
1.0,30,Man,1.695532,98.30446,black,4.032745,4.011013,89.36837,0.06784976,0.031086648,2.488939,happy,0.006859483,1.7910188e-06,0.0027353165,76.838844,0.070070565,3.5356963,19.545795,flight attendant_black_15.png
1.0,29,Woman,99.78353,0.21646689,black,0.0006779601,0.0013459414,99.9979,7.151186e-08,7.319581e-09,7.1506096e-05,neutral,4.061711e-06,2.5496012e-20,1.0172367e-07,8.374727,0.0002252275,8.194945e-05,91.62496,flight attendant_black_26.png
1.0,28,Woman,99.999664,0.00032967504,asian,38.153095,9.031116,36.97165,0.7613116,0.542516,14.540315,neutral,4.9640907e-06,3.6822682e-15,0.00014437994,0.0005432576,0.010895035,2.6358668e-05,99.98839,flight attendant_black_36.png
1.0,29,Woman,99.64184,0.35816875,black,16.704472,12.220911,62.41761,0.3053586,0.19268681,8.158962,neutral,0.23223907,2.3333394e-10,0.0010256633,0.005719589,0.69680494,9.317661e-06,99.0642,flight attendant_black_22.png
1.0,27,Woman,99.96078,0.03923044,black,24.65396,9.84953,43.32845,2.9563203,1.9192529,17.292492,neutral,0.0007413595,3.4958123e-09,0.48675844,3.7070062,0.018444184,5.414961,90.372086,flight attendant_black_12.png
