face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,bbox
fairface/detected_faces/Stable3.5-medium_flight attendant_indian/flight attendant_indian_20_face0.png,Indian,Indian,Female,20-29,"[3.5987829e-03 3.2260061e-05 5.6877438e-02 2.5625681e-03 8.6072879e-03
 9.2352086e-01 4.8008496e-03]",[2.3123641e-02 2.7553938e-04 3.1918369e-02 9.4468248e-01],[8.2041830e-04 9.9917954e-01],"[6.34068954e-07 6.67496677e-03 3.51512700e-01 6.22855842e-01
 1.88376233e-02 1.17646734e-04 6.10947609e-07 2.56903743e-08
 5.80467840e-10]","[(302, 279) (677, 654)]"
fairface/detected_faces/Stable3.5-medium_flight attendant_indian/flight attendant_indian_17_face0.png,Indian,Indian,Female,20-29,"[1.4089324e-04 8.2007668e-05 5.0759246e-03 5.4823500e-05 3.3216664e-04
 9.9362034e-01 6.9384562e-04]",[8.5237919e-04 2.0572077e-04 2.6806388e-03 9.9626124e-01],[2.182000e-04 9.997818e-01],"[1.50597927e-07 1.56028417e-03 1.21627115e-01 8.30577612e-01
 4.59825061e-02 2.51065474e-04 1.21002950e-06 2.27170123e-08
 3.68967384e-10]","[(358, 267) (670, 581)]"
fairface/detected_faces/Stable3.5-medium_flight attendant_indian/flight attendant_indian_8_face0.png,Indian,Indian,Female,20-29,"[3.3079111e-06 1.0311555e-05 2.6774959e-04 4.0522432e-06 6.8746696e-05
 9.9964261e-01 3.1722502e-06]",[2.946931e-05 5.661037e-05 3.536652e-04 9.995603e-01],[9.6248834e-05 9.9990380e-01],"[1.7722401e-07 7.0872181e-04 1.2326926e-01 7.0406663e-01 1.6920045e-01
 2.7169413e-03 3.6772675e-05 9.5690689e-07 8.2939531e-09]","[(263, 202) (640, 578)]"
fairface/detected_faces/Stable3.5-medium_flight attendant_indian/flight attendant_indian_49_face0.png,Indian,Indian,Female,20-29,"[3.7462265e-05 5.0754520e-06 1.6714537e-03 4.9550104e-06 5.6222412e-05
 9.9391413e-01 4.3106270e-03]",[1.5833859e-04 2.0244654e-05 7.6114124e-04 9.9906027e-01],[0.00205665 0.99794334],"[5.6388210e-08 1.7464273e-03 2.9296887e-01 6.9017696e-01 1.5027676e-02
 7.9749923e-05 2.0149763e-07 7.4563626e-09 1.2527326e-10]","[(170, 121) (819, 770)]"
fairface/detected_faces/Stable3.5-medium_flight attendant_indian/flight attendant_indian_33_face0.png,Indian,Indian,Female,20-29,"[1.9378468e-03 1.0637458e-05 2.6216360e-02 1.2316198e-04 4.0857765e-04
 8.9911562e-01 7.2187811e-02]",[2.8518226e-03 7.3944509e-05 3.4626545e-03 9.9361163e-01],[4.014860e-04 9.995985e-01],"[6.2158044e-08 1.8412131e-03 2.4724492e-01 7.4141443e-01 9.4744535e-03
 2.4850020e-05 4.8380070e-08 1.4084930e-09 2.3022974e-11]","[(248, 261) (698, 711)]"
fairface/detected_faces/Stable3.5-medium_flight attendant_indian/flight attendant_indian_48_face0.png,Indian,Indian,Female,20-29,"[3.7315774e-03 3.1240974e-04 2.4211802e-02 2.1519025e-03 5.4260459e-02
 8.9255834e-01 2.2773445e-02]",[6.7199892e-03 3.6083738e-04 5.8366410e-02 9.3455279e-01],[9.9603085e-06 9.9999005e-01],"[2.0756694e-08 2.3202338e-04 7.0523344e-02 9.0110546e-01 2.8049439e-02
 8.9489557e-05 2.2729765e-07 6.7618546e-09 1.5237785e-10]","[(302, 316) (677, 692)]"
fairface/detected_faces/Stable3.5-medium_flight attendant_indian/flight attendant_indian_18_face0.png,Indian,Indian,Female,20-29,"[1.2350783e-03 5.7207293e-05 2.0228479e-02 4.3728662e-04 9.3918236e-04
 9.7418243e-01 2.9202772e-03]",[9.7403844e-04 5.2428277e-06 2.1740114e-03 9.9684668e-01],[4.1722058e-05 9.9995828e-01],"[1.9040824e-08 5.2219501e-04 1.8737307e-01 7.9804313e-01 1.4022415e-02
 3.9100378e-05 8.0339980e-08 2.2575222e-09 3.6762874e-11]","[(294, 261) (744, 711)]"
fairface/detected_faces/Stable3.5-medium_flight attendant_indian/flight attendant_indian_26_face0.png,Indian,Indian,Female,20-29,"[8.4040570e-05 6.8404668e-05 2.5657278e-03 2.0973568e-05 1.1798814e-04
 9.9572212e-01 1.4207065e-03]",[2.8193076e-04 1.4169556e-04 8.0843054e-04 9.9876791e-01],[1.9631225e-04 9.9980366e-01],"[2.0780860e-07 2.2376070e-03 1.9863214e-01 7.7963960e-01 1.9411312e-02
 7.8764569e-05 3.6045742e-07 1.3636642e-08 2.4462296e-10]","[(326, 299) (640, 611)]"
fairface/detected_faces/Stable3.5-medium_flight attendant_indian/flight attendant_indian_34_face0.png,Indian,Indian,Female,10-19,"[8.2653605e-05 1.5932474e-05 3.6965548e-03 1.2027540e-05 1.6236167e-04
 9.9402916e-01 2.0012998e-03]",[1.7087198e-04 1.0090257e-04 6.7085895e-04 9.9905735e-01],[9.0323936e-04 9.9909675e-01],"[4.5733231e-07 3.3096090e-02 6.4649945e-01 3.1804419e-01 2.3532475e-03
 6.6133280e-06 1.3440391e-08 7.3470036e-10 1.4264774e-11]","[(339, 354) (715, 730)]"
fairface/detected_faces/Stable3.5-medium_flight attendant_indian/flight attendant_indian_25_face0.png,Indian,Indian,Female,20-29,"[9.6750962e-05 2.9616973e-05 4.2853416e-03 1.4658786e-05 1.3209539e-04
 9.9323779e-01 2.2037670e-03]",[4.6413371e-04 7.6555531e-05 1.1147743e-03 9.9834454e-01],[0.00128943 0.9987106 ],"[3.0467055e-07 3.8023279e-03 3.4155950e-01 6.3696927e-01 1.7525341e-02
 1.4271506e-04 4.8987226e-07 2.3130163e-08 5.0052767e-10]","[(302, 316) (677, 692)]"
