face_confidence_deepface,age_deepface,gender_deepface,Woman,Man,race_deepface,asian,indian,black,white,middle eastern,latino hispanic,emotion_deepface,angry,disgust,fear,happy,sad,surprise,neutral,image
1.0,26,Man,0.14785638,99.85215,white,0.074224345,0.17087878,0.010519071,77.22526,13.245067,9.274056,neutral,0.00030933917,7.442762e-11,8.3537474e-05,2.6710114,0.011754245,9.108646e-08,97.31684,flight attendant_male_20.png
1.0,22,Man,0.19587854,99.804115,latino hispanic,18.817884,9.381148,3.7552924,17.581882,9.247288,41.216503,neutral,1.05977,3.1649433e-05,0.0542484,0.9557425,4.4367356,0.00039109963,93.49309,flight attendant_male_4.png
1.0,24,Man,0.37280384,99.6272,white,6.5310815e-05,0.0008120257,9.518072e-06,97.802414,1.816318,0.38037997,neutral,7.565634,0.042479314,2.56037,2.466245,8.751636,0.14469561,78.46894,flight attendant_male_33.png
1.0,31,Man,0.67264414,99.32735,white,0.0001977394,0.0016594266,4.8745584e-05,97.30472,1.7047595,0.9886154,happy,0.0001042407,5.7376823e-09,0.0015386273,99.946625,0.004856023,0.030708663,0.016162524,flight attendant_male_29.png
1.0,28,Man,0.022546254,99.977455,asian,98.18278,0.23430164,0.033273898,0.09748065,0.0012542368,1.450918,happy,7.313244e-06,1.9434964e-12,1.8419355e-06,99.29661,0.0011435067,3.462278e-05,0.70220584,flight attendant_male_43.png
1.0,38,Man,0.37476864,99.62524,asian,89.89524,1.2783058,0.1368729,0.9922824,0.03866901,7.6586227,neutral,0.17529179,4.5009827e-07,6.507819,0.10588852,0.08771928,2.78949,90.33379,flight attendant_male_0.png
1.0,30,Man,0.030799905,99.96921,white,0.18219157,1.0959423,0.15095219,55.88002,26.756355,15.934537,neutral,0.00042367852,4.6079027e-10,0.005400196,17.076702,0.47583997,8.7613465e-05,82.44154,flight attendant_male_40.png
1.0,26,Man,0.022097096,99.977905,white,0.09000098,0.5761865,0.058766,56.666416,20.448849,22.159782,neutral,4.9480796e-08,3.615709e-20,7.4493917e-10,0.0046619223,0.00051016104,5.404685e-11,99.99483,flight attendant_male_25.png
1.0,32,Man,0.2124941,99.787506,asian,98.24568,0.19699372,0.004941912,0.06703629,0.00040208944,1.4849473,neutral,0.00034403484,1.1853753e-11,0.00023739408,0.0014283351,0.04078825,2.1126816e-06,99.9572,flight attendant_male_49.png
1.0,23,Man,0.060234748,99.939766,asian,77.75779,4.3424273,0.9410128,3.1038866,0.5997309,13.255154,neutral,0.2953446,0.0010266503,0.7891411,6.3427067,6.8825693,0.0021927895,85.68702,flight attendant_male_12.png
1.0,29,Man,0.06563119,99.93437,white,1.706291,2.654631,0.7406327,43.542797,21.810162,29.545488,neutral,1.0082039e-07,4.6526053e-14,1.0217288e-05,5.25781,0.0039245724,4.160988e-06,94.73825,flight attendant_male_45.png
1.0,33,Man,0.0075321216,99.99246,white,0.023728913,0.22394414,0.016453782,67.53682,23.636612,8.562445,neutral,0.0021299317,3.7266752e-12,0.00021820214,0.00648991,0.16568339,2.0169344e-09,99.82548,flight attendant_male_13.png
1.0,29,Man,0.035702206,99.964294,middle eastern,0.39434305,3.0171092,0.45659384,34.516148,36.518677,25.097132,neutral,0.0009714005,3.5084116e-10,0.003689407,0.001380433,0.53753144,3.833979e-06,99.45643,flight attendant_male_26.png
1.0,30,Man,0.0036415004,99.99636,white,0.0010391595,0.115234695,0.0037462558,51.330666,42.2762,6.273123,happy,0.011822449,5.332835e-06,0.065681696,93.0546,0.13906054,0.0037932394,6.7250366,flight attendant_male_18.png
1.0,31,Man,0.16225946,99.837746,asian,99.98979,0.0012306668,2.0484065e-07,3.9439215e-05,2.1573159e-09,0.008929395,neutral,9.970855,1.3584828e-07,0.026708288,0.0018114772,4.710224,0.00011286234,85.29029,flight attendant_male_39.png
1.0,26,Man,0.053107314,99.9469,white,4.0329996e-07,8.017539e-06,1.8017085e-08,99.64786,0.281134,0.071009584,neutral,2.4575844,0.008729922,0.058657985,0.40999776,24.445707,0.0015944786,72.61773,flight attendant_male_23.png
1.0,39,Man,0.6037404,99.396255,asian,99.99845,0.00020197831,8.266992e-08,0.0001800032,1.4320048e-09,0.0011676054,neutral,0.02435659,1.2320959e-06,0.14910556,15.027957,0.19725011,0.0031689357,84.59817,flight attendant_male_15.png
1.0,27,Man,0.08932392,99.91067,white,1.3965195,2.0316517,0.4631737,50.10233,17.176765,28.829563,neutral,0.018718593,3.9928874e-08,0.005447587,3.364883,0.22149618,0.0024024365,96.38705,flight attendant_male_9.png
1.0,26,Man,0.28837138,99.71163,white,0.023193507,0.18637307,0.015377413,78.01364,12.292434,9.46898,neutral,1.918468e-05,1.4394659e-15,7.940707e-06,0.0030679435,0.00032067054,6.8073865e-07,99.99659,flight attendant_male_7.png
1.0,28,Man,0.12623025,99.87377,asian,99.98104,0.0020373547,2.102387e-06,0.00019649624,1.3659932e-08,0.016723292,neutral,0.797182,7.689295e-06,9.110154,1.3730135,2.1392403,0.0017922596,86.57861,flight attendant_male_22.png
1.0,31,Man,0.02560865,99.97439,latino hispanic,6.86199,15.248266,2.278615,8.258295,3.7464595,63.606377,neutral,0.0010128891,1.2712127e-08,0.00033878614,15.166861,0.230245,6.84295e-06,84.60154,flight attendant_male_32.png
1.0,26,Man,0.054649882,99.94535,white,0.5977944,0.3294107,0.07786637,71.03824,8.738816,19.217876,neutral,0.3881404,0.001865153,3.2935817,12.229928,9.96848,0.013494963,74.10451,flight attendant_male_31.png
1.0,30,Man,0.13321072,99.8668,white,9.441529e-11,2.5055588e-10,1.995607e-13,99.999214,0.00051936397,0.00027136054,happy,5.1365186e-07,9.198534e-10,9.250813e-05,94.8204,0.0023147867,0.00021763613,5.1769757,flight attendant_male_46.png
1.0,29,Man,1.973163,98.02683,white,0.06668013,0.20149699,0.027875548,76.624115,9.802198,13.277638,neutral,0.46911022,0.004357113,0.0776642,1.829746,1.9398375,0.040059548,95.63922,flight attendant_male_44.png
1.0,25,Man,0.057597294,99.94241,white,0.20341808,0.53624153,0.059660938,65.002846,19.350914,14.846918,neutral,7.7566833,0.00034185307,0.48584646,1.4903897,19.288563,0.014775239,70.9634,flight attendant_male_11.png
1.0,30,Man,0.07115076,99.92884,latino hispanic,8.71911,10.580889,4.135913,20.623987,21.92029,34.019814,happy,0.0012665374,1.2021073e-10,7.382734e-05,75.486855,0.00016898634,0.00043434667,24.5112,flight attendant_male_8.png
1.0,37,Man,0.6223044,99.37769,asian,98.423874,0.59737813,0.0024584811,0.030585509,8.495014e-05,0.9456281,neutral,0.0038500263,9.310055e-10,0.011494758,0.04905337,0.040997606,0.0054477686,99.88915,flight attendant_male_14.png
1.0,34,Man,0.041680444,99.95832,asian,85.31104,3.7944102,0.2503247,0.688743,0.03533797,9.92014,happy,0.054620124,0.0017889488,6.8315954,51.331024,1.8405117,0.0058986614,39.934555,flight attendant_male_21.png
1.0,26,Man,0.099396214,99.90061,white,0.00094413507,0.00524804,0.00019824941,92.79889,5.682802,1.5119199,neutral,7.8610263,0.0044914484,2.7629433,5.612917,3.5462704,0.95271516,79.259636,flight attendant_male_1.png
1.0,27,Man,0.033332165,99.96667,white,5.9182982,5.6259427,1.7321444,34.94886,23.226952,28.547802,happy,0.37975997,0.0038500708,4.4947615,62.663807,1.3790191,2.1885018,28.8903,flight attendant_male_47.png
1.0,26,Man,0.08221148,99.917786,middle eastern,1.5657737,6.801249,0.5452734,22.883417,47.146282,21.058008,neutral,0.12287648,1.2128786e-05,0.025739834,0.12922543,4.674399,0.0002503659,95.04749,flight attendant_male_28.png
1.0,25,Man,0.0011785228,99.99882,white,0.55970275,1.6684587,0.19604862,48.440895,31.920689,17.214201,neutral,0.016886927,2.625686e-09,4.4716015,0.6211368,0.16078597,31.219025,63.510563,flight attendant_male_38.png
1.0,22,Man,0.09383417,99.906166,white,1.2885535,2.2513237,0.39911783,51.813255,22.026497,22.221254,neutral,0.28473622,0.014659186,1.8520881,18.794838,18.675098,0.037022367,60.34156,flight attendant_male_37.png
1.0,33,Man,0.1209137,99.87909,middle eastern,0.1162381,2.5427186,0.15724997,37.466137,49.571804,10.145858,neutral,2.1007152e-07,1.3414345e-19,7.991206e-06,0.013730416,4.3340562e-05,5.6045653e-08,99.98622,flight attendant_male_19.png
1.0,29,Man,0.023689553,99.97631,white,0.03891683,0.1468969,0.0081746755,74.1025,14.931684,10.771825,neutral,0.030356323,1.154006e-08,0.015890377,3.0379198,0.14820616,0.004389007,96.76324,flight attendant_male_2.png
1.0,33,Man,0.07872266,99.92127,white,0.00037400323,0.0013324086,3.863417e-05,97.77295,1.3996028,0.8257042,happy,0.0064219893,0.00029632286,0.13154058,89.47123,0.20251328,0.0003918907,10.187606,flight attendant_male_3.png
1.0,27,Man,0.0078668455,99.992134,white,0.00046293435,0.0074267476,0.00011018328,93.939865,4.563862,1.4882742,happy,5.7760328e-05,6.2961003e-10,1.0914601e-05,96.2749,0.00026530528,0.0046274723,3.720139,flight attendant_male_24.png
