face_confidence_deepface,age_deepface,gender_deepface,Woman,Man,race_deepface,asian,indian,black,white,middle eastern,latino hispanic,emotion_deepface,angry,disgust,fear,happy,sad,surprise,neutral,image
1.0,32,Man,32.52899,67.471,asian,99.999954,2.0824342e-05,9.805638e-11,3.887204e-06,3.2058602e-11,2.7847185e-05,neutral,1.1402866,5.6558815e-06,0.013360574,0.12555318,1.1688038,0.07045986,97.48153,journalist_asian_17.png
1.0,30,Man,1.6246157,98.37539,asian,99.99144,0.0014494165,1.5457485e-07,0.0005168354,2.5717453e-08,0.006593858,neutral,0.0054863575,2.7817757e-08,0.26676127,4.1102896,0.3465559,0.43806055,94.83284,journalist_asian_7.png
1.0,36,Man,0.0752589,99.92474,asian,43.6831,18.094305,4.0366035,2.4575977,1.1234622,30.604935,neutral,0.00013056314,2.2072528e-09,0.00020580467,0.12194954,0.08036735,3.7190053e-05,99.79731,journalist_asian_32.png
1.0,31,Man,8.136665,91.863335,asian,100.0,1.4899632e-07,1.0876072e-14,5.227897e-09,1.855629e-12,2.3078279e-07,neutral,0.030691225,2.068572e-06,0.031738427,2.1765757,0.9493588,0.00022132535,96.81142,journalist_asian_23.png
1.0,32,Woman,99.37756,0.62243825,asian,82.66788,2.9195225,0.23679839,3.5790732,0.3606694,10.236056,neutral,0.13620608,0.00027535553,0.04304265,0.04829249,1.5869805,0.0023743345,98.18282,journalist_asian_8.png
1.0,33,Man,0.0050578886,99.99495,asian,99.999985,1.8856032e-07,2.8407816e-12,3.6201772e-07,1.83062e-12,1.6558344e-05,neutral,1.2862163,4.866799e-07,0.09780311,2.3868346,1.2346522,0.033397675,94.9611,journalist_asian_6.png
1.0,33,Woman,99.92292,0.07707852,asian,99.99405,0.0011593191,2.4055714e-07,0.0004857912,1.2552057e-07,0.004299177,neutral,1.8202978,0.0011424496,0.46843806,1.4367996,2.3883302,0.5094822,93.37551,journalist_asian_15.png
1.0,34,Man,0.037131958,99.96287,asian,96.857605,0.6045235,0.022495467,0.095200546,0.009715401,2.410465,neutral,0.029413013,1.7931658e-10,0.0005284551,0.014301537,0.04886497,5.708518e-05,99.90683,journalist_asian_41.png
1.0,31,Man,0.15665427,99.84334,latino hispanic,26.301914,16.239788,7.4103794,9.372685,6.4145923,34.260647,neutral,0.004276123,6.1313656e-08,0.000626427,22.544317,0.12239042,0.0003022834,77.32809,journalist_asian_28.png
1.0,35,Woman,90.61843,9.381565,asian,45.847836,9.3509,2.104443,1.9435961,0.6056256,40.147606,neutral,0.000115250725,1.43111e-10,9.984777e-05,0.26543602,0.06256078,8.4296545e-07,99.67178,journalist_asian_5.png
1.0,31,Woman,99.98234,0.017663632,asian,98.76371,0.6168012,0.0026338582,0.081867255,0.0017786801,0.5332093,neutral,0.026409302,7.298463e-12,0.0019020212,1.4405951e-05,0.33398232,1.01168276e-07,99.637695,journalist_asian_25.png
1.0,32,Man,2.3665876,97.63341,asian,99.62075,0.10397231,0.00055055186,0.031992234,0.00017291201,0.24256685,neutral,0.077764556,2.192247e-06,0.009778899,0.17542002,2.378861,2.199026e-07,97.35817,journalist_asian_40.png
1.0,34,Man,0.31910086,99.68089,asian,96.64951,0.9739439,0.01512094,0.28963786,0.0047490024,2.067036,neutral,0.0131782405,2.189449e-07,0.15870494,0.12401928,0.16731064,0.232513,99.30427,journalist_asian_0.png
1.0,30,Man,1.9884576,98.01154,asian,99.531364,0.043991327,0.00032405293,0.22546557,0.003690497,0.19516586,neutral,4.9899983,0.0020762952,1.2611425,0.07148083,12.035865,0.0012126964,81.63823,journalist_asian_33.png
1.0,36,Man,0.7447382,99.255264,asian,99.7147,0.09720371,0.00011490878,0.0042221737,1.53731e-05,0.18375169,neutral,0.0038254585,4.9597337e-11,0.00052018365,1.1160664e-05,0.10465784,8.2963965e-07,99.89098,journalist_asian_9.png
1.0,26,Man,0.37283713,99.62716,asian,60.202347,10.845798,1.0072159,1.6158668,0.40296033,25.92581,neutral,0.105515264,1.9626928e-08,0.0013230774,0.00046533323,0.32470042,9.961147e-07,99.568,journalist_asian_3.png
1.0,31,Man,0.088070534,99.911934,asian,99.8548,0.01731169,0.00022660283,0.0014184332,4.082563e-06,0.12624605,neutral,2.1746194,7.4655377e-06,0.75680757,0.0015027851,8.688779,0.026710998,88.35157,journalist_asian_2.png
1.0,33,Man,0.08846123,99.91154,asian,73.04351,5.1136007,0.43421063,1.2856381,0.17410897,19.948935,happy,0.0027802335,3.215707e-07,0.02045804,92.1652,0.06699657,0.009232996,7.7353334,journalist_asian_42.png
1.0,30,Man,15.372926,84.627075,asian,91.59762,2.1882136,0.12838188,0.8095677,0.1281232,5.148092,neutral,0.00055002933,7.895891e-09,0.0032042672,0.0010046537,0.21124697,0.00013830948,99.78386,journalist_asian_36.png
1.0,30,Man,0.26368758,99.73631,asian,97.38376,1.1954373,0.012366282,0.10607337,0.0035424782,1.2988185,neutral,0.0031448035,1.4565869e-09,0.00096417224,0.0003107227,0.2161097,3.6590577e-06,99.77947,journalist_asian_16.png
1.0,33,Man,0.3257217,99.67428,asian,98.9124,0.39400694,0.0020621843,0.01823872,0.00022534876,0.67307615,neutral,1.2182678,1.1617897e-06,0.123217046,0.0007791177,3.632789,1.0016723e-06,95.02495,journalist_asian_26.png
1.0,39,Man,0.037395507,99.9626,asian,82.457825,3.061733,0.3022437,0.4213675,0.028829174,13.727999,neutral,0.0041864766,8.333577e-13,3.1977233e-06,0.05027357,3.1123838,2.2333238e-07,96.83316,journalist_asian_30.png
1.0,32,Man,6.3886313,93.61137,asian,69.59276,9.437928,2.1241753,1.7697984,0.54834163,16.527004,neutral,0.00031699607,2.7036842e-16,3.7320482e-05,6.5372114e-07,0.00924342,3.3815142e-10,99.9904,journalist_asian_27.png
1.0,29,Man,1.1102558,98.88974,asian,74.654686,4.401638,1.5566413,3.8479857,0.73726755,14.801783,neutral,0.010312659,4.088543e-13,2.7685238e-07,0.0107797505,0.0829291,1.2259512e-09,99.89598,journalist_asian_43.png
1.0,31,Man,33.39491,66.60509,asian,98.5613,0.51409364,0.010800247,0.082812004,0.002321819,0.8286612,neutral,0.18127109,4.1868466e-06,0.020778384,0.0820174,0.5032219,0.004134177,99.20858,journalist_asian_12.png
1.0,28,Man,22.289635,77.71036,asian,99.999916,3.0930347e-05,7.284512e-11,1.8469291e-06,1.5102043e-11,5.9869868e-05,neutral,3.2698693,2.2103812e-05,0.7593261,0.031074008,9.536121,5.297243e-05,86.40354,journalist_asian_22.png
1.0,32,Man,1.8492771,98.15073,asian,99.796135,0.03592496,0.00019835058,0.002968849,7.4727623e-06,0.16477288,neutral,0.002347367,1.1397273e-10,0.10173551,0.0025137526,0.16402766,0.00018485104,99.729195,journalist_asian_13.png
1.0,27,Man,6.24718,93.75282,asian,99.932045,0.0116351815,2.751291e-05,0.004711469,3.0502217e-06,0.051578324,neutral,0.51770717,3.81874e-07,0.053759146,0.67013377,1.9125085,0.012444668,96.83345,journalist_asian_11.png
1.0,31,Man,4.7227845,95.277214,asian,99.76381,0.06044884,0.00029083368,0.02458958,0.00020678005,0.1506537,neutral,4.3610873,0.012271259,6.1659684,1.9813232,7.9202623,5.95143,73.60766,journalist_asian_21.png
1.0,32,Man,6.0755024,93.92449,asian,99.66273,0.07179872,0.000112879556,0.0052982997,9.080665e-06,0.26004428,neutral,0.0003179098,3.1551983e-11,6.410399e-05,2.529955e-07,0.0035596183,7.505634e-06,99.996056,journalist_asian_29.png
1.0,37,Man,0.65081406,99.34918,asian,99.99793,0.00047069942,1.490322e-07,7.611962e-05,4.5392015e-09,0.001511718,neutral,17.874374,0.00028036826,1.2527287,0.004483527,7.7973404,0.09997721,72.97081,journalist_asian_1.png
1.0,32,Man,0.8525749,99.14743,asian,98.41737,0.10530043,0.00923003,0.013401147,0.00031839273,1.4543799,neutral,0.021649845,6.589543e-11,0.0016601783,0.08246984,0.25062746,1.2344158e-06,99.643585,journalist_asian_46.png
1.0,30,Man,0.5637825,99.43621,asian,98.20712,0.18866962,0.0039434168,0.048462387,0.000286392,1.5515115,neutral,0.0003680035,8.243672e-09,0.011048617,1.6140448,0.16934976,0.013194715,98.19199,journalist_asian_34.png
1.0,31,Man,12.259804,87.740204,asian,99.94739,0.025013084,2.2156619e-06,0.0064784246,6.698017e-06,0.021116486,neutral,0.0065124864,2.4851907e-08,0.017935036,0.02768122,0.12433301,0.0131516205,99.81039,journalist_asian_44.png
1.0,31,Man,0.539069,99.46094,asian,99.8664,0.060856752,0.00012100013,0.019211346,0.00014005185,0.053281702,neutral,1.98947,0.015545574,1.0129832,2.1244605,13.4121895,0.011116248,81.434235,journalist_asian_38.png
1.0,31,Man,0.049931485,99.950066,asian,100.0,1.5111312e-10,1.1880384e-18,1.3194658e-10,1.89845e-19,1.9927143e-08,neutral,8.278402,0.00047026275,0.05711492,0.04861305,15.552303,0.00044974836,76.06265,journalist_asian_45.png
1.0,33,Man,0.5566469,99.44336,asian,96.37004,0.43492973,0.01975029,0.088749774,0.0007570221,3.0857563,neutral,1.7486291,1.047279e-05,0.43172115,4.1429455e-05,6.73905,7.15632e-05,91.08048,journalist_asian_10.png
1.0,31,Man,2.188297,97.8117,asian,96.6429,0.51172334,0.009183114,0.049826555,0.0034113047,2.782941,neutral,0.21795435,2.750669e-07,0.021251202,0.09205325,2.3874428,0.0056882845,97.27561,journalist_asian_49.png
1.0,34,Man,0.2318662,99.76813,asian,94.835846,0.94992524,0.109420635,0.49453884,0.0280472,3.582223,neutral,0.15560693,2.9151875e-07,3.1963315,0.24684505,1.7076383,3.6291611,91.064415,journalist_asian_48.png
1.0,32,Man,14.735911,85.26409,asian,97.099655,0.8159469,0.013794958,0.5273958,0.024472384,1.5187442,neutral,0.00026479652,7.070794e-10,0.0070143887,0.110261,0.05715559,3.0057805,96.81953,journalist_asian_24.png
1.0,31,Woman,84.12739,15.872616,asian,100.0,2.8184264e-09,2.7946664e-15,2.7767162e-09,1.9666694e-14,6.8430865e-09,neutral,0.40786695,0.00025348205,2.0103855,0.034626145,8.395352,0.002841287,89.148674,journalist_asian_4.png
1.0,34,Man,0.0547704,99.94523,asian,99.99999,9.726962e-07,1.141331e-12,3.6348248e-07,1.2157332e-12,6.341083e-06,neutral,7.10958,0.0012201892,0.64768267,0.60834754,12.62492,0.004610417,79.00364,journalist_asian_31.png
1.0,32,Man,0.09838453,99.90162,asian,91.59521,1.5075358,0.03906987,0.15795448,0.004790847,6.6954417,neutral,0.07526661,4.7556967e-13,0.00018753839,3.686231e-05,0.03414156,2.0203235e-07,99.89037,journalist_asian_47.png
1.0,29,Woman,96.00976,3.990235,asian,99.55038,0.10388236,0.00040803655,0.014185981,6.662507e-05,0.33108017,neutral,0.16989091,3.8667667e-07,0.07165827,0.0010794289,2.301414,5.98108e-06,97.45595,journalist_asian_35.png
1.0,30,Woman,74.34586,25.654135,asian,95.735886,0.82317024,0.04771737,0.122122794,0.001566652,3.2695358,neutral,0.014293866,1.9133415e-08,0.044174656,0.0051036784,0.19375055,0.0003014306,99.74238,journalist_asian_37.png
1.0,29,Man,0.15530333,99.8447,asian,99.92958,0.008084582,4.884854e-05,0.005031593,1.0059242e-05,0.057251483,neutral,2.582215,4.5260684e-05,21.737854,1.1460121,13.238679,0.23645167,61.058743,journalist_asian_20.png
1.0,34,Man,0.01034246,99.989655,asian,95.377205,0.795779,0.048423238,0.05618613,0.0010272798,3.721381,neutral,0.09012652,7.33321e-11,0.016217312,2.7132724e-05,0.4718173,9.2415524e-07,99.421814,journalist_asian_19.png
1.0,31,Man,0.47097337,99.52903,asian,99.9998,5.626254e-05,3.0987304e-10,2.3306646e-05,4.1530734e-10,0.00011877092,neutral,30.328804,0.0032201773,0.3210607,0.089946926,23.793987,0.0019710604,45.461006,journalist_asian_18.png
1.0,30,Man,26.259905,73.7401,asian,99.98918,0.006314061,3.044842e-07,0.00014573763,7.8356415e-08,0.0043656505,neutral,0.06288901,3.807173e-07,0.0024310225,0.0009303313,0.35359773,9.182964e-06,99.58015,journalist_asian_39.png
1.0,28,Woman,73.425125,26.574867,asian,99.999756,9.035257e-05,1.0632502e-09,1.9640488e-06,2.201649e-10,0.00015627852,neutral,12.599527,1.0701475e-05,5.810565,0.020597292,15.7285595,0.000106349624,65.84063,journalist_asian_14.png
