face_confidence_deepface,age_deepface,gender_deepface,Woman,Man,race_deepface,asian,indian,black,white,middle eastern,latino hispanic,emotion_deepface,angry,disgust,fear,happy,sad,surprise,neutral,image
1.0,31,Woman,99.99941,0.00058768934,white,0.038974717,0.13189837,0.005802407,78.65541,10.119821,11.048094,neutral,0.1844172,2.723606e-07,3.1282728,0.0012465438,1.8732283,0.28987193,94.522964,journalist_female_16.png
1.0,29,Woman,99.026505,0.9734963,latino hispanic,3.5814257,5.3040495,0.49283105,27.991386,19.201183,43.429123,neutral,0.7106445,1.115277e-05,6.4727874,0.044751294,1.9895535,0.7736037,90.008644,journalist_female_44.png
1.0,31,Woman,99.99993,6.859312e-05,white,1.2672944,2.3936176,0.32787475,43.81027,22.604681,29.596264,neutral,0.5897614,6.3175853e-06,0.018889008,0.008917134,2.4346528,0.00084630033,96.94692,journalist_female_11.png
1.0,31,Woman,99.999275,0.00072597875,white,0.2777859,0.53520465,0.024877055,64.70726,12.582448,21.872421,neutral,0.083691426,1.0566457e-07,0.012064496,0.3896843,0.48213223,1.1234353e-05,99.03242,journalist_female_47.png
1.0,30,Woman,99.53449,0.4655097,white,0.0044929204,0.0069037154,0.00017629859,94.26088,3.3044708,2.4230752,neutral,0.87414616,0.0014516455,14.309749,20.286709,4.8315787,1.4772822,58.219086,journalist_female_20.png
1.0,36,Woman,99.99996,3.9069557e-05,white,0.004203352,0.018463343,0.00051207014,89.57989,3.3509464,7.0459867,happy,0.52168995,4.551043e-05,0.17635792,80.43723,0.6479161,1.615914,16.600845,journalist_female_6.png
1.0,32,Woman,99.630714,0.36928615,white,0.60509646,0.46402147,0.04276205,69.04276,11.393507,18.45185,neutral,1.4364486,7.7759e-05,0.03860966,0.0008317535,3.9640915,6.252356e-05,94.559875,journalist_female_4.png
1.0,30,Woman,99.99993,7.580679e-05,white,0.05375453,0.06907151,0.0029693733,80.303635,6.3070617,13.26351,neutral,7.8654466,0.0012001509,1.3498327,0.8839402,5.943688,0.01712942,83.93877,journalist_female_17.png
1.0,32,Woman,99.99485,0.0051474893,white,0.014228904,0.098602995,0.0024580967,74.08504,16.738792,9.060885,neutral,3.517049,0.0019332359,0.3664787,0.17066492,7.5375924,0.0002554468,88.40603,journalist_female_35.png
1.0,33,Woman,99.97895,0.021043232,white,0.0004631343,0.0039814357,2.8101487e-05,94.433525,4.1628838,1.3991284,neutral,0.0041519497,1.5305247e-10,0.0009851771,2.6296153,0.008031161,2.0426352e-05,97.3572,journalist_female_0.png
1.0,30,Woman,99.977844,0.02215957,white,0.06810427,0.15752615,0.0051295944,74.109604,9.277308,16.382332,neutral,0.00013756126,2.1743282e-12,1.7500822e-06,0.47579002,0.023008762,1.5761416e-06,99.50106,journalist_female_13.png
1.0,33,Woman,99.97489,0.025114847,white,0.0015070057,0.007384546,0.00013011007,89.4608,2.986264,7.5439124,neutral,0.12018194,6.446426e-07,0.02759028,22.397232,1.1696907,0.00027903792,76.28502,journalist_female_41.png
