face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,bbox
fairface/detected_faces/Stable3.5-medium_journalist_indian/journalist_indian_13_face0.png,Indian,Indian,Male,20-29,"[3.0763767e-05 4.5355162e-05 3.0961803e-03 9.2209723e-07 4.6978454e-05
 9.9597961e-01 8.0018968e-04]",[1.9580453e-04 8.4043531e-05 1.9939417e-04 9.9952078e-01],[1.000000e+00 3.633392e-08],"[3.4324935e-06 6.3757075e-04 2.5971081e-02 5.8938223e-01 3.6385593e-01
 2.0061925e-02 8.6857566e-05 9.8812734e-07 8.3822167e-09]","[(103, 121) (753, 770)]"
fairface/detected_faces/Stable3.5-medium_journalist_indian/journalist_indian_25_face0.png,Indian,Indian,Male,30-39,"[8.39534437e-07 4.24334612e-05 1.07814594e-04 3.32305206e-08
 2.64745108e-06 9.99839306e-01 6.94816936e-06]",[3.9145893e-06 1.6144661e-05 6.8314289e-06 9.9997312e-01],[9.9999940e-01 5.5536225e-07],"[1.3354717e-06 1.6129455e-04 1.2979321e-02 3.0125904e-01 6.3310617e-01
 5.2173410e-02 3.1709016e-04 2.3083396e-06 1.6927421e-08]","[(248, 215) (698, 665)]"
fairface/detected_faces/Stable3.5-medium_journalist_indian/journalist_indian_11_face0.png,Indian,Indian,Male,20-29,"[2.1738410e-06 1.7419543e-05 7.9951418e-04 4.6217824e-07 4.9308710e-05
 9.9909866e-01 3.2458051e-05]",[3.2176966e-05 9.7539931e-05 5.4880400e-04 9.9932146e-01],[9.999995e-01 4.619272e-07],"[6.4711467e-06 3.3522886e-03 1.5898977e-01 6.7087597e-01 1.6023540e-01
 6.5169805e-03 2.2620559e-05 5.1047169e-07 4.0615489e-09]","[(302, 279) (677, 654)]"
fairface/detected_faces/Stable3.5-medium_journalist_indian/journalist_indian_45_face0.png,Indian,Indian,Male,40-49,"[6.1971664e-06 6.5986841e-04 3.0359519e-03 3.3276896e-07 3.5976729e-05
 9.9610329e-01 1.5837564e-04]",[1.4571089e-05 3.0907607e-04 7.4070980e-05 9.9960226e-01],[9.9999636e-01 3.6572947e-06],"[7.9944721e-06 3.7418737e-05 5.6408171e-04 2.5401758e-03 1.4512028e-01
 6.7672658e-01 1.7357402e-01 1.4206477e-03 8.8024517e-06]","[(248, 305) (698, 756)]"
fairface/detected_faces/Stable3.5-medium_journalist_indian/journalist_indian_19_face0.png,Indian,Indian,Male,30-39,"[3.7332579e-06 5.3405030e-05 4.9303100e-04 2.5342041e-07 1.9395431e-05
 9.9941540e-01 1.4776326e-05]",[3.6555888e-05 1.3544253e-04 1.0804549e-04 9.9971998e-01],[9.999943e-01 5.674734e-06],"[4.09509624e-07 7.24659767e-05 1.29807675e-02 4.44524199e-01
 5.21185517e-01 2.11605653e-02 7.52293563e-05 8.97363122e-07
 8.50089332e-09]","[(302, 279) (677, 654)]"
fairface/detected_faces/Stable3.5-medium_journalist_indian/journalist_indian_26_face0.png,Indian,Indian,Male,30-39,"[6.0178977e-06 2.4776981e-04 6.5964554e-04 2.4577670e-07 1.2158419e-05
 9.9872571e-01 3.4847969e-04]",[5.1631174e-05 3.3663155e-04 4.3076852e-05 9.9956870e-01],[9.999999e-01 1.307110e-07],"[2.7361295e-05 5.1947520e-03 1.3592082e-01 2.8809229e-01 4.5067337e-01
 1.1745349e-01 2.6005020e-03 3.7180460e-05 2.3476251e-07]","[(302, 279) (677, 654)]"
fairface/detected_faces/Stable3.5-medium_journalist_indian/journalist_indian_29_face0.png,Indian,Indian,Male,30-39,"[3.7912334e-06 8.3615989e-05 4.3771724e-04 3.2686745e-07 2.2184024e-05
 9.9944109e-01 1.1288093e-05]",[7.6687713e-05 3.1908299e-04 7.1285307e-05 9.9953294e-01],[9.9999374e-01 6.2782433e-06],"[9.0141401e-07 8.5925894e-05 6.9298944e-03 4.0501967e-01 5.6655282e-01
 2.1340748e-02 6.9568850e-05 4.0608919e-07 4.7176938e-09]","[(302, 316) (677, 692)]"
fairface/detected_faces/Stable3.5-medium_journalist_indian/journalist_indian_33_face0.png,Indian,Indian,Male,20-29,"[1.5663480e-05 2.5784895e-05 1.9241095e-03 6.1189377e-07 3.9655744e-05
 9.9763227e-01 3.6187246e-04]",[7.3797877e-05 2.6683851e-05 2.2970523e-04 9.9966985e-01],[9.9999917e-01 7.7871010e-07],"[3.5307889e-07 6.4890104e-05 6.8011149e-03 5.3270561e-01 4.4263279e-01
 1.7747719e-02 4.7084908e-05 4.5860966e-07 5.4467630e-09]","[(339, 279) (715, 654)]"
fairface/detected_faces/Stable3.5-medium_journalist_indian/journalist_indian_10_face0.png,Indian,Indian,Male,30-39,"[1.4301970e-05 1.9424277e-05 6.6290580e-04 1.6359594e-07 9.6000767e-06
 9.9892825e-01 3.6534798e-04]",[1.5385184e-04 6.1911363e-05 1.2455106e-04 9.9965966e-01],[9.9999994e-01 1.0025149e-07],"[2.1974283e-07 1.9555100e-05 2.1837251e-03 4.2173934e-01 5.6200981e-01
 1.4030409e-02 1.6847032e-05 9.1683987e-08 6.5531014e-10]","[(294, 261) (744, 711)]"
fairface/detected_faces/Stable3.5-medium_journalist_indian/journalist_indian_24_face0.png,Indian,Indian,Male,30-39,"[1.3859824e-05 2.8811652e-05 1.1519621e-03 4.4316127e-07 2.6864454e-05
 9.9858999e-01 1.8804180e-04]",[3.7463255e-05 3.0372179e-05 5.9756745e-05 9.9987239e-01],[9.9999881e-01 1.1915068e-06],"[1.42920214e-06 2.20632399e-04 2.26084758e-02 4.75375742e-01
 4.77302074e-01 2.44001001e-02 9.03306936e-05 1.17413163e-06
 1.20651515e-08]","[(248, 215) (698, 665)]"
fairface/detected_faces/Stable3.5-medium_journalist_indian/journalist_indian_23_face0.png,Indian,Indian,Male,30-39,"[5.2454725e-06 8.2906721e-05 5.0839246e-04 1.8213552e-07 1.6762555e-05
 9.9931872e-01 6.7838577e-05]",[1.3672991e-05 2.9672992e-05 3.7659422e-05 9.9991900e-01],[9.9999833e-01 1.6772799e-06],"[1.7077083e-07 1.8162820e-05 4.5654299e-03 4.6681839e-01 5.1186454e-01
 1.6689843e-02 4.3155214e-05 3.4954559e-07 4.1025299e-09]","[(170, 186) (819, 835)]"
fairface/detected_faces/Stable3.5-medium_journalist_indian/journalist_indian_37_face0.png,Indian,Indian,Male,20-29,"[2.2891521e-05 8.2528184e-04 4.2049694e-03 2.7600349e-06 1.8321080e-04
 9.9450248e-01 2.5841128e-04]",[7.94453445e-05 2.07719146e-04 1.16394214e-04 9.99596477e-01],[9.9999976e-01 2.2672371e-07],"[2.4488696e-07 3.7376525e-05 6.7738811e-03 5.6073242e-01 4.2062414e-01
 1.1789352e-02 4.2143110e-05 4.6487156e-07 4.7600461e-09]","[(339, 354) (715, 730)]"
