face_confidence_deepface,age_deepface,gender_deepface,Woman,Man,race_deepface,asian,indian,black,white,middle eastern,latino hispanic,emotion_deepface,angry,disgust,fear,happy,sad,surprise,neutral,image
1.0,40,Man,0.5083345,99.49167,asian,99.19242,0.09692938,0.0008767013,0.007604099,1.1403564e-05,0.70215243,neutral,0.0011730213,2.3072394e-08,0.0014115563,0.13522422,0.1039783,0.0015540347,99.75665,judge_asian_6.png
1.0,38,Man,0.79187167,99.20813,asian,99.99329,0.0018857437,6.916009e-07,0.00060065073,1.193079e-07,0.0042125355,neutral,1.7320682,0.003647354,1.128007,0.18473783,6.003096,0.37633002,90.57211,judge_asian_17.png
1.0,34,Man,0.02828899,99.9717,asian,99.997116,0.00027596267,8.847624e-09,9.516026e-05,1.1766035e-09,0.0025190085,neutral,8.010137,0.05418808,0.78735,3.401835,22.129276,0.06964001,65.54758,judge_asian_23.png
1.0,31,Man,0.2384084,99.7616,asian,88.70688,3.2846723,0.17373215,0.6132243,0.03800747,7.1834774,neutral,2.8794038,0.00077457144,0.047743414,0.033849303,5.370693,0.000452736,91.66708,judge_asian_8.png
1.0,35,Man,0.0035751313,99.99642,asian,100.0,1.2192956e-08,1.3417961e-15,8.550409e-09,1.7718619e-17,1.5531838e-07,neutral,3.062678,0.0002375912,8.871183,0.10040181,13.303546,0.5283858,74.13357,judge_asian_18.png
1.0,42,Man,0.8260877,99.17391,asian,99.83382,0.02729436,8.588723e-05,0.0073437807,6.500626e-06,0.13146068,neutral,16.222382,0.02958892,1.3956017,0.024345333,10.853911,0.14912479,71.32504,judge_asian_10.png
1.0,34,Man,0.12430791,99.87569,asian,99.94256,0.014269573,7.589007e-05,0.005554414,7.083693e-06,0.037531823,neutral,0.11556391,6.483941e-07,0.10089291,0.44719028,0.3816866,0.04013514,98.91453,judge_asian_0.png
1.0,38,Man,0.04167282,99.95833,asian,77.8624,5.147281,0.30172262,0.28436625,0.024904747,16.37932,neutral,0.2540353,1.1348468e-05,0.13324143,0.049224146,0.94300264,0.010993614,98.6095,judge_asian_32.png
1.0,29,Man,0.11419991,99.885796,asian,99.985435,0.0014573517,1.3758107e-06,0.00065684854,3.6393224e-08,0.01245444,neutral,1.1704491,5.8981874e-05,0.07459816,0.008450286,1.6418,0.015733002,97.08891,judge_asian_49.png
1.0,36,Man,0.07984229,99.92016,asian,97.53157,0.48081836,0.01070174,0.066182554,0.00058644917,1.9101435,neutral,0.01275081,1.2053614e-09,0.0019176778,0.0005359912,0.10427004,2.1205573e-05,99.88051,judge_asian_48.png
