face_confidence_deepface,age_deepface,gender_deepface,Woman,Man,race_deepface,asian,indian,black,white,middle eastern,latino hispanic,emotion_deepface,angry,disgust,fear,happy,sad,surprise,neutral,image
1.0,33,Man,2.353934,97.64607,black,7.743454e-05,0.0076882443,99.9922,7.221582e-09,1.937773e-09,2.7832817e-05,neutral,0.0006676961,1.0319308e-15,1.2011172e-05,0.005195395,0.008284312,8.4801854e-07,99.98584,judge_black_40.png
1.0,39,Man,0.40138698,99.59862,black,2.8529368e-10,5.0284243e-09,100.0,5.365304e-16,3.569878e-17,5.947129e-11,neutral,1.534372,9.439461e-08,0.085103884,0.0047673117,22.130653,1.0739459e-08,76.24511,judge_black_0.png
1.0,30,Man,46.212414,53.78759,black,1.5272412e-11,1.9223307e-08,100.0,1.4686464e-15,3.2265817e-16,9.0331236e-11,neutral,7.901542e-06,5.564394e-21,1.6181513e-10,0.043512378,0.010679104,3.868356e-11,99.9458,judge_black_26.png
1.0,30,Man,1.5802016,98.4198,black,4.0772207e-05,0.0007948706,99.999115,5.8504746e-08,3.3091154e-09,5.273333e-05,sad,1.412032,4.6227215e-06,0.103390425,0.011447639,57.318203,0.0001733354,41.154747,judge_black_22.png
1.0,28,Man,0.047680754,99.95232,black,0.011419688,0.05902736,99.91769,5.1681665e-05,1.5420594e-05,0.011794419,neutral,0.08244891,1.6846491e-17,2.287271e-08,0.00018601575,0.083307505,2.6444391e-12,99.83406,judge_black_14.png
1.0,34,Woman,81.528046,18.471952,black,2.0031017e-08,2.715771e-05,99.99998,4.869981e-12,3.6622032e-13,1.22637e-07,neutral,2.4632323e-05,3.459859e-14,0.00010246178,4.9167695e-05,0.55501395,6.063083e-08,99.44482,judge_black_8.png
1.0,30,Man,0.4105809,99.58942,black,0.0007977887,0.009853052,99.98906,3.77353e-07,9.8636335e-08,0.00029085195,happy,4.5069,0.00034949518,0.1430823,87.88458,1.7836558,0.012224137,5.669208,judge_black_10.png
1.0,37,Man,0.024030285,99.975975,black,0.0051722787,0.042469002,99.941414,5.1424573e-05,1.585251e-05,0.010862389,neutral,9.89563e-06,4.064099e-19,3.400194e-05,7.05579e-08,0.035030954,4.2413076e-10,99.96493,judge_black_17.png
1.0,33,Man,0.23982342,99.76018,black,8.121647e-11,7.049548e-08,100.0,2.9197497e-15,1.2303717e-15,7.516645e-10,neutral,2.7185056e-08,6.896503e-21,3.854854e-08,3.677079e-08,3.1071624e-05,1.2325368e-08,99.99997,judge_black_41.png
1.0,35,Man,17.495293,82.504715,black,1.15562635e-08,6.287051e-08,100.0,1.1635036e-13,3.5639918e-14,1.3501025e-09,neutral,0.0005087043,4.1522012e-15,9.65888e-06,0.0020258268,0.07426256,4.2593692e-07,99.923195,judge_black_45.png
1.0,39,Man,2.1154854,97.88452,black,3.9651026e-05,0.06641875,99.9335,9.6872785e-09,9.911063e-10,4.3905424e-05,neutral,0.06366682,6.795128e-13,1.92599e-07,0.022779502,6.8483024,2.179926e-09,93.065254,judge_black_32.png
1.0,33,Man,7.126828,92.87318,black,2.607942e-08,2.3131333e-05,99.99998,1.6350662e-10,1.0961702e-11,1.5505381e-06,neutral,0.0045154956,1.8774411e-10,3.6823516e-05,0.38781387,1.1584473,5.2312716e-05,98.449135,judge_black_23.png
1.0,30,Man,6.1514945,93.8485,black,9.060124e-08,1.3766858e-06,100.0,1.3011481e-12,1.9593096e-13,2.0346775e-08,neutral,2.1006828e-05,6.5417496e-13,0.0012012798,0.014630676,0.002774084,0.04540817,99.93597,judge_black_36.png
1.0,29,Man,0.49060807,99.50939,black,2.3225191e-11,5.2585385e-09,100.0,2.3853027e-16,6.6609658e-18,7.799556e-11,neutral,6.412552e-06,3.376904e-13,7.706317e-05,0.08417318,0.00026074215,0.02430428,99.89118,judge_black_1.png
1.0,43,Man,0.33956197,99.66043,black,9.595907e-05,8.153747e-05,99.99981,2.2133404e-08,1.1190587e-09,1.6723981e-05,neutral,0.0033803124,5.592107e-13,8.740867e-06,0.00100464,0.3105124,8.931512e-09,99.6851,judge_black_12.png
1.0,28,Man,0.5099685,99.49003,black,2.806467e-18,7.078865e-16,100.0,1.0242164e-24,2.1219987e-26,4.3354476e-18,neutral,0.11390107,3.88939e-12,0.0019889376,0.00024557186,1.8066119,1.7233244e-08,98.077255,judge_black_47.png
1.0,34,Man,0.5620601,99.437935,black,3.4031724e-14,4.5996865e-12,100.0,3.671411e-19,7.553414e-20,7.287106e-14,neutral,0.00024013793,1.6295925e-13,2.3220575e-06,1.4789406,0.008151361,4.987917e-06,98.512665,judge_black_37.png
1.0,30,Woman,98.856735,1.1432595,black,0.015230494,0.12511136,99.85278,2.4357747e-05,8.162941e-06,0.006847176,neutral,0.00027163443,2.0034562e-10,5.4827848e-05,0.0034325905,0.10752645,5.2146615e-06,99.88871,judge_black_24.png
1.0,33,Man,0.2676462,99.73236,black,0.00084927544,0.01535958,99.978546,1.1495694e-05,3.164405e-06,0.005224538,sad,0.22249296,1.4315681e-07,0.0015013427,0.11534579,80.37762,1.8411894e-05,19.283026,judge_black_48.png
1.0,30,Man,0.024253372,99.975746,black,4.8054304e-08,2.1149735e-06,100.0,1.4347158e-11,5.679386e-13,1.0887234e-07,neutral,2.9523387e-06,4.0610765e-23,9.879293e-07,5.87248e-10,0.0013028778,4.830595e-11,99.99869,judge_black_31.png
1.0,30,Man,0.1055376,99.89447,black,8.983534e-19,9.253106e-15,100.0,2.9350223e-25,1.1770004e-25,1.3435004e-17,neutral,0.020769455,1.15228005e-07,0.0058072973,0.18853696,0.1426908,0.016800333,99.6254,judge_black_21.png
1.0,31,Man,0.051122084,99.94887,black,1.5056527e-11,8.704532e-08,100.0,2.2383765e-15,3.1022635e-16,2.4842503e-10,neutral,0.04138343,3.404155e-08,0.11764587,0.043292455,1.2856525,0.004020736,98.508,judge_black_33.png
1.0,26,Man,0.2549804,99.74502,black,3.2798745e-13,5.7561785e-11,100.0,6.0480324e-19,1.8502328e-19,1.4120294e-13,neutral,0.02484929,2.9593133e-13,2.161568e-06,11.830548,0.011238522,6.0164763e-05,88.13331,judge_black_9.png
1.0,34,Man,0.12619194,99.87381,black,9.716688e-07,1.6678032e-05,99.999985,4.9631127e-10,1.8066762e-11,1.1034374e-06,neutral,0.0007096645,1.1228138e-19,1.7179712e-08,4.0478277e-05,0.00039588608,5.685456e-09,99.998856,judge_black_7.png
1.0,31,Man,18.520073,81.479935,black,6.0960716e-08,2.8609752e-06,100.0,1.0063228e-11,3.0584409e-12,6.712794e-08,sad,0.0019122134,3.8781513e-12,7.690401e-06,0.011498134,54.14759,4.3063935e-08,45.838993,judge_black_13.png
