face_confidence_deepface,age_deepface,gender_deepface,Woman,Man,race_deepface,asian,indian,black,white,middle eastern,latino hispanic,emotion_deepface,angry,disgust,fear,happy,sad,surprise,neutral,image
1.0,32,Man,0.3174994,99.682495,white,0.011604215,0.018255157,0.0008999688,92.26154,3.389725,4.3179746,neutral,36.07074,2.4216564e-07,0.05482708,0.027425388,2.9123034,0.0034935065,60.931217,judge_male_9.png
1.0,32,Man,0.008760904,99.99124,white,0.04394466,0.7614312,0.04043433,56.80474,30.12317,12.22628,neutral,32.025883,0.014908561,0.6306641,0.3252423,12.511532,0.15057573,54.34119,judge_male_24.png
1.0,35,Man,0.028554546,99.97144,white,0.033393797,0.12630463,0.0055430164,76.45884,9.172043,14.203878,neutral,12.018501,0.00044871072,0.7273899,0.023193756,19.589212,0.008959925,67.63229,judge_male_4.png
1.0,39,Man,0.13900079,99.861,latino hispanic,2.9581687,8.375452,1.0925517,21.363344,19.684359,46.526127,neutral,1.0278112,5.880835e-06,0.065162435,0.33685657,4.6087284,0.00013800302,93.961296,judge_male_27.png
1.0,29,Man,0.026129369,99.97388,white,0.32824028,0.78731143,0.076370105,65.56338,19.344286,13.900417,neutral,0.11129892,3.4610161e-06,0.010820577,1.9602678,0.5210877,0.004681221,97.391846,judge_male_46.png
1.0,36,Man,0.08221771,99.91778,latino hispanic,2.4355092,5.892897,1.1749865,28.55675,20.155573,41.784286,neutral,9.024353,0.0034375684,0.04834346,4.678878,6.9350967,0.012514359,79.29738,judge_male_29.png
1.0,31,Man,0.09776205,99.90224,white,0.055056345,0.20372279,0.008786527,75.28587,11.8609295,12.585632,neutral,3.4765635e-05,1.3729603e-16,6.068852e-05,1.8388975e-07,0.004117504,1.7276194e-11,99.99579,judge_male_13.png
1.0,36,Man,0.008807619,99.99119,latino hispanic,2.7129822,6.964445,1.2432352,18.158606,13.325554,57.595177,neutral,19.25799,0.0058948514,4.85829,0.09169509,17.7227,0.0010317877,58.062397,judge_male_31.png
1.0,33,Man,0.11497541,99.885025,white,0.014831677,0.064177796,0.0025634258,81.16556,5.6243052,13.128558,neutral,0.023783846,2.4280592e-08,0.00019397949,0.6276296,0.04432964,5.641516e-06,99.304054,judge_male_12.png
1.0,26,Man,0.09424368,99.90576,white,0.19712861,0.08808325,0.0066448827,82.68689,6.4813137,10.539942,neutral,9.11057,0.00053473224,3.9589272,14.679527,1.4486334,5.6924877,65.10932,judge_male_33.png
1.0,34,Man,0.1895394,99.810455,latino hispanic,6.709724,7.7338657,2.6877398,26.139524,22.45745,34.271694,neutral,0.037754744,1.8233527e-07,0.008264337,2.4721975,0.7665066,0.0039269994,96.71135,judge_male_43.png
1.0,38,Man,0.02704178,99.97295,white,0.3569677,0.9205813,0.07620232,53.095543,15.253287,30.297417,neutral,1.6497891,1.0931094e-05,0.015735155,0.06233401,3.958201,4.5882876e-05,94.31388,judge_male_36.png
1.0,28,Man,0.013854509,99.986145,white,0.0056557176,0.06490546,0.002104546,84.19533,7.309142,8.42287,neutral,0.009752945,3.1300715e-08,0.008999978,1.2404364,0.13849494,0.0014849419,98.60084,judge_male_42.png
1.0,32,Man,0.024178335,99.975815,white,2.7548623,2.9091268,0.6525717,43.912678,19.216007,30.554756,neutral,2.6622317,1.497001e-08,0.020625783,0.004258868,0.20000549,0.0015682434,97.111305,judge_male_15.png
1.0,29,Man,0.02585107,99.97415,latino hispanic,3.5076792,9.128027,1.997045,14.289017,11.544562,59.53367,angry,77.67502,1.2018985e-05,0.30126992,0.00019309878,9.46012,1.7906441e-07,12.563394,judge_male_22.png
