age_insightface,gender_insightface,image
49.0,1.0,mechanic_asian_15.png
42.0,1.0,mechanic_asian_20.png
47.0,1.0,mechanic_asian_10.png
50.0,1.0,mechanic_asian_2.png
47.0,1.0,mechanic_asian_48.png
40.0,1.0,mechanic_asian_47.png
42.0,1.0,mechanic_asian_38.png
39.0,1.0,mechanic_asian_3.png
33.0,1.0,mechanic_asian_5.png
39.0,1.0,mechanic_asian_44.png
30.0,1.0,mechanic_asian_13.png
34.0,1.0,mechanic_asian_14.png
34.0,1.0,mechanic_asian_8.png
34.0,1.0,mechanic_asian_40.png
,,mechanic_asian_18.png
40.0,1.0,mechanic_asian_30.png
46.0,1.0,mechanic_asian_0.png
43.0,1.0,mechanic_asian_11.png
42.0,1.0,mechanic_asian_9.png
37.0,1.0,mechanic_asian_12.png
46.0,1.0,mechanic_asian_29.png
30.0,1.0,mechanic_asian_27.png
41.0,1.0,mechanic_asian_4.png
40.0,1.0,mechanic_asian_49.png
35.0,1.0,mechanic_asian_37.png
31.0,1.0,mechanic_asian_16.png
31.0,1.0,mechanic_asian_22.png
35.0,1.0,mechanic_asian_32.png
29.0,1.0,mechanic_asian_39.png
41.0,1.0,mechanic_asian_24.png
26.0,1.0,mechanic_asian_46.png
38.0,1.0,mechanic_asian_34.png
43.0,1.0,mechanic_asian_17.png
30.0,1.0,mechanic_asian_1.png
36.0,1.0,mechanic_asian_26.png
46.0,1.0,mechanic_asian_41.png
,,mechanic_asian_23.png
30.0,1.0,mechanic_asian_33.png
45.0,1.0,mechanic_asian_28.png
37.0,1.0,mechanic_asian_7.png
37.0,1.0,mechanic_asian_43.png
42.0,1.0,mechanic_asian_31.png
38.0,1.0,mechanic_asian_19.png
35.0,1.0,mechanic_asian_25.png
38.0,1.0,mechanic_asian_42.png
27.0,1.0,mechanic_asian_35.png
38.0,1.0,mechanic_asian_21.png
43.0,1.0,mechanic_asian_36.png
36.0,1.0,mechanic_asian_45.png
47.0,1.0,mechanic_asian_6.png
