face_confidence_deepface,age_deepface,gender_deepface,Woman,Man,race_deepface,asian,indian,black,white,middle eastern,latino hispanic,emotion_deepface,angry,disgust,fear,happy,sad,surprise,neutral,image
1.0,54,Man,0.0059132655,99.99409,white,0.0032094487,0.019822275,0.00011130079,91.6562,7.398139,0.9225229,neutral,0.2062163,6.522983e-08,0.04234842,0.18442339,1.8291404,0.0028196857,97.73505,mechanic_elderly_34.png
1.0,53,Man,0.018314203,99.98168,white,0.004917655,0.1688715,0.00095552276,71.57398,26.011494,2.239779,neutral,0.0015162016,2.7162755e-11,7.739695e-06,0.000790186,0.039760735,9.817891e-07,99.957924,mechanic_elderly_15.png
1.0,53,Man,0.029862309,99.97013,white,0.5648353,3.9876883,0.24326453,51.50315,31.07161,12.62945,neutral,0.011354499,7.127611e-10,0.02482905,0.017609302,3.2476633,0.024959456,96.673584,mechanic_elderly_10.png
1.0,60,Man,0.013052463,99.986946,middle eastern,0.1130776,3.6449041,0.06288925,25.692627,62.741505,7.745,neutral,1.1954936,0.00022658774,0.086615674,0.009073121,39.78012,3.287342e-05,58.928444,mechanic_elderly_5.png
1.0,53,Man,0.05657047,99.94343,middle eastern,0.0014129755,0.3261821,0.0015538908,41.66656,55.394936,2.6093538,neutral,0.00015474345,7.177957e-15,3.636305e-05,0.018655268,0.022743689,3.4260327e-06,99.95841,mechanic_elderly_17.png
1.0,48,Man,0.5914452,99.408554,latino hispanic,15.470759,15.78839,6.673593,18.241974,21.817675,22.007607,neutral,0.32497936,2.6685646e-05,17.370228,0.0064406972,35.466705,0.009656034,46.821964,mechanic_elderly_41.png
1.0,53,Man,0.013860452,99.98614,middle eastern,3.662806,14.402279,17.551006,14.25167,25.889822,24.242418,neutral,0.084776916,2.2105455e-06,0.005793166,0.0017673112,0.48503965,0.0019180872,99.4207,mechanic_elderly_11.png
1.0,50,Man,0.007323103,99.99268,middle eastern,0.0199278,0.8003005,0.008822312,29.93144,65.48307,3.756439,neutral,0.02381625,0.00036703487,0.06739058,16.950296,0.70908684,0.043474924,82.20557,mechanic_elderly_35.png
1.0,47,Man,0.0834475,99.91655,white,0.026731603,0.19304782,0.005161457,82.20039,14.91162,2.6630433,neutral,0.0026445866,2.1524786e-09,0.00089546846,0.22325513,0.010024455,0.03943319,99.72375,mechanic_elderly_3.png
1.0,54,Man,0.2670339,99.73297,middle eastern,0.01591751,1.1475072,0.013295443,28.168196,67.65387,3.001211,neutral,0.14297144,9.606138e-07,0.0028155965,1.26962e-05,0.32956296,1.6571796e-05,99.52462,mechanic_elderly_27.png
