face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,bbox
fairface/detected_faces/Stable3.5-medium_mechanic_young/mechanic_young_48_face0.png,Latino_Hispanic,White,Male,20-29,"[1.1660275e-01 1.5565399e-02 7.4630576e-01 8.7685250e-05 6.4204691e-04
 1.4977831e-02 1.0581853e-01]",[0.6796197  0.16460243 0.00578498 0.14999288],[9.999963e-01 3.703538e-06],"[9.6337217e-08 1.6899424e-04 3.3732277e-01 6.4922822e-01 1.3185944e-02
 9.3644288e-05 2.7655602e-07 7.6320328e-09 1.7877957e-10]","[(302, 240) (677, 615)]"
fairface/detected_faces/Stable3.5-medium_mechanic_young/mechanic_young_37_face0.png,Latino_Hispanic,White,Male,20-29,"[1.8939912e-01 1.7734697e-02 7.3361343e-01 2.7905393e-05 3.6520226e-04
 3.7799051e-03 5.5079676e-02]",[0.5611373  0.24257754 0.00290995 0.19337516],[1.000000e+00 2.263485e-08],"[6.3373573e-09 8.6983491e-06 6.9078431e-02 9.0989524e-01 2.0946495e-02
 7.1003866e-05 1.5759336e-07 4.0322430e-09 6.8349097e-11]","[(339, 240) (715, 615)]"
fairface/detected_faces/Stable3.5-medium_mechanic_young/mechanic_young_18_face0.png,White,White,Male,20-29,"[4.7674015e-01 1.3748753e-04 3.0650154e-01 8.4612300e-05 3.2739830e-04
 5.1318053e-03 2.1107690e-01]",[0.83848715 0.00269423 0.00259095 0.15622766],[9.9999994e-01 5.8719909e-08],"[5.0309559e-08 5.0596413e-05 1.1264267e-01 8.3790010e-01 4.8911825e-02
 4.9350737e-04 1.2497634e-06 1.8656516e-08 1.9366653e-10]","[(263, 202) (640, 578)]"
fairface/detected_faces/Stable3.5-medium_mechanic_young/mechanic_young_23_face0.png,Latino_Hispanic,White,Male,20-29,"[2.7645153e-01 2.0553626e-04 4.1940686e-01 4.3211412e-04 2.4383706e-03
 2.4224585e-02 2.7684113e-01]",[9.2040461e-01 3.9684644e-04 3.3244593e-03 7.5874142e-02],[1.0000000e+00 4.4779135e-08],"[7.2687878e-09 1.9857818e-05 2.8453737e-01 7.0659673e-01 8.8075576e-03
 3.8401970e-05 8.3120256e-08 2.0856272e-09 1.7347719e-11]","[(202, 128) (743, 669)]"
fairface/detected_faces/Stable3.5-medium_mechanic_young/mechanic_young_34_face0.png,White,White,Male,20-29,"[8.42873394e-01 1.66409023e-04 1.40851513e-01 1.08148852e-04
 3.43316933e-04 1.17225674e-04 1.55399647e-02]",[0.9947284  0.00110252 0.00234517 0.001824  ],[9.9999994e-01 5.9770962e-08],"[3.6237342e-09 4.0026043e-06 8.1731826e-02 9.0938199e-01 8.8525787e-03
 2.9501938e-05 7.7569567e-08 9.7532515e-10 1.1384179e-11]","[(302, 202) (677, 578)]"
fairface/detected_faces/Stable3.5-medium_mechanic_young/mechanic_young_22_face0.png,Latino_Hispanic,White,Male,10-19,"[1.9678441e-01 2.6039226e-04 4.1143578e-01 3.8607419e-04 3.6921937e-03
 5.2232686e-02 3.3520845e-01]",[0.9573855  0.00118467 0.00791811 0.03351183],[1.0000000e+00 2.9692986e-09],"[2.1986043e-08 3.0805994e-04 8.2173342e-01 1.7621216e-01 1.7279496e-03
 1.8373687e-05 5.5097345e-08 2.0422004e-09 1.0727099e-11]","[(248, 261) (698, 711)]"
fairface/detected_faces/Stable3.5-medium_mechanic_young/mechanic_young_46_face0.png,Latino_Hispanic,White,Male,20-29,"[2.4393286e-01 2.2354940e-04 3.4550884e-01 1.2777744e-04 6.9678709e-04
 7.5462133e-02 3.3404806e-01]",[8.8979113e-01 1.8981329e-04 1.9763696e-03 1.0804268e-01],[9.9999988e-01 1.0008454e-07],"[9.7218695e-08 9.6662465e-05 8.7772273e-02 8.9297944e-01 1.9067090e-02
 8.4365645e-05 1.2226900e-07 3.3657741e-09 4.1953420e-11]","[(302, 240) (677, 615)]"
fairface/detected_faces/Stable3.5-medium_mechanic_young/mechanic_young_13_face0.png,White,White,Male,10-19,"[6.4306182e-01 5.7308385e-05 1.2870590e-01 1.5163381e-04 4.9085380e-04
 2.1595932e-03 2.2537282e-01]",[9.9829787e-01 1.3256514e-04 4.0308275e-04 1.1665107e-03],[9.99999881e-01 1.12180494e-07],"[2.8088097e-08 3.4818469e-04 7.7406555e-01 2.2298476e-01 2.5655532e-03
 3.5907655e-05 8.5234930e-08 1.4073960e-09 1.5541015e-11]","[(248, 261) (698, 711)]"
fairface/detected_faces/Stable3.5-medium_mechanic_young/mechanic_young_38_face0.png,White,White,Male,10-19,"[9.3631750e-01 1.3275373e-06 3.0892128e-03 1.2798179e-06 5.4036059e-06
 5.0360566e-05 6.0534865e-02]",[9.9986845e-01 7.6983424e-06 4.5543893e-05 7.8239296e-05],[1.0000000e+00 3.4817084e-08],"[4.3511289e-08 1.7927868e-03 9.7723234e-01 2.0820610e-02 1.5031939e-04
 3.9698302e-06 7.5725435e-09 1.5961206e-10 1.6906065e-12]","[(248, 168) (698, 619)]"
fairface/detected_faces/Stable3.5-medium_mechanic_young/mechanic_young_14_face0.png,White,White,Male,20-29,"[8.9680880e-01 4.4884608e-05 7.0780396e-02 6.4486863e-05 1.7665901e-04
 2.1251584e-03 2.9999526e-02]",[9.9523872e-01 2.9456394e-04 6.2037673e-04 3.8464323e-03],[9.999999e-01 1.676025e-07],"[1.0360129e-07 2.1746180e-04 1.9634551e-01 7.9275751e-01 1.0625932e-02
 5.3327960e-05 1.3496738e-07 2.9250480e-09 5.2079761e-11]","[(263, 279) (640, 654)]"
fairface/detected_faces/Stable3.5-medium_mechanic_young/mechanic_young_35_face0.png,White,White,Male,20-29,"[9.7713012e-01 6.6738071e-06 1.5543783e-02 1.5758305e-04 1.8549977e-04
 5.1476894e-04 6.4615211e-03]",[9.9750644e-01 4.1995962e-05 5.8402878e-04 1.8675143e-03],[1.000000e+00 3.212444e-08],"[1.5145297e-08 4.2227286e-05 3.6369973e-01 6.3012564e-01 6.0959850e-03
 3.6264930e-05 1.0562000e-07 2.0262287e-09 2.3810344e-11]","[(248, 168) (698, 619)]"
fairface/detected_faces/Stable3.5-medium_mechanic_young/mechanic_young_24_face0.png,Latino_Hispanic,White,Male,20-29,"[0.2518403  0.00045948 0.3179138  0.00034893 0.00169766 0.11305828
 0.31468153]",[0.8447589  0.00150435 0.00429784 0.14943883],[9.999997e-01 3.087404e-07],"[7.3654341e-08 1.5019721e-04 2.3561808e-01 7.4519086e-01 1.8864542e-02
 1.7561027e-04 5.4965187e-07 2.2330342e-08 3.2690736e-10]","[(302, 165) (677, 540)]"
fairface/detected_faces/Stable3.5-medium_mechanic_young/mechanic_young_32_face0.png,Latino_Hispanic,White,Male,10-19,"[1.5292522e-01 6.5682980e-04 5.7624263e-01 1.2982936e-04 8.3744200e-04
 7.0746476e-03 2.6213327e-01]",[0.9083404  0.0223468  0.00616578 0.06314696],[9.999991e-01 9.332617e-07],"[8.7022061e-09 3.3997389e-04 8.8873100e-01 1.1047391e-01 4.5274699e-04
 2.4275962e-06 3.7533345e-09 1.2122557e-10 1.3313682e-12]","[(302, 316) (677, 692)]"
fairface/detected_faces/Stable3.5-medium_mechanic_young/mechanic_young_21_face0.png,Latino_Hispanic,Indian,Male,20-29,"[7.7259645e-02 2.5150394e-03 7.1386838e-01 1.4658691e-04 1.8654467e-03
 8.8917300e-02 1.1542759e-01]",[0.46754164 0.00624653 0.00439889 0.521813  ],[1.000000e+00 2.008671e-08],"[1.7529839e-08 2.0417450e-05 9.5174715e-02 8.8283521e-01 2.1845354e-02
 1.2394627e-04 3.4678689e-07 1.2634605e-08 1.5979985e-10]","[(248, 168) (698, 619)]"
fairface/detected_faces/Stable3.5-medium_mechanic_young/mechanic_young_1_face0.png,White,White,Male,20-29,"[9.8691899e-01 7.8523872e-06 4.5619509e-03 1.5651103e-04 1.7237340e-04
 6.2313127e-05 8.1199473e-03]",[9.9658966e-01 2.1996725e-04 1.8658132e-03 1.3245124e-03],[9.9999988e-01 1.2666504e-07],"[2.74354637e-08 6.03315420e-05 1.68682829e-01 8.12836528e-01
 1.83115639e-02 1.08465894e-04 2.14194074e-07 2.61042721e-09
 3.47082953e-11]","[(202, 183) (743, 724)]"
fairface/detected_faces/Stable3.5-medium_mechanic_young/mechanic_young_5_face0.png,Latino_Hispanic,White,Male,20-29,"[1.1079805e-01 2.2367842e-03 8.0169117e-01 1.6219125e-04 1.8355706e-03
 3.3810403e-02 4.9465913e-02]",[0.7646776  0.01535056 0.00452519 0.21544668],[9.9999994e-01 8.3403840e-08],"[3.9273967e-08 8.5737964e-05 2.2412010e-01 7.6632702e-01 9.4261039e-03
 4.0930190e-05 9.1134098e-08 3.5451591e-09 4.3305658e-11]","[(302, 202) (677, 578)]"
fairface/detected_faces/Stable3.5-medium_mechanic_young/mechanic_young_12_face0.png,Latino_Hispanic,White,Male,20-29,"[8.7648615e-02 2.3034422e-03 7.4351537e-01 9.1179863e-05 7.8830618e-04
 1.6910281e-02 1.4874285e-01]",[0.8734202  0.00982993 0.0056294  0.11112052],[9.999995e-01 4.458221e-07],"[2.4651724e-08 2.0262067e-05 1.2417491e-01 8.6494285e-01 1.0818947e-02
 4.2872893e-05 1.0344109e-07 4.3298494e-09 6.7607267e-11]","[(302, 279) (677, 654)]"
fairface/detected_faces/Stable3.5-medium_mechanic_young/mechanic_young_7_face0.png,Middle Eastern,White,Male,20-29,"[2.0652729e-01 4.6566900e-04 2.5883904e-01 4.0766470e-05 3.4315506e-04
 1.3651838e-02 5.2013230e-01]",[9.7035605e-01 3.2634390e-04 3.7613968e-04 2.8941408e-02],[1.0000000e+00 3.2414054e-08],"[6.2478520e-09 6.9600865e-06 6.4875267e-02 9.1257536e-01 2.2459483e-02
 8.2740036e-05 1.3456517e-07 4.7584896e-09 5.0671294e-11]","[(302, 240) (677, 615)]"
fairface/detected_faces/Stable3.5-medium_mechanic_young/mechanic_young_29_face0.png,Latino_Hispanic,White,Male,10-19,"[0.3480681  0.00150743 0.44541833 0.00045719 0.00141968 0.00496663
 0.19816266]",[0.9784252  0.00900822 0.00554398 0.00702259],[9.9999982e-01 1.2104319e-07],"[7.1804703e-07 3.5571395e-03 8.3423227e-01 1.5839675e-01 3.7554265e-03
 5.7217723e-05 4.3328350e-07 2.5907688e-08 3.3214995e-10]","[(358, 331) (670, 643)]"
