face_confidence_deepface,age_deepface,gender_deepface,Woman,Man,race_deepface,asian,indian,black,white,middle eastern,latino hispanic,emotion_deepface,angry,disgust,fear,happy,sad,surprise,neutral,image
1.0,34,Man,0.2544764,99.74553,asian,98.41272,0.323851,0.0010294857,0.00828583,5.46066e-05,1.2540569,neutral,0.00014699927,3.3421397e-08,0.014328338,30.522987,0.010948923,0.31106085,69.140526,office worker_asian_9.png
1.0,32,Man,0.12422068,99.875786,asian,99.77278,0.044307966,0.001267716,0.013371382,2.991459e-05,0.16824488,sad,34.371864,4.9162917e-08,6.9464884,0.5221969,48.63701,0.06389779,9.45854,office worker_asian_5.png
1.0,33,Man,1.1212956,98.8787,asian,98.857765,0.197971,0.004357682,0.09208768,0.0024454617,0.84537125,fear,0.65494674,5.5040116e-05,43.008488,16.291555,0.27285153,11.027027,28.74508,office worker_asian_11.png
1.0,31,Man,0.05617689,99.943825,asian,99.9757,0.0063472884,4.0915234e-06,0.0008678987,7.528991e-07,0.017078096,neutral,1.2446252,0.0003069835,1.3433526,5.5216637,2.523365,0.004666189,89.36202,office worker_asian_12.png
1.0,30,Man,0.21437633,99.78562,asian,99.14639,0.24268337,0.002306807,0.033066828,0.00013018123,0.5754132,neutral,0.030612992,4.309176e-12,0.00022330953,1.7193978e-06,0.2549243,1.11586e-07,99.71424,office worker_asian_48.png
1.0,31,Man,0.19273546,99.80727,asian,99.9858,0.0014953887,1.3730659e-06,0.00022967985,7.576916e-08,0.012469828,neutral,1.7579967e-05,4.6459305e-13,0.0007636852,18.979815,0.001505017,0.0017539592,81.01614,office worker_asian_13.png
1.0,31,Man,0.33544892,99.66455,asian,58.698124,11.003084,3.640486,3.2991242,1.3191853,22.039997,neutral,0.0045128847,3.081553e-08,0.28457335,0.4274091,0.11625443,0.0004912521,99.166756,office worker_asian_37.png
1.0,32,Man,0.4423426,99.55766,asian,99.99794,0.0004239199,1.034306e-08,0.00028718068,9.637777e-09,0.0013504574,neutral,1.7947041,0.000247796,0.25163117,0.592538,2.5887656,0.000468577,94.771645,office worker_asian_40.png
1.0,26,Man,0.12400612,99.876,asian,99.9872,0.004729871,5.223983e-07,6.365271e-05,3.337484e-09,0.008010593,neutral,0.934189,0.00020145321,0.027106686,0.017088784,1.3286275,0.0005106933,97.692276,office worker_asian_39.png
1.0,29,Woman,99.258255,0.7417394,asian,62.29284,7.5406656,2.4334476,5.8627853,2.3259146,19.544344,happy,1.24287635e-05,1.9065772e-20,1.559476e-08,63.806557,0.00020612469,8.419942e-07,36.193222,office worker_asian_25.png
1.0,25,Man,0.08755782,99.912445,asian,99.617546,0.06369661,0.0020525467,0.01557112,5.6224413e-05,0.3010837,neutral,0.008135918,2.821943e-07,0.1873428,25.752893,0.16495734,0.056976352,73.8297,office worker_asian_2.png
1.0,31,Man,1.1408789,98.85912,asian,67.44404,7.129894,2.0215466,1.9223769,0.6179591,20.86419,neutral,0.47117713,6.760743e-11,0.011764317,0.026408745,0.086930685,0.007961676,99.39576,office worker_asian_21.png
1.0,30,Man,0.03916059,99.960846,asian,99.86451,0.017270332,6.0100906e-06,0.00031491273,1.2932935e-07,0.11790373,neutral,0.05252672,2.400294e-07,0.0055817096,0.12977393,0.18808442,0.0012662036,99.62276,office worker_asian_10.png
1.0,28,Man,0.3319252,99.66807,asian,99.99087,0.0016423429,1.4036908e-07,4.169257e-05,1.0723522e-10,0.0074494635,neutral,9.162875,0.0006488491,7.5228343,0.4086578,10.454349,0.019148346,72.43149,office worker_asian_22.png
1.0,31,Man,0.28212306,99.71788,asian,95.900604,1.5524447,0.03317066,0.18081279,0.007536395,2.325437,neutral,0.4554336,4.6390618e-05,0.47468674,0.19410014,3.2389016,0.00021510912,95.63662,office worker_asian_36.png
1.0,27,Woman,65.89419,34.105812,asian,99.99572,0.0020164053,1.4597312e-07,0.00016501857,8.3775916e-08,0.0021004141,neutral,0.08285592,1.3606366e-06,0.016491394,15.284714,0.6235969,0.00029333972,83.99205,office worker_asian_45.png
1.0,35,Man,0.53242934,99.467575,asian,93.66091,2.544447,0.0946086,0.038658366,0.002646664,3.658723,neutral,2.4366674,4.0641837e-05,0.31595156,0.0025366596,10.935453,0.0018285131,86.30752,office worker_asian_32.png
1.0,32,Man,0.63782686,99.362175,asian,99.89975,0.009329538,3.7371014e-05,0.0023725464,5.8353413e-07,0.0885172,fear,0.031960033,7.9627836e-07,62.48238,16.733315,0.033931173,16.642338,4.0760765,office worker_asian_34.png
1.0,31,Man,0.3864553,99.61355,asian,94.974144,1.073149,0.038642146,0.8233738,0.025654562,3.0650365,neutral,0.029799355,9.996908e-07,2.9661427e-05,3.2839289,6.321706,1.0871621e-05,90.36453,office worker_asian_26.png
1.0,32,Man,0.8635592,99.13644,asian,58.86573,10.466166,4.2418394,5.6575212,2.3379507,18.430784,happy,9.022531e-06,1.3517727e-10,8.167268e-06,98.91897,0.0022238276,2.431245e-06,1.0787898,office worker_asian_29.png
1.0,34,Man,0.45153666,99.54847,asian,99.35064,0.103186116,0.00089454715,0.024240404,2.5413548e-05,0.52100986,neutral,0.6720821,0.00075050315,0.44200227,0.001182694,8.797817,0.017402466,90.06876,office worker_asian_1.png
