face_confidence_deepface,age_deepface,gender_deepface,Woman,Man,race_deepface,asian,indian,black,white,middle eastern,latino hispanic,emotion_deepface,angry,disgust,fear,happy,sad,surprise,neutral,image
1.0,25,Man,0.2717504,99.72825,black,7.087571,9.815382,71.93728,2.0135684,1.9277163,7.218479,sad,0.00070714334,4.228591e-15,0.0007104176,1.947948e-06,85.41667,6.1922656e-10,14.581914,professional athlete_black_47.png
1.0,26,Man,0.26631343,99.73368,black,2.6847355e-15,7.4549715e-12,100.0,1.26227325e-20,3.507801e-21,4.4200212e-14,neutral,0.0018855414,3.0212618e-12,2.7584398e-05,3.806372,7.810346,3.5324124e-06,88.38136,professional athlete_black_26.png
1.0,26,Man,0.18595168,99.81405,black,1.38228665e-11,3.1193388e-09,100.0,2.146573e-16,1.4547394e-16,2.7558617e-11,neutral,0.22278607,1.7566336e-11,0.0006578362,0.012664446,0.17143565,3.5985895e-06,99.592445,professional athlete_black_14.png
1.0,27,Man,0.008726343,99.99127,black,1.1926891,1.7581338,96.02633,0.08958687,0.047573097,0.8856881,neutral,0.09695685,1.2519894e-07,0.06267107,0.0804452,0.5162793,0.0064094304,99.237236,professional athlete_black_31.png
1.0,29,Man,0.12831014,99.8717,black,2.1667338e-19,4.9463473e-18,100.0,1.7653222e-27,1.2817461e-26,5.4172837e-20,neutral,0.0193544,2.6993043e-12,9.436378e-05,0.00096430676,0.060878966,4.2425157e-07,99.91871,professional athlete_black_22.png
1.0,31,Man,0.16854703,99.83145,black,4.504275e-22,2.9609075e-19,100.0,1.7414423e-29,2.5116609e-28,1.0059076e-20,neutral,0.008767564,9.730269e-08,1.5028247,0.41546953,26.680374,0.002014162,71.39055,professional athlete_black_17.png
1.0,30,Man,1.0187953,98.98121,black,1.5615492e-21,2.1250999e-20,100.0,1.4875571e-31,4.583921e-31,1.3667482e-22,neutral,0.52131826,4.8416484e-07,0.0015331763,0.22031404,7.7659874,2.647819e-06,91.490845,professional athlete_black_30.png
1.0,26,Man,0.02058299,99.979416,black,9.0364676e-07,3.4224215e-06,100.0,4.0029027e-10,8.238287e-11,1.3088634e-06,neutral,3.0990857e-06,7.857715e-15,1.7144675e-06,0.00030930628,0.00043870742,2.748141e-07,99.99925,professional athlete_black_41.png
1.0,26,Man,0.03501961,99.96497,black,3.6000323e-17,2.6268948e-18,100.0,4.783328e-27,1.4695677e-27,5.6395126e-20,neutral,4.541696,7.751216e-06,0.026034832,0.19805452,30.383932,5.55079e-05,64.85022,professional athlete_black_35.png
1.0,28,Man,0.030315224,99.96969,black,2.9478455e-19,3.8356805e-17,100.0,5.7143767e-27,4.023328e-27,1.2772797e-19,neutral,0.012957522,6.7683437e-09,0.0033118136,0.012612597,4.184467,3.3685507e-07,95.78665,professional athlete_black_16.png
