face_confidence_deepface,age_deepface,gender_deepface,Woman,Man,race_deepface,asian,indian,black,white,middle eastern,latino hispanic,emotion_deepface,angry,disgust,fear,happy,sad,surprise,neutral,image
1.0,48,Man,0.02399091,99.976006,latino hispanic,18.345621,12.526567,12.028769,17.668564,16.425278,23.005205,sad,7.514008,0.22764874,11.859321,0.08374965,63.313095,0.06367428,16.938503,professional athlete_elderly_49.png
1.0,53,Man,0.04762566,99.95238,middle eastern,0.022868427,0.86445034,0.007906864,37.490284,57.96443,3.6500614,neutral,7.3481377e-09,8.927164e-18,7.9729173e-10,0.00041572397,0.0050170734,4.1225724e-11,99.994576,professional athlete_elderly_31.png
1.0,52,Man,0.0049582208,99.99504,white,5.8847804,8.419776,2.2586112,31.825447,25.3689,26.242489,sad,5.23546,0.000659501,12.523561,0.018672476,47.393646,0.02136533,34.806637,professional athlete_elderly_45.png
1.0,46,Man,0.020658234,99.97935,white,0.03825032,0.2699357,0.009127449,72.58753,22.59658,4.498578,neutral,11.5689335,0.13495551,0.42712823,0.5815001,33.03897,0.023312638,54.2252,professional athlete_elderly_36.png
1.0,48,Man,0.0018526943,99.99815,white,0.026260916,0.95451635,0.0319597,47.55796,46.67051,4.75879,neutral,0.0028406638,5.2382665e-10,4.7771005e-05,8.857554e-06,1.2227759,5.7239086e-10,98.77432,professional athlete_elderly_13.png
1.0,56,Man,0.00081697264,99.999176,white,0.20423429,0.4328696,0.008587759,76.031685,20.548819,2.7738087,neutral,7.053797,2.8430202e-06,0.21854612,0.41582587,21.538744,0.0024071664,70.770676,professional athlete_elderly_8.png
1.0,53,Man,0.010869772,99.98913,middle eastern,1.2113318,12.147799,1.2838767,14.056295,56.3992,14.901493,neutral,2.0134497,0.00015099024,0.56862503,0.10691277,18.401299,0.0038062818,78.90576,professional athlete_elderly_26.png
1.0,49,Man,0.004777623,99.99522,white,5.8433905,3.6094644,0.50933605,44.15408,24.621687,21.262043,neutral,0.21328914,1.15775025e-08,1.3364369,0.007056167,9.545575,0.000120985045,88.89753,professional athlete_elderly_29.png
1.0,50,Man,0.005354655,99.994644,middle eastern,0.0003623538,0.6899347,0.0018298314,3.0891323,95.05956,1.1591758,neutral,0.001517057,2.564225e-05,20.928967,0.47205895,0.30825955,0.7377294,77.55145,professional athlete_elderly_11.png
1.0,47,Man,0.0012643524,99.99873,white,0.203601,1.870211,0.10293955,54.51884,35.797756,7.506656,neutral,0.017901229,6.614778e-06,1.9692465,0.85827214,1.522455,0.015479889,95.61664,professional athlete_elderly_41.png
