face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,bbox
fairface/detected_faces/Stable3.5-medium_professional athlete_middle aged/professional athlete_middle aged_7_face0.png,White,White,Male,30-39,"[9.76976097e-01 1.21108615e-05 6.36078836e-03 5.62732203e-05
 1.94078064e-04 1.42530946e-04 1.62580721e-02]",[9.9943209e-01 2.1052088e-05 2.4333176e-04 3.0356826e-04],[9.9999815e-01 1.8816606e-06],"[6.6484688e-07 1.8101011e-05 1.0591618e-03 1.3078395e-01 7.2871518e-01
 1.3800918e-01 1.4063230e-03 7.3994870e-06 9.7262053e-08]","[(248, 215) (698, 665)]"
fairface/detected_faces/Stable3.5-medium_professional athlete_middle aged/professional athlete_middle aged_37_face0.png,White,White,Male,30-39,"[9.5561612e-01 1.9668647e-04 1.8740740e-02 1.2276621e-04 4.8267056e-04
 2.5098684e-04 2.4590101e-02]",[0.99338275 0.00138344 0.00219315 0.00304071],[9.999994e-01 5.277987e-07],"[7.0020592e-06 6.7297675e-05 9.0086699e-04 4.3470349e-02 6.1227483e-01
 3.3709809e-01 6.1500263e-03 3.1211704e-05 2.8124427e-07]","[(358, 267) (670, 581)]"
fairface/detected_faces/Stable3.5-medium_professional athlete_middle aged/professional athlete_middle aged_35_face0.png,White,White,Male,30-39,"[9.37389433e-01 5.85022790e-04 3.42274457e-02 4.10369039e-03
 1.15795415e-02 2.38497465e-04 1.18764229e-02]",[7.8570437e-01 7.9687906e-04 2.1290854e-01 5.9022050e-04],[9.9999976e-01 2.2262154e-07],"[5.1158258e-07 6.3045700e-06 4.3022193e-04 2.9531607e-01 6.8657762e-01
 1.7584655e-02 8.4022344e-05 6.6764511e-07 9.8584634e-09]","[(339, 202) (715, 578)]"
fairface/detected_faces/Stable3.5-medium_professional athlete_middle aged/professional athlete_middle aged_44_face0.png,White,White,Male,20-29,"[9.9966490e-01 1.8313260e-05 8.9701796e-05 3.7420563e-07 1.9994477e-06
 1.3777728e-06 2.2334889e-04]",[9.9873435e-01 9.7148947e-04 4.9447201e-05 2.4468670e-04],[9.9999946e-01 5.3283776e-07],"[5.7757575e-08 4.4692974e-06 2.1905082e-03 4.9620199e-01 4.7227094e-01
 2.8878154e-02 4.5120466e-04 2.6200282e-06 4.9432408e-08]","[(326, 203) (640, 517)]"
fairface/detected_faces/Stable3.5-medium_professional athlete_middle aged/professional athlete_middle aged_23_face0.png,White,White,Male,30-39,"[9.0200543e-01 5.3706183e-04 5.3375505e-02 6.3765219e-05 2.0759142e-04
 2.3649567e-04 4.3574046e-02]",[9.9535340e-01 3.1537930e-03 3.5560876e-04 1.1371900e-03],[9.999983e-01 1.717542e-06],"[2.2912182e-07 4.9690320e-06 1.9524762e-03 3.5538855e-01 5.8713371e-01
 5.5007704e-02 5.0877815e-04 3.5374399e-06 3.8364700e-08]","[(326, 267) (640, 581)]"
fairface/detected_faces/Stable3.5-medium_professional athlete_middle aged/professional athlete_middle aged_4_face0.png,Middle Eastern,Indian,Male,40-49,"[1.7434803e-01 3.6987249e-02 3.1805959e-01 5.4111155e-05 3.9407026e-04
 1.8011995e-02 4.5214495e-01]",[0.37359098 0.16763988 0.00496579 0.4538034 ],[1.000000e+00 4.146303e-08],"[1.1517546e-06 6.1096007e-06 2.6053502e-04 1.9274507e-02 4.2686307e-01
 5.1894021e-01 3.4421425e-02 2.3212009e-04 7.4161102e-07]","[(302, 240) (677, 615)]"
fairface/detected_faces/Stable3.5-medium_professional athlete_middle aged/professional athlete_middle aged_18_face0.png,White,White,Male,30-39,"[9.0259218e-01 1.3270344e-03 6.7218877e-02 4.4071188e-05 2.4789348e-04
 7.6566252e-04 2.7804324e-02]",[9.6931857e-01 1.0825385e-02 9.1516011e-04 1.8940898e-02],[9.9999899e-01 1.0107988e-06],"[6.2304241e-07 1.2127902e-05 1.9142797e-03 2.0026672e-01 6.4711469e-01
 1.4666106e-01 4.0036342e-03 2.6395835e-05 4.5870698e-07]","[(302, 202) (677, 578)]"
fairface/detected_faces/Stable3.5-medium_professional athlete_middle aged/professional athlete_middle aged_34_face0.png,White,White,Male,30-39,"[9.55958128e-01 1.03450606e-04 8.07287451e-03 1.06371648e-04
 3.01756314e-04 1.48056730e-04 3.53092253e-02]",[0.9942103  0.00204193 0.00263668 0.00111113],[1.0000000e+00 4.1430868e-09],"[5.1262064e-06 1.5964995e-05 5.0892838e-04 4.2896818e-02 5.1220953e-01
 4.2302266e-01 2.1037046e-02 3.0216799e-04 1.8626578e-06]","[(248, 215) (698, 665)]"
fairface/detected_faces/Stable3.5-medium_professional athlete_middle aged/professional athlete_middle aged_8_face0.png,White,White,Male,40-49,"[8.0280137e-01 4.3314922e-04 1.6433915e-01 8.9363821e-05 3.3526157e-04
 3.2796077e-03 2.8722098e-02]",[9.9536788e-01 9.1833805e-05 3.2064877e-04 4.2196908e-03],[9.9999952e-01 4.1863623e-07],"[2.3783798e-06 7.9387673e-06 2.4211378e-04 2.1587468e-03 6.2921010e-02
 5.3516698e-01 3.9238295e-01 7.0802704e-03 3.7511581e-05]","[(248, 168) (698, 619)]"
fairface/detected_faces/Stable3.5-medium_professional athlete_middle aged/professional athlete_middle aged_11_face0.png,White,White,Male,30-39,"[9.9542433e-01 2.1113190e-04 2.4281270e-03 6.8973772e-05 2.4247033e-04
 1.0579745e-05 1.6143522e-03]",[9.7289133e-01 2.0208819e-02 6.0472935e-03 8.5253385e-04],[9.9999994e-01 7.0115519e-08],"[7.1664303e-08 1.1582613e-06 4.6429576e-04 2.5415412e-01 6.8066430e-01
 6.3900813e-02 8.0927787e-04 5.8882024e-06 7.3979166e-08]","[(248, 215) (698, 665)]"
fairface/detected_faces/Stable3.5-medium_professional athlete_middle aged/professional athlete_middle aged_6_face0.png,White,White,Male,30-39,"[9.6769267e-01 9.9956407e-05 1.8040728e-02 9.9632394e-05 3.3863104e-04
 2.6805684e-04 1.3460227e-02]",[9.9580932e-01 7.1697496e-04 2.0354784e-03 1.4382844e-03],[9.999991e-01 9.129561e-07],"[2.1078989e-07 5.6952331e-06 7.4266328e-04 1.9106382e-01 7.1483558e-01
 9.2505187e-02 8.4317976e-04 3.6668064e-06 3.3979525e-08]","[(326, 172) (640, 485)]"
fairface/detected_faces/Stable3.5-medium_professional athlete_middle aged/professional athlete_middle aged_41_face0.png,White,White,Male,30-39,"[9.29001451e-01 1.02141954e-03 1.73962545e-02 1.07907035e-05
 8.25795141e-05 5.55178674e-04 5.19323461e-02]",[0.9054774  0.0506975  0.00132767 0.0424974 ],[9.9999976e-01 2.0454996e-07],"[5.6766913e-07 1.0650412e-05 7.3015213e-04 1.4517455e-01 7.4223047e-01
 1.1021020e-01 1.6290870e-03 1.4025550e-05 1.8782438e-07]","[(358, 235) (670, 549)]"
