face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,bbox
fairface/detected_faces/Stable3.5-medium_professional athlete_white/professional athlete_white_38_face0.png,Latino_Hispanic,White,Male,20-29,"[3.8364431e-01 2.9010347e-03 5.8309472e-01 1.2571672e-03 6.7306962e-03
 5.3552241e-04 2.1836475e-02]",[0.8826487  0.02055812 0.09448055 0.00231253],[1.000000e+00 4.040773e-09],"[2.5416917e-08 1.1181306e-05 2.4993997e-02 9.2383081e-01 5.0878812e-02
 2.8431430e-04 7.6068153e-07 1.3282839e-08 1.1064989e-10]","[(202, 128) (743, 669)]"
fairface/detected_faces/Stable3.5-medium_professional athlete_white/professional athlete_white_29_face0.png,Latino_Hispanic,White,Male,20-29,"[2.7577320e-01 5.8992498e-02 5.0242722e-01 7.0569746e-05 7.1006670e-04
 8.6407065e-03 1.5338565e-01]",[0.85903656 0.11735696 0.00258369 0.02102269],[9.999999e-01 1.544416e-07],"[3.1015226e-08 1.4363428e-05 3.0946519e-02 8.8936722e-01 7.8866109e-02
 8.0287887e-04 2.8504851e-06 3.2756670e-08 5.4067267e-10]","[(302, 240) (677, 615)]"
fairface/detected_faces/Stable3.5-medium_professional athlete_white/professional athlete_white_42_face0.png,White,White,Male,20-29,"[8.2018936e-01 4.3206201e-03 1.2501964e-01 1.1242109e-04 6.6344556e-04
 6.0701917e-04 4.9087480e-02]",[9.8968560e-01 8.1962170e-03 8.5891754e-04 1.2593026e-03],[9.999927e-01 7.244537e-06],"[1.6815838e-07 3.5227698e-05 3.5323322e-02 8.2306993e-01 1.3778222e-01
 3.7494656e-03 3.8991799e-05 6.3624225e-07 1.3455574e-08]","[(337, 216) (599, 477)]"
fairface/detected_faces/Stable3.5-medium_professional athlete_white/professional athlete_white_25_face0.png,White,White,Male,20-29,"[9.9543232e-01 3.8338534e-05 2.6518500e-03 4.8717466e-06 1.7614211e-05
 1.7242653e-05 1.8377705e-03]",[9.9939120e-01 2.6066074e-04 1.8557586e-05 3.2970053e-04],[9.9997705e-01 2.3003318e-05],"[1.0225253e-07 1.4413043e-04 1.0402551e-01 8.2589751e-01 6.8692781e-02
 1.2332598e-03 6.5797885e-06 5.2800097e-08 2.2965236e-09]","[(326, 203) (640, 517)]"
fairface/detected_faces/Stable3.5-medium_professional athlete_white/professional athlete_white_33_face0.png,White,White,Male,20-29,"[6.3582319e-01 3.2414077e-03 1.2607189e-01 2.7484917e-05 1.3768065e-04
 6.0705858e-04 2.3409115e-01]",[9.8827857e-01 8.4495042e-03 3.1964530e-04 2.9523196e-03],[1.0000000e+00 1.1184672e-08],"[8.1610079e-09 2.7152805e-06 2.1481350e-02 9.2219013e-01 5.6016855e-02
 3.0833069e-04 5.9190864e-07 6.8242478e-09 5.9426693e-11]","[(248, 215) (698, 665)]"
fairface/detected_faces/Stable3.5-medium_professional athlete_white/professional athlete_white_10_face0.png,White,White,Male,20-29,"[7.2030288e-01 1.3585219e-03 9.7935423e-02 6.2532017e-05 4.9113750e-04
 6.3211919e-04 1.7921731e-01]",[0.95586324 0.03001071 0.00717683 0.00694927],[1.0000000e+00 1.9368924e-08],"[9.8458983e-09 4.5331344e-06 8.8427383e-03 8.5633397e-01 1.3336807e-01
 1.4459533e-03 4.6367813e-06 3.1884927e-08 3.0080388e-10]","[(202, 128) (743, 669)]"
fairface/detected_faces/Stable3.5-medium_professional athlete_white/professional athlete_white_18_face0.png,White,White,Male,20-29,"[4.7692871e-01 2.2432350e-03 4.2770141e-01 1.0453263e-04 7.3892291e-04
 2.6022659e-03 8.9681007e-02]",[0.9269767  0.02082212 0.0025556  0.04964557],[9.9999970e-01 2.9721363e-07],"[9.93496174e-10 1.51979702e-06 4.37077768e-02 9.34923887e-01
 2.12982334e-02 6.84750412e-05 1.16703205e-07 1.22963273e-09
 1.90223965e-11]","[(248, 215) (698, 665)]"
fairface/detected_faces/Stable3.5-medium_professional athlete_white/professional athlete_white_19_face0.png,White,White,Male,20-29,"[4.5606452e-01 2.4369473e-03 4.5586047e-01 9.4312687e-05 1.0269961e-03
 1.3413960e-03 8.3175331e-02]",[0.94209296 0.018953   0.00651337 0.03244077],[1.0000000e+00 5.0767492e-09],"[9.2388506e-09 1.6525053e-05 1.1109130e-01 8.4803575e-01 4.0556174e-02
 2.9959134e-04 5.8519140e-07 5.3593712e-09 4.0215470e-11]","[(326, 235) (640, 549)]"
fairface/detected_faces/Stable3.5-medium_professional athlete_white/professional athlete_white_24_face0.png,White,White,Male,20-29,"[8.9386380e-01 1.1008277e-03 2.7982976e-02 5.9867089e-05 2.6099716e-04
 4.5752371e-04 7.6273955e-02]",[0.9919963  0.00315546 0.00248913 0.00235914],[9.9999881e-01 1.2282024e-06],"[1.3364270e-06 1.1098353e-04 2.3598626e-02 6.7770863e-01 2.8050178e-01
 1.7786859e-02 2.8701164e-04 4.7339672e-06 8.6066834e-08]","[(202, 183) (743, 724)]"
fairface/detected_faces/Stable3.5-medium_professional athlete_white/professional athlete_white_14_face0.png,White,White,Male,20-29,"[9.4147968e-01 1.0555480e-03 4.0943068e-02 4.3451051e-05 1.1449547e-04
 1.4377377e-04 1.6220009e-02]",[9.9414539e-01 4.6918676e-03 6.0201687e-04 5.6069175e-04],[9.999995e-01 4.897000e-07],"[3.6928121e-08 1.7442069e-06 3.6724936e-03 6.8935150e-01 2.9915205e-01
 7.7520050e-03 6.9436588e-05 6.9454723e-07 1.0363034e-08]","[(302, 279) (677, 654)]"
