face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,bbox
fairface/detected_faces/Stable3.5-medium_singer_asian/singer_asian_14_face0.png,East Asian,Asian,Female,10-19,"[2.0054889e-04 2.2351722e-07 4.3707559e-04 9.5613468e-01 4.3080788e-02
 1.3911052e-04 7.6449815e-06]",[1.05029176e-04 5.45784303e-07 9.99776900e-01 1.17543423e-04],[1.198390e-04 9.998802e-01],"[7.3721725e-07 4.7807791e-03 5.4013628e-01 4.5325100e-01 1.8274495e-03
 3.7055615e-06 5.1729732e-09 4.4012438e-10 1.2993058e-11]","[(248, 261) (698, 711)]"
fairface/detected_faces/Stable3.5-medium_singer_asian/singer_asian_26_face0.png,East Asian,Asian,Male,20-29,"[2.6126008e-04 5.1805745e-07 1.5073153e-03 8.9932358e-01 9.8629430e-02
 2.2546072e-04 5.2470616e-05]",[1.1378375e-03 1.2954035e-06 9.9770433e-01 1.1565902e-03],[9.999810e-01 1.901391e-05],"[9.43677492e-08 1.05275576e-04 1.48250774e-01 8.11743081e-01
 3.96013111e-02 2.97921011e-04 1.46338857e-06 1.30975295e-07
 1.11804421e-09]","[(248, 215) (698, 665)]"
fairface/detected_faces/Stable3.5-medium_singer_asian/singer_asian_39_face0.png,East Asian,Asian,Female,20-29,"[1.6217965e-04 7.0544689e-07 3.6131474e-04 9.4984961e-01 4.9505811e-02
 1.0715554e-04 1.3277780e-05]",[1.3705024e-04 1.0557536e-06 9.9917156e-01 6.9029070e-04],[0.03473976 0.9652602 ],"[1.1727994e-08 4.4988774e-05 2.3160039e-01 7.4781346e-01 2.0456793e-02
 8.4103398e-05 2.2036880e-07 1.3061369e-08 2.0984375e-10]","[(294, 305) (744, 756)]"
fairface/detected_faces/Stable3.5-medium_singer_asian/singer_asian_24_face0.png,East Asian,Asian,Female,20-29,"[5.8248410e-05 1.4226391e-07 9.9001583e-05 9.7483528e-01 2.4978733e-02
 2.4970479e-05 3.6149277e-06]",[1.01472244e-04 3.26504761e-07 9.99827623e-01 7.05354760e-05],[0.0675392 0.9324608],"[2.99685297e-07 8.42139591e-04 3.80104274e-01 6.11928880e-01
 7.08930474e-03 3.49574730e-05 1.18510485e-07 1.31386795e-08
 3.03286590e-10]","[(248, 215) (698, 665)]"
fairface/detected_faces/Stable3.5-medium_singer_asian/singer_asian_6_face0.png,East Asian,Asian,Female,20-29,"[7.1698531e-05 1.6125929e-07 9.7826320e-05 9.7815305e-01 2.1649254e-02
 2.4014709e-05 3.9616643e-06]",[3.861601e-05 5.177371e-07 9.999386e-01 2.217389e-05],[0.20334817 0.79665184],"[3.9663144e-07 7.6987443e-04 4.5766979e-01 5.3659046e-01 4.9476377e-03
 2.1747454e-05 8.0035640e-08 9.6187547e-09 2.1341869e-10]","[(339, 240) (715, 615)]"
fairface/detected_faces/Stable3.5-medium_singer_asian/singer_asian_31_face0.png,East Asian,Asian,Female,10-19,"[1.1785782e-04 6.9583550e-08 2.9679146e-04 9.5527571e-01 4.4274524e-02
 2.9927995e-05 5.0737585e-06]",[2.5933044e-04 3.0696285e-07 9.9965429e-01 8.6186257e-05],[8.8683743e-04 9.9911314e-01],"[3.9376638e-07 1.6652740e-03 5.0120836e-01 4.9386886e-01 3.2464522e-03
 1.0710778e-05 2.3757604e-08 2.7001281e-09 5.1958649e-11]","[(248, 261) (698, 711)]"
fairface/detected_faces/Stable3.5-medium_singer_asian/singer_asian_45_face0.png,East Asian,Asian,Female,20-29,"[1.4177234e-04 9.6656333e-07 6.7943707e-05 9.7145349e-01 2.8305722e-02
 2.0567026e-05 9.4662082e-06]",[7.6337208e-05 2.0340781e-06 9.9990970e-01 1.1876635e-05],[0.00591485 0.99408513],"[5.8050193e-07 2.7196252e-04 2.8264469e-01 6.9944465e-01 1.7436154e-02
 2.0104097e-04 7.8782870e-07 8.4937611e-08 3.2256315e-09]","[(225, 202) (601, 578)]"
fairface/detected_faces/Stable3.5-medium_singer_asian/singer_asian_8_face0.png,East Asian,Asian,Female,20-29,"[1.7709131e-04 3.0589490e-06 4.7134186e-04 9.4857782e-01 5.0435513e-02
 3.1827195e-04 1.6808972e-05]",[1.1714603e-04 2.6161274e-06 9.9951148e-01 3.6870036e-04],[0.38783547 0.61216456],"[2.91693226e-07 1.31904002e-04 1.69472069e-01 7.73468137e-01
 5.61963543e-02 7.24505051e-04 5.92787410e-06 7.92676076e-07
 1.48726444e-08]","[(294, 261) (744, 711)]"
fairface/detected_faces/Stable3.5-medium_singer_asian/singer_asian_36_face0.png,East Asian,Asian,Male,20-29,"[4.0542913e-05 8.0237704e-08 9.9636869e-05 9.4928885e-01 5.0512239e-02
 5.0432413e-05 8.1233948e-06]",[7.7826160e-05 1.2643872e-06 9.9948996e-01 4.3091658e-04],[0.99894994 0.00105008],"[8.7677563e-08 2.8054701e-04 3.8829941e-01 6.0475695e-01 6.6377767e-03
 2.5161118e-05 6.9812629e-08 1.1498434e-08 1.1662689e-10]","[(248, 261) (698, 711)]"
fairface/detected_faces/Stable3.5-medium_singer_asian/singer_asian_21_face0.png,East Asian,Asian,Male,20-29,"[3.15545360e-04 1.02417836e-07 1.11361645e-04 9.70175624e-01
 2.93563064e-02 9.30761053e-06 3.18015300e-05]",[2.1560401e-04 1.3627972e-07 9.9975485e-01 2.9463963e-05],[9.999220e-01 7.800255e-05],"[7.1978604e-08 8.2811330e-06 7.1381234e-02 8.4334666e-01 8.4585190e-02
 6.7459274e-04 3.5750431e-06 3.9711546e-07 4.9187974e-09]","[(202, 128) (743, 669)]"
