face_confidence_deepface,age_deepface,gender_deepface,Woman,Man,race_deepface,asian,indian,black,white,middle eastern,latino hispanic,emotion_deepface,angry,disgust,fear,happy,sad,surprise,neutral,image
0.99,29,Man,6.7972264,93.20277,black,1.8156332e-08,2.6926552e-06,100.0,8.044419e-12,7.766907e-12,5.039565e-08,neutral,1.9840007e-05,2.347996e-25,1.6838851e-10,2.4919482e-08,0.04315697,1.24193385e-14,99.956825,singer_black_14.png
1.0,25,Man,4.1509175,95.849075,black,7.915097e-06,0.000664133,99.99932,1.4984786e-09,4.684024e-10,7.735151e-06,sad,1.4445727e-05,3.105396e-12,0.08298839,1.1199746e-06,99.57065,1.0702573e-11,0.34634885,singer_black_34.png
1.0,33,Man,47.965984,52.03402,asian,33.843796,13.539572,26.742517,4.573573,3.5999827,17.700562,neutral,8.811253e-06,7.761346e-19,7.079858e-08,0.027750814,0.018123945,3.454398e-08,99.95412,singer_black_46.png
1.0,28,Man,7.585218,92.41478,black,2.052058e-06,0.00018550562,99.9998,1.4167187e-08,3.894465e-09,1.2016448e-05,neutral,0.011655913,4.51696e-22,9.920373e-06,2.0726302e-08,0.18719558,3.1460642e-15,99.80114,singer_black_19.png
1.0,29,Man,41.45899,58.54101,black,7.389311e-20,3.7321628e-17,100.0,6.6235576e-28,2.095547e-28,6.7523646e-21,neutral,8.288574,1.2948972e-09,0.7026723,1.2324264,0.2036107,6.1894745e-05,89.572655,singer_black_13.png
1.0,29,Woman,93.831635,6.1683702,black,1.7973284e-10,8.738867e-08,100.0,6.355241e-16,1.25767535e-17,2.540748e-10,neutral,0.003401835,1.1699032e-10,0.46747562,0.0046637375,25.45217,2.6905209e-05,74.072266,singer_black_9.png
1.0,26,Woman,99.96234,0.037652284,black,2.1868525e-05,0.00016051231,99.999794,1.0808295e-08,8.4148066e-10,1.2712479e-05,neutral,0.009294103,9.851564e-13,3.8908256e-06,0.021782951,2.4858596,1.11148935e-07,97.483055,singer_black_42.png
1.0,30,Man,2.7577293,97.24226,black,3.109632e-09,4.5889374e-07,100.0,9.3256484e-14,6.8547704e-15,4.613699e-09,neutral,0.0043446613,2.506853e-19,2.3327038e-07,8.5783626e-08,0.13650396,1.2979415e-11,99.859146,singer_black_2.png
1.0,37,Man,22.19856,77.801445,black,3.032687e-10,2.8473487e-10,100.0,2.4476695e-16,6.6545402e-18,3.5471157e-12,neutral,0.003960469,1.4819715e-20,8.2090655e-06,0.08129297,7.147774,4.6693677e-11,92.76697,singer_black_27.png
1.0,30,Man,0.5884875,99.411514,black,8.213301e-13,1.8181482e-09,100.0,7.754138e-18,3.2635044e-18,1.015586e-11,sad,0.07275923,1.23525756e-11,0.084686525,3.6864635e-06,99.622055,1.582035e-11,0.22049947,singer_black_11.png
1.0,24,Man,41.57054,58.429462,black,0.00046549295,0.0013702726,99.998116,2.8049676e-08,1.5492829e-09,4.9309183e-05,sad,2.0679456e-06,2.2278557e-21,4.572538e-05,5.909738e-08,98.799065,5.5889555e-12,1.2008878,singer_black_47.png
