face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,bbox
fairface/detected_faces/Stable3.5-medium_singer_indian/singer_indian_20_face0.png,Indian,Indian,Male,30-39,"[2.3602739e-05 2.6428213e-04 1.6675586e-03 7.3718303e-07 3.9760042e-05
 9.9786836e-01 1.3563904e-04]",[1.9018765e-04 5.5444246e-04 2.9754252e-04 9.9895787e-01],[9.999919e-01 8.069589e-06],"[2.2338401e-07 4.1634207e-06 7.8548974e-04 1.5627459e-01 7.6962429e-01
 7.2769284e-02 5.3730619e-04 4.5592833e-06 6.3918421e-08]","[(294, 261) (744, 711)]"
fairface/detected_faces/Stable3.5-medium_singer_indian/singer_indian_21_face0.png,Indian,Indian,Male,40-49,"[1.2594996e-05 1.8019466e-05 5.4756991e-05 4.1334002e-07 2.2221115e-05
 9.9987727e-01 1.4729332e-05]",[2.2145729e-04 1.9375000e-05 5.5552553e-04 9.9920362e-01],[0.9743335  0.02566645],"[2.0429732e-06 4.2712651e-05 4.3786103e-03 4.3144640e-02 2.5645417e-01
 4.8789611e-01 1.8822721e-01 1.9016916e-02 8.3750259e-04]","[(103, 121) (753, 770)]"
fairface/detected_faces/Stable3.5-medium_singer_indian/singer_indian_29_face0.png,Indian,Indian,Male,30-39,"[4.0153213e-06 6.4746027e-06 6.5449938e-05 4.0241878e-07 9.6169406e-06
 9.9990487e-01 9.1615520e-06]",[1.7342436e-05 2.2372784e-05 2.6566000e-05 9.9993372e-01],[0.99006206 0.00993799],"[1.4426376e-04 3.1652495e-03 3.2729376e-02 2.0301147e-01 5.7552963e-01
 1.7895004e-01 6.2997499e-03 1.6826147e-04 2.0165512e-06]","[(202, 128) (743, 669)]"
fairface/detected_faces/Stable3.5-medium_singer_indian/singer_indian_31_face0.png,Indian,Indian,Male,30-39,"[2.4012716e-06 2.8682206e-04 6.3273351e-04 9.2614960e-07 1.8688249e-04
 9.9887723e-01 1.3029255e-05]",[7.1276741e-06 9.6967306e-05 1.2779496e-04 9.9976814e-01],[9.9980426e-01 1.9573067e-04],"[1.9541109e-07 5.1151483e-06 3.4056851e-03 2.1734782e-01 6.9067395e-01
 8.7701343e-02 8.5442344e-04 1.1284003e-05 1.5246462e-07]","[(225, 202) (601, 578)]"
fairface/detected_faces/Stable3.5-medium_singer_indian/singer_indian_5_face0.png,Indian,Indian,Male,30-39,"[8.4399071e-06 2.3220926e-05 2.3909721e-04 1.5733176e-06 3.5136691e-05
 9.9968690e-01 5.5222681e-06]",[1.7210730e-05 2.2811679e-05 2.8329481e-05 9.9993169e-01],[0.9570454  0.04295463],"[4.8597681e-06 1.7454194e-04 9.4270715e-03 2.3727809e-01 6.5770024e-01
 9.4370939e-02 1.0238902e-03 2.0062445e-05 3.0914126e-07]","[(294, 261) (744, 711)]"
fairface/detected_faces/Stable3.5-medium_singer_indian/singer_indian_44_face0.png,Indian,Indian,Male,30-39,"[1.51190181e-06 6.64977488e-05 4.62787539e-05 1.09581784e-07
 8.12231065e-06 9.99875665e-01 1.85684564e-06]",[3.5007029e-06 2.9487257e-05 3.3740002e-05 9.9993324e-01],[0.9937052  0.00629481],"[2.5614747e-07 1.6931850e-05 3.5084961e-03 1.8092297e-01 7.0898223e-01
 1.0532582e-01 1.2321379e-03 1.0996109e-05 1.7768367e-07]","[(202, 183) (743, 724)]"
fairface/detected_faces/Stable3.5-medium_singer_indian/singer_indian_2_face0.png,Indian,Indian,Male,20-29,"[6.2629406e-05 7.4188871e-04 2.5776427e-03 1.2427687e-05 2.8585151e-04
 9.9627978e-01 3.9731833e-05]",[1.9171163e-04 5.4060627e-04 4.2975289e-04 9.9883789e-01],[0.9978207  0.00217928],"[4.1735848e-06 8.0237619e-04 4.1235145e-02 6.1660850e-01 3.3361894e-01
 7.6947389e-03 3.5463137e-05 6.3624304e-07 9.0743599e-09]","[(248, 168) (698, 619)]"
fairface/detected_faces/Stable3.5-medium_singer_indian/singer_indian_18_face0.png,Indian,Indian,Male,30-39,"[6.2101876e-06 4.3569398e-05 3.2942664e-04 1.1683596e-06 2.9036148e-05
 9.9955755e-01 3.3052096e-05]",[6.0427192e-06 5.9176513e-05 8.4835679e-05 9.9984998e-01],[9.9978226e-01 2.1778037e-04],"[3.1824870e-06 7.4087162e-05 6.0114921e-03 3.5487095e-01 6.0880387e-01
 3.0092858e-02 1.4123079e-04 2.3502469e-06 3.3414867e-08]","[(170, 55) (819, 705)]"
fairface/detected_faces/Stable3.5-medium_singer_indian/singer_indian_30_face0.png,Indian,Indian,Male,30-39,"[2.7666916e-05 9.3709663e-05 4.9896102e-04 9.1571701e-07 1.9271361e-05
 9.9930155e-01 5.7968209e-05]",[2.5050307e-05 4.6021720e-05 5.7139103e-05 9.9987179e-01],[0.9932025  0.00679752],"[4.7283378e-05 4.2166049e-04 4.4635958e-03 4.0865749e-02 4.5533982e-01
 4.5146450e-01 4.6538547e-02 8.4610021e-04 1.2702389e-05]","[(248, 305) (698, 756)]"
fairface/detected_faces/Stable3.5-medium_singer_indian/singer_indian_37_face0.png,Indian,Indian,Male,30-39,"[1.3807663e-05 7.4707164e-04 7.1622833e-04 3.2300693e-06 1.5270675e-04
 9.9835932e-01 7.6510269e-06]",[1.6832522e-05 1.0312363e-04 7.5238582e-05 9.9980485e-01],[0.97171664 0.02828332],"[1.1618710e-06 4.0652529e-05 7.2492729e-03 3.5262769e-01 5.8765590e-01
 5.1940199e-02 4.7329627e-04 1.1587899e-05 2.3698246e-07]","[(326, 235) (640, 549)]"
fairface/detected_faces/Stable3.5-medium_singer_indian/singer_indian_15_face0.png,Indian,Indian,Male,30-39,"[2.6923644e-05 1.6108681e-04 2.7657932e-04 8.4789821e-07 2.6872267e-05
 9.9943250e-01 7.5186297e-05]",[2.8152137e-05 2.3650753e-05 1.6600560e-04 9.9978220e-01],[9.990037e-01 9.962296e-04],"[5.8296782e-06 6.9530121e-05 4.1913926e-03 3.9754683e-01 5.6234729e-01
 3.5403553e-02 4.0485826e-04 3.0012545e-05 7.0305686e-07]","[(339, 240) (715, 615)]"
fairface/detected_faces/Stable3.5-medium_singer_indian/singer_indian_34_face0.png,Indian,Indian,Male,30-39,"[2.0271273e-06 8.3816805e-05 1.3260725e-04 3.1512684e-07 2.3612980e-05
 9.9975532e-01 2.3117620e-06]",[8.7490316e-06 7.3975949e-05 1.2449136e-04 9.9979275e-01],[0.99461335 0.00538661],"[1.0347676e-06 1.5107891e-05 9.1667211e-04 1.3474998e-01 7.8103119e-01
 8.2777500e-02 5.0422666e-04 4.2191191e-06 5.5196264e-08]","[(302, 240) (677, 615)]"
fairface/detected_faces/Stable3.5-medium_singer_indian/singer_indian_10_face0.png,Indian,Indian,Male,30-39,"[6.4688593e-06 4.4045591e-04 6.4776937e-04 4.5414613e-06 1.6949738e-04
 9.9869537e-01 3.5898065e-05]",[2.4419547e-05 1.1386094e-03 6.7259731e-05 9.9876964e-01],[9.9916321e-01 8.3681266e-04],"[1.7162063e-04 1.0487163e-03 4.4289473e-03 7.2697371e-02 6.0203564e-01
 3.0752721e-01 1.1926907e-02 1.6177258e-04 1.7979094e-06]","[(202, 128) (743, 669)]"
fairface/detected_faces/Stable3.5-medium_singer_indian/singer_indian_19_face0.png,Indian,Indian,Male,30-39,"[8.7650169e-06 2.8600465e-05 8.0719654e-04 2.9972779e-07 1.8340379e-05
 9.9907094e-01 6.5849090e-05]",[9.456786e-06 4.836357e-05 3.702429e-05 9.999051e-01],[9.9991840e-01 8.1606355e-05],"[3.6613164e-05 1.5436226e-03 4.2994052e-02 2.0393839e-01 6.0458761e-01
 1.4430842e-01 2.5519410e-03 3.8826929e-05 4.8353508e-07]","[(248, 168) (698, 619)]"
fairface/detected_faces/Stable3.5-medium_singer_indian/singer_indian_1_face0.png,Indian,Indian,Male,10-19,"[2.9455916e-05 3.2118318e-05 4.8621261e-04 3.2770504e-07 1.5039152e-05
 9.9875379e-01 6.8313221e-04]",[1.4566472e-04 1.6530892e-05 1.8117843e-04 9.9965656e-01],[0.99835825 0.0016417 ],"[7.5251842e-07 4.0641990e-03 7.1411228e-01 2.7077469e-01 1.0723746e-02
 3.2283037e-04 1.3989680e-06 1.0628855e-07 1.9667212e-09]","[(103, 253) (753, 902)]"
fairface/detected_faces/Stable3.5-medium_singer_indian/singer_indian_7_face0.png,Indian,Indian,Male,30-39,"[7.7944305e-06 2.4882465e-05 1.7079507e-04 2.2177547e-07 7.4365753e-06
 9.9978596e-01 2.9007658e-06]",[4.7514251e-05 6.3149804e-05 3.0938067e-05 9.9985838e-01],[0.9892616  0.01073835],"[3.4055986e-07 1.2203029e-05 3.1735452e-03 2.0683096e-01 7.2623426e-01
 6.3232131e-02 5.1152165e-04 4.9871442e-06 5.0195091e-08]","[(202, 128) (743, 669)]"
fairface/detected_faces/Stable3.5-medium_singer_indian/singer_indian_9_face0.png,Indian,Indian,Male,30-39,"[7.6906763e-06 9.6199299e-05 2.4686783e-04 5.2835139e-07 1.8392997e-05
 9.9962550e-01 4.8652623e-06]",[1.575303e-05 8.465637e-05 8.989251e-05 9.998097e-01],[0.9774336  0.02256644],"[1.1782499e-05 1.9195380e-04 6.9589624e-03 1.5462394e-01 6.3798571e-01
 1.9492738e-01 5.1736729e-03 1.2494354e-04 1.7362042e-06]","[(202, 183) (743, 724)]"
fairface/detected_faces/Stable3.5-medium_singer_indian/singer_indian_28_face0.png,Indian,Indian,Male,30-39,"[5.9024643e-07 2.9340982e-03 8.3675674e-05 1.7439740e-07 2.4319705e-05
 9.9695241e-01 4.7767021e-06]",[2.6584482e-06 1.0364972e-03 2.3757075e-05 9.9893707e-01],[9.9990374e-01 9.6315664e-05],"[2.0066892e-07 2.4760891e-06 8.2499534e-04 1.5062244e-01 6.9573301e-01
 1.4946775e-01 3.2672377e-03 8.0599297e-05 1.1965948e-06]","[(302, 279) (677, 654)]"
fairface/detected_faces/Stable3.5-medium_singer_indian/singer_indian_6_face0.png,Indian,Indian,Male,20-29,"[4.5427205e-06 2.1512086e-04 2.7366972e-04 1.4598862e-06 6.0302755e-05
 9.9942595e-01 1.8996496e-05]",[5.1173356e-06 2.4762930e-04 8.9076791e-05 9.9965823e-01],[0.9771418  0.02285818],"[6.42007362e-05 1.19427955e-02 4.16303992e-01 4.55089003e-01
 1.07922629e-01 8.52514990e-03 1.42100500e-04 9.79647484e-06
 2.79364258e-07]","[(302, 202) (677, 578)]"
fairface/detected_faces/Stable3.5-medium_singer_indian/singer_indian_35_face0.png,Indian,Indian,Female,10-19,"[1.1798324e-04 1.7804827e-05 4.3412304e-04 1.8676893e-04 7.1852381e-04
 9.9851537e-01 9.4657553e-06]",[1.00727484e-04 1.11557811e-05 1.59005972e-03 9.98298049e-01],[6.0320828e-05 9.9993974e-01],"[2.9179058e-05 2.5891730e-01 6.2381101e-01 1.1464833e-01 2.5779081e-03
 1.6127113e-05 1.1218732e-07 1.2403818e-08 3.6944925e-10]","[(248, 124) (698, 574)]"
fairface/detected_faces/Stable3.5-medium_singer_indian/singer_indian_24_face0.png,Indian,Indian,Male,30-39,"[2.0720976e-05 7.1933624e-05 4.0072747e-04 2.3019406e-06 3.6904574e-05
 9.9943852e-01 2.8843429e-05]",[9.2686416e-05 5.0544328e-05 4.1265968e-05 9.9981546e-01],[0.9936654  0.00633463],"[8.2172573e-06 3.3082342e-04 1.0432232e-02 2.9453403e-01 6.2338161e-01
 7.0299439e-02 9.8245114e-04 3.0582883e-05 5.8063802e-07]","[(202, 183) (743, 724)]"
fairface/detected_faces/Stable3.5-medium_singer_indian/singer_indian_13_face0.png,Indian,Indian,Male,30-39,"[4.1253355e-05 1.6922949e-04 7.0353330e-04 9.8543467e-07 1.5032420e-05
 9.9902773e-01 4.2169195e-05]",[4.9319402e-05 1.6595724e-04 3.9334205e-05 9.9974543e-01],[9.996870e-01 3.129654e-04],"[4.9377599e-07 1.5342846e-05 1.7353691e-03 2.6015401e-01 6.9389033e-01
 4.3992359e-02 2.1041049e-04 1.6612497e-06 2.3243199e-08]","[(326, 362) (640, 675)]"
fairface/detected_faces/Stable3.5-medium_singer_indian/singer_indian_48_face0.png,Indian,Indian,Male,30-39,"[9.9399767e-06 6.7591951e-05 2.6883066e-04 5.0313270e-07 1.1309975e-05
 9.9961084e-01 3.0951775e-05]",[1.6560594e-05 1.0475234e-04 3.8258251e-05 9.9984044e-01],[9.9949974e-01 5.0025288e-04],"[3.7908707e-05 1.5584135e-04 1.3392279e-03 6.4516716e-02 6.7229187e-01
 2.5454125e-01 7.0435214e-03 7.2945128e-05 7.8510982e-07]","[(202, 183) (743, 724)]"
fairface/detected_faces/Stable3.5-medium_singer_indian/singer_indian_27_face0.png,Indian,Indian,Female,10-19,"[1.8659221e-05 2.5907340e-05 3.6629403e-04 3.3244345e-05 3.1819177e-04
 9.9921781e-01 1.9993096e-05]",[5.0602630e-05 1.7883023e-05 7.4435503e-04 9.9918711e-01],[0.12186003 0.87814003],"[2.6688638e-06 1.7937837e-02 5.9848654e-01 3.7233263e-01 1.1114085e-02
 1.2529020e-04 8.6010766e-07 8.2256612e-08 1.9631148e-09]","[(302, 354) (677, 730)]"
fairface/detected_faces/Stable3.5-medium_singer_indian/singer_indian_49_face0.png,Indian,Indian,Female,10-19,"[4.23293204e-06 7.02005491e-05 1.62199693e-04 1.12092075e-05
 1.32363275e-04 9.99615371e-01 4.42968758e-06]",[2.4050263e-05 2.2373770e-04 7.3714368e-04 9.9901509e-01],[0.00402667 0.99597335],"[2.7924099e-05 8.9027844e-02 6.2416583e-01 2.4618356e-01 3.9189603e-02
 1.3656163e-03 3.6668553e-05 2.8500251e-06 4.5097405e-08]","[(326, 203) (640, 517)]"
fairface/detected_faces/Stable3.5-medium_singer_indian/singer_indian_41_face0.png,Indian,Indian,Male,20-29,"[6.3204636e-05 6.3429339e-05 5.1096734e-03 4.2897409e-06 1.7423823e-04
 9.9377829e-01 8.0683979e-04]",[4.20698023e-04 1.13436254e-04 9.86464671e-04 9.98479366e-01],[9.999949e-01 5.118538e-06],"[2.2374697e-06 3.2294632e-04 1.9493893e-02 6.1403954e-01 3.5339966e-01
 1.2703726e-02 3.7087768e-05 8.9228166e-07 1.4930114e-08]","[(202, 72) (743, 614)]"
fairface/detected_faces/Stable3.5-medium_singer_indian/singer_indian_47_face0.png,Indian,Indian,Male,30-39,"[3.8543720e-05 2.5040550e-05 8.1424363e-04 7.6837443e-07 2.0330825e-05
 9.9903673e-01 6.4323569e-05]",[3.6624668e-05 4.9211849e-05 1.6934001e-04 9.9974483e-01],[0.9985532 0.0014468],"[8.0060618e-06 4.5474875e-04 1.8522184e-02 2.4134634e-01 5.8575553e-01
 1.4988951e-01 3.9473148e-03 7.4684183e-05 1.5953044e-06]","[(302, 354) (677, 730)]"
fairface/detected_faces/Stable3.5-medium_singer_indian/singer_indian_0_face0.png,Indian,Indian,Male,30-39,"[3.8693001e-06 2.8081800e-05 1.2734989e-04 4.2292899e-07 1.6659893e-05
 9.9980843e-01 1.5216348e-05]",[4.3534204e-05 8.7697445e-05 1.2276162e-04 9.9974602e-01],[9.993336e-01 6.663677e-04],"[9.5354526e-06 4.7047648e-05 6.2806794e-04 3.3034418e-02 6.0715079e-01
 3.5091710e-01 8.1505235e-03 6.1804152e-05 7.3179734e-07]","[(257, 293) (798, 833)]"
