face_confidence_deepface,age_deepface,gender_deepface,Woman,Man,race_deepface,asian,indian,black,white,middle eastern,latino hispanic,emotion_deepface,angry,disgust,fear,happy,sad,surprise,neutral,image
1.0,27,Woman,99.99994,5.4862892e-05,white,2.1184103e-05,3.0966692e-06,4.5160327e-08,99.79974,0.029183382,0.17105095,neutral,1.184674e-05,7.0758313e-14,0.005385016,0.02758026,0.01761106,0.004577907,99.94484,singer_white_8.png
1.0,35,Woman,99.507645,0.49235243,white,3.9367481e-10,1.03873465e-10,6.0217364e-13,99.99998,1.3405224e-05,1.1296052e-05,fear,10.597534,0.0012599209,59.24979,0.096240655,15.782846,3.6755924,10.596741,singer_white_4.png
1.0,28,Woman,99.86756,0.13243423,white,4.543373e-06,1.7817291e-07,3.231169e-09,99.99445,0.0007704326,0.0047642915,surprise,5.994871,0.0001482171,20.7604,0.027472729,21.329388,42.683033,9.20469,singer_white_38.png
1.0,28,Woman,99.97678,0.023214988,white,0.14861108,0.05228524,0.00938148,84.348946,4.0138927,11.4268875,sad,6.0569315,3.6063036e-06,0.14005487,0.0108415615,58.58845,0.01580073,35.187916,singer_white_44.png
1.0,29,Woman,99.9915,0.0084965,white,0.23480435,0.06631629,0.008386343,92.68002,2.4582577,4.5522084,neutral,14.821623,6.426968e-06,0.17559801,0.0018723827,36.605827,0.00013503157,48.394943,singer_white_10.png
1.0,27,Man,38.08506,61.914944,white,0.020078653,0.0047251303,0.00025982741,98.48544,0.5382561,0.9512402,neutral,31.561195,7.4054936e-09,0.019276196,0.01208535,23.990376,2.2057227e-06,44.41706,singer_white_43.png
1.0,28,Woman,99.10129,0.89870936,white,39.289757,0.8163628,0.44557297,40.518265,4.534525,14.395514,sad,12.031993,5.9224664e-07,0.3210561,0.0007059408,69.517365,0.0006996408,18.128185,singer_white_37.png
1.0,28,Woman,99.99996,3.8456725e-05,white,5.2542593e-05,2.3307832e-05,5.96234e-07,99.671364,0.033036675,0.29552537,neutral,20.53156,1.6413697e-08,0.12849684,0.0013609506,17.637762,0.0023346567,61.69849,singer_white_15.png
1.0,30,Woman,98.42328,1.5767289,white,1.7004305,0.44968176,0.095293984,83.03839,4.1360483,10.5801525,neutral,0.00015384635,6.5253153e-10,0.022096438,0.1128714,0.053308185,0.003921438,99.807655,singer_white_11.png
1.0,30,Woman,99.99235,0.0076510333,white,0.06601538,0.0026954121,0.000195118,98.214294,0.3628191,1.3539846,angry,65.29534,0.014707977,0.2780042,0.15257333,9.499195,0.0025644992,24.757622,singer_white_33.png
1.0,29,Woman,100.0,4.8497627e-06,white,6.7544645e-09,6.092242e-09,4.765614e-12,99.99691,0.001026709,0.002061395,neutral,0.2634666,3.7282125e-10,0.6206112,8.123655e-05,2.6718466,0.011360525,96.43263,singer_white_25.png
1.0,26,Woman,100.0,9.840494e-07,white,2.5678055e-06,2.350921e-08,4.3639367e-10,99.99596,0.00018089355,0.0038706376,sad,11.869341,8.300153e-08,0.9036753,0.0001653947,59.614822,0.0026346308,27.609354,singer_white_5.png
1.0,29,Woman,99.99089,0.009106557,asian,92.93709,0.0053945663,0.0010503401,6.666658,0.081080146,0.30873105,neutral,0.018411199,2.0470387e-07,0.06386391,0.027406741,0.4160272,0.011229506,99.46305,singer_white_6.png
