face_confidence_deepface,age_deepface,gender_deepface,Woman,Man,race_deepface,asian,indian,black,white,middle eastern,latino hispanic,emotion_deepface,angry,disgust,fear,happy,sad,surprise,neutral,image
1.0,39,Man,0.04957613,99.950424,middle eastern,0.3780767,5.118259,0.43903306,25.423777,50.038593,18.602266,happy,0.03697853,0.0004086828,0.061062526,95.0289,0.061317567,0.13653006,4.674803,software engineer_middle aged_45.png
1.0,47,Man,0.0023530575,99.99765,latino hispanic,1.834105,7.586302,1.4121466,23.439476,28.834677,36.893295,neutral,35.889347,0.0064560743,0.1323552,1.3633448,18.26235,0.00012455463,44.346024,software engineer_middle aged_40.png
1.0,38,Man,0.0166473,99.983345,white,0.024836319,0.26074833,0.010893239,68.78225,23.574146,7.347118,neutral,0.04204491,3.2079832e-09,6.3006766e-05,23.700294,0.02971633,7.118091e-05,76.227806,software engineer_middle aged_18.png
1.0,39,Man,0.43845135,99.56155,white,0.42343676,2.47888,0.38368043,49.728523,27.29036,19.695127,neutral,1.0165063,5.229891e-08,0.0003550736,16.18916,0.20107485,1.4636685e-05,82.592896,software engineer_middle aged_33.png
1.0,42,Man,0.016803587,99.98319,white,0.00027823568,0.018073123,0.00026208287,84.55143,13.336486,2.0934672,neutral,2.683218,1.2892596e-05,0.038038857,5.3382506,3.1659338,0.01653917,88.75801,software engineer_middle aged_20.png
1.0,46,Man,0.1266498,99.873344,white,5.990128e-05,0.003539961,2.1131542e-05,90.57125,8.408579,1.0165467,happy,0.00012421324,5.614628e-10,9.269638e-07,61.457954,0.0049940376,1.2403609e-05,38.53691,software engineer_middle aged_19.png
1.0,39,Man,0.032792993,99.96721,middle eastern,0.33071503,8.837914,0.5422182,19.762297,52.175068,18.35179,neutral,0.0057037347,8.494605e-06,0.053612724,0.6205364,1.188761,2.1070395e-05,98.131355,software engineer_middle aged_4.png
1.0,46,Man,0.2213878,99.7786,white,0.003179661,0.0070599727,0.00029340456,91.020195,2.3162262,6.653051,neutral,0.0274889,2.8756745e-07,0.04572655,0.42175302,1.1251279,0.00044125732,98.37946,software engineer_middle aged_17.png
1.0,33,Man,0.29887652,99.70112,white,1.2360499,5.2750564,0.92120254,32.657764,30.87117,29.038757,neutral,2.7364755,1.2368597e-05,0.87803286,0.66195524,8.746497,0.003392153,86.97364,software engineer_middle aged_47.png
1.0,36,Man,0.4243257,99.57567,white,1.7107997,2.4404612,0.46864003,55.418022,16.568747,23.393332,neutral,16.548952,0.024028642,0.45154426,0.38579848,11.831968,0.022269262,70.735435,software engineer_middle aged_0.png
1.0,35,Man,0.005376719,99.99462,white,6.6951014e-07,3.5697756e-06,5.6990203e-08,99.83288,0.088684276,0.078437395,happy,1.7496072,0.018720504,0.471782,63.90169,6.314145,0.014560339,27.52949,software engineer_middle aged_11.png
1.0,45,Man,0.13183445,99.868164,white,2.9866064e-06,4.284402e-05,5.0553024e-07,99.76384,0.15947546,0.07662282,happy,2.2127895e-06,1.3503245e-12,2.734174e-08,70.90939,0.04544218,2.7221434e-08,29.045162,software engineer_middle aged_48.png
1.0,36,Man,0.0998615,99.90015,white,0.007775038,0.031992577,0.0010337464,85.121506,10.140816,4.696877,happy,0.0024680963,5.1074575e-11,7.3508414e-07,88.40988,0.00037198488,8.9667066e-07,11.587284,software engineer_middle aged_23.png
1.0,50,Man,0.0009699482,99.99903,middle eastern,0.18912046,7.050228,0.25976825,18.196342,51.965397,22.339148,neutral,0.016367797,5.303962e-07,0.0010142793,0.0039051198,1.1765695,5.6974125e-07,98.80213,software engineer_middle aged_27.png
1.0,43,Man,0.0897533,99.91025,white,0.13200584,0.46344724,0.03612692,73.13174,14.331267,11.9054165,happy,0.0011466024,1.0730991e-08,1.5962423e-06,98.609505,0.0015784878,1.7575218e-06,1.3877572,software engineer_middle aged_21.png
1.0,39,Man,0.04568489,99.954315,white,0.0228877,0.37356392,0.009813948,68.40768,21.073393,10.112666,neutral,0.06328613,2.8000382e-05,0.00046868098,19.482956,0.7126176,6.7834604e-05,79.74058,software engineer_middle aged_13.png
1.0,39,Man,0.008932047,99.99107,white,0.85080665,1.1803055,0.35723713,47.393963,12.727902,37.489784,neutral,0.048593376,1.5609794e-06,0.0091084475,0.055409443,1.6904914,2.778175e-06,98.196396,software engineer_middle aged_8.png
1.0,39,Man,0.007331823,99.99267,white,0.00053317484,0.0019631146,1.7507205e-05,98.229355,1.0621682,0.7059672,neutral,27.055754,3.6167874e-06,0.0050711418,0.0750377,13.543103,5.788256e-07,59.321033,software engineer_middle aged_14.png
1.0,41,Man,0.02715792,99.97284,white,0.0003421203,0.0030490872,4.2994634e-05,94.50017,1.8485644,3.647837,happy,0.0011038694,2.9118338e-08,5.9000045e-06,94.27603,0.0053146356,0.0004111266,5.717129,software engineer_middle aged_43.png
1.0,50,Man,0.020377057,99.97962,white,0.0059054457,0.022780541,0.00097612705,90.24141,5.8802075,3.8487222,neutral,0.02415634,1.7440365e-07,6.823389e-05,23.75287,0.9053965,1.1690018e-05,75.317505,software engineer_middle aged_7.png
1.0,46,Man,0.010541218,99.98946,middle eastern,0.18816383,3.7662714,0.26708952,32.80023,48.845985,14.132262,happy,0.045696028,3.5509746e-14,8.161609e-08,67.24904,0.00014556963,4.6422647e-07,32.705124,software engineer_middle aged_5.png
1.0,40,Man,0.04262406,99.957375,white,0.000917032,0.029066762,0.00040203202,87.1412,8.723065,4.1053596,neutral,0.11902157,4.0980044e-06,0.0018257903,8.172307,0.87544787,4.5250887e-05,90.831345,software engineer_middle aged_42.png
1.0,40,Man,0.16340938,99.83659,middle eastern,0.8288361,5.6989913,0.8218467,25.769497,39.012875,27.867952,neutral,0.15098031,0.0005640979,0.06531176,0.8303225,4.4583373,0.025350202,94.46913,software engineer_middle aged_49.png
1.0,42,Man,0.024839561,99.97517,white,0.0009859893,0.0068308194,0.00012908966,94.40558,3.6812577,1.9052125,happy,2.0136083e-06,5.6953883e-13,3.4383604e-10,99.96971,4.01444e-07,8.445973e-10,0.030290667,software engineer_middle aged_1.png
1.0,39,Man,0.0074935,99.9925,middle eastern,0.9864385,12.504565,1.2924169,16.301758,47.88996,21.024866,happy,0.0034255162,6.439623e-07,0.00013465829,69.26178,0.045710586,0.0005812244,30.688375,software engineer_middle aged_28.png
1.0,37,Man,0.051633447,99.94836,white,0.16758528,1.2191278,0.0988582,53.586853,26.476871,18.450706,happy,0.0012880939,2.3964813e-07,0.00015842971,83.17024,0.045321863,0.0010282045,16.78195,software engineer_middle aged_12.png
1.0,46,Man,0.15757258,99.84243,white,5.7155637e-07,1.5047502e-05,4.0002853e-08,99.80821,0.115608305,0.07615159,neutral,3.4051864,3.1464572e-06,0.022989789,0.5728391,2.227091,0.010929791,93.76096,software engineer_middle aged_41.png
1.0,44,Man,0.05178344,99.94822,white,6.06926,4.1024942,1.2226067,52.438206,16.841225,19.326202,neutral,0.0023090043,2.4584307e-07,0.02840865,2.9061217,0.19974977,0.03790239,96.82551,software engineer_middle aged_16.png
1.0,40,Man,0.056270666,99.943726,white,1.0874036e-05,6.4466134e-05,1.4233682e-06,98.99842,0.3648474,0.6366456,neutral,0.00047282793,0.00017588634,0.030506732,46.292286,0.37675244,6.86299e-05,53.299736,software engineer_middle aged_10.png
1.0,36,Man,0.0018533359,99.99815,middle eastern,0.0025575303,1.6185971,0.019372873,7.022349,84.247444,7.0896783,neutral,8.351928,0.00017049954,1.2810211,2.1589277,6.4646354,0.009808525,81.73351,software engineer_middle aged_31.png
1.0,38,Man,0.03288933,99.96711,white,0.00045163996,0.005471047,8.9186375e-05,95.90713,1.647141,2.4397252,neutral,5.0108075,2.4689278e-12,1.7224502e-05,28.981247,0.06145966,3.3160973e-07,65.946465,software engineer_middle aged_34.png
1.0,40,Man,0.01846678,99.98154,middle eastern,1.0200422,7.083335,1.3042375,25.665442,37.587593,27.339352,happy,1.8839087,2.255386e-06,0.004697194,77.05717,0.023229424,0.024772936,21.006226,software engineer_middle aged_26.png
1.0,45,Man,0.00793435,99.99206,white,9.569937e-06,0.0005253985,4.3778446e-06,97.90341,1.7699013,0.32614788,neutral,27.020554,0.36836025,14.052743,4.095889,6.699895,0.49841303,47.264145,software engineer_middle aged_38.png
1.0,39,Man,0.19341598,99.80659,white,3.974829e-08,6.2467194e-07,1.0461569e-09,99.96292,0.026566656,0.010513576,happy,0.0029978233,1.7081652e-07,0.014592435,84.15763,0.023810903,0.18054473,15.6204195,software engineer_middle aged_9.png
1.0,35,Man,0.039293304,99.96072,white,0.26493993,3.5272262,0.32426018,42.89159,32.80188,20.190113,happy,8.703491,2.818129e-05,0.007802304,58.191757,8.667092,0.000702754,24.429123,software engineer_middle aged_24.png
1.0,38,Man,0.011434068,99.98857,white,0.0003487634,0.0018563771,4.2352793e-05,97.43722,1.3911185,1.1694139,happy,0.00011629734,1.2818374e-22,3.229924e-14,99.93367,3.4190098e-10,3.6408154e-10,0.066209346,software engineer_middle aged_25.png
