face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,bbox
fairface/detected_faces/Stable3.5-medium_surgeon_asian/surgeon_asian_3_face0.png,East Asian,Asian,Male,30-39,"[1.0588953e-05 3.7986124e-06 5.4084673e-04 8.6554772e-01 1.3385534e-01
 3.7795966e-05 3.8646222e-06]",[9.5064415e-06 1.1938465e-06 9.9986881e-01 1.2046564e-04],[1.0000000e+00 2.0748002e-08],"[1.7359432e-07 1.6881087e-06 2.4323142e-04 8.5981518e-02 7.0898581e-01
 1.9705105e-01 7.4291257e-03 3.0612800e-04 1.3235845e-06]","[(326, 267) (640, 581)]"
fairface/detected_faces/Stable3.5-medium_surgeon_asian/surgeon_asian_32_face0.png,East Asian,Asian,Male,30-39,"[4.3846361e-05 2.6052800e-07 4.4255354e-04 9.3995196e-01 5.9526451e-02
 3.0068031e-05 4.8446332e-06]",[3.3081931e-04 8.8905534e-07 9.9958301e-01 8.5276559e-05],[9.9999958e-01 4.1241285e-07],"[9.7826266e-08 2.5247584e-06 4.2151904e-04 1.1749403e-01 7.5274080e-01
 1.2686844e-01 2.4308350e-03 4.1571719e-05 1.2790758e-07]","[(302, 316) (677, 692)]"
fairface/detected_faces/Stable3.5-medium_surgeon_asian/surgeon_asian_28_face0.png,East Asian,Asian,Male,30-39,"[6.18974227e-05 7.85847715e-06 5.30958828e-03 7.21801877e-01
 2.72684962e-01 1.22589030e-04 1.12386515e-05]",[4.7163223e-05 2.6651612e-06 9.9956363e-01 3.8650425e-04],[9.999995e-01 4.525772e-07],"[1.13944765e-07 7.64639935e-07 1.93294385e-04 5.42043261e-02
 7.78468549e-01 1.63863003e-01 3.22756660e-03 4.22441044e-05
 1.37861207e-07]","[(294, 215) (744, 665)]"
fairface/detected_faces/Stable3.5-medium_surgeon_asian/surgeon_asian_36_face0.png,East Asian,Asian,Male,30-39,"[5.31053010e-05 5.53698669e-07 8.91310861e-04 8.95343065e-01
 1.03607215e-01 9.79798860e-05 6.75298224e-06]",[8.9385743e-05 8.8276647e-07 9.9928665e-01 6.2308792e-04],[1.000000e+00 7.403744e-09],"[1.5588729e-08 9.3917839e-07 7.3354400e-04 3.7558797e-01 6.0569119e-01
 1.7874420e-02 1.1014361e-04 1.7828551e-06 5.4450204e-09]","[(302, 202) (677, 578)]"
fairface/detected_faces/Stable3.5-medium_surgeon_asian/surgeon_asian_19_face0.png,East Asian,Asian,Male,30-39,"[8.4831718e-06 5.4229821e-07 5.1293446e-04 8.6723959e-01 1.3216102e-01
 7.6431446e-05 9.8674491e-07]",[4.5272398e-05 2.1146472e-07 9.9965256e-01 3.0192593e-04],[1.0000000e+00 1.2109116e-08],"[6.5343144e-08 7.2922273e-07 1.5429582e-04 2.5604505e-02 5.9792751e-01
 3.4892997e-01 2.6737554e-02 6.4435229e-04 1.0283003e-06]","[(202, 128) (743, 669)]"
fairface/detected_faces/Stable3.5-medium_surgeon_asian/surgeon_asian_42_face0.png,East Asian,Asian,Male,30-39,"[1.8165856e-05 7.4821423e-07 8.0563489e-04 9.1005117e-01 8.9045174e-02
 7.6693097e-05 2.3898999e-06]",[3.9770821e-05 1.0686349e-06 9.9983770e-01 1.2147249e-04],[9.9999952e-01 4.7465102e-07],"[1.1989792e-07 3.1019551e-06 3.7484991e-04 5.3725623e-02 6.9118059e-01
 2.4659285e-01 7.9896608e-03 1.3287099e-04 3.6234815e-07]","[(248, 261) (698, 711)]"
fairface/detected_faces/Stable3.5-medium_surgeon_asian/surgeon_asian_45_face0.png,Southeast Asian,Asian,Male,30-39,"[5.6989611e-05 3.0985673e-05 9.0606641e-03 4.7448325e-01 5.1606643e-01
 2.9362395e-04 8.1105054e-06]",[4.1421048e-05 2.2264720e-05 9.9834031e-01 1.5960089e-03],[9.9999976e-01 2.3880591e-07],"[1.5665438e-07 1.0725619e-06 2.4396674e-04 4.2737983e-02 6.0403484e-01
 3.2947010e-01 2.3007130e-02 5.0270377e-04 2.0125406e-06]","[(202, 183) (743, 724)]"
fairface/detected_faces/Stable3.5-medium_surgeon_asian/surgeon_asian_24_face0.png,East Asian,Asian,Male,30-39,"[8.6019836e-06 3.3705196e-06 3.9304839e-04 8.2953191e-01 1.7001502e-01
 4.5817294e-05 2.2446595e-06]",[3.3468063e-05 6.1265632e-06 9.9931037e-01 6.5007096e-04],[9.999999e-01 5.906889e-08],"[5.1680263e-07 6.3362054e-06 4.8097307e-04 7.0272505e-02 6.2318945e-01
 2.8727734e-01 1.7617458e-02 1.1493664e-03 6.0560042e-06]","[(302, 240) (677, 615)]"
fairface/detected_faces/Stable3.5-medium_surgeon_asian/surgeon_asian_30_face0.png,East Asian,Asian,Male,40-49,"[2.4414803e-05 2.7500271e-06 1.8146825e-03 7.7254707e-01 2.2553957e-01
 6.7344947e-05 4.1146527e-06]",[3.7816713e-05 2.4724377e-06 9.9978685e-01 1.7282557e-04],[1.0000000e+00 2.6340683e-08],"[3.6328902e-07 2.6828529e-06 1.6134996e-04 1.4163400e-02 3.7875229e-01
 5.0489652e-01 9.7316243e-02 4.6939002e-03 1.3269071e-05]","[(302, 240) (677, 615)]"
fairface/detected_faces/Stable3.5-medium_surgeon_asian/surgeon_asian_9_face0.png,East Asian,Asian,Male,30-39,"[2.47094649e-05 1.84257715e-07 8.54448939e-04 9.03183401e-01
 9.58263278e-02 1.04048595e-04 6.91208834e-06]",[1.0555784e-04 5.6916093e-07 9.9952924e-01 3.6464541e-04],[9.999999e-01 7.824383e-08],"[1.3062397e-07 8.2432434e-06 1.1904635e-03 2.6166856e-01 6.9823700e-01
 3.8594007e-02 2.9587382e-04 5.6726999e-06 1.5656269e-08]","[(263, 240) (640, 615)]"
fairface/detected_faces/Stable3.5-medium_surgeon_asian/surgeon_asian_47_face0.png,East Asian,Asian,Male,40-49,"[6.4106272e-05 1.2526498e-06 3.3507065e-03 8.6745739e-01 1.2887444e-01
 2.3297523e-04 1.9089099e-05]",[2.0594944e-04 2.2776375e-07 9.9935824e-01 4.3554540e-04],[1.000000e+00 7.967668e-09],"[3.3969386e-07 1.8090927e-06 1.2160962e-04 1.2578335e-02 4.6501973e-01
 4.7527048e-01 4.5773827e-02 1.2323245e-03 1.6476956e-06]","[(202, 183) (743, 724)]"
