face_confidence_deepface,age_deepface,gender_deepface,Woman,Man,race_deepface,asian,indian,black,white,middle eastern,latino hispanic,emotion_deepface,angry,disgust,fear,happy,sad,surprise,neutral,image
1.0,46,Man,0.010609206,99.98939,middle eastern,0.22687075,8.452809,0.46680403,12.360269,63.10109,15.392165,neutral,0.15426318,3.150671e-06,0.04433381,0.35030907,1.0340875,0.0033840719,98.41362,surgeon_middle aged_44.png
1.0,44,Man,0.024258161,99.975746,white,0.027798153,0.17868704,0.014147554,72.675995,11.593792,15.509583,neutral,0.5412655,0.00016063816,0.10173221,0.33578303,3.6181946,0.0006165606,95.402245,surgeon_middle aged_36.png
1.0,50,Man,0.004328072,99.995674,middle eastern,0.012910848,2.2959943,0.047179688,15.125289,74.84165,7.6769714,happy,1.7823046,0.000983992,0.018147858,47.557644,4.171236,0.0017280373,46.467957,surgeon_middle aged_31.png
1.0,43,Man,0.00023769005,99.99976,middle eastern,0.22291028,7.593278,0.5024789,14.891987,62.14167,14.647677,neutral,19.448177,4.8420807e-06,0.026257165,1.7148832,4.8416986,0.007676593,73.961296,surgeon_middle aged_6.png
1.0,40,Man,0.0017532746,99.998245,middle eastern,0.010482883,1.2265853,0.04345662,34.82335,56.369617,7.526512,neutral,0.33297944,2.5717329e-08,0.00094001036,0.97517407,0.6994681,0.00010498767,97.99133,surgeon_middle aged_14.png
1.0,37,Man,0.07004879,99.929955,middle eastern,1.1028239,4.633075,0.742036,32.992386,35.415962,25.11371,neutral,9.76366,0.0009924803,0.12433674,0.29273847,14.875505,0.0060856882,74.93668,surgeon_middle aged_12.png
1.0,44,Man,0.1564371,99.84357,middle eastern,3.0628874,11.380662,2.3291569,17.543308,33.084824,32.599174,neutral,31.632881,7.214591e-05,0.051594574,0.1813993,3.0222545,0.009803117,65.102,surgeon_middle aged_40.png
1.0,47,Man,0.34843796,99.651566,white,0.21493447,0.57661307,0.05240939,66.48198,15.731105,16.942968,neutral,0.8504454,0.00030857523,0.22664876,0.8561674,2.896973,0.0025328603,95.16692,surgeon_middle aged_35.png
1.0,40,Man,0.01879936,99.98121,middle eastern,1.2631167,9.286849,1.1920177,20.146402,42.754246,25.357368,neutral,25.194069,1.871654e-05,0.3274468,0.09589862,2.6935108,0.08277815,71.60628,surgeon_middle aged_2.png
1.0,49,Man,0.025036331,99.97496,white,0.08007753,1.521301,0.06549865,46.08847,37.3838,14.860849,neutral,0.70482284,1.0472555e-05,0.009581308,0.0038942965,3.9554706,1.2133832e-05,95.32621,surgeon_middle aged_26.png
