face_confidence_deepface,age_deepface,gender_deepface,Woman,Man,race_deepface,asian,indian,black,white,middle eastern,latino hispanic,emotion_deepface,angry,disgust,fear,happy,sad,surprise,neutral,image
1.0,32,Man,3.5259814,96.47402,indian,0.0021258814,99.1301,0.044216104,0.008878967,0.007995556,0.8066832,neutral,0.32543576,0.0002928631,0.30192655,36.172085,0.49970937,0.5113022,62.189247,teacher_indian_15.png
1.0,32,Man,0.016782692,99.983215,indian,0.04721452,93.87424,1.087403,0.15566044,0.39777407,4.4377184,neutral,0.2343616,8.036979e-09,0.00867621,0.049644645,0.5646658,0.00087373686,99.14178,teacher_indian_0.png
1.0,31,Man,0.18864636,99.81135,indian,0.7455653,83.30893,1.9854017,0.81003153,1.5380876,11.611987,neutral,1.5888687,2.1382427e-06,0.03781621,0.0035075373,3.36893,0.0019211837,94.998955,teacher_indian_21.png
1.0,31,Man,11.23517,88.76483,indian,6.3346994e-07,99.99394,0.00095807086,1.8719203e-06,8.574756e-07,0.005099364,neutral,5.021974,3.3684748e-06,0.38710287,0.0006445297,24.675484,0.03599967,69.87879,teacher_indian_1.png
1.0,28,Man,0.0025325934,99.997475,indian,3.4748344e-05,99.89956,0.09191074,2.1083273e-05,2.8567318e-05,0.008446019,neutral,0.006668945,4.8737873e-15,7.836986e-08,0.4643465,0.018115163,4.850123e-07,99.510864,teacher_indian_36.png
1.0,31,Man,0.051693678,99.948296,indian,3.0447089e-05,99.93858,0.047394644,1.5295034e-05,2.1553333e-05,0.013950327,neutral,10.523732,8.073044e-12,0.0009280011,1.315923e-06,1.2617788,2.9483627e-09,88.213554,teacher_indian_44.png
1.0,28,Man,0.7798366,99.22015,indian,3.795616e-07,99.997185,0.00022753618,1.5494423e-06,4.3248443e-07,0.0025944158,neutral,21.488052,8.242924e-05,0.6133876,0.008865135,13.212316,0.0041191336,64.67318,teacher_indian_11.png
1.0,33,Man,0.17745881,99.82254,indian,0.17755617,93.523834,2.2424283,0.12573983,0.11639884,3.8140335,neutral,0.5611764,5.6441466e-05,0.92159325,7.645623,8.125678,1.1809837,81.56489,teacher_indian_38.png
1.0,31,Man,2.501232,97.49877,indian,0.0025621506,99.05352,0.025759354,0.00840584,0.0057447855,0.9040005,neutral,0.0008939418,2.0529372e-17,9.3622575e-08,2.5565253e-06,0.018835865,1.0612581e-09,99.98026,teacher_indian_42.png
1.0,28,Man,0.35638735,99.643616,indian,0.005383395,99.31068,0.079142,0.0025688636,0.0012558085,0.600978,sad,28.85343,0.00075360807,2.8586867,0.0064754863,40.5959,0.032384135,27.652372,teacher_indian_6.png
1.0,32,Man,0.011946113,99.98805,indian,8.461914e-07,99.99581,0.0014922189,2.656964e-06,1.7581234e-06,0.002699324,sad,1.8926296,0.00038049225,19.266005,1.3826883,47.883648,0.4358862,29.138765,teacher_indian_31.png
1.0,32,Man,0.0066479445,99.99335,indian,0.0056536575,98.792145,0.33071628,0.015486669,0.017760957,0.83822775,happy,1.5918695e-07,2.8707687e-21,1.050749e-12,96.33202,2.4212122e-07,9.526346e-07,3.6679757,teacher_indian_13.png
1.0,33,Man,0.021614715,99.97838,indian,7.2836716e-05,99.94137,0.046781555,0.00012060828,6.6624896e-05,0.01159267,neutral,0.0035573628,5.8226644e-13,1.4811675e-06,0.17507316,0.006106933,7.6266076e-07,99.815254,teacher_indian_26.png
1.0,29,Man,0.031200543,99.9688,indian,12.229669,43.940796,11.225798,3.8459759,3.7608807,24.996881,neutral,17.276876,2.8536073e-05,0.33924228,0.12818441,5.701497,0.008946329,76.54523,teacher_indian_12.png
1.0,29,Man,1.0734586,98.926544,indian,0.00083270634,99.84537,0.03638019,0.0012924875,0.00041021866,0.1157038,neutral,2.8543375e-06,2.5362183e-13,0.0004884279,1.9150026e-05,0.006258242,0.00023887881,99.99299,teacher_indian_16.png
