face_confidence_deepface,age_deepface,gender_deepface,Woman,Man,race_deepface,asian,indian,black,white,middle eastern,latino hispanic,emotion_deepface,angry,disgust,fear,happy,sad,surprise,neutral,image
1.0,32,Man,0.061209414,99.93879,white,1.8168803e-05,0.001988219,9.615563e-06,87.48557,11.471864,1.0405589,neutral,0.0018782567,1.3800905e-10,2.9132827e-06,33.777245,0.011204224,7.4158684e-06,66.20966,teacher_male_19.png
1.0,37,Man,0.13318215,99.86682,white,1.0556779,1.688529,0.2902553,52.823975,15.630974,28.510597,happy,0.011425927,3.1448824e-05,0.00017357928,91.996254,0.059722513,0.0030188682,7.929376,teacher_male_21.png
1.0,34,Man,0.19189717,99.808105,white,0.0015298057,0.00384934,8.60147e-05,96.10132,1.5709643,2.3222563,happy,0.0003749516,5.694822e-06,0.003527533,94.51754,0.009931138,0.038326725,5.430295,teacher_male_3.png
1.0,32,Man,0.05119784,99.9488,middle eastern,1.4411958,11.718919,1.4245542,14.0425,43.90905,27.463785,neutral,0.21947445,1.6348261e-07,0.0012118496,32.715015,0.13758844,0.0069569666,66.919754,teacher_male_35.png
1.0,34,Man,0.015880816,99.98412,white,6.2254263e-10,3.6564758e-09,1.9684137e-12,99.994705,0.003836478,0.0014516468,angry,48.97049,0.0065592458,0.4648391,0.4772807,5.064124,0.020577528,44.99613,teacher_male_1.png
1.0,31,Man,0.014434477,99.985565,middle eastern,0.07728265,1.3581079,0.08567003,38.18692,48.42751,11.864512,neutral,3.9980617,1.4293255e-06,0.026650226,13.162658,3.2124836,0.02067736,79.579475,teacher_male_24.png
1.0,26,Man,0.16793917,99.83206,middle eastern,2.466768,6.9041038,1.6389426,29.020845,32.76411,27.205233,neutral,0.010126142,6.2309054e-11,0.0005924819,0.016018225,0.06865106,1.7272272e-06,99.90461,teacher_male_22.png
1.0,32,Man,0.0622071,99.93778,white,0.7457695,2.5109777,0.45604128,44.630016,15.637119,36.020073,happy,1.7158369e-06,3.1226927e-10,2.8255072e-06,85.85026,0.0033700652,1.5446454e-06,14.146373,teacher_male_28.png
1.0,26,Man,0.1005824,99.899414,white,7.7532604e-07,1.7659734e-06,5.7936753e-09,99.88672,0.056599524,0.056687627,happy,0.009305624,0.028532948,0.04576538,83.00158,0.18182167,0.0041073477,16.728884,teacher_male_7.png
1.0,29,Man,0.0147131095,99.98529,white,0.12325239,2.9908652,0.2855991,41.414753,38.38093,16.8046,neutral,7.6201305,5.7419533e-05,0.20268978,17.521917,3.0699499,0.0042720786,71.580986,teacher_male_32.png
1.0,29,Man,0.01543151,99.984566,white,0.0067498707,0.025938123,0.0014451336,88.77017,6.499186,4.6965117,happy,0.0011208773,7.045818e-05,0.10038153,86.126625,0.11473845,0.014467414,13.642598,teacher_male_4.png
1.0,28,Man,0.022895485,99.977104,white,0.15226415,0.41859367,0.041971833,67.56427,17.125952,14.696956,neutral,0.47309348,0.001656712,1.8972536,2.7973742,3.2822013,0.004367599,91.54405,teacher_male_12.png
1.0,29,Man,0.0006168716,99.99938,white,3.7031732e-11,1.6502091e-10,4.904983e-14,99.99964,0.00020653152,0.00014822405,neutral,0.10327209,0.0006951394,0.029795008,10.554452,5.9240847,0.0005066134,83.3872,teacher_male_14.png
1.0,33,Man,0.06488631,99.93511,white,0.0014938458,0.033023693,0.0009155658,84.32197,10.381827,5.2607803,happy,0.00206823,1.1402449e-06,3.0681287e-05,57.81447,0.009696718,0.006751799,42.16699,teacher_male_23.png
1.0,26,Man,0.0713092,99.928696,asian,78.51221,5.372022,1.3197011,1.0377407,0.18500036,13.573329,neutral,11.413062,0.008740984,0.75102615,2.2295706,10.981784,0.01509925,74.60072,teacher_male_0.png
1.0,30,Man,0.24060567,99.75939,white,0.013073866,0.09816015,0.004592296,80.334724,12.55045,6.9990044,neutral,0.3079015,1.8880316e-08,0.001388576,0.021515682,0.31408677,9.122349e-06,99.3551,teacher_male_33.png
1.0,31,Man,0.0006221451,99.99938,white,0.0004277023,0.009134402,7.251573e-05,89.699265,8.809708,1.4813933,neutral,0.0015330049,1.7628628e-11,1.6987154e-06,0.75884515,0.032421533,2.1594477e-07,99.20719,teacher_male_18.png
1.0,27,Man,0.0050761434,99.99492,middle eastern,0.46182856,5.6975136,1.1287863,22.207844,47.356075,23.14795,neutral,0.72035694,5.055505e-07,0.0007621288,14.592499,0.8139021,0.00011639361,83.87237,teacher_male_15.png
1.0,30,Man,0.028421596,99.97157,white,0.0059757982,0.06522778,0.002733218,84.049545,8.572805,7.3037057,happy,0.00069275935,8.188188e-11,1.2936516e-06,72.369644,0.0053237486,3.6224195e-05,27.624306,teacher_male_25.png
1.0,32,Man,0.1888769,99.81113,white,1.2910448,1.9113652,0.47511756,54.483723,19.65415,22.184591,neutral,0.0014690028,4.1570622e-09,0.0009169861,0.003731833,0.10344592,5.2773987e-05,99.89038,teacher_male_39.png
1.0,36,Man,0.09630091,99.9037,white,1.3600902e-07,3.4547732e-06,1.4123609e-08,99.776665,0.14139616,0.081943974,neutral,4.1241755,3.2751956e-05,0.112833396,3.3546743,1.328221,0.014372844,91.0657,teacher_male_36.png
