age_insightface,gender_insightface,image
30,1,waiter_indian_19.png
35,1,waiter_indian_21.png
33,1,waiter_indian_29.png
38,1,waiter_indian_25.png
38,1,waiter_indian_37.png
43,1,waiter_indian_15.png
33,1,waiter_indian_4.png
34,1,waiter_indian_24.png
36,1,waiter_indian_28.png
32,1,waiter_indian_30.png
35,1,waiter_indian_11.png
52,1,waiter_indian_31.png
37,1,waiter_indian_46.png
36,1,waiter_indian_8.png
40,1,waiter_indian_14.png
35,1,waiter_indian_39.png
34,1,waiter_indian_9.png
36,1,waiter_indian_40.png
45,1,waiter_indian_12.png
34,1,waiter_indian_27.png
38,1,waiter_indian_3.png
32,1,waiter_indian_17.png
42,1,waiter_indian_38.png
36,1,waiter_indian_45.png
44,1,waiter_indian_44.png
36,1,waiter_indian_1.png
37,1,waiter_indian_35.png
38,1,waiter_indian_32.png
30,1,waiter_indian_41.png
35,1,waiter_indian_42.png
32,1,waiter_indian_20.png
51,1,waiter_indian_49.png
36,1,waiter_indian_23.png
36,1,waiter_indian_7.png
37,1,waiter_indian_36.png
33,1,waiter_indian_48.png
41,1,waiter_indian_6.png
36,1,waiter_indian_2.png
38,1,waiter_indian_34.png
30,1,waiter_indian_33.png
29,1,waiter_indian_18.png
42,1,waiter_indian_0.png
29,1,waiter_indian_26.png
60,1,waiter_indian_16.png
34,1,waiter_indian_5.png
38,1,waiter_indian_10.png
49,1,waiter_indian_22.png
36,1,waiter_indian_47.png
34,1,waiter_indian_13.png
30,1,waiter_indian_43.png
