face_confidence_deepface,age_deepface,gender_deepface,Woman,Man,race_deepface,asian,indian,black,white,middle eastern,latino hispanic,emotion_deepface,angry,disgust,fear,happy,sad,surprise,neutral,image
1.0,28,Man,0.0729737,99.927025,white,0.07079074,0.35911185,0.019149233,71.38567,12.410505,15.754771,neutral,0.053155705,2.6071962e-14,3.7549792e-06,0.84782577,0.07451221,4.4458125e-07,99.024506,waiter_male_19.png
1.0,26,Man,0.0058651357,99.99413,white,0.0643146,0.30931506,0.024564477,67.086426,11.964657,20.550734,neutral,3.671168e-06,2.4067742e-18,8.802287e-07,2.3557086e-06,0.005550957,2.6910538e-09,99.994446,waiter_male_25.png
1.0,32,Man,0.008068608,99.99193,middle eastern,0.00076904916,0.123339295,0.00070134935,42.742054,52.6513,4.481841,neutral,0.0778549,1.2227046e-06,0.006577618,0.03861363,0.69072515,0.0003386715,99.18589,waiter_male_21.png
1.0,27,Man,0.032961275,99.96704,white,2.3576029e-06,6.900657e-05,3.6558802e-07,98.28777,1.3466722,0.3654819,neutral,30.507,0.01935725,0.2199124,11.006668,16.778307,0.01036736,41.458397,waiter_male_35.png
1.0,28,Man,0.034126673,99.96587,white,2.0098617,3.9054756,0.98036295,39.4479,25.19759,28.458809,neutral,1.7341621,1.7917644e-05,0.18651015,0.017079417,0.953295,0.01277481,97.09615,waiter_male_16.png
1.0,29,Man,0.0023739515,99.99763,white,0.004364971,0.009436371,0.00075005234,88.43423,4.662124,6.8890963,neutral,0.0051038037,8.967669e-05,0.7053931,14.463782,1.248519,7.8062175e-07,83.57711,waiter_male_8.png
1.0,32,Man,0.027089208,99.97291,white,0.011097052,0.21832334,0.008976526,67.9472,22.130278,9.684135,neutral,0.4736258,0.0010315486,0.13468437,7.6920724,2.9550297,0.0036413644,88.739914,waiter_male_34.png
1.0,22,Man,0.039398704,99.96061,middle eastern,0.18361065,6.526759,0.2937847,14.8311405,56.68909,21.475616,happy,4.1643338e-07,4.4588877e-13,8.337005e-06,64.52469,0.0015898766,1.7319822e-05,35.473694,waiter_male_42.png
1.0,25,Man,0.019772312,99.98023,white,0.57409775,2.3549778,0.20492433,48.121162,23.52766,25.217182,neutral,4.7039302e-06,8.29786e-19,3.2850405e-08,7.502983e-05,0.00072222494,4.395865e-10,99.9992,waiter_male_22.png
1.0,31,Man,0.05629438,99.9437,white,0.040051617,0.051583007,0.0049055656,85.405815,7.279314,7.2183294,neutral,4.8073794e-05,1.4557204e-10,0.0061832215,0.65708536,0.0015920704,0.000101957965,99.33499,waiter_male_41.png
