face_confidence_deepface,age_deepface,gender_deepface,Woman,Man,race_deepface,asian,indian,black,white,middle eastern,latino hispanic,emotion_deepface,angry,disgust,fear,happy,sad,surprise,neutral,image
1.0,25,Man,0.021364518,99.97863,white,2.4494082e-07,1.504014e-05,9.216131e-08,99.662384,0.25629672,0.081297204,happy,5.202751e-14,3.811632e-28,4.467657e-19,99.99991,5.203825e-13,1.00654304e-10,9.864116e-05,waiter_white_21.png
1.0,28,Man,0.00035290926,99.99964,white,0.031213235,0.8785319,0.03583805,43.253784,41.851513,13.949123,neutral,0.2845538,9.628817e-09,0.0017241356,0.60912967,0.3228771,0.00035413745,98.78136,waiter_white_18.png
1.0,30,Man,0.030417219,99.96959,white,0.00010450686,0.007929534,1.887117e-05,90.60771,8.41904,0.965195,happy,1.7861048e-05,2.3482622e-11,1.8100625e-06,90.40494,1.4290459e-05,0.00070403493,9.594336,waiter_white_4.png
1.0,27,Man,0.029839141,99.97015,white,0.06747854,0.21781403,0.014713226,72.948235,15.645039,11.106721,neutral,8.575556,3.0936892e-06,0.020086205,0.29842514,4.3520827,0.037190966,86.71666,waiter_white_2.png
1.0,32,Man,0.010145593,99.98985,middle eastern,2.7257172e-06,0.28781617,0.00011569019,0.22991785,99.34152,0.14063337,neutral,0.06501294,4.3752904e-14,1.304417e-07,0.007207424,0.0042018606,4.460601e-09,99.92358,waiter_white_27.png
1.0,32,Man,0.0026884149,99.99731,middle eastern,6.820888e-07,0.008987205,5.5026317e-06,30.04418,69.45291,0.49391487,happy,0.00016654143,1.4318895e-11,2.2284766e-08,98.3975,0.0013363749,5.8580163e-06,1.6009941,waiter_white_23.png
1.0,29,Man,0.041113496,99.95889,white,0.0034974245,0.012159759,0.00087930064,89.71049,2.6016316,7.6713524,neutral,0.061746784,4.1988165e-05,0.11570204,0.3330556,1.3170925,0.0023562643,98.170006,waiter_white_40.png
1.0,28,Man,0.019739855,99.98026,white,0.00017640056,0.03118188,0.00036025402,77.1978,21.010736,1.7597454,happy,1.1356415,0.00021964533,0.006970798,84.98131,0.63121843,0.0012229519,13.243429,waiter_white_29.png
1.0,29,Man,0.03395639,99.96605,middle eastern,0.9424267,7.9747562,1.3060812,22.955141,40.20413,26.61747,neutral,0.0012294706,2.7283102e-13,0.018966375,7.968416e-05,0.2527427,2.678951e-09,99.72698,waiter_white_32.png
1.0,30,Man,0.00012095219,99.99988,white,6.158078e-08,7.270539e-05,1.8320532e-07,92.92142,6.8646665,0.21384342,neutral,29.660242,1.7291416e-07,0.05157557,1.0268029,1.8813826,0.00191209,67.37808,waiter_white_11.png
1.0,31,Man,0.011869422,99.98813,white,0.035562493,0.31737718,0.036941182,65.69313,19.3788,14.538195,neutral,3.0871422e-06,3.918478e-16,0.00027522238,6.112137e-07,0.041179042,6.120991e-11,99.95854,waiter_white_13.png
1.0,27,Man,0.2825133,99.71748,white,0.7361765,0.65442187,0.2187606,56.841217,8.309353,33.24007,neutral,0.10507757,0.0032525943,0.02107465,7.8269215,1.1739132,0.019027436,90.85074,waiter_white_1.png
1.0,30,Man,0.02836361,99.971634,middle eastern,1.5805308,7.604571,1.267293,26.116749,35.720436,27.710426,neutral,0.0002449648,1.9660516e-15,2.6479344e-07,7.389315e-06,0.0028888157,1.7126227e-09,99.99685,waiter_white_22.png
1.0,31,Man,0.02037399,99.97963,middle eastern,1.4680723,6.79671,1.2258034,21.190136,36.054276,33.265,neutral,0.2934514,0.00021116863,0.11813551,39.243275,0.25363716,0.09131312,59.999973,waiter_white_12.png
1.0,29,Man,0.0221198,99.97788,white,0.0006918676,0.047527898,0.0004393502,66.59781,30.660614,2.692914,neutral,0.014973979,2.8813285e-10,0.0001272722,0.030963993,0.2149364,4.1382227e-06,99.739,waiter_white_10.png
1.0,31,Man,0.0034120055,99.99659,white,0.00030989957,0.0071585826,0.0001705476,92.89862,4.3496566,2.7440817,happy,0.19620784,6.7978224e-05,0.004242884,71.97373,0.8071221,0.0072187297,27.011414,waiter_white_17.png
1.0,25,Man,0.008999211,99.991,white,0.020024734,0.21725577,0.010814098,71.11036,19.061266,9.5802765,neutral,0.002827925,2.706994e-13,2.3222342e-06,0.023628658,0.0047470564,1.6308903e-07,99.96879,waiter_white_38.png
1.0,30,Man,0.041388504,99.95862,white,0.2325264,0.8895356,0.06732229,57.438736,19.457958,21.91392,neutral,0.10193164,8.259469e-05,0.031293545,0.13040033,0.53551114,0.0338985,99.166885,waiter_white_39.png
