face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,bbox
fairface/detected_faces/Stable3.5-medium_waiter_young/waiter_young_35_face0.png,White,White,Male,20-29,"[6.0854483e-01 1.0818258e-04 1.2233943e-01 5.7149312e-04 4.4754223e-04
 1.1361917e-03 2.6685241e-01]",[0.9898237  0.0010508  0.00130843 0.00781704],[9.9999839e-01 1.5840893e-06],"[1.8675676e-06 7.0915453e-04 2.0204149e-01 7.4442202e-01 5.2099977e-02
 7.2262809e-04 2.7793615e-06 6.5458352e-08 9.2656638e-10]","[(302, 202) (677, 578)]"
fairface/detected_faces/Stable3.5-medium_waiter_young/waiter_young_42_face0.png,Latino_Hispanic,White,Male,10-19,"[3.4877971e-01 4.5794356e-04 5.3293681e-01 1.9444454e-02 1.3995023e-02
 1.3129375e-03 8.3073057e-02]",[0.97172934 0.00702531 0.01920426 0.00204112],[9.999935e-01 6.526442e-06],"[4.8568177e-07 9.1010326e-04 5.4954040e-01 4.3192559e-01 1.7350482e-02
 2.7133853e-04 1.5249301e-06 4.4702222e-08 7.8315426e-10]","[(358, 331) (670, 643)]"
fairface/detected_faces/Stable3.5-medium_waiter_young/waiter_young_18_face0.png,Latino_Hispanic,Indian,Male,20-29,"[3.2876232e-01 7.6360426e-05 4.9037275e-01 3.9400486e-03 4.0673045e-03
 1.9381506e-02 1.5339974e-01]",[4.6677566e-01 5.0379644e-04 2.2364317e-02 5.1035619e-01],[9.9999976e-01 2.2404197e-07],"[5.6900598e-07 8.7196131e-05 5.8636371e-02 6.7299527e-01 2.6089415e-01
 7.3385648e-03 4.6965921e-05 9.1257618e-07 7.5954292e-09]","[(248, 215) (698, 665)]"
fairface/detected_faces/Stable3.5-medium_waiter_young/waiter_young_49_face0.png,Middle Eastern,Indian,Male,10-19,"[3.2710992e-02 1.4578024e-04 4.0300515e-01 1.7868899e-04 1.3752189e-03
 3.4822538e-02 5.2776152e-01]",[0.28608963 0.01263121 0.03973595 0.6615432 ],[9.9999994e-01 6.5230253e-08],"[1.7133220e-07 2.4688581e-03 8.3947599e-01 1.5693732e-01 1.1069160e-03
 1.0700847e-05 1.8799680e-08 7.1309991e-10 6.0385095e-12]","[(302, 165) (677, 540)]"
fairface/detected_faces/Stable3.5-medium_waiter_young/waiter_young_5_face0.png,Latino_Hispanic,White,Male,20-29,"[3.6884406e-01 1.8156230e-04 4.0227214e-01 2.5906708e-04 6.6839240e-04
 7.7710259e-03 2.2000371e-01]",[9.8683143e-01 7.6495955e-04 3.8419757e-04 1.2019382e-02],[9.9999994e-01 7.0147820e-08],"[1.0573964e-07 1.6750886e-04 3.5231027e-01 6.3595688e-01 1.1483244e-02
 8.1750695e-05 1.9235907e-07 4.8382955e-09 5.2747036e-11]","[(248, 215) (698, 665)]"
fairface/detected_faces/Stable3.5-medium_waiter_young/waiter_young_0_face0.png,East Asian,Asian,Male,10-19,"[1.0631687e-01 1.4451897e-04 3.0636010e-01 3.4665218e-01 1.4603734e-01
 3.7431058e-03 9.0745993e-02]",[2.2955446e-02 4.3255033e-04 9.5476776e-01 2.1844245e-02],[9.9999774e-01 2.2572362e-06],"[6.8422747e-07 4.2267395e-03 6.7635876e-01 3.1297153e-01 6.3736308e-03
 6.8252113e-05 3.6696918e-07 1.8981686e-08 3.0646152e-10]","[(358, 267) (670, 581)]"
fairface/detected_faces/Stable3.5-medium_waiter_young/waiter_young_39_face0.png,Latino_Hispanic,Indian,Male,10-19,"[1.0091230e-01 3.9164498e-04 4.5015126e-01 1.2612065e-03 3.2695823e-03
 5.2746806e-02 3.9126721e-01]",[0.48009452 0.00671491 0.01971532 0.49347523],[9.9999869e-01 1.3414048e-06],"[7.3200709e-07 3.4640089e-03 8.0708915e-01 1.8465877e-01 4.7118915e-03
 7.5073185e-05 3.5988256e-07 1.6797790e-08 2.3196696e-10]","[(326, 235) (640, 549)]"
fairface/detected_faces/Stable3.5-medium_waiter_young/waiter_young_8_face0.png,Latino_Hispanic,Asian,Male,20-29,"[1.03686504e-01 7.68085010e-05 5.90444028e-01 5.18800355e-02
 3.58268246e-02 7.27709830e-02 1.45314783e-01]",[3.0695689e-01 1.9671522e-04 4.6533751e-01 2.2750887e-01],[9.9999934e-01 6.5813276e-07],"[3.4567240e-06 1.6371738e-03 1.5200585e-01 7.8966266e-01 5.5693477e-02
 9.9235540e-04 4.9225814e-06 1.6886385e-07 1.6219264e-09]","[(302, 165) (677, 540)]"
fairface/detected_faces/Stable3.5-medium_waiter_young/waiter_young_27_face0.png,Middle Eastern,White,Male,10-19,"[3.23636904e-02 3.99775781e-05 1.03537895e-01 4.60988173e-04
 1.19781983e-03 4.36119456e-03 8.58038425e-01]",[0.5910766  0.00764938 0.08717662 0.31409743],[9.9999946e-01 5.7725441e-07],"[3.2639001e-08 5.6302838e-04 8.8257998e-01 1.1621477e-01 6.3789054e-04
 4.2707843e-06 7.0441866e-09 3.5503472e-10 3.2034423e-12]","[(294, 267) (608, 581)]"
fairface/detected_faces/Stable3.5-medium_waiter_young/waiter_young_6_face0.png,White,White,Male,20-29,"[4.8382705e-01 9.2946329e-06 1.7860758e-01 1.4589857e-03 2.1778769e-03
 6.8910173e-03 3.2702819e-01]",[9.7955585e-01 3.6029476e-05 7.4173673e-03 1.2990737e-02],[9.9999720e-01 2.8240856e-06],"[3.1021289e-05 7.9477234e-03 4.1649070e-01 4.2057106e-01 1.4526916e-01
 9.6215038e-03 6.7368936e-05 1.3868273e-06 1.7912969e-08]","[(339, 202) (715, 578)]"
