age_insightface,gender_insightface,image
26.0,1.0,writer_asian_28.png
31.0,1.0,writer_asian_24.png
46.0,1.0,writer_asian_2.png
54.0,1.0,writer_asian_38.png
35.0,1.0,writer_asian_11.png
41.0,1.0,writer_asian_18.png
27.0,1.0,writer_asian_39.png
28.0,1.0,writer_asian_10.png
39.0,1.0,writer_asian_30.png
43.0,1.0,writer_asian_7.png
,,writer_asian_35.png
43.0,1.0,writer_asian_49.png
25.0,1.0,writer_asian_1.png
46.0,1.0,writer_asian_17.png
31.0,1.0,writer_asian_13.png
,,writer_asian_19.png
,,writer_asian_23.png
33.0,1.0,writer_asian_26.png
24.0,1.0,writer_asian_4.png
36.0,1.0,writer_asian_32.png
31.0,1.0,writer_asian_34.png
52.0,1.0,writer_asian_6.png
46.0,1.0,writer_asian_37.png
37.0,1.0,writer_asian_3.png
26.0,1.0,writer_asian_12.png
29.0,1.0,writer_asian_33.png
33.0,1.0,writer_asian_41.png
27.0,1.0,writer_asian_27.png
42.0,1.0,writer_asian_20.png
39.0,1.0,writer_asian_5.png
,,writer_asian_47.png
26.0,1.0,writer_asian_22.png
37.0,1.0,writer_asian_29.png
28.0,1.0,writer_asian_14.png
46.0,1.0,writer_asian_43.png
52.0,1.0,writer_asian_42.png
28.0,1.0,writer_asian_15.png
41.0,1.0,writer_asian_9.png
36.0,1.0,writer_asian_44.png
29.0,1.0,writer_asian_25.png
48.0,1.0,writer_asian_40.png
33.0,1.0,writer_asian_16.png
,,writer_asian_46.png
37.0,1.0,writer_asian_8.png
51.0,1.0,writer_asian_0.png
44.0,1.0,writer_asian_21.png
49.0,1.0,writer_asian_31.png
,,writer_asian_45.png
25.0,1.0,writer_asian_48.png
27.0,1.0,writer_asian_36.png
