face_confidence_deepface,age_deepface,gender_deepface,Woman,Man,race_deepface,asian,indian,black,white,middle eastern,latino hispanic,emotion_deepface,angry,disgust,fear,happy,sad,surprise,neutral,image
1.0,27,Man,0.0020687676,99.997925,white,0.01297783,0.055202853,0.0026566114,79.78844,8.179899,11.9608345,neutral,25.224165,7.890315e-08,0.017481599,9.190738e-06,11.453058,2.8130818e-09,63.30529,writer_male_48.png
1.0,29,Man,0.017186398,99.98281,white,0.0001955038,0.0023564198,4.5096636e-05,96.44989,2.2134721,1.3340406,neutral,4.7087154,0.000771187,0.24379326,0.1928136,5.995394,0.0027204717,88.85579,writer_male_17.png
1.0,30,Man,0.027589392,99.97241,white,2.1949468,1.9767793,0.4624761,55.212753,16.780373,23.372671,neutral,0.0007581853,2.7292816e-12,0.0030419787,7.2703406e-05,0.6626018,6.02192e-06,99.33352,writer_male_16.png
1.0,31,Man,0.17737545,99.822624,white,6.6715574,5.743482,2.8489468,33.57753,22.052452,29.10603,neutral,0.12761529,4.6430478e-06,0.044233095,0.18137696,3.0087183,0.0009120006,96.637146,writer_male_45.png
1.0,33,Man,0.00018823938,99.99981,white,5.307135e-06,0.00042864858,2.5552313e-06,96.20357,2.9351437,0.8608599,neutral,31.237408,5.6260416e-07,0.00072389154,0.00062609965,1.0777239,0.0008128443,67.68271,writer_male_6.png
1.0,31,Man,0.07182314,99.928185,white,2.2841039e-05,0.00038110898,3.0110305e-06,97.4731,1.279887,1.2466106,neutral,0.011558703,1.3557555e-07,0.5932918,1.4993675,1.5506825,0.81952554,95.52557,writer_male_0.png
1.0,27,Man,0.01913698,99.98086,white,0.9130453,2.8646414,0.48136842,39.93513,18.956886,36.84893,neutral,2.2103841,2.984233e-07,0.01516794,0.008218143,1.9056084,0.010039039,95.85058,writer_male_10.png
1.0,29,Man,0.006090131,99.99391,white,3.2780807e-07,6.4059564e-06,7.2730266e-08,99.741425,0.17157345,0.087001115,neutral,9.358508,5.888474e-09,0.0027615926,0.24267784,0.92973197,9.3744944e-05,89.466225,writer_male_14.png
1.0,36,Man,0.2098254,99.79018,white,0.00023076314,0.02128734,0.00015610717,75.58309,21.616259,2.7789865,neutral,0.00014648047,5.058746e-12,5.022806e-05,0.0020012197,0.025294496,1.017877e-05,99.97249,writer_male_42.png
1.0,36,Man,0.023093678,99.976906,white,3.9774866e-05,0.00086662266,5.78789e-06,97.35152,1.9973433,0.6502293,happy,9.603495e-05,7.381555e-11,0.001871242,87.004715,5.961589e-06,3.6000918e-05,12.993276,writer_male_25.png
1.0,29,Man,0.016505238,99.98349,white,2.5263932e-06,0.0010515521,2.6561097e-06,91.24651,7.9659142,0.7865131,neutral,0.01879894,6.125099e-14,0.0015248234,1.294453e-08,2.2314568,1.6462521e-09,97.74821,writer_male_32.png
1.0,29,Man,0.14288703,99.85712,white,6.6900626e-05,0.004517667,4.3668537e-05,87.12683,11.495013,1.3735343,neutral,1.5698349e-06,5.2834368e-20,4.789824e-08,9.83856e-09,0.000475825,5.852859e-10,99.99953,writer_male_22.png
1.0,32,Man,0.055097334,99.94491,white,0.015161073,0.053242203,0.0023352148,84.8142,7.52111,7.5939484,neutral,0.47981116,3.4511685e-09,0.0007252245,0.00395657,1.6982336,4.3253935e-05,97.81723,writer_male_2.png
1.0,32,Man,0.0037179259,99.99628,white,0.65773225,1.7247108,0.22953947,48.565685,22.074202,26.748129,neutral,0.69707114,5.0239487e-07,0.007164647,0.015867367,3.7925932,6.704955e-05,95.487236,writer_male_49.png
1.0,31,Man,0.12865205,99.87135,middle eastern,0.28135642,4.0808215,0.5941208,32.76064,43.88525,18.397818,neutral,0.045502506,1.8996176e-11,0.000118446325,6.387616e-05,0.05607482,6.134369e-07,99.89824,writer_male_47.png
1.0,32,Man,0.06052601,99.939476,white,8.46677e-05,0.0003122244,4.996755e-06,98.54897,0.7391917,0.71143794,happy,1.4712183,0.015274823,0.71624976,60.64217,3.0654416,0.66728723,33.422356,writer_male_9.png
1.0,35,Man,0.06727378,99.93273,white,0.045706093,0.27929667,0.013329905,68.703964,20.179499,10.778211,angry,49.058228,0.0070768655,0.41090116,0.05190093,17.4265,0.0025513624,33.04284,writer_male_35.png
1.0,31,Man,0.013163504,99.98684,white,0.026285794,0.14650829,0.005095644,77.029594,11.251543,11.540966,neutral,0.00018452154,5.322029e-19,8.2121765e-08,1.3442093e-07,0.0011690672,9.810148e-15,99.998634,writer_male_13.png
1.0,31,Man,0.011398732,99.9886,middle eastern,0.8933548,7.129064,1.0943687,32.09603,41.743164,17.04402,neutral,1.5348538,2.4157492e-08,0.00037593124,0.028854672,0.29828694,1.3315683e-05,98.13762,writer_male_28.png
1.0,33,Man,0.04595085,99.954056,white,0.011178956,0.15996931,0.0059199343,70.98815,19.48965,9.345136,neutral,0.2051996,2.475664e-10,0.00026387285,0.0002581317,0.38593647,3.9376778e-07,99.40835,writer_male_26.png
1.0,33,Man,0.051530056,99.94846,white,0.99540997,3.4950354,0.72956437,47.43051,21.899452,25.450027,neutral,8.575869e-07,1.5918466e-15,1.0357002e-07,0.00083381176,7.415096e-05,6.968677e-10,99.99909,writer_male_7.png
1.0,37,Man,0.05514099,99.94486,white,4.0697746e-08,2.256759e-06,6.7694774e-09,99.80217,0.1613184,0.036512412,sad,3.9874477,4.5494707e-07,1.9795486,8.5782514e-05,61.802223,3.4686684e-05,32.230663,writer_male_29.png
1.0,30,Man,0.14417015,99.855835,white,0.0025763693,0.012172375,0.00042727843,89.889496,3.8904893,6.20484,neutral,0.0049070474,8.49873e-06,0.07693906,2.4341648,1.5430584,0.012634477,95.92829,writer_male_41.png
1.0,29,Man,0.06316449,99.93684,white,0.5257226,0.39161798,0.02519608,76.29276,9.81206,12.952646,neutral,3.3014941,3.144287e-07,0.0005884504,0.00020273175,1.9025294,5.7822003e-08,94.79519,writer_male_4.png
1.0,28,Man,0.010725829,99.98927,white,4.464264e-06,5.657322e-05,3.5350595e-07,99.335526,0.23439103,0.43002766,neutral,36.606808,1.04290575e-05,0.23441762,0.17085305,8.897712,0.004276496,54.085922,writer_male_34.png
1.0,37,Man,0.017089054,99.9829,white,0.0028073096,0.03054989,0.00082161406,88.70301,6.794019,4.4687886,neutral,39.872044,3.073817e-07,0.06483389,0.022395045,3.957196,7.246485e-05,56.083458,writer_male_19.png
1.0,27,Man,0.0017480074,99.998245,white,0.00061164016,0.111535914,0.0005115423,56.361694,40.37779,3.1478658,neutral,0.62751806,7.4656285e-08,0.0033863846,0.0014761898,0.58168447,1.2987069e-06,98.785934,writer_male_15.png
