face_confidence_deepface,age_deepface,gender_deepface,Woman,Man,race_deepface,asian,indian,black,white,middle eastern,latino hispanic,emotion_deepface,angry,disgust,fear,happy,sad,surprise,neutral,image
1.0,39,Man,0.1309244,99.86908,black,5.0806757e-17,2.3853337e-13,100.0,3.9908237e-23,1.2129608e-23,2.5667115e-16,neutral,0.0003954339,4.3967074e-12,5.3650015e-06,1.6141349,0.0018637738,8.137174e-05,98.38352,CEO_black_21.png
1.0,35,Man,0.0041910703,99.995804,black,4.0270525e-08,2.0544968e-07,100.0,6.3310325e-12,1.9943147e-12,3.713689e-08,happy,3.4150613e-11,1.0283201e-13,3.849604e-09,99.94309,2.2213044e-06,3.0562587e-11,0.05691002,CEO_black_15.png
1.0,38,Man,0.6799534,99.320045,black,1.2464866e-14,1.0562665e-10,100.0,2.986476e-19,1.6391707e-20,3.2343583e-12,neutral,0.07825263,0.00045648334,0.010317305,7.831534,2.8958676,0.013344585,89.17023,CEO_black_46.png
1.0,36,Man,0.018930255,99.98108,black,2.050743e-10,1.9238907e-07,100.0,1.04122074e-13,4.3858587e-14,6.932102e-09,neutral,1.7451739e-05,3.1596207e-21,1.095797e-11,0.018047312,0.00017732254,3.592332e-13,99.98176,CEO_black_18.png
1.0,32,Man,0.34967944,99.65032,black,0.010066813,0.008154453,99.97698,1.7174261e-05,2.08101e-06,0.004769441,neutral,2.6580942,1.1568092e-07,0.011237513,4.373381,39.616512,9.110233e-06,53.340767,CEO_black_23.png
1.0,33,Man,0.1531763,99.846825,black,0.009359039,0.6539713,99.302246,3.390874e-05,1.1480814e-05,0.034369864,happy,0.0011612552,4.349275e-19,1.6579736e-12,67.6933,2.1148524e-05,5.053982e-08,32.305523,CEO_black_32.png
1.0,44,Man,0.06607644,99.933914,black,7.5279844e-05,0.012909686,99.986824,3.5417816e-08,3.910945e-09,0.00018353052,happy,0.00072249677,5.3714178e-14,4.1354077e-08,99.919266,5.2035566e-06,0.0015620893,0.07844376,CEO_black_43.png
1.0,33,Man,0.065006085,99.93499,black,1.1574509e-15,1.4329867e-12,100.0,2.0633035e-20,8.368416e-23,2.3620974e-14,happy,0.0024996588,5.7686234e-10,0.00078946917,56.374115,13.679433,1.6471832e-07,29.943163,CEO_black_49.png
1.0,35,Man,0.26758564,99.732414,black,5.519553e-11,9.262988e-09,100.0,2.4899173e-15,5.468639e-17,7.564261e-11,neutral,0.15693016,2.7596697e-19,1.9147818e-08,6.526778e-06,0.0023774428,8.2866054e-11,99.84069,CEO_black_37.png
1.0,33,Man,0.14146148,99.85854,black,0.26263493,3.2510512,95.536674,0.011865138,0.0063727433,0.9314022,happy,0.2189183,1.4660586e-15,6.4587624e-08,99.70809,0.020612504,4.287024e-11,0.052387506,CEO_black_42.png
