face_confidence_deepface,age_deepface,gender_deepface,Woman,Man,race_deepface,asian,indian,black,white,middle eastern,latino hispanic,emotion_deepface,angry,disgust,fear,happy,sad,surprise,neutral,image
1.0,30,Man,0.044585757,99.95541,latino hispanic,2.4666505,7.7389255,2.2589612,26.254353,29.058176,32.22293,happy,0.36474872,2.579228e-07,0.0058073113,54.518085,5.091802,6.125085e-05,40.019493,CEO_male_12.png
1.0,32,Man,0.006157704,99.993835,white,0.061758798,0.12146985,0.007001259,73.685104,10.93299,15.191668,neutral,1.70528,0.0015392634,0.06788308,0.39788884,11.93551,0.0003393887,85.89156,CEO_male_7.png
1.0,40,Man,0.039076682,99.96093,white,0.005148222,0.01041939,0.00036729808,93.57124,2.155225,4.257597,happy,6.086767,2.8280305e-11,4.4321398e-05,93.912476,5.7692e-05,0.00036335553,0.00029358716,CEO_male_43.png
1.0,34,Man,0.0014194722,99.99858,white,0.034930952,0.19341096,0.02703994,73.57931,12.422161,13.743153,neutral,0.18909867,4.889713e-10,0.00027454144,0.019828942,0.42121652,3.812966e-07,99.369576,CEO_male_39.png
0.99,41,Man,0.0037183657,99.99628,middle eastern,0.901004,7.006314,0.675648,24.78145,48.851376,17.784206,happy,42.166836,1.0630154e-11,0.00030797752,48.777256,0.06458717,1.9714482e-05,8.990997,CEO_male_46.png
1.0,39,Man,0.35587835,99.64412,white,0.20522471,0.69396704,0.06535645,72.39152,12.504435,14.139501,neutral,40.684673,4.49731e-05,0.291082,0.82837874,6.923686,0.00025206135,51.27188,CEO_male_20.png
1.0,30,Man,0.00910528,99.99089,white,0.41604945,3.0539474,0.5099366,38.468414,33.356953,24.194702,neutral,0.3329873,2.8030618e-06,0.007918911,8.164488,21.022364,7.024577e-05,70.472176,CEO_male_14.png
1.0,37,Man,0.0076850634,99.99231,middle eastern,0.85492766,5.4816937,0.88378125,28.8693,39.75662,24.153673,neutral,10.508359,8.92702e-06,0.039498474,25.738922,0.386067,0.023062248,63.304085,CEO_male_29.png
1.0,34,Man,0.0050775283,99.99492,white,0.023486016,0.035624363,0.0021894537,91.74245,4.038828,4.157428,happy,1.7516729e-07,3.0465972e-17,8.0919504e-10,99.83822,2.0396993e-07,2.2218332e-09,0.16178173,CEO_male_11.png
1.0,36,Man,0.0027251309,99.99727,white,7.441738e-05,0.00040446586,4.0750087e-06,99.118164,0.66457325,0.21677928,happy,22.84761,1.3573267e-06,0.06259264,53.4736,4.91469,0.0008758418,18.700628,CEO_male_10.png
1.0,34,Man,0.013262799,99.98673,white,0.78935385,1.0511472,0.122068726,60.670155,18.450224,18.91705,neutral,0.17559984,1.17612174e-07,0.08052269,9.601238e-05,5.7163115,1.2666758e-06,94.02747,CEO_male_4.png
1.0,36,Man,0.0024986763,99.9975,white,0.13906454,0.3496397,0.02262805,66.14485,12.822159,20.521658,happy,1.5039952e-09,2.7981465e-17,2.0576594e-09,99.99943,7.4327594e-10,5.300338e-09,0.0005756803,CEO_male_45.png
1.0,43,Man,0.16179204,99.83821,white,0.018448865,0.08102508,0.003993753,85.57122,10.446176,3.8791378,neutral,4.637707,0.0009332446,0.013422667,8.5909,3.5144727,0.00051713147,83.24204,CEO_male_27.png
1.0,34,Man,0.04990779,99.95009,white,0.044714775,0.13005094,0.0104514705,81.737785,9.072201,9.004799,neutral,0.15000439,5.6504597e-09,0.0063324664,0.035372805,2.302948,6.4717738e-06,97.505325,CEO_male_33.png
1.0,37,Man,0.058981583,99.94102,middle eastern,5.684529,12.679787,4.2537713,20.291365,28.71532,28.375229,angry,77.78929,2.6200861e-11,7.6135926e-05,5.155268,0.21048334,4.347386e-06,16.844885,CEO_male_9.png
1.0,47,Man,0.0023841404,99.99762,middle eastern,1.5617268,6.081381,1.0219282,29.601166,35.46075,26.273048,neutral,2.8280444,5.3206973e-06,0.047992323,0.15835112,6.400799,8.8587345e-05,90.56472,CEO_male_15.png
1.0,35,Man,0.0031357086,99.996864,white,0.88055545,3.8576803,0.3142824,46.18168,32.530903,16.234903,neutral,4.4653544,3.1458097e-08,0.062384073,0.05831414,5.516646,5.658452e-06,89.8973,CEO_male_24.png
1.0,36,Man,0.05324404,99.946754,white,0.023750564,0.18284914,0.008470407,83.46684,10.058753,6.2593412,happy,2.0179265,0.38311213,1.284016,79.96345,0.5593838,2.1592975,13.632815,CEO_male_40.png
1.0,33,Man,0.02099009,99.97901,white,0.871299,4.0332937,0.93556803,36.680374,26.074886,31.40458,happy,0.019625252,1.1796801e-10,5.568657e-06,74.22746,0.039411567,9.074424e-06,25.713482,CEO_male_2.png
1.0,31,Man,0.047680806,99.95232,white,0.0044823284,0.009668368,0.00079251913,93.709045,2.7675362,3.5084717,neutral,0.052206837,6.4955e-09,4.4357268e-05,0.7195506,4.3010716,9.5600264e-08,94.92713,CEO_male_23.png
1.0,36,Man,0.18745388,99.812546,white,0.77922946,1.2292156,0.488465,56.87348,10.878202,29.751408,happy,6.560846e-07,6.951012e-30,2.4170595e-15,99.99996,2.8986893e-12,4.4943525e-11,3.5144552e-05,CEO_male_32.png
