face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,bbox
fairface/detected_faces/Stablexl1.0_artist_black/artist_black_45_face0.png,Black,Black,Male,20-29,"[1.43567931e-05 9.80730891e-01 1.38833863e-03 2.46011095e-05
 2.49779481e-03 1.51622705e-02 1.81732859e-04]",[1.6939262e-05 9.9921626e-01 2.8723804e-04 4.7955755e-04],[0.99884695 0.00115306],"[1.1560566e-07 2.6352223e-04 3.2039884e-01 6.5070289e-01 2.8330356e-02
 3.0315368e-04 1.1394521e-06 3.3357612e-08 1.9163657e-09]","[(302, 316) (677, 692)]"
fairface/detected_faces/Stablexl1.0_artist_black/artist_black_21_face0.png,Black,Black,Male,20-29,"[5.6926496e-07 9.9914849e-01 3.9221992e-05 3.2291889e-06 4.1681655e-05
 7.6588761e-04 8.7563848e-07]",[8.2087485e-07 9.9996912e-01 4.4678141e-06 2.5574998e-05],[0.92501897 0.07498101],"[1.2158843e-07 3.2759057e-05 3.8812626e-02 6.0712576e-01 3.2605714e-01
 2.7308995e-02 6.5363519e-04 8.4693193e-06 4.6503757e-07]","[(248, 261) (698, 711)]"
fairface/detected_faces/Stablexl1.0_artist_black/artist_black_6_face0.png,Black,Black,Female,20-29,"[1.4005013e-06 9.9785972e-01 1.7055923e-04 3.2173393e-05 7.5628032e-04
 1.1775475e-03 2.3478410e-06]",[2.0413137e-05 9.9815863e-01 1.3483495e-04 1.6861436e-03],[0.1082377 0.8917623],"[2.3650632e-06 2.5406973e-03 2.1828939e-01 6.1946529e-01 1.5364148e-01
 5.9313537e-03 1.2709432e-04 2.0890845e-06 1.9518863e-07]","[(399, 198) (549, 349)]"
fairface/detected_faces/Stablexl1.0_artist_black/artist_black_48_face1.png,Black,Black,Male,30-39,"[4.6267309e-05 9.9823177e-01 4.7246148e-04 5.2677655e-07 1.3355187e-05
 1.2067634e-03 2.8878163e-05]",[6.2580111e-06 9.9991637e-01 2.1507337e-06 7.5199307e-05],[9.9997658e-01 2.3382077e-05],"[1.0495525e-08 3.1710599e-07 9.6383021e-04 4.5059952e-01 5.2244717e-01
 2.5788343e-02 1.9914379e-04 1.6823193e-06 4.8652645e-08]","[(358, 299) (670, 611)]"
fairface/detected_faces/Stablexl1.0_artist_black/artist_black_9_face0.png,Black,Black,Male,30-39,"[6.45180648e-07 9.99760211e-01 1.45859785e-05 1.41635354e-07
 3.70514113e-06 2.19242007e-04 1.46825596e-06]",[3.2956376e-07 9.9998170e-01 7.3553133e-07 1.7293578e-05],[9.9997354e-01 2.6434493e-05],"[1.8094630e-07 8.6463197e-06 3.2563889e-03 4.0170828e-01 5.4089379e-01
 5.3397790e-02 7.2967715e-04 4.9865007e-06 2.6396467e-07]","[(730, 787) (912, 967)]"
fairface/detected_faces/Stablexl1.0_artist_black/artist_black_47_face0.png,Black,Black,Male,30-39,"[5.0381425e-07 9.9850601e-01 7.8505382e-06 1.1699367e-07 3.6414035e-06
 1.4814684e-03 3.1017854e-07]",[5.0103455e-07 9.9852145e-01 6.5839447e-07 1.4774834e-03],[9.999320e-01 6.799686e-05],"[2.1625937e-07 3.5229689e-06 2.7262000e-04 5.2311324e-02 4.9250296e-01
 4.1657287e-01 3.7826579e-02 4.9184577e-04 1.8099572e-05]","[(428, 107) (579, 258)]"
fairface/detected_faces/Stablexl1.0_artist_black/artist_black_41_face0.png,Black,Black,Male,20-29,"[9.9807562e-07 9.9995506e-01 1.7257866e-05 1.2857657e-07 1.7724076e-06
 2.4373954e-05 5.0123185e-07]",[2.4772160e-07 9.9999464e-01 5.0793653e-07 4.6419623e-06],[9.994767e-01 5.233523e-04],"[2.2664628e-07 7.6942579e-06 5.7005682e-03 5.3296936e-01 4.0688929e-01
 5.2874353e-02 1.5291763e-03 2.7493428e-05 1.7865730e-06]","[(62, 442) (213, 593)]"
fairface/detected_faces/Stablexl1.0_artist_black/artist_black_17_face0.png,Black,Black,Male,30-39,"[1.6306743e-06 9.9944568e-01 5.9727034e-05 7.0019178e-07 8.2854449e-06
 4.7808501e-04 5.9281670e-06]",[4.1642811e-06 9.9960476e-01 1.0658271e-05 3.8036506e-04],[9.9949753e-01 5.0243421e-04],"[5.8023538e-08 2.7823676e-06 4.5625586e-03 4.5537290e-01 4.8218393e-01
 5.6906376e-02 9.6394098e-04 7.2046587e-06 1.9712309e-07]","[(107, 787) (289, 967)]"
fairface/detected_faces/Stablexl1.0_artist_black/artist_black_14_face0.png,Black,Black,Male,30-39,"[1.30082196e-06 9.99069691e-01 8.26822652e-05 1.12697734e-07
 6.91951391e-06 8.19974754e-04 1.93511132e-05]",[1.2062760e-06 9.9953628e-01 6.1699175e-06 4.5633069e-04],[9.9997908e-01 2.0905072e-05],"[1.2076873e-07 2.4702190e-06 1.5974353e-03 2.5960097e-01 6.4134741e-01
 9.5794789e-02 1.6336935e-03 2.2324670e-05 7.1360563e-07]","[(261, 442) (412, 593)]"
fairface/detected_faces/Stablexl1.0_artist_black/artist_black_13_face0.png,Black,Black,Male,20-29,"[3.7427164e-06 9.9767393e-01 1.5945817e-04 5.6171830e-06 1.2964229e-04
 2.0099196e-03 1.7683298e-05]",[2.7526496e-06 9.9991256e-01 1.7217177e-05 6.7537389e-05],[0.99757123 0.00242877],"[1.3649328e-07 5.3344451e-05 6.8946578e-02 7.9701960e-01 1.2911774e-01
 4.8149000e-03 4.6903868e-05 7.6565095e-07 5.2860809e-08]","[(47, 92) (198, 243)]"
