face_confidence_deepface,age_deepface,gender_deepface,Woman,Man,race_deepface,asian,indian,black,white,middle eastern,latino hispanic,emotion_deepface,angry,disgust,fear,happy,sad,surprise,neutral,image
1.0,35,Man,0.019180952,99.98083,indian,0.1688829,87.35612,0.697969,2.07002,5.858895,3.8481145,neutral,41.337345,2.9757656e-08,0.34411618,0.016723147,13.712238,7.8095305e-05,44.589504,baker_indian_45.png
1.0,31,Man,0.014396633,99.985596,indian,0.34973168,42.76968,1.2557297,8.560684,34.456398,12.607785,sad,13.673256,0.6994349,5.247572,0.7206477,52.880745,1.0940467,25.684294,baker_indian_21.png
1.0,35,Man,0.065846056,99.93416,middle eastern,0.112574965,3.8276331,0.10737579,8.896052,81.89937,5.1569986,neutral,0.1499304,8.541801e-12,0.00802297,0.29573816,4.951294,7.729547e-07,94.59502,baker_indian_28.png
1.0,46,Man,0.02299242,99.97701,indian,0.5572399,83.28467,1.2583083,2.5642672,5.9049582,6.430565,neutral,46.021725,7.0547124e-08,0.0032126387,0.7207116,3.1483161,0.00038150168,50.105656,baker_indian_38.png
1.0,37,Man,0.10247061,99.89753,indian,0.004237885,94.01972,0.16201974,0.53180826,4.019711,1.2624967,angry,77.69566,8.28051e-14,0.0011804298,9.231929e-05,0.07314482,1.0440121e-07,22.229927,baker_indian_17.png
1.0,36,Man,0.0059427507,99.99405,indian,0.0010823484,99.222145,0.11056353,0.027398773,0.14720021,0.49161166,angry,94.738464,9.494175e-11,0.0014010805,0.107248604,0.42516068,0.0034286026,4.7243,baker_indian_29.png
1.0,35,Man,0.0008263325,99.999176,indian,0.03401628,84.888756,0.57797307,1.0250026,8.941391,4.532865,neutral,2.3451755,5.0514814e-12,0.00018211179,1.0590811,0.31980446,4.6544205e-06,96.27574,baker_indian_9.png
1.0,31,Man,0.0078658555,99.992134,indian,0.38167965,64.17197,21.985922,1.6114421,4.449763,7.3992267,neutral,25.612867,2.1072308e-09,0.00052789866,0.27799955,0.9385327,6.5337276e-06,73.17007,baker_indian_40.png
1.0,35,Man,0.0002698059,99.999725,indian,0.013593076,94.7728,1.4396906,0.19609407,2.0419283,1.5358961,angry,72.97169,0.00010223836,0.041411232,0.0095379455,0.5545326,0.3881104,26.034615,baker_indian_26.png
1.0,37,Man,0.061144784,99.93886,middle eastern,0.20953554,15.677204,0.23521422,2.8370037,76.99745,4.0435925,angry,54.496056,0.00033594907,0.110272445,0.038007114,4.1221437,0.27429986,40.95888,baker_indian_11.png
