face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,bbox
fairface/detected_faces/Stablexl1.0_basketball player_black/basketball player_black_3_face0.png,Black,Black,Male,20-29,"[7.2625321e-06 9.9946851e-01 1.1134917e-04 2.0409483e-07 3.2417220e-06
 3.9848828e-04 1.1014719e-05]",[2.0144121e-06 9.9990511e-01 8.5722041e-07 9.2013914e-05],[9.999921e-01 7.945082e-06],"[1.6820222e-07 2.7722992e-05 1.0711647e-02 6.0911608e-01 3.5722578e-01
 2.2399852e-02 5.0831470e-04 1.0199841e-05 3.4049444e-07]","[(337, 216) (599, 477)]"
fairface/detected_faces/Stablexl1.0_basketball player_black/basketball player_black_21_face0.png,Black,Black,Male,20-29,"[5.1961866e-05 9.9930644e-01 3.9212924e-04 1.7018154e-07 2.9901273e-06
 1.6461342e-04 8.1635313e-05]",[2.5824886e-06 9.9995118e-01 4.2544689e-06 4.1997228e-05],[9.9999976e-01 2.8720390e-07],"[1.7978435e-08 2.4607521e-06 1.6702180e-03 4.9026081e-01 4.6992591e-01
 3.7502583e-02 6.2968879e-04 8.1366325e-06 1.8393683e-07]","[(302, 240) (677, 615)]"
fairface/detected_faces/Stablexl1.0_basketball player_black/basketball player_black_38_face0.png,Black,Black,Male,20-29,"[2.0713139e-07 9.9992013e-01 5.6423055e-06 8.3191196e-09 4.7577322e-07
 7.3541873e-05 9.8626302e-08]",[6.1212759e-08 9.9999636e-01 8.8196943e-09 3.5517710e-06],[9.9999267e-01 7.3348288e-06],"[5.5007393e-10 2.2088298e-07 5.8444315e-03 7.9389107e-01 1.9616938e-01
 4.0792366e-03 1.5613556e-05 6.3730823e-08 1.7069343e-09]","[(248, 305) (698, 756)]"
fairface/detected_faces/Stablexl1.0_basketball player_black/basketball player_black_8_face0.png,Black,Black,Male,20-29,"[9.7011234e-06 9.9950844e-01 1.5453053e-04 1.7185398e-07 7.5934122e-06
 3.0967247e-04 9.8796036e-06]",[4.5547240e-06 9.9896789e-01 3.6293600e-06 1.0238754e-03],[9.9992889e-01 7.1082584e-05],"[4.0807326e-08 5.1266466e-06 1.3775085e-02 7.1797103e-01 2.5723988e-01
 1.0840607e-02 1.6504263e-04 3.0181404e-06 1.2112069e-07]","[(248, 261) (698, 711)]"
fairface/detected_faces/Stablexl1.0_basketball player_black/basketball player_black_43_face0.png,Black,Black,Male,20-29,"[1.1343513e-05 9.9886185e-01 6.0138997e-04 1.8786992e-06 9.1882095e-05
 3.9676874e-04 3.5050831e-05]",[1.4446344e-06 9.9997455e-01 2.3311488e-06 2.1749463e-05],[9.9994814e-01 5.1904506e-05],"[5.0991083e-08 3.0044746e-05 8.9731954e-02 8.3301538e-01 7.5856335e-02
 1.3577383e-03 8.3853211e-06 1.0991450e-07 5.0639470e-09]","[(248, 215) (698, 665)]"
fairface/detected_faces/Stablexl1.0_basketball player_black/basketball player_black_28_face0.png,Black,Black,Male,20-29,"[1.5637893e-06 9.9864858e-01 2.9682395e-05 1.3583249e-06 2.9459932e-05
 1.2877290e-03 1.5918976e-06]",[2.672986e-06 9.990602e-01 2.663158e-05 9.105360e-04],[9.9994904e-01 5.0953960e-05],"[9.8824149e-09 6.6088487e-06 2.4689345e-02 8.3359796e-01 1.3772756e-01
 3.9143795e-03 6.3137144e-05 9.8810767e-07 3.8613400e-08]","[(400, 162) (582, 344)]"
fairface/detected_faces/Stablexl1.0_basketball player_black/basketball player_black_22_face0.png,Black,Black,Male,20-29,"[2.1893916e-07 9.9963498e-01 1.1526860e-05 2.9996297e-08 1.6470036e-06
 3.5110497e-04 5.6385659e-07]",[1.1773282e-06 9.9894744e-01 2.1077935e-06 1.0492046e-03],[9.9999899e-01 1.0250599e-06],"[8.9746166e-09 5.0194571e-06 7.9002837e-03 6.8704134e-01 2.9483667e-01
 1.0132434e-02 8.3707062e-05 5.0359466e-07 1.3226173e-08]","[(326, 108) (640, 422)]"
fairface/detected_faces/Stablexl1.0_basketball player_black/basketball player_black_0_face0.png,Black,Black,Male,20-29,"[6.1418240e-07 9.9998385e-01 6.2135077e-06 1.4308327e-08 2.3547734e-07
 7.0840269e-06 2.0002269e-06]",[4.2824624e-07 9.9999386e-01 7.2493481e-07 4.9620212e-06],[9.9997383e-01 2.6122358e-05],"[1.5279328e-08 1.7711205e-05 6.3992985e-02 8.3843726e-01 9.4649330e-02
 2.8855896e-03 1.6872144e-05 2.0262382e-07 1.1269547e-08]","[(385, 185) (602, 403)]"
fairface/detected_faces/Stablexl1.0_basketball player_black/basketball player_black_39_face0.png,Black,Black,Male,20-29,"[1.1078750e-05 9.9592692e-01 3.0002472e-04 9.8547810e-07 3.7552916e-05
 3.6978135e-03 2.5579147e-05]",[4.9649593e-06 9.9924815e-01 1.0963685e-05 7.3598541e-04],[9.998245e-01 1.754772e-04],"[1.1678063e-08 1.3003257e-06 4.7312402e-03 6.9130802e-01 2.9514489e-01
 8.7161195e-03 9.7227312e-05 1.1843858e-06 3.1048803e-08]","[(437, 107) (619, 289)]"
fairface/detected_faces/Stablexl1.0_basketball player_black/basketball player_black_20_face0.png,Black,Black,Male,30-39,"[9.7144393e-06 9.9951112e-01 1.4184891e-04 2.3824158e-07 4.9748214e-06
 3.2447494e-04 7.5674920e-06]",[1.2176363e-06 9.9986702e-01 4.7481331e-07 1.3123534e-04],[9.9993950e-01 6.0548162e-05],"[2.6964438e-08 1.0876036e-06 3.0541208e-03 4.0395012e-01 5.2978969e-01
 6.1760031e-02 1.4299231e-03 1.4505656e-05 5.1723208e-07]","[(363, 162) (581, 380)]"
