face_confidence_deepface,age_deepface,gender_deepface,Woman,Man,race_deepface,asian,indian,black,white,middle eastern,latino hispanic,emotion_deepface,angry,disgust,fear,happy,sad,surprise,neutral,image
1.0,46,Man,0.012756905,99.98724,middle eastern,2.279872,13.108833,3.5185616,20.200806,34.62592,26.266008,neutral,4.0899243,9.473815e-06,0.0016826654,8.327884,2.335546,0.002714228,85.24224,basketball player_middle aged_43.png
1.0,47,Man,0.00073069916,99.999275,black,0.55069566,8.982986,78.06029,1.2598554,6.8458524,4.300317,neutral,25.883278,5.8303426e-06,0.24730878,0.25254005,7.13584,0.004687652,66.47634,basketball player_middle aged_27.png
1.0,44,Man,0.011172264,99.98883,white,1.5274968,0.88414264,0.0943446,70.66796,12.489568,14.336493,neutral,0.0073198113,1.188545e-12,1.2811498e-07,0.05461031,0.03569673,1.3766842e-08,99.90237,basketball player_middle aged_11.png
1.0,46,Man,0.0071072793,99.9929,white,4.815452,6.532864,3.3210378,38.863094,21.427689,25.039858,angry,57.665413,1.0180897e-05,0.021768738,0.045593064,4.591028,4.0007588e-05,37.67615,basketball player_middle aged_20.png
1.0,35,Man,0.0004593928,99.999535,latino hispanic,0.95225453,5.2506666,0.6489476,31.26623,29.780441,32.10146,neutral,0.354994,1.3411297e-07,0.0002761398,0.08845386,0.72407246,3.9205577e-07,98.83221,basketball player_middle aged_14.png
1.0,50,Man,0.0041782754,99.99582,white,0.331703,3.1338832,0.19408016,41.82711,29.989487,24.52374,angry,62.645443,0.0014107535,0.61638254,13.232258,14.647254,0.050428502,8.806823,basketball player_middle aged_44.png
1.0,42,Man,0.055820715,99.94418,white,0.81823444,0.36186233,0.05991697,84.33889,7.238047,7.1830525,neutral,0.0028239249,2.3945164e-12,1.2251888e-05,0.00023429732,1.0336523,1.6032319e-09,98.96327,basketball player_middle aged_38.png
1.0,45,Man,0.010696496,99.9893,middle eastern,2.3572307,11.046563,2.562706,22.0476,31.654974,30.330929,neutral,15.574607,0.00011134625,0.076915644,0.083210945,3.534115,0.0010739354,80.72997,basketball player_middle aged_47.png
1.0,45,Man,0.00035176144,99.99964,black,3.9406333,10.273179,46.481247,5.3715262,7.475477,26.457941,angry,75.70167,1.9327392e-07,0.035267714,11.654202,0.19659713,0.0008948424,12.411366,basketball player_middle aged_1.png
1.0,49,Man,0.0011692491,99.99883,latino hispanic,7.833237,9.769336,3.5675328,26.518103,22.867237,29.44456,neutral,7.046823,1.4927688e-09,0.029799486,0.0028398405,31.364637,0.00056213955,61.555332,basketball player_middle aged_48.png
1.0,49,Man,0.050526027,99.94947,middle eastern,2.8085194,9.253831,1.8720256,31.476084,32.093353,22.496185,angry,42.40028,2.515308e-06,0.0009371369,3.2217424,16.309729,4.2184993e-06,38.06731,basketball player_middle aged_29.png
1.0,48,Man,0.004951587,99.995056,black,2.864219,7.2809024,83.62795,0.2875498,0.23022835,5.709148,neutral,0.46957925,2.3278973e-10,0.00023932921,0.88016725,0.15708824,6.497891e-06,98.49292,basketball player_middle aged_13.png
1.0,52,Man,0.0053693,99.99464,white,0.43357363,3.8617492,5.231697,44.2486,37.304462,8.91992,angry,75.54208,3.1320063e-08,0.022026021,0.008761814,14.272631,3.1914766e-05,10.154475,basketball player_middle aged_8.png
