face_confidence_deepface,age_deepface,gender_deepface,Woman,Man,race_deepface,asian,indian,black,white,middle eastern,latino hispanic,emotion_deepface,angry,disgust,fear,happy,sad,surprise,neutral,image
1.0,43,Man,0.022050709,99.97795,indian,0.78632563,81.28642,3.281362,1.5667785,6.0364957,7.0426106,neutral,2.7720573,2.8024485e-06,0.009588771,0.012093562,3.1395876,0.0006704458,94.066,chef_indian_8.png
1.0,39,Man,0.03493628,99.96506,middle eastern,0.0034848815,10.747636,0.014613876,1.1866351,86.44063,1.6069983,neutral,0.020812564,2.1925688e-17,2.8384445e-06,7.503971e-05,0.000116540774,9.2606495e-10,99.979,chef_indian_19.png
1.0,35,Man,0.0065785614,99.99342,middle eastern,0.35331872,31.921343,2.1627777,8.208457,45.187805,12.166295,neutral,0.009735239,4.2049594e-13,0.00054513605,0.00013091128,0.002101744,2.858141e-06,99.98748,chef_indian_47.png
1.0,38,Man,0.0046594925,99.99534,middle eastern,0.17788331,12.702249,0.57530296,3.779671,77.4575,5.3073936,neutral,0.01964511,6.2782035e-15,3.0049378e-06,0.001198332,0.08027643,1.2779036e-10,99.89888,chef_indian_23.png
1.0,39,Man,0.0043200976,99.99568,indian,0.005320865,79.02612,0.3577251,1.1931372,16.77248,2.6452138,neutral,0.16991182,2.3452053e-06,0.0009812041,10.15217,0.067023374,0.00057596585,89.60934,chef_indian_25.png
1.0,34,Man,0.024098039,99.9759,indian,0.9422702,58.909172,10.415475,4.476783,14.996484,10.259808,neutral,0.45960152,4.1376397e-10,0.0012821682,0.36506507,0.18141,0.00015919213,98.992485,chef_indian_35.png
1.0,29,Man,0.004959772,99.99504,indian,0.14715354,85.83612,2.781268,1.1398467,4.2348084,5.8608017,neutral,0.39833063,8.068167e-11,0.06835906,5.339008e-05,0.6120813,8.527935e-09,98.92118,chef_indian_40.png
1.0,34,Man,0.013920374,99.98608,indian,0.8702993,40.589462,5.1655188,10.550052,30.238634,12.586041,neutral,5.8056135,5.730408e-07,34.0877,0.28277785,0.27772263,0.40186155,59.14432,chef_indian_3.png
1.0,34,Man,0.18166406,99.81833,indian,0.0139144305,97.654175,0.23838861,0.19970858,0.8958264,0.9979861,neutral,0.013191237,4.9160803e-10,0.001030995,1.9299581,0.09171124,1.5249924e-05,97.964096,chef_indian_15.png
1.0,47,Man,0.0058824113,99.994125,indian,0.012352311,97.22366,1.1217866,0.06540263,0.22603418,1.3507671,neutral,14.000682,4.8027678e-06,0.09299136,0.19609436,25.582558,0.0039997636,60.123672,chef_indian_21.png
1.0,34,Man,0.008605151,99.991394,indian,0.015413511,98.2901,0.71578044,0.033617374,0.18151867,0.7635658,neutral,1.3972248,2.3178187e-05,0.02827877,0.02179499,2.100048,0.0063398136,96.4463,chef_indian_6.png
1.0,41,Man,0.006774571,99.993225,indian,0.45537728,72.10488,7.7281623,3.2126012,6.424622,10.0743475,neutral,4.2277055,9.630177e-16,7.302411e-08,0.48395982,0.0034417869,3.214062e-08,95.2849,chef_indian_22.png
1.0,48,Man,0.0017131686,99.99828,middle eastern,0.22318278,11.749984,0.4009027,3.100335,79.82195,4.7036357,neutral,1.5982784,2.2039615e-08,0.00105044,43.141647,0.88601613,0.0034737776,54.369534,chef_indian_9.png
1.0,43,Man,0.034730956,99.96527,indian,0.68159175,82.88989,4.1355104,1.7467301,4.416781,6.1294923,neutral,0.21696673,1.362481e-10,0.0011161638,0.012572565,0.090369016,0.00016094746,99.67882,chef_indian_44.png
1.0,46,Man,0.018087383,99.98191,indian,4.135822,37.59521,12.830866,8.586152,15.253395,21.598557,neutral,0.026546147,1.4599746e-08,1.2835599e-05,2.4526935,0.22323535,5.193834e-07,97.297516,chef_indian_12.png
1.0,39,Man,0.02485697,99.975136,middle eastern,0.9433484,19.508516,1.7578069,11.109408,51.56509,15.115836,happy,0.00080339704,3.040009e-14,5.893969e-07,95.03695,0.0011631243,1.7886428e-07,4.9610887,chef_indian_41.png
1.0,39,Man,0.011359451,99.98864,middle eastern,0.036280613,38.306812,0.23144864,1.8230773,56.368,3.2343884,neutral,17.695932,4.597608e-07,0.090775006,0.00011773144,18.06991,0.0021575412,64.141106,chef_indian_29.png
1.0,35,Man,0.0026362014,99.99737,indian,0.00446425,98.269394,0.2680418,0.09929581,0.6010116,0.7577881,happy,0.00028126055,5.8224483e-19,1.910618e-12,99.95361,2.2469482e-07,5.059185e-10,0.04610947,chef_indian_14.png
1.0,44,Man,0.0018158855,99.998184,middle eastern,0.04250866,30.767103,0.32539648,2.8974793,58.909954,7.0575585,neutral,28.475304,5.152131e-05,1.195072,0.03583109,11.631825,5.806834e-05,58.661858,chef_indian_30.png
1.0,35,Man,0.0188789,99.981125,middle eastern,0.14717846,29.763487,0.5947945,3.349762,59.526928,6.6178517,neutral,1.9224273,2.8338324e-08,0.022893645,0.078175716,4.499312,0.00045282228,93.47674,chef_indian_16.png
1.0,37,Man,0.001152887,99.99884,middle eastern,0.09330681,11.921011,0.18163455,1.6384473,81.71049,4.4551144,neutral,0.06506896,2.5776725e-09,0.86050045,4.5625677,0.003880618,0.026269408,94.48171,chef_indian_49.png
1.0,38,Man,0.013226679,99.98677,indian,0.40727258,62.3449,2.1469476,3.3734004,21.00792,10.719566,neutral,0.042973716,3.5961045e-12,0.00013311695,0.062339876,0.008850199,1.261001e-05,99.88569,chef_indian_2.png
1.0,34,Man,0.033702575,99.9663,middle eastern,2.312713,17.180468,5.0578766,17.41973,33.48829,24.540918,happy,9.342663,5.0179625e-07,0.084847,69.96821,0.2059097,0.5821144,19.816252,chef_indian_31.png
